#flows,is_correlated,key,count_chern,byte_chern,class
1500,1,s4-s5,0.0249776836807,0.0203843658351,-1
1500,1,s3-s6,0.00610044964231,0.0125163721239,-1
1500,1,s5-s6,0.000575694797111,0.000315092797318,1
1500,1,s3-s4,0.00429939460592,0.0037776035832,-1
2000,1,s4-s5,0.000152533498985,0.000243619724252,1
2000,1,s3-s6,0.00156616094475,0.00121417943715,-1
2000,1,s5-s6,1.1832404347e-07,3.87857202359e-07,1
2000,1,s3-s4,6.36232438746e-05,0.000557452099313,1
2500,1,s4-s5,0.0281714072382,0.0484728768131,-1
2500,1,s3-s6,0.000213168763774,0.000178177053642,1
2500,1,s5-s6,1.01581889424e-05,6.21073962331e-06,1
2500,1,s3-s4,0.00327955723493,0.000335609795527,0
3000,1,s4-s5,0.00173643637681,0.00230310391566,-1
3000,1,s3-s6,9.31881938063e-08,4.19011473953e-06,1
3000,1,s5-s6,0.00127813715141,0.00276649403229,-1
3000,1,s3-s4,1.38854326885e-05,1.98526862886e-06,1
3500,1,s4-s5,5.32151646169e-05,0.000263468355882,1
3500,1,s3-s6,0.00179033730048,0.00238087175407,-1
3500,1,s5-s6,1.06171904105e-07,1.83978118214e-07,1
3500,1,s3-s4,4.36264612299e-06,1.56323864639e-05,1
4000,1,s4-s5,1.78915522473e-05,6.52713867569e-05,1
4000,1,s3-s6,8.50648844028e-08,1.98655147987e-06,1
4000,1,s5-s6,1.06668619837e-09,1.22849429335e-07,1
4000,1,s3-s4,3.72922352982e-07,8.41773424553e-07,1
4500,1,s4-s5,0.000615797062196,0.013617488246,1
4500,1,s3-s6,1.36813416889e-06,0.000639097796634,1
4500,1,s5-s6,1.84856412458e-06,0.00017128210166,1
4500,1,s3-s4,5.19927251377e-08,1.44947245864e-05,1
5000,1,s4-s5,2.92438089458e-06,1.00516598137e-05,1
5000,1,s3-s6,5.00502509127e-07,5.24269886939e-05,1
5000,1,s5-s6,9.63357499503e-09,1.95412492255e-05,1
5000,1,s3-s4,1.4788511774e-06,0.000387233527611,1
1500,0,s4-s5,0.935495430499,0.885026883482,-1
1500,0,s3-s6,0.0416705696723,0.0288999432742,-1
1500,0,s5-s6,0.0180644914451,0.0309034513804,-1
1500,0,s3-s4,0.223982110014,0.215991212677,-1
2000,0,s4-s5,0.334030104682,0.216640972328,-1
2000,0,s3-s6,0.0133634610102,0.0133634610102,-1
2000,0,s5-s6,0.0178179480135,0.0178179480135,-1
2000,0,s3-s4,0.0422351360321,0.0422351360321,-1
2500,0,s4-s5,0.447903095298,0.323635862726,-1
2500,0,s3-s6,0.0708689626792,0.0715388501149,-1
2500,0,s5-s6,0.0160142966282,0.0213789213476,-1
2500,0,s3-s4,0.162972767193,0.217415025517,-1
3000,0,s4-s5,0.280897748607,0.197277462648,-1
3000,0,s3-s6,0.694882570823,0.706946612563,-1
3000,0,s5-s6,0.0723648378952,0.134405095165,-1
3000,0,s3-s4,0.218082084902,0.294250443527,-1
3500,0,s4-s5,0.0212826939144,0.0462792900184,-1
3500,0,s3-s6,0.193053826643,0.1355479596,-1
3500,0,s5-s6,0.725705894848,0.721908713755,-1
3500,0,s3-s4,0.72396983381,0.584118314499,-1
4000,0,s4-s5,0.213604241919,0.20305891568,-1
4000,0,s3-s6,0.467287677661,0.27491059111,-1
4000,0,s5-s6,0.260871542175,0.440843772108,-1
4000,0,s3-s4,0.398979548842,0.498596297255,-1
4500,0,s4-s5,0.196195195981,0.189973238529,-1
4500,0,s3-s6,0.248636599516,0.65667424746,-1
4500,0,s5-s6,0.706317513453,0.575303094608,-1
4500,0,s3-s4,0.343253125978,0.108649552786,-1
5000,0,s4-s5,0.0359259255395,0.173498125138,-1
5000,0,s3-s6,0.108877626203,0.0639492554665,-1
5000,0,s5-s6,0.0532984337088,0.152851946838,-1
5000,0,s3-s4,0.0537833884879,0.142249872932,-1
1500,1,s4-s5,0.0136088486945,0.0145275613106,-1
1500,1,s3-s6,0.109557583884,0.0660532020626,-1
1500,1,s5-s6,0.0013051576535,0.00476294040699,-1
1500,1,s3-s4,0.0430639887829,0.0621611453299,-1
2000,1,s4-s5,0.00813082565518,0.00364095127297,-1
2000,1,s3-s6,0.0076579864016,0.00626843702259,-1
2000,1,s5-s6,0.00160592019692,0.00357584236221,-1
2000,1,s3-s4,0.000362630650631,0.000592146316168,1
2500,1,s4-s5,2.329618775e-07,2.18938600854e-06,1
2500,1,s3-s6,0.0124388065723,0.0390300278843,-1
2500,1,s5-s6,4.49372387859e-06,1.41594910907e-06,1
2500,1,s3-s4,1.52458616267e-05,4.4489183501e-05,1
3000,1,s4-s5,1.27418714059e-08,8.42808010405e-08,1
3000,1,s3-s6,0.00720165616265,0.00935850047678,-1
3000,1,s5-s6,6.77146972033e-08,1.66074958004e-08,1
3000,1,s3-s4,3.17037240162e-06,7.72211657961e-06,1
3500,1,s4-s5,6.30382535497e-05,3.74741041216e-05,1
3500,1,s3-s6,5.52573669334e-05,0.00074135291189,1
3500,1,s5-s6,4.1850746725e-06,2.36208734614e-06,1
3500,1,s3-s4,4.71681763321e-07,1.80776458945e-07,1
4000,1,s4-s5,6.1286440134e-08,4.32563710035e-07,1
4000,1,s3-s6,0.0112367312712,0.00345484839993,-1
4000,1,s5-s6,8.247534503e-06,1.86982711013e-05,1
4000,1,s3-s4,1.83245542244e-07,2.46461426752e-07,1
4500,1,s4-s5,2.45243482969e-07,3.42376021587e-07,1
4500,1,s3-s6,0.000614157363021,0.000532412096343,1
4500,1,s5-s6,5.62885317438e-06,0.00107329025418,1
4500,1,s3-s4,7.96341279469e-07,8.68134400051e-07,1
5000,1,s4-s5,1.90015501287e-05,8.23997876906e-06,1
5000,1,s3-s6,2.19506775543e-05,5.7091709183e-05,1
5000,1,s5-s6,1.56046529055e-10,6.58673149604e-07,1
5000,1,s3-s4,3.2353306938e-07,1.72967984676e-06,1
1500,0,s4-s5,0.0422351360321,0.0422351360321,-1
1500,0,s3-s6,0.269007133541,0.123938080951,-1
1500,0,s5-s6,0.662357669491,0.50373924744,-1
1500,0,s3-s4,0.217904075128,0.106820757072,-1
2000,0,s4-s5,0.0893829974848,0.169191623757,-1
2000,0,s3-s6,0.334030104682,0.550476532008,-1
2000,0,s5-s6,0.365444849001,0.437101333945,-1
2000,0,s3-s4,0.421123181523,0.399197409996,-1
2500,0,s4-s5,0.0100225957576,0.0100225957576,-1
2500,0,s3-s6,0.269007133541,0.337658590591,-1
2500,0,s5-s6,0.0670773661013,0.0919242972741,-1
2500,0,s3-s4,0.195106079301,0.104903786054,-1
3000,0,s4-s5,0.161340856698,0.180745280821,-1
3000,0,s3-s6,0.0452706044148,0.0278141245579,-1
3000,0,s5-s6,0.314200885564,0.394781781691,-1
3000,0,s3-s4,0.234756479742,0.203969463344,-1
3500,0,s4-s5,0.0587047207209,0.0634054420679,-1
3500,0,s3-s6,0.0799391578961,0.151522934839,-1
3500,0,s5-s6,0.117593037962,0.0692785948698,-1
3500,0,s3-s4,0.108877626203,0.118764202762,-1
4000,0,s4-s5,0.289978243668,0.295326234872,-1
4000,0,s3-s6,0.0441743891406,0.0605159072178,-1
4000,0,s5-s6,0.162522130717,0.302529016882,-1
4000,0,s3-s4,0.756791815403,0.669015150272,-1
4500,0,s4-s5,0.702475326833,0.688439887766,-1
4500,0,s3-s6,0.260871542175,0.147589909476,-1
4500,0,s5-s6,0.239080406805,0.43906901127,-1
4500,0,s3-s4,0.343806354755,0.139053737972,-1
5000,0,s4-s5,0.087237896721,0.548282083917,-1
5000,0,s3-s6,0.167518741972,0.0457375554706,-1
5000,0,s5-s6,0.247729932826,0.565156807497,-1
5000,0,s3-s4,0.0551106047806,0.00329807478716,-1
1500,1,s4-s5,0.21203609229,0.173393056512,-1
1500,1,s3-s6,0.0705872701409,0.189199416924,-1
1500,1,s5-s6,0.00112056691402,0.00142327668442,-1
1500,1,s3-s4,0.00793966331465,0.0212923454791,-1
2000,1,s4-s5,1.0014673777e-05,2.49916439626e-05,1
2000,1,s3-s6,0.000720737803946,0.000343224557333,1
2000,1,s5-s6,0.00069884815556,0.000147804253041,1
2000,1,s3-s4,0.000849052599783,0.000696298721138,1
2500,1,s4-s5,3.90686441557e-06,4.67792863435e-06,1
2500,1,s3-s6,0.00752499406412,0.00453595767993,-1
2500,1,s5-s6,0.000137867092142,0.000726647289648,1
2500,1,s3-s4,0.000548711222692,0.0019355020966,1
3000,1,s4-s5,0.000189296242902,0.000122548639413,1
3000,1,s3-s6,6.9219358516e-05,6.17454968443e-05,1
3000,1,s5-s6,0.000424277956581,0.000650211911195,1
3000,1,s3-s4,0.000419796616521,0.00092030167505,1
3500,1,s4-s5,1.88545145742e-06,4.9222597468e-06,1
3500,1,s3-s6,5.11050354607e-05,0.000207218794622,1
3500,1,s5-s6,8.44540318378e-06,1.44712708435e-05,1
3500,1,s3-s4,6.29922517209e-13,5.43765668112e-12,1
4000,1,s4-s5,3.04955943954e-06,3.59112016493e-05,1
4000,1,s3-s6,2.24357029244e-07,1.73188887538e-06,1
4000,1,s5-s6,1.83245542244e-07,2.7274598825e-08,1
4000,1,s3-s4,1.90911999678e-06,4.24574930156e-06,1
4500,1,s4-s5,1.51607250092e-05,0.000630148012592,1
4500,1,s3-s6,7.26918188325e-06,0.000300223740619,1
4500,1,s5-s6,4.67329986565e-06,2.01995433418e-05,1
4500,1,s3-s4,3.16055079099e-08,6.77848446583e-06,1
5000,1,s4-s5,1.05523216361e-06,6.99677502127e-05,1
5000,1,s3-s6,3.2353306938e-07,2.95799922189e-05,1
5000,1,s5-s6,7.20374610312e-06,4.10029747703e-06,1
5000,1,s3-s4,1.91836528833e-08,2.48857740585e-07,1
1500,0,s4-s5,0.0795973715951,0.106001951872,-1
1500,0,s3-s6,0.0932218784237,0.0704837815219,-1
1500,0,s5-s6,0.4203962941,0.402028035435,-1
1500,0,s3-s4,0.0517643061718,0.0250810202898,-1
2000,0,s4-s5,0.00563771011366,0.00563771011366,-1
2000,0,s3-s6,0.298920820228,0.321158265145,-1
2000,0,s5-s6,0.484461311419,0.582295189169,-1
2000,0,s3-s4,0.191525901947,0.100109339522,-1
2500,0,s4-s5,0.0584482446432,0.0703219071143,-1
2500,0,s3-s6,0.19398294527,0.256706603207,-1
2500,0,s5-s6,0.53081858959,0.742854897894,-1
2500,0,s3-s4,0.295857222486,0.508696211116,-1
3000,0,s4-s5,0.297417776098,0.236272233249,-1
3000,0,s3-s6,0.102748196507,0.0800094104679,-1
3000,0,s5-s6,0.107728208197,0.110565644499,-1
3000,0,s3-s4,0.195106079301,0.133987600779,-1
3500,0,s4-s5,0.0723648378952,0.0362939320597,-1
3500,0,s3-s6,0.0382996181788,0.0595958162641,-1
3500,0,s5-s6,0.0138029604955,0.0224219425167,-1
3500,0,s3-s4,0.193053826643,0.0879738224029,-1
4000,0,s4-s5,0.213604241919,0.333705977959,-1
4000,0,s3-s6,0.136233527469,0.0712682953647,-1
4000,0,s5-s6,0.228261222402,0.223451987459,-1
4000,0,s3-s4,0.28279258823,0.318210029277,-1
4500,0,s4-s5,0.183637304144,0.153102105758,-1
4500,0,s3-s6,0.0789035451723,0.0804175985488,-1
4500,0,s5-s6,0.21735376975,0.159676223702,-1
4500,0,s3-s4,0.0198070406286,0.140004749012,-1
5000,0,s4-s5,0.0482012323273,0.07047945096,-1
5000,0,s3-s6,0.0232745281618,0.0226424600074,-1
5000,0,s5-s6,0.260871542175,0.379075883578,-1
5000,0,s3-s4,0.0763198284176,0.329592053811,-1
1500,1,s4-s5,0.00494996252453,0.00252404571689,-1
1500,1,s3-s6,0.00205466380914,0.00142188777631,-1
1500,1,s5-s6,3.57678616285e-05,8.94382793723e-05,1
1500,1,s3-s4,0.0003052674136,0.00026526396436,1
2000,1,s4-s5,0.00494996252453,0.00563771011366,-1
2000,1,s3-s6,8.27800015008e-05,0.000142695647456,1
2000,1,s5-s6,0.000124312191214,0.000228019813668,1
2000,1,s3-s4,0.000280716109145,6.27137193981e-05,1
2500,1,s4-s5,0.00389575361946,0.0061886952876,-1
2500,1,s3-s6,0.00812618281513,0.00477211196664,-1
2500,1,s5-s6,0.00111828225508,0.00058026404963,0
2500,1,s3-s4,0.00160592019692,0.00995200110173,-1
3000,1,s4-s5,0.0191936717083,0.0188080406069,-1
3000,1,s3-s6,0.000226837076533,0.000265988205546,1
3000,1,s5-s6,0.000132282820202,0.000276770507812,1
3000,1,s3-s4,0.000278577034033,0.000140807750786,1
3500,1,s4-s5,4.88961814862e-05,0.000126872126939,1
3500,1,s3-s6,1.39247666382e-06,6.68342342412e-07,1
3500,1,s5-s6,1.36676305723e-06,1.64652307644e-06,1
3500,1,s3-s4,5.51672196396e-08,3.46048571638e-08,1
4000,1,s4-s5,0.000232810222353,0.00206397927125,1
4000,1,s3-s6,2.09198726823e-05,3.82881903589e-06,1
4000,1,s5-s6,2.07695154866e-07,8.09920450538e-06,1
4000,1,s3-s4,0.000309099312585,9.98624266042e-06,1
4500,1,s4-s5,4.39048925725e-07,8.2753894802e-05,1
4500,1,s3-s6,6.12193943973e-07,0.000341839096264,1
4500,1,s5-s6,5.68929351647e-07,8.06930156824e-07,1
4500,1,s3-s4,7.12853000627e-08,2.76325483188e-05,1
5000,1,s4-s5,5.92881413689e-07,0.00123869117639,1
5000,1,s3-s6,9.07719664131e-06,3.79087389003e-05,1
5000,1,s5-s6,5.6625535665e-05,0.00382132779209,1
5000,1,s3-s4,8.20602638396e-09,1.20848816537e-07,1
1500,0,s4-s5,0.593096214059,0.424641713797,-1
1500,0,s3-s6,0.229828247752,0.276599574453,-1
1500,0,s5-s6,0.414549091651,0.5396507373,-1
1500,0,s3-s4,0.383281525027,0.49167792544,-1
2000,0,s4-s5,0.635068822604,0.424159232794,-1
2000,0,s3-s6,0.140737488356,0.199829348874,-1
2000,0,s5-s6,0.653818394468,0.663463653956,-1
2000,0,s3-s4,0.205286627723,0.165372979932,-1
2500,0,s4-s5,0.108877626203,0.0871650801723,-1
2500,0,s3-s6,0.415907246907,0.214641838051,-1
2500,0,s5-s6,0.160161215864,0.26966458671,-1
2500,0,s3-s4,0.228454587599,0.26099775387,-1
3000,0,s4-s5,0.55169827747,0.369764115085,-1
3000,0,s3-s6,0.43599529957,0.565686547753,-1
3000,0,s5-s6,0.0708689626792,0.0682390442498,-1
3000,0,s3-s4,0.217987426387,0.218268158541,-1
3500,0,s4-s5,0.00633937558557,0.0164791642532,-1
3500,0,s3-s6,0.097175829258,0.0796719910046,-1
3500,0,s5-s6,0.0167047794381,0.0215573923625,-1
3500,0,s3-s4,0.18581960436,0.324618568124,-1
4000,0,s4-s5,0.428944932867,0.377840805698,-1
4000,0,s3-s6,0.306776634623,0.353294612196,-1
4000,0,s5-s6,0.43599529957,0.339394900052,-1
4000,0,s3-s4,0.136233527469,0.123747530037,-1
4500,0,s4-s5,0.182690003719,0.186846640265,-1
4500,0,s3-s6,0.388441067884,0.283367110745,-1
4500,0,s5-s6,0.298835256495,0.348368782938,-1
4500,0,s3-s4,0.00102233376054,0.00429309219894,-1
5000,0,s4-s5,0.0885412678325,0.183780335478,-1
5000,0,s3-s6,0.288033838372,0.307457428376,-1
5000,0,s5-s6,0.0714518311585,0.016090518243,-1
5000,0,s3-s4,0.0660392921929,0.0843466770956,-1
1500,1,s4-s5,0.00670238280071,0.0070230918721,-1
1500,1,s3-s6,0.00111840743852,0.00361520036772,-1
1500,1,s5-s6,0.00598844533101,0.00654220764789,-1
1500,1,s3-s4,3.20135714828e-05,2.10656868597e-05,1
2000,1,s4-s5,0.000508444711731,0.00223522474979,1
2000,1,s3-s6,0.000296333253576,0.000254918451277,1
2000,1,s5-s6,0.0202654498495,0.0160357668596,-1
2000,1,s3-s4,0.000106773927557,0.000107905515415,1
2500,1,s4-s5,0.000259201481298,0.000555452437408,1
2500,1,s3-s6,0.000267780933739,0.000329454553795,1
2500,1,s5-s6,0.00385298992543,0.00152850208884,-1
2500,1,s3-s4,3.38076553426e-06,9.77740143827e-07,1
3000,1,s4-s5,0.000565625606548,0.000464265357671,1
3000,1,s3-s6,0.00635233070912,0.0033212998502,-1
3000,1,s5-s6,0.00232942783734,0.00635060571516,-1
3000,1,s3-s4,0.00169169659015,0.00207074077022,-1
3500,1,s4-s5,0.000304726844864,0.000237082620772,1
3500,1,s3-s6,1.9999438772e-05,1.58089890014e-05,1
3500,1,s5-s6,6.30382535497e-05,4.43493626037e-05,1
3500,1,s3-s4,2.52459530183e-06,1.14377990953e-05,1
4000,1,s4-s5,7.15455973603e-07,2.92579827756e-06,1
4000,1,s3-s6,0.00012289037748,0.000172971384173,1
4000,1,s5-s6,8.4815976873e-07,6.24041794243e-05,1
4000,1,s3-s4,0.000197053708388,0.00130269872928,1
4500,1,s4-s5,0.0016917349052,0.0102796409349,-1
4500,1,s3-s6,2.66191465745e-08,3.15451938595e-06,1
4500,1,s5-s6,1.69720039363e-10,5.90024475549e-10,1
4500,1,s3-s4,1.68137564164e-05,2.10437879572e-05,1
5000,1,s4-s5,8.3549987791e-09,5.71626846463e-05,1
5000,1,s3-s6,3.14081692605e-07,1.90278093454e-05,1
5000,1,s5-s6,1.38254836655e-06,0.000226837249954,1
5000,1,s3-s4,9.93807853555e-09,1.73141181471e-05,1
1500,0,s4-s5,0.041552855984,0.140824586822,-1
1500,0,s3-s6,0.185045225175,0.164709946326,-1
1500,0,s5-s6,0.208115268474,0.261567835617,-1
1500,0,s3-s4,0.380885159089,0.231433523442,-1
2000,0,s4-s5,0.318344195367,0.325765837026,-1
2000,0,s3-s6,0.42459900318,0.329888390601,-1
2000,0,s5-s6,0.247353164232,0.201689227184,-1
2000,0,s3-s4,0.368157484871,0.462283887554,-1
2500,0,s4-s5,0.195106079301,0.0899497295545,-1
2500,0,s3-s6,0.234756479742,0.367920065375,-1
2500,0,s5-s6,0.433521390789,0.540161060875,-1
2500,0,s3-s4,0.202587545309,0.244501039919,-1
3000,0,s4-s5,0.490767656328,0.591620895158,-1
3000,0,s3-s6,0.160161215864,0.180037690229,-1
3000,0,s5-s6,0.588545602471,0.619762290139,-1
3000,0,s3-s4,0.21611649778,0.308466208373,-1
3500,0,s4-s5,0.193053826643,0.134103627556,-1
3500,0,s3-s6,0.237786405345,0.25400498323,-1
3500,0,s5-s6,0.175875019705,0.178118941857,-1
3500,0,s3-s4,0.288033838372,0.132890455282,-1
4000,0,s4-s5,0.109544930405,0.214006113363,-1
4000,0,s3-s6,0.195106079301,0.165425172402,-1
4000,0,s5-s6,0.433521390789,0.242280752432,-1
4000,0,s3-s4,0.432915749579,0.455807901055,-1
4500,0,s4-s5,0.209184752351,0.110415528662,-1
4500,0,s3-s6,0.182690003719,0.220429908927,-1
4500,0,s5-s6,0.104862237638,0.25302176916,-1
4500,0,s3-s4,0.560447785618,0.273600403003,-1
5000,0,s4-s5,0.427687585111,0.200030417804,-1
5000,0,s3-s6,0.273593924107,0.340250426687,-1
5000,0,s5-s6,0.197659887158,0.336342065408,-1
5000,0,s3-s4,0.111576110833,0.530868721451,-1
1500,1,s4-s5,0.0106899123691,0.00693700694331,-1
1500,1,s3-s6,0.0681719393944,0.0518180918498,-1
1500,1,s5-s6,0.0115014268768,0.0202752813764,-1
1500,1,s3-s4,0.014300283455,0.0454549961023,-1
2000,1,s4-s5,5.49038746608e-05,8.10447046334e-05,1
2000,1,s3-s6,0.000439142093596,0.000162458131127,1
2000,1,s5-s6,0.00902074525189,0.0215819608896,-1
2000,1,s3-s4,0.00307194754288,0.00199493409916,-1
2500,1,s4-s5,5.14991414862e-05,1.84210239026e-05,1
2500,1,s3-s6,0.000180065085186,0.000214391689382,1
2500,1,s5-s6,0.00083697820807,0.00239362278803,1
2500,1,s3-s4,2.29314330782e-05,2.72186266446e-05,1
3000,1,s4-s5,1.39303401368e-05,7.91532706334e-05,1
3000,1,s3-s6,2.09730695034e-11,8.55173827349e-11,1
3000,1,s5-s6,2.01957814002e-07,5.50782652226e-07,1
3000,1,s3-s4,2.83683600402e-06,2.21786525368e-06,1
3500,1,s4-s5,5.06615031375e-09,9.02361301508e-09,1
3500,1,s3-s6,0.000181468953039,0.000205919331811,1
3500,1,s5-s6,1.88687783172e-05,4.16990855191e-05,1
3500,1,s3-s4,2.18642331093e-05,0.000147230291189,1
4000,1,s4-s5,2.70198440422e-05,0.00124367404268,1
4000,1,s3-s6,1.15770057354e-05,1.80954155305e-05,1
4000,1,s5-s6,4.20129965572e-05,0.000297094573011,1
4000,1,s3-s4,6.00312120244e-07,2.78274043601e-07,1
4500,1,s4-s5,8.84766471968e-05,0.000175666911084,1
4500,1,s3-s6,1.10982498573e-05,0.000516957370443,1
4500,1,s5-s6,2.45295966333e-09,1.66309239668e-07,1
4500,1,s3-s4,7.11875460226e-05,0.000797630622333,1
5000,1,s4-s5,2.79216528841e-05,0.000567783489805,1
5000,1,s3-s6,2.37313497956e-13,1.45442222497e-11,1
5000,1,s5-s6,2.70737715222e-10,1.48271422438e-06,1
5000,1,s3-s4,2.19085901821e-06,9.69369331898e-07,1
1500,0,s4-s5,0.368892610517,0.332619411302,-1
1500,0,s3-s6,0.401672573997,0.218621645402,-1
1500,0,s5-s6,0.175539186952,0.23539679507,-1
1500,0,s3-s4,0.328763312168,0.264436274724,-1
2000,0,s4-s5,0.0304787520855,0.0308807687556,-1
2000,0,s3-s6,0.329966098567,0.33539908142,-1
2000,0,s5-s6,0.526931657871,0.533823901993,-1
2000,0,s3-s4,0.462173389454,0.348216206025,-1
2500,0,s4-s5,0.0560254699682,0.0996018058694,-1
2500,0,s3-s6,0.0100225957576,0.0100225957576,-1
2500,0,s5-s6,0.0641751395918,0.121172607985,-1
2500,0,s3-s4,0.153493352367,0.147312773578,-1
3000,0,s4-s5,0.0104597368786,0.0143181597462,-1
3000,0,s3-s6,0.161340856698,0.245952966889,-1
3000,0,s5-s6,0.112365286608,0.275067535212,-1
3000,0,s3-s4,0.365444849001,0.32196870023,-1
3500,0,s4-s5,0.0889178744346,0.0258669296214,-1
3500,0,s3-s6,0.193053826643,0.200865729476,-1
3500,0,s5-s6,0.23184276695,0.28781940163,-1
3500,0,s3-s4,0.304040878508,0.202149847545,-1
4000,0,s4-s5,0.132004360629,0.303857217064,-1
4000,0,s3-s6,0.489044446483,0.493246156359,-1
4000,0,s5-s6,0.0551106047806,0.134286936388,-1
4000,0,s3-s4,0.228261222402,0.19725608308,-1
4500,0,s4-s5,0.110825752509,0.180248720799,-1
4500,0,s3-s6,0.00890205862734,0.0231083238471,-1
4500,0,s5-s6,0.00247643965531,0.0104988639577,-1
4500,0,s3-s4,0.203807403332,0.438717923791,-1
5000,0,s4-s5,0.054335535626,0.117949430784,-1
5000,0,s3-s6,0.384019099601,0.33283746963,-1
5000,0,s5-s6,0.2707843971,0.672783224908,-1
5000,0,s3-s4,0.132004360629,0.355303345521,-1
1500,1,s4-s5,2.8640246315e-05,9.79111015893e-05,1
1500,1,s3-s6,4.27706181455e-06,7.0947215897e-05,1
1500,1,s5-s6,0.0466851099719,0.0525397064891,-1
1500,1,s3-s4,0.00176942949875,0.00109897605027,-1
2000,1,s4-s5,0.000720737803946,0.000976935788775,1
2000,1,s3-s6,0.000515231641273,0.000592329722187,1
