#flows,time,epsilon,r_threshold,is_correlated,key,count_chern,byte_chern,pred,true
50,0.241358757,0.005,0.01,1,s4-s5,0.1488509646,2.48464214977E-06,0,1
50,0.241358757,0.005,0.01,1,s3-s6,0.0070093595,2.50578383687E-07,1,1
50,0.241358757,0.005,0.01,1,s5-s6,0.0047286256,5.23568260426E-07,1,1
50,0.241358757,0.005,0.01,1,s3-s4,0.0001730642,0.0001730642,1,1
50,0.224783659,0.005,0.01,0,s4-s5,0.1036781242,5.86960669133E-05,0,0
50,0.224783659,0.005,0.01,0,s3-s6,0.0216573557,0.0064999839,-1,0
50,0.224783659,0.005,0.01,0,s5-s6,0.8335434474,0.0002559533,0,0
50,0.224783659,0.005,0.01,0,s3-s4,0.3177932441,0.0024738566,0,0
50,0.196842432,0.005,0.01,-1,s4-s5,0.7472493694,0.2696817431,-1,-1
50,0.196842432,0.005,0.01,-1,s3-s6,0.697070298,0.5456837425,-1,-1
50,0.196842432,0.005,0.01,-1,s5-s6,0.8519979953,0.3927964481,-1,-1
50,0.196842432,0.005,0.01,-1,s3-s4,0.757030165,0.757030165,-1,-1
100,0.4434354305,0.005,0.01,1,s4-s5,0.0036344583,1.49255264483E-12,1,1
100,0.4434354305,0.005,0.01,1,s3-s6,0.0018988741,4.34924120908E-10,1,1
100,0.4434354305,0.005,0.01,1,s5-s6,1.12443804111E-05,3.55132630448E-11,1,1
100,0.4434354305,0.005,0.01,1,s3-s4,0.0096355934,0.000000001,1,1
100,0.3929238319,0.005,0.01,0,s4-s5,0.835179877,4.90462318983E-06,0,0
100,0.3929238319,0.005,0.01,0,s3-s6,0.013363461,1.53016975714E-06,0,0
100,0.3929238319,0.005,0.01,0,s5-s6,0.085628323,3.23749510266E-06,0,0
100,0.3929238319,0.005,0.01,0,s3-s4,0.1952224959,0.0006076401,0,0
100,0.4349024296,0.005,0.01,-1,s4-s5,0.3686049009,0.1119511616,-1,-1
100,0.4349024296,0.005,0.01,-1,s3-s6,0.0542134188,0.0542134188,-1,-1
100,0.4349024296,0.005,0.01,-1,s5-s6,0.0428137743,0.0428137743,-1,-1
100,0.4349024296,0.005,0.01,-1,s3-s4,0.4621733895,0.4621733895,-1,-1
150,0.7718601227,0.005,0.01,1,s4-s5,0.0007542539,5.58685452227E-17,1,1
150,0.7718601227,0.005,0.01,1,s3-s6,0.000278577,4.06969638774E-13,1,1
150,0.7718601227,0.005,0.01,1,s5-s6,0.0017364364,7.62182100242E-13,1,1
150,0.7718601227,0.005,0.01,1,s3-s4,7.16296688583E-05,7.16296688583E-05,1,1
150,0.8088083267,0.005,0.01,0,s4-s5,0.2291514514,3.99975067949E-13,0,0
150,0.8088083267,0.005,0.01,0,s3-s6,0.2282612224,6.04204043826E-08,0,0
150,0.8088083267,0.005,0.01,0,s5-s6,0.05602547,1.29805915144E-07,0,0
150,0.8088083267,0.005,0.01,0,s3-s4,0.0486048232,3.15415427206E-10,0,0
150,0.9383275509,0.005,0.01,-1,s4-s5,0.0529128596,0.0529128596,-1,-1
150,0.9383275509,0.005,0.01,-1,s3-s6,0.2179040751,0.2798126466,-1,-1
150,0.9383275509,0.005,0.01,-1,s5-s6,0.1453984964,0.0008113791,0,-1
150,0.9383275509,0.005,0.01,-1,s3-s4,0.0365668281,0.0029633705,0,-1
200,1.223282814,0.005,0.01,1,s4-s5,5.25290538836E-05,4.34416128494E-22,1,1
200,1.223282814,0.005,0.01,1,s3-s6,3.6929057658E-08,1.10293364996E-17,1,1
200,1.223282814,0.005,0.01,1,s5-s6,2.57928949586E-08,4.38773708875E-18,1,1
200,1.223282814,0.005,0.01,1,s3-s4,2.28263080763E-06,2.28263080763E-06,1,1
50,0.3383045197,0.005,0.01,1,s4-s5,0.2335982079,2.38839490844E-05,0,1
50,0.3383045197,0.005,0.01,1,s3-s6,0.0782000062,5.44345849733E-05,0,1
50,0.3383045197,0.005,0.01,1,s5-s6,0.1358501158,0.0001887014,0,1
50,0.3383045197,0.005,0.01,1,s3-s4,0.0118089684,0.0118089684,-1,1
200,1.3334753513,0.005,0.01,0,s4-s5,0.1569920538,1.88393953409E-14,0,0
200,1.3334753513,0.005,0.01,0,s3-s6,0.0079103803,2.05130007948E-08,1,0
200,1.3334753513,0.005,0.01,0,s5-s6,0.1013430267,1.07646459713E-08,0,0
200,1.3334753513,0.005,0.01,0,s3-s4,0.1836373041,6.03738424366E-13,0,0
50,0.3462576866,0.005,0.01,0,s4-s5,0.697070298,0.0002328524,0,0
50,0.3462576866,0.005,0.01,0,s3-s6,0.0782000062,0.0014254936,0,0
50,0.3462576866,0.005,0.01,0,s5-s6,0.8335434474,0.0028350461,0,0
50,0.3462576866,0.005,0.01,0,s3-s4,0.5258396196,0.000227518,0,0
50,0.3073513508,0.005,0.01,-1,s4-s5,0.0115801399,0.0115801399,-1,-1
50,0.3073513508,0.005,0.01,-1,s3-s6,0.697070298,0.5361629453,-1,-1
50,0.3073513508,0.005,0.01,-1,s5-s6,0.1906572638,0.0398293815,-1,-1
50,0.3073513508,0.005,0.01,-1,s3-s4,0.5788790729,0.5788790729,-1,-1
200,1.7676920891,0.005,0.01,-1,s4-s5,0.1190106873,0.0330025199,-1,-1
200,1.7676920891,0.005,0.01,-1,s3-s6,0.236105613,0.0078152548,-1,-1
200,1.7676920891,0.005,0.01,-1,s5-s6,0.0384757631,0.0011865919,0,-1
200,1.7676920891,0.005,0.01,-1,s3-s4,0.031676352,0.031676352,-1,-1
100,1.1853070259,0.005,0.01,1,s4-s5,0.0081308257,8.58300746873E-13,1,1
100,1.1853070259,0.005,0.01,1,s3-s6,0.00010029,1.90898897983E-10,1,1
100,1.1853070259,0.005,0.01,1,s5-s6,5.45534404888E-06,8.81632129385E-12,1,1
100,1.1853070259,0.005,0.01,1,s3-s4,0.0008397915,0.0008397915,1,1
100,0.9617915154,0.005,0.01,0,s4-s5,0.0871687511,1.50632742153E-05,0,0
100,0.9617915154,0.005,0.01,0,s3-s6,0.2663624201,5.58932722296E-08,0,0
100,0.9617915154,0.005,0.01,0,s5-s6,0.2649612041,4.73361115369E-06,0,0
100,0.9617915154,0.005,0.01,0,s3-s4,0.2765073056,4.42860627729E-06,0,0
250,2.7642183304,0.005,0.01,1,s4-s5,4.32247318821E-06,3.57701725693E-16,1,1
250,2.7642183304,0.005,0.01,1,s3-s6,0.000000002,2.34264060549E-14,1,1
250,2.7642183304,0.005,0.01,1,s5-s6,3.83089959418E-07,2.17595336761E-23,1,1
250,2.7642183304,0.005,0.01,1,s3-s4,8.5079914808E-08,7.81823562783E-12,1,1
100,1.0358424187,0.005,0.01,-1,s4-s5,0.2765073056,0.2166693971,-1,-1
100,1.0358424187,0.005,0.01,-1,s3-s6,0.280804018,0.0711704795,-1,-1
100,1.0358424187,0.005,0.01,-1,s5-s6,0.031676352,0.0222335163,-1,-1
100,1.0358424187,0.005,0.01,-1,s3-s4,0.1123652866,0.1006538716,-1,-1
150,1.7625246048,0.005,0.01,1,s4-s5,0.000671727,5.48378857509E-11,1,1
150,1.7625246048,0.005,0.01,1,s3-s6,1.66739693442E-08,8.11063763247E-16,1,1
150,1.7625246048,0.005,0.01,1,s5-s6,2.26177806711E-05,2.44857467396E-17,1,1
150,1.7625246048,0.005,0.01,1,s3-s4,0.0010593764,0.000000055,1,1
250,2.4396972656,0.005,0.01,0,s4-s5,0.0946148419,2.9832565298E-15,0,0
250,2.4396972656,0.005,0.01,0,s3-s6,0.2077759953,1.75614714204E-13,0,0
250,2.4396972656,0.005,0.01,0,s5-s6,0.0648061972,1.13106218117E-13,0,0
250,2.4396972656,0.005,0.01,0,s3-s4,0.2608715422,4.97002395684E-15,0,0
150,1.5611793995,0.005,0.01,0,s4-s5,0.1407374884,7.33447147999E-13,0,0
150,1.5611793995,0.005,0.01,0,s3-s6,0.3469726639,8.81151898225E-09,0,0
150,1.5611793995,0.005,0.01,0,s5-s6,0.1561971694,8.93661335517E-09,0,0
150,1.5611793995,0.005,0.01,0,s3-s4,0.3296726427,1.6572958207E-11,0,0
150,1.3546152115,0.005,0.01,-1,s4-s5,0.042235136,0.0244492797,-1,-1
150,1.3546152115,0.005,0.01,-1,s3-s6,0.2455319459,0.2455319459,-1,-1
150,1.3546152115,0.005,0.01,-1,s5-s6,0.2663624201,0.1912531966,-1,-1
150,1.3546152115,0.005,0.01,-1,s3-s4,0.1601612159,0.1601612159,-1,-1
250,2.5733439922,0.005,0.01,-1,s4-s5,0.023993072,0.0010162869,0,-1
250,2.5733439922,0.005,0.01,-1,s3-s6,0.3793662235,0.1100851348,-1,-1
250,2.5733439922,0.005,0.01,-1,s5-s6,0.0983541653,1.46277239727E-05,0,-1
250,2.5733439922,0.005,0.01,-1,s3-s4,0.167518742,0.0662012236,-1,-1
200,1.9180157185,0.005,0.01,1,s4-s5,5.83866593995E-06,4.77913473223E-17,1,1
200,1.9180157185,0.005,0.01,1,s3-s6,0.0001228904,5.79814600705E-06,1,1
200,1.9180157185,0.005,0.01,1,s5-s6,7.97557139576E-06,4.65907367605E-18,1,1
200,1.9180157185,0.005,0.01,1,s3-s4,2.58516024887E-07,9.22631610524E-09,1,1
300,3.3004508019,0.005,0.01,1,s4-s5,5.34775861871E-07,4.003201404E-30,1,1
300,3.3004508019,0.005,0.01,1,s3-s6,2.29349388803E-05,4.98840927497E-13,1,1
300,3.3004508019,0.005,0.01,1,s5-s6,8.44286412703E-09,1.25506634549E-26,1,1
300,3.3004508019,0.005,0.01,1,s3-s4,5.96460976636E-08,2.65575022651E-17,1,1
200,2.0970232487,0.005,0.01,0,s4-s5,0.2988352565,1.245877361E-10,0,0
200,2.0970232487,0.005,0.01,0,s3-s6,0.3672643578,0.00000001,0,0
200,2.0970232487,0.005,0.01,0,s5-s6,0.0874224964,7.61694333396E-12,0,0
200,2.0970232487,0.005,0.01,0,s3-s4,0.3672643578,2.8518878569E-15,0,0
300,2.8300898075,0.005,0.01,0,s4-s5,0.0222273077,3.42973055433E-21,0,0
300,2.8300898075,0.005,0.01,0,s3-s6,0.1801571233,6.21437374193E-16,0,0
300,2.8300898075,0.005,0.01,0,s5-s6,0.0315161572,7.43144154348E-15,0,0
300,2.8300898075,0.005,0.01,0,s3-s4,0.0523564523,8.99457653581E-18,0,0
200,1.8897547722,0.005,0.01,-1,s4-s5,0.0587047207,0.0022441885,0,-1
200,1.8897547722,0.005,0.01,-1,s3-s6,0.0382996182,0.0022807698,0,-1
200,1.8897547722,0.005,0.01,-1,s5-s6,0.0287223086,0.0243896405,-1,-1
200,1.8897547722,0.005,0.01,-1,s3-s4,0.1559756861,0.0682281094,-1,-1
250,2.7126383781,0.005,0.01,1,s4-s5,2.6844260072E-08,1.6919801441E-21,1,1
250,2.7126383781,0.005,0.01,1,s3-s6,1.57724254549E-05,2.5923901682E-11,1,1
250,2.7126383781,0.005,0.01,1,s5-s6,8.51135940899E-08,2.71333274054E-22,1,1
250,2.7126383781,0.005,0.01,1,s3-s4,7.28272619528E-07,4.18673182172E-08,1,1
300,2.892812252,0.005,0.01,-1,s4-s5,0.3869638038,0.1053244704,-1,-1
300,2.892812252,0.005,0.01,-1,s3-s6,0.2746652633,0.021835893,-1,-1
300,2.892812252,0.005,0.01,-1,s5-s6,0.0689326989,0.0415627474,-1,-1
300,2.892812252,0.005,0.01,-1,s3-s4,0.0320530904,0.0320530904,-1,-1
250,2.687800169,0.005,0.01,0,s4-s5,0.4104647017,1.28270885162E-12,0,0
250,2.687800169,0.005,0.01,0,s3-s6,0.1362335275,9.27168810746E-10,0,0
250,2.687800169,0.005,0.01,0,s5-s6,0.1282685225,1.52447244066E-15,0,0
250,2.687800169,0.005,0.01,0,s3-s4,0.1115761108,1.54301117788E-14,0,0
