#flows,epsilon,r_threshold,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
50,0.005,0.01,1,3,1,4
50,0.005,0.01,0,0,3,4
50,0.005,0.01,-1,0,0,4
100,0.005,0.01,1,4,0,4
100,0.005,0.01,0,0,4,4
100,0.005,0.01,-1,0,0,4
150,0.005,0.01,1,4,0,4
150,0.005,0.01,0,0,4,4
150,0.005,0.01,-1,0,2,4
200,0.005,0.01,1,4,0,4
50,0.005,0.01,1,0,3,4
200,0.005,0.01,0,1,3,4
50,0.005,0.01,0,0,4,4
50,0.005,0.01,-1,0,0,4
200,0.005,0.01,-1,0,1,4
100,0.005,0.01,1,4,0,4
100,0.005,0.01,0,0,4,4
250,0.005,0.01,1,4,0,4
100,0.005,0.01,-1,0,0,4
150,0.005,0.01,1,4,0,4
250,0.005,0.01,0,0,4,4
150,0.005,0.01,0,0,4,4
150,0.005,0.01,-1,0,0,4
250,0.005,0.01,-1,0,2,4
200,0.005,0.01,1,4,0,4
300,0.005,0.01,1,4,0,4
200,0.005,0.01,0,0,4,4
300,0.005,0.01,0,0,4,4
200,0.005,0.01,-1,0,2,4
250,0.005,0.01,1,4,0,4
300,0.005,0.01,-1,0,0,4
250,0.005,0.01,0,0,4,4
350,0.005,0.01,1,4,0,4
250,0.005,0.01,-1,0,1,4
350,0.005,0.01,0,0,4,4
300,0.005,0.01,1,4,0,4
350,0.005,0.01,-1,0,3,4
300,0.005,0.01,0,0,4,4
300,0.005,0.01,-1,0,1,4
400,0.005,0.01,1,4,0,4
350,0.005,0.01,1,4,0,4
400,0.005,0.01,0,0,4,4
350,0.005,0.01,0,0,4,4
400,0.005,0.01,-1,0,1,4
50,0.005,0.01,1,1,2,4
50,0.005,0.01,0,0,3,4
350,0.005,0.01,-1,0,0,4
50,0.005,0.01,-1,0,0,4
100,0.005,0.01,1,4,0,4
100,0.005,0.01,0,0,4,4
100,0.005,0.01,-1,1,0,4
400,0.005,0.01,1,4,0,4
150,0.005,0.01,1,4,0,4
150,0.005,0.01,0,0,4,4
400,0.005,0.01,0,0,4,4
150,0.005,0.01,-1,0,0,4
200,0.005,0.01,1,4,0,4
400,0.005,0.01,-1,0,1,4
200,0.005,0.01,0,0,4,4
50,0.005,0.01,1,0,3,4
50,0.005,0.01,0,0,4,4
50,0.005,0.01,-1,0,0,4
200,0.005,0.01,-1,0,1,4
100,0.005,0.01,1,3,1,4
100,0.005,0.01,0,0,4,4
250,0.005,0.01,1,4,0,4
100,0.005,0.01,-1,0,0,4
150,0.005,0.01,1,4,0,4
250,0.005,0.01,0,1,3,4
150,0.005,0.01,0,0,4,4
250,0.005,0.01,-1,0,1,4
150,0.005,0.01,-1,0,0,4
300,0.005,0.01,1,4,0,4
200,0.005,0.01,1,4,0,4
200,0.005,0.01,0,1,3,4
300,0.005,0.01,0,0,4,4
200,0.005,0.01,-1,0,0,4
300,0.005,0.01,-1,0,0,4
250,0.005,0.01,1,4,0,4
250,0.005,0.01,0,0,4,4
350,0.005,0.01,1,4,0,4
250,0.005,0.01,-1,0,0,4
350,0.005,0.01,0,0,4,4
300,0.005,0.01,1,4,0,4
350,0.005,0.01,-1,0,2,4
300,0.005,0.01,0,0,4,4
400,0.005,0.01,1,4,0,4
300,0.005,0.01,-1,0,0,4
400,0.005,0.01,0,0,4,4
350,0.005,0.01,1,4,0,4
400,0.005,0.01,-1,0,1,4
350,0.005,0.01,0,0,4,4
50,0.005,0.01,1,1,2,4
50,0.005,0.01,0,0,4,4
50,0.005,0.01,-1,0,0,4
100,0.005,0.01,1,4,0,4
350,0.005,0.01,-1,0,0,4
100,0.005,0.01,0,0,4,4
100,0.005,0.01,-1,0,0,4
150,0.005,0.01,1,4,0,4
400,0.005,0.01,1,4,0,4
150,0.005,0.01,0,0,4,4
150,0.005,0.01,-1,0,1,4
400,0.005,0.01,0,0,4,4
200,0.005,0.01,1,3,1,4
200,0.005,0.01,0,0,4,4
400,0.005,0.01,-1,0,1,4
50,0.005,0.01,1,1,3,4
200,0.005,0.01,-1,0,0,4
50,0.005,0.01,0,0,4,4
50,0.005,0.01,-1,0,0,4
100,0.005,0.01,1,3,1,4
250,0.005,0.01,1,4,0,4
100,0.005,0.01,0,0,4,4
100,0.005,0.01,-1,0,0,4
250,0.005,0.01,0,0,4,4
150,0.005,0.01,1,4,0,4
250,0.005,0.01,-1,0,2,4
150,0.005,0.01,0,0,4,4
150,0.005,0.01,-1,0,2,4
300,0.005,0.01,1,4,0,4
200,0.005,0.01,1,4,0,4
300,0.005,0.01,0,0,4,4
200,0.005,0.01,0,1,3,4
200,0.005,0.01,-1,0,1,4
300,0.005,0.01,-1,1,1,4
250,0.005,0.01,1,4,0,4
350,0.005,0.01,1,4,0,4
250,0.005,0.01,0,0,4,4
350,0.005,0.01,0,0,4,4
250,0.005,0.01,-1,0,1,4
350,0.005,0.01,-1,0,3,4
300,0.005,0.01,1,4,0,4
300,0.005,0.01,0,0,4,4
400,0.005,0.01,1,4,0,4
300,0.005,0.01,-1,0,2,4
400,0.005,0.01,0,0,4,4
350,0.005,0.01,1,4,0,4
400,0.005,0.01,-1,0,1,4
50,0.005,0.01,1,2,1,4
350,0.005,0.01,0,0,4,4
50,0.005,0.01,0,0,3,4
50,0.005,0.01,-1,0,0,4
100,0.005,0.01,1,2,2,4
100,0.005,0.01,0,1,3,4
350,0.005,0.01,-1,0,1,4
100,0.005,0.01,-1,0,0,4
150,0.005,0.01,1,4,0,4
400,0.005,0.01,1,4,0,4
150,0.005,0.01,0,1,3,4
150,0.005,0.01,-1,0,2,4
400,0.005,0.01,0,0,4,4
200,0.005,0.01,1,4,0,4
200,0.005,0.01,0,0,4,4
400,0.005,0.01,-1,0,1,4
200,0.005,0.01,-1,0,1,4
50,0.005,0.01,1,2,2,4
50,0.005,0.01,0,1,2,4
50,0.005,0.01,-1,0,1,4
250,0.005,0.01,1,4,0,4
100,0.005,0.01,1,3,1,4
100,0.005,0.01,0,0,4,4
250,0.005,0.01,0,0,4,4
100,0.005,0.01,-1,1,0,4
250,0.005,0.01,-1,0,2,4
150,0.005,0.01,1,4,0,4
150,0.005,0.01,0,1,3,4
300,0.005,0.01,1,4,0,4
150,0.005,0.01,-1,1,1,4
200,0.005,0.01,1,4,0,4
300,0.005,0.01,0,0,4,4
200,0.005,0.01,0,0,4,4
300,0.005,0.01,-1,0,0,4
200,0.005,0.01,-1,0,1,4
250,0.005,0.01,1,4,0,4
350,0.005,0.01,1,4,0,4
250,0.005,0.01,0,0,4,4
350,0.005,0.01,0,0,4,4
250,0.005,0.01,-1,0,0,4
350,0.005,0.01,-1,0,2,4
300,0.005,0.01,1,4,0,4
300,0.005,0.01,0,0,4,4
400,0.005,0.01,1,4,0,4
300,0.005,0.01,-1,0,2,4
400,0.005,0.01,0,1,3,4
350,0.005,0.01,1,4,0,4
400,0.005,0.01,-1,0,1,4
350,0.005,0.01,0,0,4,4
50,0.005,0.01,1,3,1,4
50,0.005,0.01,0,0,4,4
50,0.005,0.01,-1,0,0,4
100,0.005,0.01,1,4,0,4
350,0.005,0.01,-1,0,2,4
100,0.005,0.01,0,0,4,4
100,0.005,0.01,-1,0,0,4
150,0.005,0.01,1,4,0,4
400,0.005,0.01,1,4,0,4
150,0.005,0.01,0,1,3,4
150,0.005,0.01,-1,0,1,4
400,0.005,0.01,0,0,4,4
200,0.005,0.01,1,4,0,4
200,0.005,0.01,0,0,4,4
400,0.005,0.01,-1,0,1,4
50,0.005,0.01,1,1,2,4
50,0.005,0.01,0,0,2,4
200,0.005,0.01,-1,0,0,4
50,0.005,0.01,-1,0,0,4
100,0.005,0.01,1,1,3,4
250,0.005,0.01,1,4,0,4
100,0.005,0.01,0,0,4,4
100,0.005,0.01,-1,0,0,4
250,0.005,0.01,0,1,3,4
150,0.005,0.01,1,4,0,4
150,0.005,0.01,0,0,4,4
250,0.005,0.01,-1,0,2,4
150,0.005,0.01,-1,0,1,4
300,0.005,0.01,1,4,0,4
200,0.005,0.01,1,3,1,4
200,0.005,0.01,0,0,4,4
300,0.005,0.01,0,0,4,4
200,0.005,0.01,-1,0,1,4
300,0.005,0.01,-1,1,0,4
250,0.005,0.01,1,4,0,4
250,0.005,0.01,0,0,4,4
350,0.005,0.01,1,4,0,4
250,0.005,0.01,-1,1,2,4
350,0.005,0.01,0,0,4,4
300,0.005,0.01,1,4,0,4
350,0.005,0.01,-1,0,0,4
300,0.005,0.01,0,0,4,4
400,0.005,0.01,1,4,0,4
300,0.005,0.01,-1,1,1,4
400,0.005,0.01,0,0,4,4
350,0.005,0.01,1,4,0,4
350,0.005,0.01,0,0,4,4
400,0.005,0.01,-1,0,2,4
50,0.005,0.01,1,1,2,4
50,0.005,0.01,0,0,3,4
50,0.005,0.01,-1,0,0,4
100,0.005,0.01,1,4,0,4
350,0.005,0.01,-1,0,0,4
100,0.005,0.01,0,0,4,4
100,0.005,0.01,-1,0,3,4
150,0.005,0.01,1,4,0,4
400,0.005,0.01,1,4,0,4
150,0.005,0.01,0,2,2,4
150,0.005,0.01,-1,0,1,4
400,0.005,0.01,0,0,4,4
200,0.005,0.01,1,4,0,4
200,0.005,0.01,0,0,4,4
400,0.005,0.01,-1,0,2,4
50,0.005,0.01,1,0,2,4
200,0.005,0.01,-1,0,0,4
50,0.005,0.01,0,0,4,4
50,0.005,0.01,-1,1,0,4
100,0.005,0.01,1,3,1,4
250,0.005,0.01,1,4,0,4
100,0.005,0.01,0,0,4,4
100,0.005,0.01,-1,0,2,4
250,0.005,0.01,0,1,3,4
150,0.005,0.01,1,4,0,4
150,0.005,0.01,0,0,4,4
250,0.005,0.01,-1,0,1,4
150,0.005,0.01,-1,0,0,4
300,0.005,0.01,1,4,0,4
200,0.005,0.01,1,4,0,4
200,0.005,0.01,0,0,4,4
300,0.005,0.01,0,0,4,4
200,0.005,0.01,-1,0,1,4
300,0.005,0.01,-1,0,0,4
250,0.005,0.01,1,4,0,4
350,0.005,0.01,1,4,0,4
250,0.005,0.01,0,0,4,4
250,0.005,0.01,-1,0,1,4
350,0.005,0.01,0,0,4,4
300,0.005,0.01,1,4,0,4
350,0.005,0.01,-1,0,1,4
300,0.005,0.01,0,0,4,4
400,0.005,0.01,1,4,0,4
300,0.005,0.01,-1,0,0,4
350,0.005,0.01,1,4,0,4
400,0.005,0.01,0,1,3,4
350,0.005,0.01,0,0,4,4
400,0.005,0.01,-1,0,2,4
50,0.005,0.01,1,2,2,4
50,0.005,0.01,0,0,3,4
50,0.005,0.01,-1,0,0,4
350,0.005,0.01,-1,0,2,4
100,0.005,0.01,1,3,1,4
100,0.005,0.01,0,0,4,4
100,0.005,0.01,-1,0,1,4
150,0.005,0.01,1,4,0,4
400,0.005,0.01,1,4,0,4
150,0.005,0.01,0,0,4,4
150,0.005,0.01,-1,0,0,4
400,0.005,0.01,0,0,4,4
200,0.005,0.01,1,4,0,4
200,0.005,0.01,0,0,4,4
400,0.005,0.01,-1,0,2,4
50,0.005,0.01,1,0,3,4
200,0.005,0.01,-1,0,0,4
50,0.005,0.01,0,0,4,4
50,0.005,0.01,-1,0,0,4
100,0.005,0.01,1,4,0,4
250,0.005,0.01,1,4,0,4
100,0.005,0.01,0,0,4,4
100,0.005,0.01,-1,0,0,4
250,0.005,0.01,0,1,3,4
150,0.005,0.01,1,4,0,4
250,0.005,0.01,-1,0,1,4
150,0.005,0.01,0,0,4,4
150,0.005,0.01,-1,0,0,4
300,0.005,0.01,1,4,0,4
200,0.005,0.01,1,4,0,4
300,0.005,0.01,0,0,4,4
200,0.005,0.01,0,0,4,4
200,0.005,0.01,-1,0,1,4
300,0.005,0.01,-1,1,1,4
250,0.005,0.01,1,4,0,4
350,0.005,0.01,1,4,0,4
250,0.005,0.01,0,0,4,4
350,0.005,0.01,0,0,4,4
250,0.005,0.01,-1,0,1,4
300,0.005,0.01,1,4,0,4
350,0.005,0.01,-1,0,2,4
300,0.005,0.01,0,0,4,4
400,0.005,0.01,1,4,0,4
300,0.005,0.01,-1,1,1,4
400,0.005,0.01,0,0,4,4
350,0.005,0.01,1,4,0,4
400,0.005,0.01,-1,0,1,4
50,0.005,0.01,1,3,1,4
50,0.005,0.01,0,0,3,4
350,0.005,0.01,0,0,4,4
50,0.005,0.01,-1,0,0,4
100,0.005,0.01,1,3,1,4
100,0.005,0.01,0,0,4,4
350,0.005,0.01,-1,0,2,4
100,0.005,0.01,-1,0,0,4
150,0.005,0.01,1,4,0,4
400,0.005,0.01,1,4,0,4
150,0.005,0.01,0,0,4,4
150,0.005,0.01,-1,0,2,4
200,0.005,0.01,1,4,0,4
400,0.005,0.01,0,0,4,4
200,0.005,0.01,0,0,4,4
400,0.005,0.01,-1,0,0,4
200,0.005,0.01,-1,0,2,4
50,0.005,0.01,1,0,4,4
50,0.005,0.01,0,0,4,4
50,0.005,0.01,-1,0,0,4
250,0.005,0.01,1,4,0,4
100,0.005,0.01,1,4,0,4
100,0.005,0.01,0,1,3,4
250,0.005,0.01,0,0,4,4
100,0.005,0.01,-1,0,1,4
150,0.005,0.01,1,4,0,4
