#flows,time,epsilon,r_threshold,is_correlated,key,count_chern,byte_chern,pred,true
50,0.231899023056,0.001,0.01,1,s4-s5,0.00534025733209,1.51367317702e-06,0,1
50,0.231899023056,0.001,0.01,1,s3-s6,0.0264357363348,0.00126832265766,-1,1
50,0.231899023056,0.001,0.01,1,s5-s6,0.00316459693753,0.0004756784636,0,1
50,0.231899023056,0.001,0.01,1,s3-s4,0.00894589295901,0.00894589295901,-1,1
50,0.235862970352,0.001,0.01,0,s4-s5,0.0123456790125,0.000363301043168,0,0
50,0.235862970352,0.001,0.01,0,s3-s6,0.56421998845,0.00210762167693,-1,0
50,0.235862970352,0.001,0.01,0,s5-s6,0.56421998845,0.000396772674542,0,0
50,0.235862970352,0.001,0.01,0,s3-s4,0.54853815163,0.000117335660483,0,0
50,0.222173452377,0.001,0.01,-1,s4-s5,0.446899946829,0.115867076357,-1,-1
50,0.222173452377,0.001,0.01,-1,s3-s6,0.81845679115,0.194970112149,-1,-1
50,0.222173452377,0.001,0.01,-1,s5-s6,0.697070297976,0.679554697919,-1,-1
50,0.222173452377,0.001,0.01,-1,s3-s4,0.0818680816972,0.0394250716465,-1,-1
100,0.51974773407,0.001,0.01,1,s4-s5,0.0047757180139,7.9203229061e-13,0,1
100,0.51974773407,0.001,0.01,1,s3-s6,0.000508444711731,2.39041660318e-09,1,1
100,0.51974773407,0.001,0.01,1,s5-s6,0.000714724010637,0.000239478498446,1,1
100,0.51974773407,0.001,0.01,1,s3-s4,0.00265349459008,0.00191748798859,-1,1
50,0.263115406036,0.001,0.01,1,s4-s5,0.050952771888,2.6957943314e-06,0,1
50,0.263115406036,0.001,0.01,1,s3-s6,0.00233566779506,6.64313219553e-05,0,1
50,0.263115406036,0.001,0.01,1,s5-s6,0.0268465603746,4.61445315894e-06,0,1
50,0.263115406036,0.001,0.01,1,s3-s4,0.0225487186273,0.00125883056948,-1,1
50,0.2379758358,0.001,0.01,1,s4-s5,0.103678124239,6.003757666e-05,0,1
