#flows,iteration,time,epsilon,r_threshold,is_correlated,key,count_chern,byte_chern,pred,true
400,0,0.901907205582,0.001,0.002,1,s4-s5,2.17385413551e-09,4.04354680798e-18,1,1
400,0,0.901907205582,0.001,0.002,1,s3-s6,2.61440795634e-06,1.153061208e-13,1,1
400,0,0.901907205582,0.001,0.002,1,s5-s6,1.94263083722e-12,1.94263083722e-12,1,1
400,0,0.901907205582,0.001,0.002,1,s3-s4,1.87802304256e-11,1.87802304256e-11,1,1
400,0,0.829447746277,0.001,0.002,0,s4-s5,0.364678682186,1.09192266602e-05,0,0
400,0,0.829447746277,0.001,0.002,0,s3-s6,0.675336650797,0.00331701945017,-1,0
400,0,0.829447746277,0.001,0.002,0,s5-s6,0.263233930652,0.000387061748355,-1,0
400,0,0.829447746277,0.001,0.002,0,s3-s4,0.593583949932,0.00238721162354,-1,0
400,0,0.864299297333,0.001,0.002,-1,s4-s5,0.301427779267,0.0597348465858,-1,-1
400,0,0.864299297333,0.001,0.002,-1,s3-s6,0.656963775113,0.0311783217869,-1,-1
400,0,0.864299297333,0.001,0.002,-1,s5-s6,0.2707843971,0.2707843971,-1,-1
400,0,0.864299297333,0.001,0.002,-1,s3-s4,0.756197550827,0.218089192553,-1,-1
400,5,0.891541242599,0.001,0.002,1,s4-s5,0.000269853872829,1.46699974928e-08,1,1
400,5,0.891541242599,0.001,0.002,1,s3-s6,2.27377889128e-07,1.46411135918e-10,1,1
400,5,0.891541242599,0.001,0.002,1,s5-s6,2.38755519161e-08,2.38755519161e-08,1,1
400,5,0.891541242599,0.001,0.002,1,s3-s4,8.37257997153e-12,8.37257997153e-12,1,1
400,0,0.916623830795,0.001,0.004,1,s4-s5,0.00122499038477,2.60745397185e-11,0,1
400,0,0.916623830795,0.001,0.004,1,s3-s6,5.81584415997e-06,3.94262727821e-25,1,1
400,0,0.916623830795,0.001,0.004,1,s5-s6,8.90543588622e-11,8.90543588622e-11,1,1
400,0,0.916623830795,0.001,0.004,1,s3-s4,2.73959102779e-08,2.73959102779e-08,1,1
400,5,0.982991456985,0.001,0.002,0,s4-s5,0.0957446051163,0.0375580561634,-1,0
400,5,0.982991456985,0.001,0.002,0,s3-s6,0.048351872529,0.0166507768329,-1,0
400,5,0.982991456985,0.001,0.002,0,s5-s6,0.315731310599,3.07223677851e-05,0,0
400,5,0.982991456985,0.001,0.002,0,s3-s4,0.0882256233429,0.00236721902826,-1,0
400,0,0.939788579941,0.001,0.004,0,s4-s5,0.324309469032,1.43649941771e-05,0,0
400,0,0.939788579941,0.001,0.004,0,s3-s6,0.0724126799686,5.22171143135e-05,0,0
400,0,0.939788579941,0.001,0.004,0,s5-s6,0.324309469032,3.98575997924e-08,0,0
400,0,0.939788579941,0.001,0.004,0,s3-s4,0.0721125063775,0.00918388548404,-1,0
400,5,0.850903272629,0.001,0.002,-1,s4-s5,0.277656972067,0.0015946928818,-1,-1
400,5,0.850903272629,0.001,0.002,-1,s3-s6,0.415958582899,0.0361793557592,-1,-1
400,5,0.850903272629,0.001,0.002,-1,s5-s6,0.395088027569,0.122100928969,-1,-1
400,5,0.850903272629,0.001,0.002,-1,s3-s4,0.711487989047,0.514511312966,-1,-1
400,0,0.931917190552,0.001,0.004,-1,s4-s5,0.429301405982,0.127147345717,-1,-1
400,0,0.931917190552,0.001,0.004,-1,s3-s6,0.0954266482536,0.00201396631973,-1,-1
400,0,0.931917190552,0.001,0.004,-1,s5-s6,0.539195068071,0.329583695433,-1,-1
400,0,0.931917190552,0.001,0.004,-1,s3-s4,0.428371842733,0.107603543299,-1,-1
400,5,0.989272117615,0.001,0.004,1,s4-s5,3.05497704416e-10,6.50712947021e-20,1,1
400,5,0.989272117615,0.001,0.004,1,s3-s6,3.29529244004e-07,1.57302283164e-23,1,1
400,5,0.989272117615,0.001,0.004,1,s5-s6,2.43668385499e-11,2.43668385499e-11,1,1
400,5,0.989272117615,0.001,0.004,1,s3-s4,6.87025677306e-09,6.87025677306e-09,1,1
400,0,0.946402072906,0.001,0.006,1,s4-s5,6.52107992863e-11,1.14515648444e-32,1,1
400,0,0.946402072906,0.001,0.006,1,s3-s6,3.29529244004e-07,3.999887919e-25,1,1
400,0,0.946402072906,0.001,0.006,1,s5-s6,3.39998710697e-15,3.39998710697e-15,1,1
400,0,0.946402072906,0.001,0.006,1,s3-s4,4.99464741648e-10,8.2286657345e-12,1,1
400,5,0.950030326843,0.001,0.004,0,s4-s5,0.25362643905,3.21790668069e-07,0,0
400,5,0.950030326843,0.001,0.004,0,s3-s6,0.0184630713121,1.47685437975e-06,0,0
400,5,0.950030326843,0.001,0.004,0,s5-s6,0.329657346386,3.67286111886e-08,0,0
400,5,0.950030326843,0.001,0.004,0,s3-s4,0.621401524278,1.14738146076e-07,0,0
400,0,1.02803373337,0.001,0.006,0,s4-s5,0.4814395247,6.43814845289e-11,0,0
400,0,1.02803373337,0.001,0.006,0,s3-s6,0.556883753595,3.6653171643e-07,0,0
400,0,1.02803373337,0.001,0.006,0,s5-s6,0.269828029539,7.62926033421e-06,0,0
400,0,1.02803373337,0.001,0.006,0,s3-s4,0.832360787081,6.72800287278e-08,0,0
400,5,1.04543590546,0.001,0.004,-1,s4-s5,0.0985376337295,0.0105061965474,-1,-1
400,5,1.04543590546,0.001,0.004,-1,s3-s6,0.486541721146,0.0251827671553,-1,-1
400,5,1.04543590546,0.001,0.004,-1,s5-s6,0.215382047806,0.685765548583,-1,-1
400,5,1.04543590546,0.001,0.004,-1,s3-s4,0.606404185817,0.048373572885,-1,-1
400,0,0.961163043976,0.001,0.006,-1,s4-s5,0.726087035312,0.000319625218041,-1,-1
400,0,0.961163043976,0.001,0.006,-1,s3-s6,0.0908734188586,0.000450998996241,-1,-1
400,0,0.961163043976,0.001,0.006,-1,s5-s6,0.0184605408651,0.000482368339113,-1,-1
400,0,0.961163043976,0.001,0.006,-1,s3-s4,0.411094908541,0.459437980891,-1,-1
400,5,1.06986165047,0.001,0.006,1,s4-s5,2.35774174733e-07,2.2634846951e-21,1,1
400,5,1.06986165047,0.001,0.006,1,s3-s6,2.90479945039e-09,7.2533929713e-27,1,1
400,5,1.06986165047,0.001,0.006,1,s5-s6,4.52139559159e-06,4.52139559159e-06,1,1
400,5,1.06986165047,0.001,0.006,1,s3-s4,1.18053735794e-10,1.18053735794e-10,1,1
400,0,1.31665158272,0.001,0.008,1,s4-s5,2.79611247279e-05,5.92911942209e-24,1,1
400,0,1.31665158272,0.001,0.008,1,s3-s6,9.03309558095e-10,1.53681599746e-36,1,1
400,0,1.31665158272,0.001,0.008,1,s5-s6,2.53972937811e-11,2.53972937811e-11,1,1
400,0,1.31665158272,0.001,0.008,1,s3-s4,1.48448866121e-08,1.48448866121e-08,1,1
400,5,0.965530872345,0.001,0.006,0,s4-s5,0.14983036941,2.7164193231e-11,0,0
400,5,0.965530872345,0.001,0.006,0,s3-s6,0.549698107441,1.87906753386e-10,0,0
400,5,0.965530872345,0.001,0.006,0,s5-s6,0.0668191177525,4.90460156522e-13,0,0
400,5,0.965530872345,0.001,0.006,0,s3-s4,0.186087346929,1.64623547567e-15,0,0
400,0,1.06266188622,0.001,0.008,0,s4-s5,0.235335042121,4.20629846729e-15,0,0
400,0,1.06266188622,0.001,0.008,0,s3-s6,0.296342141624,4.49136766629e-15,0,0
400,0,1.06266188622,0.001,0.008,0,s5-s6,0.29719264865,2.28959700818e-09,0,0
400,0,1.06266188622,0.001,0.008,0,s3-s4,0.197464962235,7.91878858366e-17,0,0
400,5,0.96066570282,0.001,0.006,-1,s4-s5,0.0884866037553,0.0884866037553,-1,-1
400,5,0.96066570282,0.001,0.006,-1,s3-s6,0.137752258711,0.329692276158,-1,-1
400,5,0.96066570282,0.001,0.006,-1,s5-s6,0.301427779267,0.301427779267,-1,-1
400,5,0.96066570282,0.001,0.006,-1,s3-s4,0.680371799955,0.162792482492,-1,-1
400,0,0.995040416718,0.001,0.008,-1,s4-s5,0.928389134451,0.75863405412,-1,-1
400,0,0.995040416718,0.001,0.008,-1,s3-s6,0.109802754719,3.71527317816e-06,0,-1
400,0,0.995040416718,0.001,0.008,-1,s5-s6,0.486541721146,0.0115323151189,-1,-1
400,0,0.995040416718,0.001,0.008,-1,s3-s4,0.486541721146,0.240788212277,-1,-1
400,5,1.19296097755,0.001,0.008,1,s4-s5,9.12344557332e-07,7.03996543501e-26,1,1
400,5,1.19296097755,0.001,0.008,1,s3-s6,3.49683376123e-07,6.45255659429e-30,1,1
400,5,1.19296097755,0.001,0.008,1,s5-s6,4.56511532979e-10,1.88068274783e-14,1,1
400,5,1.19296097755,0.001,0.008,1,s3-s4,1.15663150386e-09,1.15663150386e-09,1,1
400,0,1.28383493423,0.001,0.01,1,s4-s5,8.67154126188e-11,1.64125222006e-44,1,1
400,0,1.28383493423,0.001,0.01,1,s3-s6,1.0215410591e-08,5.65375778072e-36,1,1
400,0,1.28383493423,0.001,0.01,1,s5-s6,1.07846809838e-06,1.11426012616e-08,1,1
400,0,1.28383493423,0.001,0.01,1,s3-s4,9.8035236627e-08,3.36973953549e-18,1,1
400,5,1.28411412239,0.001,0.008,0,s4-s5,0.726087035312,3.87003441998e-11,0,0
400,5,1.28411412239,0.001,0.008,0,s3-s6,0.434371109946,8.73765170674e-12,0,0
400,5,1.28411412239,0.001,0.008,0,s5-s6,0.408124572581,1.46017870821e-14,0,0
400,5,1.28411412239,0.001,0.008,0,s3-s4,0.32297191943,3.36967269982e-13,0,0
400,0,1.43862771988,0.001,0.01,0,s4-s5,0.0303450392736,5.16930444691e-20,0,0
400,0,1.43862771988,0.001,0.01,0,s3-s6,0.197464962235,6.32144794167e-16,0,0
400,0,1.43862771988,0.001,0.01,0,s5-s6,0.240852892496,1.34032369532e-16,0,0
400,0,1.43862771988,0.001,0.01,0,s3-s4,0.147709781636,5.4785620106e-24,0,0
400,5,1.31216311455,0.001,0.008,-1,s4-s5,0.725705894848,0.134584414304,-1,-1
400,5,1.31216311455,0.001,0.008,-1,s3-s6,0.452334111246,0.452334111246,-1,-1
400,5,1.31216311455,0.001,0.008,-1,s5-s6,0.33553224006,0.559101808874,-1,-1
400,5,1.31216311455,0.001,0.008,-1,s3-s4,0.462233392158,0.362031134743,-1,-1
400,0,1.37997794151,0.001,0.01,-1,s4-s5,0.0246465049466,0.000349637730324,-1,-1
400,0,1.37997794151,0.001,0.01,-1,s3-s6,0.14477412026,0.14477412026,-1,-1
400,0,1.37997794151,0.001,0.01,-1,s5-s6,0.134883108505,0.000892595369408,-1,-1
400,0,1.37997794151,0.001,0.01,-1,s3-s4,0.000217917943504,0.000217917943504,1,-1
400,5,1.92857480049,0.001,0.01,1,s4-s5,0.000533759541268,5.9965536177e-22,1,1
400,5,1.92857480049,0.001,0.01,1,s3-s6,8.64900776611e-10,4.48804512925e-43,1,1
400,5,1.92857480049,0.001,0.01,1,s5-s6,2.69416479933e-14,2.69416479933e-14,1,1
400,5,1.92857480049,0.001,0.01,1,s3-s4,1.91180778496e-05,1.32908961503e-17,1,1
400,0,1.74000883102,0.001,0.012,1,s4-s5,4.71675852635e-08,2.01975683447e-24,1,1
400,0,1.74000883102,0.001,0.012,1,s3-s6,5.04548575746e-08,1.53324698408e-40,1,1
400,0,1.74000883102,0.001,0.012,1,s5-s6,1.38337935813e-06,1.65528576033e-18,1,1
400,0,1.74000883102,0.001,0.012,1,s3-s4,4.15402842784e-13,5.95261014237e-14,1,1
