#flows,time,epsilon,r_threshold,is_correlated,key,count_chern,byte_chern,pred,true
50,0.310748100281,0.005,0.01,1,s4-s5,0.050952771888,0.203343367978,-1,1
50,0.310748100281,0.005,0.01,1,s3-s6,0.000261051225473,0.00149099141428,1,1
50,0.310748100281,0.005,0.01,1,s5-s6,0.0163399226189,0.00882637728918,-1,1
50,0.310748100281,0.005,0.01,1,s3-s4,0.00280306405284,0.0198187226562,1,1
50,0.345520734787,0.005,0.01,0,s4-s5,0.56421998845,0.136619818098,-1,0
50,0.345520734787,0.005,0.01,0,s3-s6,0.736653035923,0.000497462705079,0,0
50,0.345520734787,0.005,0.01,0,s5-s6,0.175800400731,0.00330631818767,0,0
50,0.345520734787,0.005,0.01,0,s3-s4,0.697070297976,5.2910130076e-08,0,0
50,0.284380674362,0.005,0.01,-1,s4-s5,0.300596285104,0.28746987383,-1,-1
50,0.284380674362,0.005,0.01,-1,s3-s6,0.365395234303,0.210290101244,-1,-1
50,0.284380674362,0.005,0.01,-1,s5-s6,0.851997995315,0.483241762205,-1,-1
50,0.284380674362,0.005,0.01,-1,s3-s4,0.0159276032401,0.106102364379,-1,-1
100,0.700161218643,0.005,0.01,1,s4-s5,0.0047757180139,0.0556677502338,1,1
100,0.700161218643,0.005,0.01,1,s3-s6,0.00724769300423,0.0559654754989,1,1
100,0.700161218643,0.005,0.01,1,s5-s6,0.00307194754288,0.303554469659,1,1
100,0.700161218643,0.005,0.01,1,s3-s4,0.105473693556,9.88684472071e-11,0,1
100,0.989690542221,0.005,0.01,0,s4-s5,0.725900584014,0.000364989114936,0,0
100,0.989690542221,0.005,0.01,0,s3-s6,0.431671357474,4.01942694846e-11,0,0
100,0.989690542221,0.005,0.01,0,s5-s6,0.606023397068,0.0158642536907,-1,0
100,0.989690542221,0.005,0.01,0,s3-s4,0.10970048436,6.96087433558e-07,0,0
100,0.900701999664,0.005,0.01,-1,s4-s5,0.10011291504,0.210854264768,-1,-1
100,0.900701999664,0.005,0.01,-1,s3-s6,0.0773289847978,0.3730416041,-1,-1
100,0.900701999664,0.005,0.01,-1,s5-s6,0.140737488356,0.307267104671,-1,-1
100,0.900701999664,0.005,0.01,-1,s3-s4,0.0871687511371,0.151469293494,-1,-1
150,1.61354517937,0.005,0.01,1,s4-s5,8.34922805736e-05,0.000362858903927,1,1
150,1.61354517937,0.005,0.01,1,s3-s6,1.61291139108e-05,0.000564022787528,1,1
150,1.61354517937,0.005,0.01,1,s5-s6,8.18755673863e-05,0.000141996699588,1,1
150,1.61354517937,0.005,0.01,1,s3-s4,4.49372387859e-06,5.24077793258e-13,1,1
150,1.18963384628,0.005,0.01,0,s4-s5,0.0587047207209,0.0204071438884,-1,0
150,1.18963384628,0.005,0.01,0,s3-s6,0.26255037399,5.42024517948e-05,0,0
150,1.18963384628,0.005,0.01,0,s5-s6,0.0456202271412,5.14360592465e-13,0,0
150,1.18963384628,0.005,0.01,0,s3-s4,0.152838148146,2.65508124225e-05,0,0
150,1.64294290543,0.005,0.01,-1,s4-s5,0.161340856698,0.0550360491037,-1,-1
150,1.64294290543,0.005,0.01,-1,s3-s6,0.0169820164605,0.245381928229,-1,-1
150,1.64294290543,0.005,0.01,-1,s5-s6,0.0560254699682,0.184289183693,-1,-1
150,1.64294290543,0.005,0.01,-1,s3-s4,0.307439841044,0.257518643464,-1,-1
200,1.66656827927,0.005,0.01,1,s4-s5,1.74784926242e-05,0.38246722948,1,1
200,1.66656827927,0.005,0.01,1,s3-s6,0.000490915352151,2.16055368489e-09,1,1
200,1.66656827927,0.005,0.01,1,s5-s6,1.93627322621e-06,7.52031278106e-05,1,1
200,1.66656827927,0.005,0.01,1,s3-s4,1.06934955103e-07,2.78796537986e-14,1,1
200,1.51986765862,0.005,0.01,0,s4-s5,0.268537718725,2.20870105624e-05,0,0
200,1.51986765862,0.005,0.01,0,s3-s6,0.0587047207209,9.28856527809e-10,0,0
200,1.51986765862,0.005,0.01,0,s5-s6,0.589259002911,0.00128490012974,0,0
200,1.51986765862,0.005,0.01,0,s3-s4,0.274519053185,1.09612034603e-08,0,0
200,1.78714776039,0.005,0.01,-1,s4-s5,0.0925067075873,0.0909989856644,-1,-1
200,1.78714776039,0.005,0.01,-1,s3-s6,0.0375517019118,0.0802219417083,-1,-1
200,1.78714776039,0.005,0.01,-1,s5-s6,0.0474821859575,0.325028381415,-1,-1
200,1.78714776039,0.005,0.01,-1,s3-s4,0.367264357794,0.209967537594,-1,-1
250,1.90141654015,0.005,0.01,1,s4-s5,2.92474280056e-09,0.00106557383252,1,1
250,1.90141654015,0.005,0.01,1,s3-s6,2.21548307028e-07,0.000751598688629,1,1
250,1.90141654015,0.005,0.01,1,s5-s6,8.10496647693e-06,0.000104899925547,1,1
250,1.90141654015,0.005,0.01,1,s3-s4,2.18210970321e-11,0.00517441319359,1,1
250,2.34829521179,0.005,0.01,0,s4-s5,0.208976035297,0.254806030483,-1,0
250,2.34829521179,0.005,0.01,0,s3-s6,0.0126259576345,1.27338731616e-09,0,0
250,2.34829521179,0.005,0.01,0,s5-s6,0.0490926697897,3.13737967693e-16,0,0
250,2.34829521179,0.005,0.01,0,s3-s4,0.247929770868,1.21639432991e-16,0,0
250,2.03878831863,0.005,0.01,-1,s4-s5,0.353317648679,0.321743362003,-1,-1
250,2.03878831863,0.005,0.01,-1,s3-s6,0.0741968866181,0.112679872906,-1,-1
250,2.03878831863,0.005,0.01,-1,s5-s6,0.236672646499,0.221221725403,-1,-1
250,2.03878831863,0.005,0.01,-1,s3-s4,0.223397733868,0.547555315702,-1,-1
300,3.41290187836,0.005,0.01,1,s4-s5,6.95605050082e-10,0.004489301872,1,1
300,3.41290187836,0.005,0.01,1,s3-s6,5.23601625834e-05,0.000175018656937,1,1
300,3.41290187836,0.005,0.01,1,s5-s6,6.91276540731e-06,2.41346758523e-05,1,1
300,3.41290187836,0.005,0.01,1,s3-s4,4.05799642651e-08,0.000812719018966,1,1
300,2.90782928467,0.005,0.01,0,s4-s5,0.0523564523221,2.45915982529e-10,0,0
300,2.90782928467,0.005,0.01,0,s3-s6,0.270206068506,3.25990609746e-20,0,0
300,2.90782928467,0.005,0.01,0,s5-s6,0.0392291351454,1.28281874441e-07,0,0
300,2.90782928467,0.005,0.01,0,s3-s4,0.500482324052,2.82350244468e-11,0,0
300,2.85818719864,0.005,0.01,-1,s4-s5,0.0500821904927,0.0600745450397,-1,-1
300,2.85818719864,0.005,0.01,-1,s3-s6,0.0763198284176,0.150337778063,-1,-1
300,2.85818719864,0.005,0.01,-1,s5-s6,0.304370989362,0.383942288192,-1,-1
300,2.85818719864,0.005,0.01,-1,s3-s4,0.0402037464692,0.354300367691,-1,-1
350,3.64315199852,0.005,0.01,1,s4-s5,6.23312421321e-08,5.49056989694e-06,1,1
350,3.64315199852,0.005,0.01,1,s3-s6,3.12821805459e-07,6.63695647426e-06,1,1
350,3.64315199852,0.005,0.01,1,s5-s6,5.05207955205e-10,3.83280554642e-17,1,1
350,3.64315199852,0.005,0.01,1,s3-s4,1.82674844569e-12,0.000128241269341,1,1
350,3.98890161514,0.005,0.01,0,s4-s5,0.0683017084629,8.72702247924e-19,0,0
350,3.98890161514,0.005,0.01,0,s3-s6,0.00191072623007,0.00203812899292,1,0
350,3.98890161514,0.005,0.01,0,s5-s6,0.174653449341,1.54754504215e-09,0,0
350,3.98890161514,0.005,0.01,0,s3-s4,0.10229972824,0.00175079205295,0,0
350,4.76018691063,0.005,0.01,-1,s4-s5,0.154584258769,0.395642480134,-1,-1
350,4.76018691063,0.005,0.01,-1,s3-s6,0.00800287329102,0.170352642631,1,-1
350,4.76018691063,0.005,0.01,-1,s5-s6,0.0652488967551,0.157267942198,-1,-1
350,4.76018691063,0.005,0.01,-1,s3-s4,0.062471447839,0.232005011679,-1,-1
400,4.99846768379,0.005,0.01,1,s4-s5,4.54299773967e-11,7.30483081926e-05,1,1
400,4.99846768379,0.005,0.01,1,s3-s6,3.53842545378e-13,6.28454487908e-09,1,1
400,4.99846768379,0.005,0.01,1,s5-s6,2.10645935723e-10,9.89060122191e-09,1,1
400,4.99846768379,0.005,0.01,1,s3-s4,4.97377298279e-13,4.92077566297e-12,1,1
400,4.46490192413,0.005,0.01,0,s4-s5,0.134883108505,0.341747772987,-1,0
400,4.46490192413,0.005,0.01,0,s3-s6,0.160618186625,1.32684335891e-09,0,0
400,4.46490192413,0.005,0.01,0,s5-s6,0.044119816248,9.07634331781e-14,0,0
400,4.46490192413,0.005,0.01,0,s3-s4,0.22720886152,1.44550357042e-06,0,0
400,4.28805470467,0.005,0.01,-1,s4-s5,0.237786405345,0.0114221597835,-1,-1
400,4.28805470467,0.005,0.01,-1,s3-s6,0.545907686155,0.543470924597,-1,-1
400,4.28805470467,0.005,0.01,-1,s5-s6,0.371500889069,0.0334661362433,-1,-1
400,4.28805470467,0.005,0.01,-1,s3-s4,0.164026895162,0.134017564999,-1,-1
