#flows,time,epsilon,r_threshold,is_correlated,key,count_chern,byte_chern,pred,true
50,0.141258716583,0.01,0.01,1,s4-s5,0.000770239636642,5.61443424294e-07,1,1
50,0.141258716583,0.01,0.01,1,s3-s6,0.00267492235451,2.3917673113e-07,1,1
50,0.141258716583,0.01,0.01,1,s5-s6,3.37895446314e-05,1.82909751651e-09,1,1
50,0.141258716583,0.01,0.01,1,s3-s4,0.00267492235451,1.38376907835e-06,1,1
50,0.149522781372,0.01,0.01,0,s4-s5,0.022070032009,0.000510446255836,0,0
50,0.149522781372,0.01,0.01,0,s3-s6,0.349233741052,0.0005173572941,0,0
50,0.149522781372,0.01,0.01,0,s5-s6,0.279680314936,9.42028316416e-07,0,0
50,0.149522781372,0.01,0.01,0,s3-s4,0.401602300921,8.11021430139e-06,0,0
50,0.133866786957,0.01,0.01,-1,s4-s5,0.0898206626585,0.112189089519,-1,-1
50,0.133866786957,0.01,0.01,-1,s3-s6,0.141137635835,0.191480453392,-1,-1
50,0.133866786957,0.01,0.01,-1,s5-s6,0.401602300921,0.454367077019,-1,-1
50,0.133866786957,0.01,0.01,-1,s3-s4,0.0465875731638,0.267278858202,-1,-1
75,0.186496019363,0.01,0.01,1,s4-s5,0.0232357613766,3.99618489027e-05,0,1
75,0.186496019363,0.01,0.01,1,s3-s6,0.00078563714009,1.04419982738e-07,1,1
75,0.186496019363,0.01,0.01,1,s5-s6,0.00992413350882,1.42547242969e-09,1,1
75,0.186496019363,0.01,0.01,1,s3-s4,0.206641854922,3.8749020344e-06,0,1
50,0.160845994949,0.01,0.01,1,s4-s5,0.0858117699334,4.00641025406e-06,0,1
50,0.160845994949,0.01,0.01,1,s3-s6,0.00413982268825,3.29377452536e-06,1,1
50,0.160845994949,0.01,0.01,1,s5-s6,0.0289404196542,4.45468434333e-05,0,1
50,0.160845994949,0.01,0.01,1,s3-s4,1.04735369157e-05,0.000936157085065,1,1
75,0.219912290573,0.01,0.01,0,s4-s5,0.134288912401,3.94126052978e-13,0,0
75,0.219912290573,0.01,0.01,0,s3-s6,0.313514941365,7.12900688192e-05,0,0
75,0.219912290573,0.01,0.01,0,s5-s6,0.0581500457049,7.90046278479e-05,0,0
75,0.219912290573,0.01,0.01,0,s3-s4,0.335675345109,1.64694830716e-10,0,0
50,0.144431591034,0.01,0.01,0,s4-s5,0.262055818993,0.000138487441212,0,0
50,0.144431591034,0.01,0.01,0,s3-s6,0.0465875731638,0.000955816978079,0,0
50,0.144431591034,0.01,0.01,0,s5-s6,0.0898206626585,0.000126535276499,0,0
50,0.144431591034,0.01,0.01,0,s3-s4,0.576812690883,0.000211994571849,0,0
75,0.254750490189,0.01,0.01,-1,s4-s5,0.107381150752,0.281492574573,-1,-1
75,0.254750490189,0.01,0.01,-1,s3-s6,0.0599418986914,0.30058125151,-1,-1
75,0.254750490189,0.01,0.01,-1,s5-s6,0.0664595942944,0.275133273357,-1,-1
75,0.254750490189,0.01,0.01,-1,s3-s4,0.0832359759152,0.121315886378,-1,-1
50,0.144250154495,0.01,0.01,-1,s4-s5,0.063272591358,5.21840981414e-05,0,-1
50,0.144250154495,0.01,0.01,-1,s3-s6,0.401602300921,0.570780131987,-1,-1
50,0.144250154495,0.01,0.01,-1,s5-s6,0.0465875731638,0.138144283298,-1,-1
50,0.144250154495,0.01,0.01,-1,s3-s4,0.637085753157,0.565475235329,-1,-1
100,0.281064748764,0.01,0.01,1,s4-s5,3.37945537776e-08,1.39317275083e-16,1,1
100,0.281064748764,0.01,0.01,1,s3-s6,0.000318124620406,0.00107462210734,1,1
100,0.281064748764,0.01,0.01,1,s5-s6,3.62133997989e-05,8.05592785368e-09,1,1
100,0.281064748764,0.01,0.01,1,s3-s4,0.000173311412602,0.00161275708302,1,1
75,0.210467815399,0.01,0.01,1,s4-s5,0.000656346112426,3.67930487541e-08,1,1
75,0.210467815399,0.01,0.01,1,s3-s6,6.08298185482e-07,0.00101599968668,1,1
75,0.210467815399,0.01,0.01,1,s5-s6,0.0188244908261,1.33533391632e-08,0,1
75,0.210467815399,0.01,0.01,1,s3-s4,0.00023668533992,0.000216510726844,1,1
75,0.219330310822,0.01,0.01,0,s4-s5,0.0209892921709,6.31960998198e-13,0,0
75,0.219330310822,0.01,0.01,0,s3-s6,0.00293416497957,7.5669575751e-05,1,0
75,0.219330310822,0.01,0.01,0,s5-s6,0.3285190328,0.000405328431875,0,0
75,0.219330310822,0.01,0.01,0,s3-s4,0.206133440622,2.12378103419e-07,0,0
100,0.294758796692,0.01,0.01,0,s4-s5,0.0409397293987,0.000207528096748,0,0
100,0.294758796692,0.01,0.01,0,s3-s6,0.0449347252126,2.62455389406e-11,0,0
100,0.294758796692,0.01,0.01,0,s5-s6,0.143158424726,6.40306098184e-11,0,0
100,0.294758796692,0.01,0.01,0,s3-s4,0.440116706372,1.03660502797e-13,0,0
75,0.210837841034,0.01,0.01,-1,s4-s5,0.0272400271072,0.0603629095352,-1,-1
75,0.210837841034,0.01,0.01,-1,s3-s6,0.0832359759152,0.259803010413,-1,-1
75,0.210837841034,0.01,0.01,-1,s5-s6,0.0272400271072,0.258280023912,-1,-1
75,0.210837841034,0.01,0.01,-1,s3-s4,0.206133440622,0.335840658078,-1,-1
100,0.338211297989,0.01,0.01,-1,s4-s5,0.0624630062391,0.340281686844,-1,-1
100,0.338211297989,0.01,0.01,-1,s3-s6,0.11173344488,0.377587759302,-1,-1
100,0.338211297989,0.01,0.01,-1,s5-s6,0.0716708888558,0.0427888439328,-1,-1
100,0.338211297989,0.01,0.01,-1,s3-s4,0.0449347252126,0.285238324058,-1,-1
100,0.310621261597,0.01,0.01,1,s4-s5,1.83173576564e-05,6.40598779489e-10,1,1
100,0.310621261597,0.01,0.01,1,s3-s6,0.000145403424072,4.63079789748e-06,1,1
100,0.310621261597,0.01,0.01,1,s5-s6,8.18534045707e-05,3.25113443661e-20,1,1
100,0.310621261597,0.01,0.01,1,s3-s4,4.06502474039e-06,0.00251812969097,1,1
125,0.35395526886,0.01,0.01,1,s4-s5,0.00597196098228,5.45270775153e-17,1,1
125,0.35395526886,0.01,0.01,1,s3-s6,0.00116485442311,2.79839937024e-07,1,1
125,0.35395526886,0.01,0.01,1,s5-s6,2.35743038543e-09,7.92468609705e-13,1,1
125,0.35395526886,0.01,0.01,1,s3-s4,2.00331175401e-05,0.000135206979645,1,1
100,0.288529157639,0.01,0.01,0,s4-s5,0.426463254053,2.42110305589e-08,0,0
100,0.288529157639,0.01,0.01,0,s3-s6,0.0517012158245,4.3186961337e-08,0,0
100,0.288529157639,0.01,0.01,0,s5-s6,0.131934369752,6.60601030572e-05,0,0
100,0.288529157639,0.01,0.01,0,s3-s4,0.136449049964,3.60984051986e-14,0,0
125,0.382643938065,0.01,0.01,0,s4-s5,0.00149611585584,9.28398749999e-09,1,0
125,0.382643938065,0.01,0.01,0,s3-s6,0.0538035820403,1.1300494103e-18,0,0
125,0.382643938065,0.01,0.01,0,s5-s6,0.0178634234138,2.38259133146e-05,0,0
125,0.382643938065,0.01,0.01,0,s3-s4,0.114968252567,1.62534142054e-14,0,0
100,0.276948690414,0.01,0.01,-1,s4-s5,0.169526385781,0.30270117722,-1,-1
100,0.276948690414,0.01,0.01,-1,s3-s6,0.108205143063,0.338208907532,-1,-1
100,0.276948690414,0.01,0.01,-1,s5-s6,0.0449347252126,0.211918059002,-1,-1
100,0.276948690414,0.01,0.01,-1,s3-s4,0.162607085563,0.210633502243,-1,-1
125,0.347655296326,0.01,0.01,-1,s4-s5,0.0254798252734,0.134288852674,-1,-1
125,0.347655296326,0.01,0.01,-1,s3-s6,0.00730426276899,0.430232155173,1,-1
125,0.347655296326,0.01,0.01,-1,s5-s6,0.0437486238468,0.167397648853,-1,-1
125,0.347655296326,0.01,0.01,-1,s3-s4,0.125060670289,0.100851121044,-1,-1
125,0.356679677963,0.01,0.01,1,s4-s5,0.00175808066371,1.50334729257e-14,1,1
125,0.356679677963,0.01,0.01,1,s3-s6,8.14096032562e-08,1.01225801321e-09,1,1
125,0.356679677963,0.01,0.01,1,s5-s6,0.000345165672938,3.5192711425e-17,1,1
125,0.356679677963,0.01,0.01,1,s3-s4,0.000246820399468,4.47959561184e-05,1,1
125,0.365515947342,0.01,0.01,0,s4-s5,0.128901993496,2.78739329596e-08,0,0
125,0.365515947342,0.01,0.01,0,s3-s6,0.0611416804415,1.1175814044e-07,0,0
125,0.365515947342,0.01,0.01,0,s5-s6,0.0178634234138,0.000210020235109,0,0
125,0.365515947342,0.01,0.01,0,s3-s4,0.131181034608,1.05623419295e-19,0,0
150,0.490664958954,0.01,0.01,1,s4-s5,3.27727769256e-05,2.30024950924e-16,1,1
150,0.490664958954,0.01,0.01,1,s3-s6,1.19442216738e-05,1.62741171453e-17,1,1
150,0.490664958954,0.01,0.01,1,s5-s6,9.25330883464e-08,1.44631239561e-22,1,1
150,0.490664958954,0.01,0.01,1,s3-s4,6.92908479885e-06,1.78495744856e-06,1,1
125,0.352038383484,0.01,0.01,-1,s4-s5,0.0538788337634,0.365133868201,-1,-1
125,0.352038383484,0.01,0.01,-1,s3-s6,0.10127389618,0.120687648368,-1,-1
125,0.352038383484,0.01,0.01,-1,s5-s6,0.206067007114,0.659159464852,-1,-1
125,0.352038383484,0.01,0.01,-1,s3-s4,0.135872197414,0.125435204284,-1,-1
150,0.467706441879,0.01,0.01,0,s4-s5,0.0746791708878,5.11678306221e-09,0,0
150,0.467706441879,0.01,0.01,0,s3-s6,0.0497116848492,3.82051546877e-12,0,0
150,0.467706441879,0.01,0.01,0,s5-s6,0.161360805481,1.12402470242e-11,0,0
150,0.467706441879,0.01,0.01,0,s3-s4,0.0217361554356,6.37882813718e-11,0,0
150,0.424037694931,0.01,0.01,1,s4-s5,4.80021880988e-06,2.44595358065e-10,1,1
150,0.424037694931,0.01,0.01,1,s3-s6,2.93407417493e-05,4.54690105306e-07,1,1
150,0.424037694931,0.01,0.01,1,s5-s6,4.9009988494e-05,9.38471235456e-13,1,1
150,0.424037694931,0.01,0.01,1,s3-s4,0.000177278789749,1.05164114352e-06,1,1
150,0.423012733459,0.01,0.01,-1,s4-s5,0.117559984283,0.200081374182,-1,-1
150,0.423012733459,0.01,0.01,-1,s3-s6,0.118158335201,0.557333500394,-1,-1
150,0.423012733459,0.01,0.01,-1,s5-s6,0.254345177131,0.160148676344,-1,-1
150,0.423012733459,0.01,0.01,-1,s3-s4,0.128901993496,0.494267948647,-1,-1
150,0.418303728104,0.01,0.01,0,s4-s5,0.109104848123,1.7529537238e-10,0,0
150,0.418303728104,0.01,0.01,0,s3-s6,0.253943380647,2.7643290717e-05,0,0
150,0.418303728104,0.01,0.01,0,s5-s6,0.00430351691302,4.42405365824e-09,1,0
150,0.418303728104,0.01,0.01,0,s3-s4,0.20448516107,3.07924054503e-06,0,0
175,0.498832941055,0.01,0.01,1,s4-s5,9.4936320503e-05,6.21563435289e-18,1,1
175,0.498832941055,0.01,0.01,1,s3-s6,1.6231124655e-06,1.38364427735e-29,1,1
175,0.498832941055,0.01,0.01,1,s5-s6,3.7249226258e-07,8.1708168522e-12,1,1
175,0.498832941055,0.01,0.01,1,s3-s4,0.00102819471375,3.3390700606e-06,1,1
150,0.419265508652,0.01,0.01,-1,s4-s5,0.0390537247755,0.302149489115,-1,-1
150,0.419265508652,0.01,0.01,-1,s3-s6,0.142202063818,0.0387725197389,-1,-1
150,0.419265508652,0.01,0.01,-1,s5-s6,0.0841186575311,0.059466389634,-1,-1
150,0.419265508652,0.01,0.01,-1,s3-s4,0.192379472622,0.210620109027,-1,-1
175,0.488329410553,0.01,0.01,0,s4-s5,0.258009310287,8.9930492588e-15,0,0
175,0.488329410553,0.01,0.01,0,s3-s6,0.0186752134641,4.13893409519e-19,0,0
175,0.488329410553,0.01,0.01,0,s5-s6,0.0820834835933,1.29176335128e-07,0,0
175,0.488329410553,0.01,0.01,0,s3-s4,0.198265006005,2.93254304725e-11,0,0
175,0.514396429062,0.01,0.01,1,s4-s5,5.62108684148e-06,1.15144104913e-21,1,1
175,0.514396429062,0.01,0.01,1,s3-s6,1.03215377946e-08,1.54611693417e-12,1,1
175,0.514396429062,0.01,0.01,1,s5-s6,0.000278459831402,3.5340149496e-14,1,1
175,0.514396429062,0.01,0.01,1,s3-s4,0.000114330076201,1.32136459737e-05,1,1
175,0.502147674561,0.01,0.01,-1,s4-s5,0.0665723153466,0.00274139856862,0,-1
175,0.502147674561,0.01,0.01,-1,s3-s6,0.0395545647088,0.28691343377,-1,-1
175,0.502147674561,0.01,0.01,-1,s5-s6,0.000231390550533,0.273470349685,1,-1
175,0.502147674561,0.01,0.01,-1,s3-s4,0.335178512062,0.221686386386,-1,-1
175,0.517741203308,0.01,0.01,0,s4-s5,0.327163321604,1.34861949261e-10,0,0
175,0.517741203308,0.01,0.01,0,s3-s6,0.098025730774,1.46660347829e-07,0,0
175,0.517741203308,0.01,0.01,0,s5-s6,0.0151409190104,5.26789494233e-09,0,0
175,0.517741203308,0.01,0.01,0,s3-s4,0.258009310287,5.36180527185e-17,0,0
200,0.568876743317,0.01,0.01,1,s4-s5,0.000104482791693,1.66767754978e-22,1,1
200,0.568876743317,0.01,0.01,1,s3-s6,2.9453762443e-05,1.59934987451e-20,1,1
200,0.568876743317,0.01,0.01,1,s5-s6,1.68988301426e-05,2.15711091579e-20,1,1
200,0.568876743317,0.01,0.01,1,s3-s4,2.67439268628e-10,3.5892872015e-11,1,1
175,0.527065992355,0.01,0.01,-1,s4-s5,0.258009310287,0.141314925135,-1,-1
175,0.527065992355,0.01,0.01,-1,s3-s6,0.076376527229,0.218661426665,-1,-1
175,0.527065992355,0.01,0.01,-1,s5-s6,0.134119288024,0.182696882685,-1,-1
175,0.527065992355,0.01,0.01,-1,s3-s4,0.0279488867717,0.405085493978,-1,-1
200,0.5896089077,0.01,0.01,0,s4-s5,0.4018262713,8.2761412427e-07,0,0
200,0.5896089077,0.01,0.01,0,s3-s6,0.0542127208314,4.4648543868e-10,0,0
200,0.5896089077,0.01,0.01,0,s5-s6,0.146757626761,1.34397188419e-17,0,0
200,0.5896089077,0.01,0.01,0,s3-s4,0.00859840048756,2.63099339663e-19,1,0
200,0.551500082016,0.01,0.01,1,s4-s5,3.22795144337e-07,2.06020203023e-22,1,1
200,0.551500082016,0.01,0.01,1,s3-s6,3.2415605301e-07,3.89043477934e-08,1,1
200,0.551500082016,0.01,0.01,1,s5-s6,1.02169691883e-09,8.890693688e-39,1,1
200,0.551500082016,0.01,0.01,1,s3-s4,1.32679122289e-11,9.62876225087e-16,1,1
