#flows,epsilon,r_threshold,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
50,0.01,0.01,1,4,0,4
50,0.01,0.01,0,0,4,4
50,0.01,0.01,-1,0,0,4
75,0.01,0.01,1,2,2,4
50,0.01,0.01,1,2,2,4
75,0.01,0.01,0,0,4,4
50,0.01,0.01,0,0,4,4
75,0.01,0.01,-1,0,0,4
50,0.01,0.01,-1,0,1,4
100,0.01,0.01,1,4,0,4
75,0.01,0.01,1,3,1,4
75,0.01,0.01,0,1,3,4
100,0.01,0.01,0,0,4,4
75,0.01,0.01,-1,0,0,4
100,0.01,0.01,-1,0,0,4
100,0.01,0.01,1,4,0,4
125,0.01,0.01,1,4,0,4
100,0.01,0.01,0,0,4,4
125,0.01,0.01,0,1,3,4
100,0.01,0.01,-1,0,0,4
125,0.01,0.01,-1,1,0,4
125,0.01,0.01,1,4,0,4
125,0.01,0.01,0,0,4,4
150,0.01,0.01,1,4,0,4
125,0.01,0.01,-1,0,0,4
150,0.01,0.01,0,0,4,4
150,0.01,0.01,1,4,0,4
150,0.01,0.01,-1,0,0,4
150,0.01,0.01,0,1,3,4
175,0.01,0.01,1,4,0,4
150,0.01,0.01,-1,0,0,4
175,0.01,0.01,0,0,4,4
175,0.01,0.01,1,4,0,4
175,0.01,0.01,-1,1,1,4
175,0.01,0.01,0,0,4,4
200,0.01,0.01,1,4,0,4
175,0.01,0.01,-1,0,0,4
200,0.01,0.01,0,1,3,4
200,0.01,0.01,1,4,0,4
200,0.01,0.01,-1,0,0,4
200,0.01,0.01,0,1,3,4
225,0.01,0.01,1,4,0,4
200,0.01,0.01,-1,0,1,4
225,0.01,0.01,0,1,3,4
225,0.01,0.01,1,4,0,4
225,0.01,0.01,-1,0,1,4
225,0.01,0.01,0,0,4,4
250,0.01,0.01,1,4,0,4
225,0.01,0.01,-1,0,0,4
250,0.01,0.01,0,0,4,4
250,0.01,0.01,1,4,0,4
