#flows,epsilon,is_correlated,key,count_chern,byte_chern,pred,true
50,0.01,1,s4-s5,0.25713238258,7.32013821819e-07,0,1
50,0.01,1,s3-s6,0.011149537713,1.06006118393e-10,0,1
50,0.01,1,s5-s6,0.0129558620443,1.31044663448e-05,0,1
50,0.01,1,s3-s4,0.00106887375133,1.35298645332e-05,1,1
50,0.01,0,s4-s5,0.125978209018,2.78234848477e-09,0,0
50,0.01,0,s3-s6,0.675419346525,1.3898197935e-05,0,0
50,0.01,0,s5-s6,0.525839619627,1.70822352732e-05,0,0
50,0.01,0,s3-s4,0.675419346525,1.29878800905e-05,0,0
75,0.01,1,s4-s5,7.38961488197e-05,1.03590421974e-06,1,1
75,0.01,1,s3-s6,0.000846126985194,2.67307142804e-06,1,1
75,0.01,1,s5-s6,0.0115014268768,1.66499856186e-08,0,1
75,0.01,1,s3-s4,3.37415063966e-05,4.12753796533e-07,1,1
75,0.01,0,s4-s5,0.380885159089,6.48609143912e-07,0,0
75,0.01,0,s3-s6,0.0893829974848,4.52110885349e-06,0,0
75,0.01,0,s5-s6,0.720980924829,4.89581134698e-05,0,0
75,0.01,0,s3-s4,0.677264729247,1.67574953069e-05,0,0
100,0.01,1,s4-s5,0.000100290048467,4.23514497077e-08,1,1
100,0.01,1,s3-s6,0.000999781530614,1.71998789563e-08,1,1
100,0.01,1,s5-s6,0.000999781530614,4.73979535919e-05,1,1
100,0.01,1,s3-s4,1.68997619987e-05,0.0349443934228,1,1
100,0.01,0,s4-s5,0.133513677251,0.000841601168161,0,0
100,0.01,0,s3-s6,0.462173389454,8.63390173898e-11,0,0
100,0.01,0,s5-s6,0.329966098567,2.43603427262e-12,0,0
100,0.01,0,s3-s4,0.0133634610102,2.22889629705e-12,0,0
125,0.01,1,s4-s5,0.0272377016181,3.62754844852e-09,0,1
125,0.01,1,s3-s6,3.55373866634e-06,4.97055916523e-05,1,1
125,0.01,1,s5-s6,0.0216531059091,5.6988815377e-06,0,1
125,0.01,1,s3-s4,0.000436227834154,2.8702246618e-06,1,1
125,0.01,0,s4-s5,0.394458895629,6.43923174805e-05,0,0
125,0.01,0,s3-s6,0.169925873158,1.23352050223e-07,0,0
125,0.01,0,s5-s6,0.112365286608,9.85958516707e-05,0,0
125,0.01,0,s3-s4,0.175539186952,8.37198147333e-12,0,0
150,0.01,1,s4-s5,0.000114521663201,2.26326274577e-08,1,1
150,0.01,1,s3-s6,0.000116577754841,1.91621600383e-06,1,1
