#flows,epsilon,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
50,0.01,1,1,3,4
50,0.01,0,0,4,4
75,0.01,1,3,1,4
75,0.01,0,0,4,4
100,0.01,1,4,0,4
100,0.01,0,0,4,4
125,0.01,1,2,2,4
125,0.01,0,0,4,4
150,0.01,1,4,0,4
150,0.01,0,1,3,4
175,0.01,1,4,0,4
175,0.01,0,1,3,4
200,0.01,1,4,0,4
200,0.01,0,0,4,4
50,0.01,1,2,2,4
50,0.01,0,0,4,4
75,0.01,1,4,0,4
75,0.01,0,1,3,4
100,0.01,1,4,0,4
100,0.01,0,0,4,4
125,0.01,1,3,1,4
125,0.01,0,0,4,4
150,0.01,1,4,0,4
150,0.01,0,0,4,4
175,0.01,1,4,0,4
175,0.01,0,0,4,4
200,0.01,1,4,0,4
200,0.01,0,0,4,4
50,0.01,1,2,2,4
50,0.01,0,0,4,4
75,0.01,1,2,2,4
75,0.01,0,0,4,4
100,0.01,1,4,0,4
100,0.01,0,0,4,4
125,0.01,1,3,1,4
125,0.01,0,1,3,4
150,0.01,1,4,0,4
150,0.01,0,0,4,4
175,0.01,1,4,0,4
175,0.01,0,0,4,4
200,0.01,1,4,0,4
200,0.01,0,0,4,4
50,0.01,1,1,3,4
50,0.01,0,0,4,4
75,0.01,1,4,0,4
75,0.01,0,0,4,4
100,0.01,1,3,1,4
100,0.01,0,0,4,4
125,0.01,1,3,1,4
125,0.01,0,0,4,4
150,0.01,1,4,0,4
150,0.01,0,0,4,4
175,0.01,1,3,1,4
175,0.01,0,0,4,4
200,0.01,1,4,0,4
200,0.01,0,0,4,4
50,0.01,1,2,2,4
50,0.01,0,0,4,4
75,0.01,1,3,1,4
75,0.01,0,0,4,4
100,0.01,1,3,1,4
100,0.01,0,0,4,4
125,0.01,1,4,0,4
125,0.01,0,0,4,4
150,0.01,1,4,0,4
150,0.01,0,0,4,4
175,0.01,1,4,0,4
175,0.01,0,0,4,4
200,0.01,1,4,0,4
200,0.01,0,0,4,4
50,0.01,1,1,3,4
50,0.01,0,1,3,4
75,0.01,1,2,2,4
75,0.01,0,0,4,4
100,0.01,1,3,1,4
100,0.01,0,0,4,4
125,0.01,1,3,1,4
125,0.01,0,0,4,4
150,0.01,1,4,0,4
150,0.01,0,0,4,4
175,0.01,1,4,0,4
175,0.01,0,0,4,4
200,0.01,1,4,0,4
200,0.01,0,0,4,4
50,0.01,1,3,1,4
50,0.01,0,0,4,4
75,0.01,1,3,1,4
75,0.01,0,0,4,4
100,0.01,1,1,3,4
100,0.01,0,0,4,4
125,0.01,1,3,1,4
125,0.01,0,0,4,4
150,0.01,1,4,0,4
150,0.01,0,0,4,4
175,0.01,1,4,0,4
175,0.01,0,0,4,4
200,0.01,1,4,0,4
200,0.01,0,1,3,4
50,0.01,1,2,2,4
50,0.01,0,0,4,4
75,0.01,1,4,0,4
75,0.01,0,0,4,4
100,0.01,1,4,0,4
100,0.01,0,0,4,4
125,0.01,1,4,0,4
125,0.01,0,0,4,4
150,0.01,1,3,1,4
150,0.01,0,0,4,4
175,0.01,1,4,0,4
175,0.01,0,0,4,4
200,0.01,1,4,0,4
200,0.01,0,0,4,4
50,0.01,1,0,4,4
50,0.01,0,0,4,4
75,0.01,1,2,2,4
75,0.01,0,0,4,4
100,0.01,1,2,2,4
100,0.01,0,0,4,4
125,0.01,1,4,0,4
125,0.01,0,0,4,4
150,0.01,1,4,0,4
150,0.01,0,0,4,4
175,0.01,1,4,0,4
175,0.01,0,0,4,4
200,0.01,1,4,0,4
200,0.01,0,0,4,4
50,0.01,1,1,3,4
50,0.01,0,0,4,4
75,0.01,1,0,4,4
75,0.01,0,0,4,4
100,0.01,1,1,3,4
100,0.01,0,0,4,4
125,0.01,1,4,0,4
125,0.01,0,1,3,4
150,0.01,1,4,0,4
150,0.01,0,0,4,4
175,0.01,1,3,1,4
175,0.01,0,1,3,4
200,0.01,1,4,0,4
200,0.01,0,0,4,4
225,0.01,1,4,0,4
225,0.01,0,0,4,4
275,0.01,1,4,0,4
275,0.01,0,0,4,4
325,0.01,1,4,0,4
325,0.01,0,0,4,4
375,0.01,1,4,0,4
375,0.01,0,0,4,4
425,0.01,1,4,0,4
425,0.01,0,0,4,4
475,0.01,1,4,0,4
475,0.01,0,1,3,4
525,0.01,1,4,0,4
525,0.01,0,0,4,4
575,0.01,1,4,0,4
575,0.01,0,0,4,4
625,0.01,1,4,0,4
625,0.01,0,1,3,4
225,0.01,1,4,0,4
225,0.01,0,0,4,4
275,0.01,1,4,0,4
275,0.01,0,0,4,4
325,0.01,1,4,0,4
325,0.01,0,0,4,4
375,0.01,1,4,0,4
375,0.01,0,0,4,4
425,0.01,1,4,0,4
425,0.01,0,0,4,4
475,0.01,1,4,0,4
475,0.01,0,0,4,4
525,0.01,1,4,0,4
525,0.01,0,0,4,4
575,0.01,1,4,0,4
575,0.01,0,0,4,4
625,0.01,1,4,0,4
625,0.01,0,0,4,4
225,0.01,1,4,0,4
225,0.01,0,0,4,4
275,0.01,1,4,0,4
275,0.01,0,0,4,4
325,0.01,1,4,0,4
325,0.01,0,0,4,4
375,0.01,1,4,0,4
375,0.01,0,0,4,4
425,0.01,1,4,0,4
425,0.01,0,0,4,4
475,0.01,1,4,0,4
475,0.01,0,0,4,4
525,0.01,1,4,0,4
525,0.01,0,0,4,4
575,0.01,1,4,0,4
575,0.01,0,0,4,4
625,0.01,1,4,0,4
625,0.01,0,0,4,4
225,0.01,1,4,0,4
225,0.01,0,0,4,4
275,0.01,1,4,0,4
275,0.01,0,0,4,4
325,0.01,1,4,0,4
325,0.01,0,0,4,4
375,0.01,1,4,0,4
375,0.01,0,0,4,4
425,0.01,1,4,0,4
425,0.01,0,0,4,4
475,0.01,1,4,0,4
475,0.01,0,0,4,4
525,0.01,1,4,0,4
525,0.01,0,0,4,4
575,0.01,1,4,0,4
575,0.01,0,0,4,4
625,0.01,1,4,0,4
625,0.01,0,0,4,4
225,0.01,1,4,0,4
225,0.01,0,0,4,4
275,0.01,1,4,0,4
275,0.01,0,0,4,4
325,0.01,1,4,0,4
325,0.01,0,0,4,4
375,0.01,1,4,0,4
375,0.01,0,0,4,4
425,0.01,1,4,0,4
425,0.01,0,0,4,4
475,0.01,1,4,0,4
475,0.01,0,0,4,4
525,0.01,1,4,0,4
525,0.01,0,0,4,4
575,0.01,1,4,0,4
575,0.01,0,0,4,4
625,0.01,1,4,0,4
625,0.01,0,0,4,4
225,0.01,1,4,0,4
225,0.01,0,1,3,4
275,0.01,1,4,0,4
275,0.01,0,0,4,4
325,0.01,1,4,0,4
325,0.01,0,0,4,4
375,0.01,1,4,0,4
375,0.01,0,0,4,4
425,0.01,1,4,0,4
425,0.01,0,1,3,4
475,0.01,1,4,0,4
475,0.01,0,0,4,4
525,0.01,1,4,0,4
525,0.01,0,1,3,4
575,0.01,1,4,0,4
575,0.01,0,0,4,4
625,0.01,1,4,0,4
625,0.01,0,0,4,4
225,0.01,1,4,0,4
225,0.01,0,0,4,4
275,0.01,1,4,0,4
275,0.01,0,0,4,4
325,0.01,1,4,0,4
325,0.01,0,0,4,4
375,0.01,1,4,0,4
375,0.01,0,1,3,4
425,0.01,1,4,0,4
425,0.01,0,0,4,4
475,0.01,1,4,0,4
475,0.01,0,0,4,4
525,0.01,1,4,0,4
525,0.01,0,1,3,4
575,0.01,1,4,0,4
575,0.01,0,0,4,4
625,0.01,1,4,0,4
625,0.01,0,0,4,4
225,0.01,1,4,0,4
225,0.01,0,0,4,4
275,0.01,1,4,0,4
275,0.01,0,0,4,4
325,0.01,1,4,0,4
325,0.01,0,0,4,4
375,0.01,1,4,0,4
375,0.01,0,0,4,4
425,0.01,1,4,0,4
425,0.01,0,0,4,4
475,0.01,1,4,0,4
475,0.01,0,0,4,4
525,0.01,1,4,0,4
525,0.01,0,0,4,4
575,0.01,1,4,0,4
575,0.01,0,0,4,4
625,0.01,1,4,0,4
625,0.01,0,0,4,4
225,0.01,1,4,0,4
225,0.01,0,0,4,4
275,0.01,1,4,0,4
275,0.01,0,0,4,4
325,0.01,1,4,0,4
325,0.01,0,0,4,4
375,0.01,1,4,0,4
375,0.01,0,0,4,4
425,0.01,1,4,0,4
425,0.01,0,0,4,4
475,0.01,1,4,0,4
475,0.01,0,0,4,4
525,0.01,1,4,0,4
525,0.01,0,0,4,4
575,0.01,1,4,0,4
575,0.01,0,0,4,4
625,0.01,1,4,0,4
625,0.01,0,0,4,4
225,0.01,1,4,0,4
225,0.01,0,1,3,4
275,0.01,1,4,0,4
275,0.01,0,0,4,4
325,0.01,1,4,0,4
325,0.01,0,0,4,4
375,0.01,1,4,0,4
375,0.01,0,0,4,4
425,0.01,1,4,0,4
425,0.01,0,0,4,4
475,0.01,1,4,0,4
475,0.01,0,0,4,4
525,0.01,1,4,0,4
525,0.01,0,0,4,4
575,0.01,1,4,0,4
575,0.01,0,0,4,4
625,0.01,1,4,0,4
625,0.01,0,0,4,4
675,0.01,1,4,0,4
675,0.01,0,0,4,4
725,0.01,1,4,0,4
725,0.01,0,0,4,4
775,0.01,1,4,0,4
775,0.01,0,0,4,4
825,0.01,1,4,0,4
825,0.01,0,0,4,4
675,0.01,1,4,0,4
675,0.01,0,0,4,4
725,0.01,1,4,0,4
725,0.01,0,0,4,4
775,0.01,1,4,0,4
775,0.01,0,0,4,4
825,0.01,1,4,0,4
825,0.01,0,0,4,4
675,0.01,1,4,0,4
675,0.01,0,0,4,4
725,0.01,1,4,0,4
725,0.01,0,0,4,4
775,0.01,1,4,0,4
775,0.01,0,0,4,4
825,0.01,1,4,0,4
825,0.01,0,0,4,4
675,0.01,1,4,0,4
675,0.01,0,0,4,4
725,0.01,1,4,0,4
725,0.01,0,0,4,4
775,0.01,1,4,0,4
775,0.01,0,0,4,4
