#flows,epsilon,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
300,0.0001,1,4,0,4
300,0.0001,0,0,4,4
300,0.0005,1,4,0,4
300,0.0005,0,0,4,4
300,0.001,1,4,0,4
300,0.001,0,0,4,4
300,0.005,1,4,0,4
300,0.005,0,0,4,4
300,0.01,1,4,0,4
300,0.01,0,0,4,4
300,0.05,1,4,0,4
300,0.05,0,1,3,4
300,0.1,1,4,0,4
300,0.1,0,2,2,4
300,0.2,1,4,0,4
300,0.2,0,2,2,4
300,0.4,1,4,0,4
300,0.4,0,3,1,4
300,0.0001,1,4,0,4
300,0.0001,0,0,4,4
300,0.0005,1,4,0,4
300,0.0005,0,0,4,4
300,0.001,1,4,0,4
300,0.001,0,0,4,4
300,0.005,1,4,0,4
300,0.005,0,0,4,4
300,0.01,1,4,0,4
300,0.01,0,0,4,4
300,0.05,1,4,0,4
300,0.05,0,0,4,4
300,0.1,1,4,0,4
300,0.1,0,1,3,4
300,0.2,1,4,0,4
300,0.2,0,1,3,4
300,0.4,1,4,0,4
300,0.4,0,3,1,4
300,0.0001,1,4,0,4
300,0.0001,0,0,4,4
300,0.0005,1,4,0,4
300,0.0005,0,0,4,4
300,0.001,1,4,0,4
300,0.001,0,0,4,4
300,0.005,1,4,0,4
300,0.005,0,0,4,4
300,0.01,1,4,0,4
300,0.01,0,0,4,4
300,0.05,1,4,0,4
300,0.05,0,2,2,4
300,0.1,1,4,0,4
300,0.1,0,0,4,4
300,0.2,1,4,0,4
300,0.2,0,3,1,4
300,0.4,1,4,0,4
300,0.4,0,4,0,4
300,0.0001,1,4,0,4
300,0.0001,0,0,4,4
300,0.0005,1,4,0,4
300,0.0005,0,0,4,4
300,0.001,1,4,0,4
300,0.001,0,0,4,4
300,0.005,1,4,0,4
300,0.005,0,0,4,4
300,0.01,1,4,0,4
300,0.01,0,0,4,4
300,0.05,1,4,0,4
300,0.05,0,1,3,4
300,0.1,1,4,0,4
300,0.1,0,2,2,4
300,0.2,1,4,0,4
300,0.2,0,1,3,4
300,0.4,1,4,0,4
300,0.4,0,3,1,4
300,0.0001,1,4,0,4
300,0.0001,0,0,4,4
300,0.0005,1,4,0,4
300,0.0005,0,0,4,4
300,0.001,1,4,0,4
300,0.001,0,0,4,4
300,0.005,1,4,0,4
300,0.005,0,0,4,4
300,0.01,1,4,0,4
300,0.01,0,0,4,4
300,0.05,1,4,0,4
300,0.05,0,0,4,4
300,0.1,1,4,0,4
300,0.1,0,2,2,4
300,0.2,1,4,0,4
300,0.2,0,1,3,4
300,0.4,1,4,0,4
300,0.4,0,3,1,4
300,0.0001,1,3,1,4
300,0.0001,0,0,4,4
300,0.0005,1,4,0,4
300,0.0005,0,0,4,4
300,0.001,1,4,0,4
300,0.001,0,0,4,4
300,0.005,1,4,0,4
300,0.005,0,0,4,4
300,0.01,1,4,0,4
300,0.01,0,0,4,4
300,0.05,1,4,0,4
300,0.05,0,0,4,4
300,0.1,1,4,0,4
300,0.1,0,1,3,4
300,0.2,1,4,0,4
300,0.2,0,3,1,4
300,0.4,1,4,0,4
300,0.4,0,4,0,4
300,0.0001,1,4,0,4
300,0.0001,0,0,4,4
300,0.0005,1,4,0,4
300,0.0005,0,0,4,4
300,0.001,1,4,0,4
300,0.001,0,0,4,4
300,0.005,1,4,0,4
300,0.005,0,0,4,4
300,0.01,1,4,0,4
300,0.01,0,0,4,4
300,0.05,1,4,0,4
300,0.05,0,0,4,4
300,0.1,1,4,0,4
300,0.1,0,0,4,4
300,0.2,1,4,0,4
300,0.2,0,2,2,4
300,0.4,1,4,0,4
300,0.4,0,4,0,4
300,0.0001,1,4,0,4
300,0.0001,0,0,4,4
300,0.0005,1,4,0,4
300,0.0005,0,0,4,4
300,0.001,1,4,0,4
300,0.001,0,0,4,4
300,0.005,1,4,0,4
300,0.005,0,0,4,4
300,0.01,1,4,0,4
300,0.01,0,0,4,4
300,0.05,1,4,0,4
300,0.05,0,0,4,4
300,0.1,1,4,0,4
300,0.1,0,3,1,4
300,0.2,1,4,0,4
300,0.2,0,2,2,4
300,0.4,1,4,0,4
300,0.4,0,4,0,4
300,0.0001,1,4,0,4
300,0.0001,0,0,4,4
300,0.0005,1,4,0,4
300,0.0005,0,0,4,4
300,0.001,1,4,0,4
300,0.001,0,0,4,4
300,0.005,1,4,0,4
300,0.005,0,0,4,4
300,0.01,1,4,0,4
300,0.01,0,0,4,4
300,0.05,1,4,0,4
300,0.05,0,0,4,4
300,0.1,1,4,0,4
300,0.1,0,1,3,4
300,0.2,1,4,0,4
300,0.2,0,3,1,4
300,0.4,1,4,0,4
300,0.4,0,3,1,4
300,0.0001,1,4,0,4
300,0.0001,0,0,4,4
300,0.0005,1,4,0,4
300,0.0005,0,0,4,4
300,0.001,1,4,0,4
300,0.001,0,0,4,4
300,0.005,1,4,0,4
300,0.005,0,0,4,4
300,0.01,1,4,0,4
300,0.01,0,0,4,4
300,0.05,1,4,0,4
300,0.05,0,0,4,4
300,0.1,1,4,0,4
300,0.1,0,0,4,4
300,0.2,1,4,0,4
300,0.2,0,2,2,4
300,0.4,1,4,0,4
300,0.4,0,3,1,4
