#flows,time,epsilon,is_correlated,key,count_chern,byte_chern,pred,true
300,1.2247030735,0.01,1,s4-s5,5.17281991112e-06,0.0981401566981,1,1
300,1.2247030735,0.01,1,s3-s6,1.74987445205e-08,0.0921280630419,1,1
300,1.2247030735,0.01,1,s5-s6,6.39353105645e-11,0.100909242267,1,1
300,1.2247030735,0.01,1,s3-s4,6.81087061369e-08,0.115008758646,1,1
300,1.10217285156,0.01,0,s4-s5,0.00354531936633,0.060037433491,1,0
300,1.10217285156,0.01,0,s3-s6,0.270206068506,0.127995309846,-1,0
300,1.10217285156,0.01,0,s5-s6,0.204964711063,0.0331486705829,-1,0
300,1.10217285156,0.01,0,s3-s4,0.323653642026,0.132162380073,-1,0
300,1.20818972588,0.01,-1,s4-s5,0.304370989362,0.0998040887738,-1,-1
300,1.20818972588,0.01,-1,s3-s6,0.260871542175,0.517071967112,-1,-1
300,1.20818972588,0.01,-1,s5-s6,0.145030313729,0.116248540276,-1,-1
300,1.20818972588,0.01,-1,s3-s4,0.301427779267,0.505012254984,-1,-1
300,1.24834775925,0.01,1,s4-s5,3.83847589426e-08,0.0226219599799,1,1
300,1.24834775925,0.01,1,s3-s6,3.6799412738e-13,0.0837674639103,1,1
300,1.24834775925,0.01,1,s5-s6,5.96460976636e-08,0.0852659512927,1,1
300,1.24834775925,0.01,1,s3-s4,2.28500724243e-09,0.111871599371,1,1
300,1.46971535683,0.01,0,s4-s5,0.0789035451723,0.0410715092036,-1,0
300,1.46971535683,0.01,0,s3-s6,0.0644857899223,0.117722846622,-1,0
300,1.46971535683,0.01,0,s5-s6,0.323653642026,0.036329763818,-1,0
300,1.46971535683,0.01,0,s3-s4,0.121691818871,0.124766684712,-1,0
