#flows,iteration,time,epsilon,r_threshold,is_correlated,key,count_chern,byte_chern,pred,true
100,0,0.4079027176,0.001,0.01,1,s4-s5,0.0003221103,0.000000236,1,1
100,0,0.4079027176,0.001,0.01,1,s3-s6,0.0128108974,1.34520431877E-09,0,1
100,0,0.4079027176,0.001,0.01,1,s5-s6,1.97654205427E-06,7.91991540493E-05,1,1
100,0,0.4079027176,0.001,0.01,1,s3-s4,4.27628489779E-05,0.0203111391,1,1
100,0,0.497505188,0.001,0.01,0,s4-s5,0.0859658929,0.0017697571,-1,0
100,0,0.497505188,0.001,0.01,0,s3-s6,0.0270628051,2.51226052026E-10,0,0
100,0,0.497505188,0.001,0.01,0,s5-s6,0.4561527074,0.0013446841,-1,0
100,0,0.497505188,0.001,0.01,0,s3-s4,0.0545075621,0.0096358794,-1,0
100,0,0.4123179913,0.001,0.01,-1,s4-s5,0.1790325914,0.7083395825,-1,-1
100,0,0.4123179913,0.001,0.01,-1,s3-s6,0.038560286,0.3358605735,-1,-1
100,0,0.4123179913,0.001,0.01,-1,s5-s6,0.4561527074,0.3392186628,-1,-1
100,0,0.4123179913,0.001,0.01,-1,s3-s4,0.3197484741,0.1554947151,-1,-1
200,0,0.9532492161,0.001,0.01,1,s4-s5,3.07943499636E-08,9.51887400227E-15,1,1
200,0,0.9532492161,0.001,0.01,1,s3-s6,7.58153430298E-10,8.3330032245E-26,1,1
200,0,0.9532492161,0.001,0.01,1,s5-s6,6.8718082605E-06,0.0001239568,1,1
200,0,0.9532492161,0.001,0.01,1,s3-s4,1.68988301426E-05,0.000227267,1,1
200,0,0.8847715855,0.001,0.01,0,s4-s5,0.545724271,6.34962365766E-11,0,0
200,0,0.8847715855,0.001,0.01,0,s3-s6,0.0165108167,1.43812621231E-10,0,0
200,0,0.8847715855,0.001,0.01,0,s5-s6,0.0401085902,3.88436184777E-13,0,0
200,0,0.8847715855,0.001,0.01,0,s3-s4,0.1730897242,1.1998131131E-11,0,0
200,0,0.9789059162,0.001,0.01,-1,s4-s5,0.0877717082,0.2427835656,-1,-1
200,0,0.9789059162,0.001,0.01,-1,s3-s6,0.0029888247,0.0180740201,-1,-1
200,0,0.9789059162,0.001,0.01,-1,s5-s6,0.1709573954,0.0015036661,-1,-1
200,0,0.9789059162,0.001,0.01,-1,s3-s4,0.0831604892,0.0010404412,-1,-1
300,0,1.5862796307,0.001,0.01,1,s4-s5,1.47925938911E-09,2.83600249265E-13,1,1
300,0,1.5862796307,0.001,0.01,1,s3-s6,1.27940121807E-09,6.17077894222E-36,1,1
300,0,1.5862796307,0.001,0.01,1,s5-s6,7.80047679494E-12,1.37055389508E-05,1,1
300,0,1.5862796307,0.001,0.01,1,s3-s4,1.23592871801E-09,1.6205299191E-07,1,1
300,0,1.7736105919,0.001,0.01,0,s4-s5,0.1118434234,6.77952826401E-22,0,0
300,0,1.7736105919,0.001,0.01,0,s3-s6,0.0246857988,6.65746846237E-20,0,0
300,0,1.7736105919,0.001,0.01,0,s5-s6,0.027763595,7.4878536489E-06,0,0
300,0,1.7736105919,0.001,0.01,0,s3-s4,0.0094835605,1.4079671036E-25,0,0
300,0,1.3382890225,0.001,0.01,-1,s4-s5,0.2945491489,0.0252905102,-1,-1
300,0,1.3382890225,0.001,0.01,-1,s3-s6,0.0118063179,0.0525936694,-1,-1
300,0,1.3382890225,0.001,0.01,-1,s5-s6,0.0105835258,0.0090980948,-1,-1
300,0,1.3382890225,0.001,0.01,-1,s3-s4,0.097571004,0.0928920353,-1,-1
400,0,2.1520609856,0.001,0.01,1,s4-s5,6.01053305573E-08,3.91876058936E-37,1,1
400,0,2.1520609856,0.001,0.01,1,s3-s6,0.000000709,2.72550183276E-27,1,1
400,0,2.1520609856,0.001,0.01,1,s5-s6,3.35899458917E-09,2.47668678794E-06,1,1
400,0,2.1520609856,0.001,0.01,1,s3-s4,4.86886683256E-16,3.16389787659E-06,1,1
400,0,2.1240260601,0.001,0.01,0,s4-s5,0.0049758869,9.70734254388E-15,0,0
400,0,2.1240260601,0.001,0.01,0,s3-s6,0.2305945741,1.2688760565E-11,0,0
400,0,2.1240260601,0.001,0.01,0,s5-s6,0.2305945741,2.13938610034E-09,0,0
400,0,2.1240260601,0.001,0.01,0,s3-s4,0.130046973,4.49906865596E-12,0,0
400,0,1.9249939919,0.001,0.01,-1,s4-s5,0.0001083658,0.2067431016,1,-1
400,0,1.9249939919,0.001,0.01,-1,s3-s6,0.0718168298,2.68648792365E-05,0,-1
400,0,1.9249939919,0.001,0.01,-1,s5-s6,0.1096956863,0.2556694743,-1,-1
400,0,1.9249939919,0.001,0.01,-1,s3-s4,0.0049569966,1.17862495428E-06,0,-1
500,0,1.1411631107,0.001,0.01,1,s4-s5,1.42432938138E-11,1.31995974199E-38,1,1
500,0,1.1411631107,0.001,0.01,1,s3-s6,3.34699526591E-12,2.38904195746E-26,1,1
500,0,1.1411631107,0.001,0.01,1,s5-s6,9.12271309374E-15,4.09172489974E-06,1,1
500,0,1.1411631107,0.001,0.01,1,s3-s4,1.90116577418E-15,6.99012542778E-48,1,1
500,0,1.1056189537,0.001,0.01,0,s4-s5,0.0789189455,1.34281564786E-36,0,0
500,0,1.1056189537,0.001,0.01,0,s3-s6,0.0568094673,4.40600862086E-08,0,0
500,0,1.1056189537,0.001,0.01,0,s5-s6,0.1799739084,1.9623197268E-23,0,0
500,0,1.1056189537,0.001,0.01,0,s3-s4,0.0780996529,2.78516152042E-19,0,0
500,0,1.0944986343,0.001,0.01,-1,s4-s5,0.0508668583,0.3704504502,-1,-1
500,0,1.0944986343,0.001,0.01,-1,s3-s6,0.1012183498,0.0423305319,-1,-1
500,0,1.0944986343,0.001,0.01,-1,s5-s6,0.004085548,0.0012970077,-1,-1
500,0,1.0944986343,0.001,0.01,-1,s3-s4,0.175200775,0.2939099275,-1,-1
600,0,2.9962518215,0.001,0.01,1,s4-s5,3.94557707468E-14,1.18526851706E-53,1,1
600,0,2.9962518215,0.001,0.01,1,s3-s6,5.08075043131E-14,1.74316596447E-64,1,1
600,0,2.9962518215,0.001,0.01,1,s5-s6,5.69883780925E-20,8.46196784193E-60,1,1
600,0,2.9962518215,0.001,0.01,1,s3-s4,1.59056757044E-16,2.98687181146E-07,1,1
600,0,3.9927136898,0.001,0.01,0,s4-s5,0.1653127299,6.90548848764E-26,0,0
600,0,3.9927136898,0.001,0.01,0,s3-s6,0.2117362903,1.42576938255E-56,0,0
600,0,3.9927136898,0.001,0.01,0,s5-s6,0.1109651202,1.32486317538E-32,0,0
600,0,3.9927136898,0.001,0.01,0,s3-s4,0.0864181917,9.10472142312E-22,0,0
600,0,2.7295553684,0.001,0.01,-1,s4-s5,0.1764408722,0.1860282458,-1,-1
600,0,2.7295553684,0.001,0.01,-1,s3-s6,0.0796107775,0.106064439,-1,-1
600,0,2.7295553684,0.001,0.01,-1,s5-s6,0.2538217625,0.4575016035,-1,-1
600,0,2.7295553684,0.001,0.01,-1,s3-s4,0.0008799739,0.0108745351,1,-1
700,0,4.3893508911,0.001,0.01,1,s4-s5,6.1418409385E-21,2.18629753172E-45,1,1
700,0,4.3893508911,0.001,0.01,1,s3-s6,5.02330747223E-15,2.18372858512E-62,1,1
700,0,4.3893508911,0.001,0.01,1,s5-s6,3.02286678192E-19,2.45736272603E-06,1,1
700,0,4.3893508911,0.001,0.01,1,s3-s4,1.24708800652E-20,7.86487216265E-25,1,1
700,0,3.8647751808,0.001,0.01,0,s4-s5,0.0061530082,4.26674585882E-88,0,0
700,0,3.8647751808,0.001,0.01,0,s3-s6,0.0308066723,4.51446608377E-20,0,0
700,0,3.8647751808,0.001,0.01,0,s5-s6,0.0159894736,1.4510926245E-28,0,0
700,0,3.8647751808,0.001,0.01,0,s3-s4,0.0019820161,1.82912875707E-41,0,0
700,0,3.8088486195,0.001,0.01,-1,s4-s5,0.0140826973,0.3424696682,-1,-1
700,0,3.8088486195,0.001,0.01,-1,s3-s6,0.0810670791,0.1919591474,-1,-1
700,0,3.8088486195,0.001,0.01,-1,s5-s6,0.0232358689,0.0049554081,-1,-1
700,0,3.8088486195,0.001,0.01,-1,s3-s4,0.0028298205,0.0070816236,-1,-1
800,0,4.6826584339,0.001,0.01,1,s4-s5,7.48350304489E-17,2.40203490235E-64,1,1
800,0,4.6826584339,0.001,0.01,1,s3-s6,2.45604733132E-17,3.95421505586E-115,1,1
800,0,4.6826584339,0.001,0.01,1,s5-s6,9.68077804922E-25,0.000000001,1,1
800,0,4.6826584339,0.001,0.01,1,s3-s4,3.04516336349E-19,3.28836664141E-18,1,1
800,0,4.5539519787,0.001,0.01,0,s4-s5,0.1467380476,3.58099479198E-37,0,0
800,0,4.5539519787,0.001,0.01,0,s3-s6,0.2073650273,4.63387262407E-30,0,0
800,0,4.5539519787,0.001,0.01,0,s5-s6,0.0639628218,2.84160772269E-39,0,0
800,0,4.5539519787,0.001,0.01,0,s3-s4,0.1423517355,1.46735052613E-43,0,0
800,0,4.1164381504,0.001,0.01,-1,s4-s5,0.0094393683,0.0001590844,-1,-1
800,0,4.1164381504,0.001,0.01,-1,s3-s6,0.2544657581,0.3312312805,-1,-1
800,0,4.1164381504,0.001,0.01,-1,s5-s6,0.1366318056,0.0487946725,-1,-1
800,0,4.1164381504,0.001,0.01,-1,s3-s4,0.0282875923,0.0353825839,-1,-1
100,1,0.4935185909,0.001,0.01,1,s4-s5,0.2889956534,1.01728688055E-06,0,1
100,1,0.4935185909,0.001,0.01,1,s3-s6,0.0154643695,6.51201715143E-07,0,1
100,1,0.4935185909,0.001,0.01,1,s5-s6,0.0601775042,0.000153166,-1,1
100,1,0.4935185909,0.001,0.01,1,s3-s4,0.0001021413,0.0087459654,1,1
100,1,0.5227322578,0.001,0.01,0,s4-s5,0.4966280275,2.89183245008E-05,0,0
100,1,0.5227322578,0.001,0.01,0,s3-s6,0.0270628051,1.07994651512E-11,0,0
100,1,0.5227322578,0.001,0.01,0,s5-s6,0.0449347252,4.92137578701E-08,0,0
100,1,0.5227322578,0.001,0.01,0,s3-s4,0.1833963102,9.47827464054E-07,0,0
100,1,0.5464861393,0.001,0.01,-1,s4-s5,0.167047449,0.0087002365,-1,-1
100,1,0.5464861393,0.001,0.01,-1,s3-s6,0.6912566363,0.5868728136,-1,-1
100,1,0.5464861393,0.001,0.01,-1,s5-s6,0.2319703834,0.3125116768,-1,-1
100,1,0.5464861393,0.001,0.01,-1,s3-s4,0.017967965,0.0125948326,-1,-1
200,1,1.0713348389,0.001,0.01,1,s4-s5,0.000001107,1.50226705733E-10,1,1
200,1,1.0713348389,0.001,0.01,1,s3-s6,1.08527742721E-05,1.80733634308E-14,1,1
200,1,1.0713348389,0.001,0.01,1,s5-s6,6.00005178403E-11,4.08974862538E-16,1,1
200,1,1.0713348389,0.001,0.01,1,s3-s4,6.6060297859E-07,0.012885595,1,1
200,1,1.0623621941,0.001,0.01,0,s4-s5,0.001584679,1.88724781472E-07,0,0
200,1,1.0623621941,0.001,0.01,0,s3-s6,0.017314104,0.0078273112,-1,0
200,1,1.0623621941,0.001,0.01,0,s5-s6,0.1186623601,7.03130549476E-26,0,0
200,1,1.0623621941,0.001,0.01,0,s3-s4,0.1050484145,9.08566042148E-11,0,0
200,1,1.0088582039,0.001,0.01,-1,s4-s5,0.2314572965,0.0142407518,-1,-1
200,1,1.0088582039,0.001,0.01,-1,s3-s6,0.0381473835,3.43447529559E-11,0,-1
200,1,1.0088582039,0.001,0.01,-1,s5-s6,0.0817609936,0.0676135141,-1,-1
200,1,1.0088582039,0.001,0.01,-1,s3-s4,0.0108814365,0.0065057228,-1,-1
300,1,1.5592172146,0.001,0.01,1,s4-s5,1.29212821036E-06,1.47887012992E-15,1,1
300,1,1.5592172146,0.001,0.01,1,s3-s6,7.49130275347E-10,4.45256521176E-54,1,1
300,1,1.5592172146,0.001,0.01,1,s5-s6,1.50176845371E-09,1.610439678E-11,1,1
300,1,1.5592172146,0.001,0.01,1,s3-s4,1.7150504456E-07,4.20696900426E-16,1,1
300,1,1.581692934,0.001,0.01,0,s4-s5,0.1619199553,4.18085846228E-08,0,0
300,1,1.581692934,0.001,0.01,0,s3-s6,0.0374536457,1.43357472933E-25,0,0
300,1,1.581692934,0.001,0.01,0,s5-s6,0.4198351411,9.89739163299E-09,0,0
300,1,1.581692934,0.001,0.01,0,s3-s4,0.0674370979,4.92978081662E-13,0,0
300,1,1.51567173,0.001,0.01,-1,s4-s5,0.0542861174,0.1655915161,-1,-1
300,1,1.51567173,0.001,0.01,-1,s3-s6,0.2045477495,0.00325931,-1,-1
300,1,1.51567173,0.001,0.01,-1,s5-s6,0.0150661077,0.0176682965,-1,-1
300,1,1.51567173,0.001,0.01,-1,s3-s4,0.0577184899,0.0272933225,-1,-1
400,1,2.3005585671,0.001,0.01,1,s4-s5,4.21247963583E-12,4.95856213452E-26,1,1
400,1,2.3005585671,0.001,0.01,1,s3-s6,3.57003895752E-10,9.63348452577E-29,1,1
400,1,2.3005585671,0.001,0.01,1,s5-s6,1.2941575796E-13,3.98101107947E-07,1,1
400,1,2.3005585671,0.001,0.01,1,s3-s4,3.69695018953E-12,2.48961299107E-08,1,1
400,1,2.2206447125,0.001,0.01,0,s4-s5,0.193966339,3.06924189734E-12,0,0
400,1,2.2206447125,0.001,0.01,0,s3-s6,0.0122402304,1.48620420966E-21,0,0
400,1,2.2206447125,0.001,0.01,0,s5-s6,0.1358108756,1.43552466909E-11,0,0
400,1,2.2206447125,0.001,0.01,0,s3-s4,0.0388531393,2.14503854632E-16,0,0
400,1,2.1274414063,0.001,0.01,-1,s4-s5,0.0254399043,0.0442348416,-1,-1
400,1,2.1274414063,0.001,0.01,-1,s3-s6,0.0047304205,0.4936880488,-1,-1
400,1,2.1274414063,0.001,0.01,-1,s5-s6,0.1617860608,0.0592286853,-1,-1
400,1,2.1274414063,0.001,0.01,-1,s3-s4,0.0162083355,0.0033224945,-1,-1
500,1,1.3942792416,0.001,0.01,1,s4-s5,1.85195105657E-16,2.00932158572E-48,1,1
500,1,1.3942792416,0.001,0.01,1,s3-s6,9.14849908481E-14,2.99491670321E-50,1,1
500,1,1.3942792416,0.001,0.01,1,s5-s6,3.34699526591E-12,0.000000999,1,1
500,1,1.3942792416,0.001,0.01,1,s3-s4,1.89570060623E-15,2.34274143506E-31,1,1
500,1,1.1601707935,0.001,0.01,0,s4-s5,0.1418741647,1.92312494051E-21,0,0
500,1,1.1601707935,0.001,0.01,0,s3-s6,0.1497219911,7.49079504234E-15,0,0
500,1,1.1601707935,0.001,0.01,0,s5-s6,0.1309728139,2.53036638493E-25,0,0
500,1,1.1601707935,0.001,0.01,0,s3-s4,0.1040870754,8.58131772061E-25,0,0
500,1,1.0963244438,0.001,0.01,-1,s4-s5,0.0624807833,0.1249211393,-1,-1
500,1,1.0963244438,0.001,0.01,-1,s3-s6,0.0927530908,0.0483840531,-1,-1
500,1,1.0963244438,0.001,0.01,-1,s5-s6,0.1839636234,0.5000115889,-1,-1
500,1,1.0963244438,0.001,0.01,-1,s3-s4,0.0225306059,0.0077486584,-1,-1
600,1,3.3615002632,0.001,0.01,1,s4-s5,8.39291458151E-19,1.58601773249E-56,1,1
600,1,3.3615002632,0.001,0.01,1,s3-s6,1.80796247229E-13,1.82540617425E-36,1,1
600,1,3.3615002632,0.001,0.01,1,s5-s6,9.87873401931E-15,9.66931059469E-11,1,1
600,1,3.3615002632,0.001,0.01,1,s3-s4,3.34742321727E-11,1.65486656075E-38,1,1
600,1,3.0763316155,0.001,0.01,0,s4-s5,0.0041839426,6.26230344611E-30,0,0
