#flows,iteration,time,epsilon,r_threshold,is_correlated,key,count_chern,byte_chern,pred,true
400,0,1.97254037857,0.0001,0.01,1,s4-s5,2.15234803069e-12,1.68460824582e-29,1,1
400,0,1.97254037857,0.0001,0.01,1,s3-s6,1.09853666835e-11,7.4108715223e-38,1,1
400,0,1.97254037857,0.0001,0.01,1,s5-s6,1.88415067474e-11,7.52047661405e-06,1,1
400,0,1.97254037857,0.0001,0.01,1,s3-s4,9.33812287902e-16,1.45486327211e-17,1,1
400,0,1.29928827286,0.0001,0.01,0,s4-s5,0.293810508479,2.24966634569e-08,0,0
400,0,1.29928827286,0.0001,0.01,0,s3-s6,0.0605063200984,9.92666226434e-20,0,0
400,0,1.29928827286,0.0001,0.01,0,s5-s6,0.0276257900527,2.05940621696e-13,0,0
400,0,1.29928827286,0.0001,0.01,0,s3-s4,0.0112293880086,1.18416549999e-16,0,0
400,0,1.63350653648,0.0001,0.01,-1,s4-s5,0.484614088868,0.253807282029,-1,-1
400,0,1.63350653648,0.0001,0.01,-1,s3-s6,0.318106248066,0.0199706620918,-1,-1
400,0,1.63350653648,0.0001,0.01,-1,s5-s6,0.184627402023,0.026792333577,-1,-1
400,0,1.63350653648,0.0001,0.01,-1,s3-s4,0.176187427469,0.0256424153051,-1,-1
400,0,1.9464328289,0.0005,0.01,1,s4-s5,2.97098579308e-06,8.11872535738e-29,1,1
400,0,1.9464328289,0.0005,0.01,1,s3-s6,1.06708644714e-06,6.84946903874e-24,1,1
400,0,1.9464328289,0.0005,0.01,1,s5-s6,2.15234803069e-12,1.19497258867e-08,1,1
400,0,1.9464328289,0.0005,0.01,1,s3-s4,6.97650372519e-14,2.14323965854e-06,1,1
400,0,1.85993051529,0.0005,0.01,0,s4-s5,0.400708166532,1.98421154704e-31,0,0
400,0,1.85993051529,0.0005,0.01,0,s3-s6,0.271869340475,2.4152164566e-20,0,0
400,0,1.85993051529,0.0005,0.01,0,s5-s6,0.0314666503112,9.26943796568e-09,0,0
400,0,1.85993051529,0.0005,0.01,0,s3-s4,0.225907308698,2.77792827806e-16,0,0
400,0,1.80872654915,0.0005,0.01,-1,s4-s5,0.105242269876,0.371319938362,-1,-1
400,0,1.80872654915,0.0005,0.01,-1,s3-s6,0.0343825575666,0.120814448379,-1,-1
400,0,1.80872654915,0.0005,0.01,-1,s5-s6,0.0295279993023,0.000764817625124,-1,-1
400,0,1.80872654915,0.0005,0.01,-1,s3-s4,0.0212602310334,0.182732594276,-1,-1
400,0,1.47763180733,0.001,0.01,1,s4-s5,8.30822051991e-07,2.14043200727e-20,1,1
400,0,1.47763180733,0.001,0.01,1,s3-s6,9.64941631463e-09,2.16257744391e-21,1,1
400,0,1.47763180733,0.001,0.01,1,s5-s6,4.86920397791e-18,1.21770285234e-07,1,1
400,0,1.47763180733,0.001,0.01,1,s3-s4,5.0889739844e-17,2.12672079323e-45,1,1
400,0,1.52282094955,0.001,0.01,0,s4-s5,0.216101670263,1.60072135812e-10,0,0
400,0,1.52282094955,0.001,0.01,0,s3-s6,0.262240407411,1.90778913262e-17,0,0
400,0,1.52282094955,0.001,0.01,0,s5-s6,0.030971043223,1.15095453439e-10,0,0
400,0,1.52282094955,0.001,0.01,0,s3-s4,0.163633852115,8.10513176469e-12,0,0
400,0,1.62894678116,0.001,0.01,-1,s4-s5,0.00409979592805,0.027151044069,-1,-1
400,0,1.62894678116,0.001,0.01,-1,s3-s6,0.144271589525,0.0799818332828,-1,-1
400,0,1.62894678116,0.001,0.01,-1,s5-s6,0.40616296685,0.0550720124857,-1,-1
400,0,1.62894678116,0.001,0.01,-1,s3-s4,0.0299978634576,0.14227796783,-1,-1
400,0,1.77265238762,0.005,0.01,1,s4-s5,2.94634834031e-12,1.58635232035e-27,1,1
400,0,1.77265238762,0.005,0.01,1,s3-s6,2.17004408518e-13,3.14972598708e-57,1,1
400,0,1.77265238762,0.005,0.01,1,s5-s6,1.2881710812e-09,3.29851621909e-43,1,1
400,0,1.77265238762,0.005,0.01,1,s3-s4,5.01712101351e-19,8.90410084066e-26,1,1
400,0,1.87151503563,0.005,0.01,0,s4-s5,0.0287044676489,3.44890426735e-16,0,0
400,0,1.87151503563,0.005,0.01,0,s3-s6,0.157606501709,1.42172541112e-08,0,0
400,0,1.87151503563,0.005,0.01,0,s5-s6,0.271869340475,5.83663314917e-17,0,0
400,0,1.87151503563,0.005,0.01,0,s3-s4,0.133796406843,7.00698028675e-10,0,0
400,0,1.44586968422,0.005,0.01,-1,s4-s5,0.177429027041,9.41026123812e-06,0,-1
400,0,1.44586968422,0.005,0.01,-1,s3-s6,0.172672569016,0.0906016211838,-1,-1
400,0,1.44586968422,0.005,0.01,-1,s5-s6,0.367912430172,0.0575437060373,-1,-1
400,0,1.44586968422,0.005,0.01,-1,s3-s4,0.317916570646,0.21028913494,-1,-1
400,0,1.46413660049,0.01,0.01,1,s4-s5,5.03690731811e-12,3.44261925885e-28,1,1
400,0,1.46413660049,0.01,0.01,1,s3-s6,4.49918574091e-11,5.61313375402e-56,1,1
400,0,1.46413660049,0.01,0.01,1,s5-s6,6.30196361022e-09,6.2476835559e-06,1,1
400,0,1.46413660049,0.01,0.01,1,s3-s4,2.3190605032e-07,3.44993447215e-06,1,1
400,0,1.72141265869,0.01,0.01,0,s4-s5,0.764593712181,2.37177733816e-27,0,0
400,0,1.72141265869,0.01,0.01,0,s3-s6,0.0937406354949,3.63315981176e-26,0,0
400,0,1.72141265869,0.01,0.01,0,s5-s6,0.0917243282692,1.08343600493e-12,0,0
400,0,1.72141265869,0.01,0.01,0,s3-s4,0.200472195244,2.67553489707e-14,0,0
400,0,1.52455878258,0.01,0.01,-1,s4-s5,0.0368275222298,0.000438687400751,-1,-1
400,0,1.52455878258,0.01,0.01,-1,s3-s6,0.0574177111944,6.69776911924e-05,0,-1
400,0,1.52455878258,0.01,0.01,-1,s5-s6,0.0598626991871,0.205875589034,-1,-1
400,0,1.52455878258,0.01,0.01,-1,s3-s4,0.00285216592484,0.0458749565771,1,-1
400,0,1.6726334095,0.05,0.01,1,s4-s5,3.0402929851e-11,1.68407584451e-24,1,1
400,0,1.6726334095,0.05,0.01,1,s3-s6,1.82876423902e-11,2.6365980631e-43,1,1
400,0,1.6726334095,0.05,0.01,1,s5-s6,9.04768777912e-13,0.0045965170209,1,1
400,0,1.6726334095,0.05,0.01,1,s3-s4,1.56081273208e-14,0.000273737245371,1,1
400,0,1.83726668358,0.05,0.01,0,s4-s5,0.197509815622,1.4887222179e-32,0,0
400,0,1.83726668358,0.05,0.01,0,s3-s6,0.0722757974489,1.03995186886e-32,0,0
400,0,1.83726668358,0.05,0.01,0,s5-s6,0.0891520444066,3.7139374842e-14,0,0
400,0,1.83726668358,0.05,0.01,0,s3-s4,0.0032277191265,2.46425498919e-30,1,0
400,0,1.86964035034,0.05,0.01,-1,s4-s5,0.100764949036,0.0563215286383,-1,-1
400,0,1.86964035034,0.05,0.01,-1,s3-s6,0.0293490853484,0.00590443692855,1,-1
400,0,1.86964035034,0.05,0.01,-1,s5-s6,0.0564665121955,0.178203870403,-1,-1
400,0,1.86964035034,0.05,0.01,-1,s3-s4,0.484614088868,0.186221601745,-1,-1
400,0,1.76213788986,0.1,0.01,1,s4-s5,8.28433424528e-12,1.3823448587e-17,1,1
400,0,1.76213788986,0.1,0.01,1,s3-s6,2.7740987052e-11,4.54967149867e-30,1,1
400,0,1.76213788986,0.1,0.01,1,s5-s6,5.05019533003e-09,1.21159857657e-38,1,1
400,0,1.76213788986,0.1,0.01,1,s3-s4,3.29411392989e-10,2.96283208815e-29,1,1
400,0,1.1717414856,0.1,0.01,0,s4-s5,0.0822512041563,4.70487827744e-16,1,0
400,0,1.1717414856,0.1,0.01,0,s3-s6,0.00943257218958,5.02144729473e-16,1,0
400,0,1.1717414856,0.1,0.01,0,s5-s6,0.233366104363,6.37166183266e-20,0,0
400,0,1.1717414856,0.1,0.01,0,s3-s4,0.0184502295289,1.74065201012e-14,1,0
400,0,1.80840396881,0.1,0.01,-1,s4-s5,0.0951709625466,0.335008912661,1,-1
400,0,1.80840396881,0.1,0.01,-1,s3-s6,0.0453637156871,0.0818386920361,1,-1
400,0,1.80840396881,0.1,0.01,-1,s5-s6,0.0726846519411,0.155474645333,1,-1
400,0,1.80840396881,0.1,0.01,-1,s3-s4,0.0204782252787,0.0108282379836,1,-1
400,0,1.11171913147,0.2,0.01,1,s4-s5,5.2556486142e-13,2.60014116462e-28,1,1
400,0,1.11171913147,0.2,0.01,1,s3-s6,2.14217761105e-13,1.24791669601e-54,1,1
400,0,1.11171913147,0.2,0.01,1,s5-s6,8.28433424528e-12,3.04204089822e-06,1,1
400,0,1.11171913147,0.2,0.01,1,s3-s4,4.46434523924e-13,1.91129889747e-08,1,1
400,0,0.976774930954,0.2,0.01,0,s4-s5,0.0805836159838,9.09299249739e-26,1,0
400,0,0.976774930954,0.2,0.01,0,s3-s6,0.0306748843301,2.6880745271e-26,1,0
400,0,0.976774930954,0.2,0.01,0,s5-s6,0.00185185045569,2.04059024927e-10,1,0
400,0,0.976774930954,0.2,0.01,0,s3-s4,0.3297013723,1.51110498196e-13,0,0
400,0,0.854873895645,0.2,0.01,-1,s4-s5,0.0514613073231,0.301037414697,1,-1
400,0,0.854873895645,0.2,0.01,-1,s3-s6,0.0367347756444,0.00710125175381,1,-1
400,0,0.854873895645,0.2,0.01,-1,s5-s6,0.127900672227,0.196250997482,1,-1
400,0,0.854873895645,0.2,0.01,-1,s3-s4,0.324679628263,0.233272526383,-1,-1
400,0,1.09455132484,0.4,0.01,1,s4-s5,1.52996086876e-13,1.32653193103e-31,1,1
400,0,1.09455132484,0.4,0.01,1,s3-s6,4.27788093639e-10,4.65338768211e-24,1,1
400,0,1.09455132484,0.4,0.01,1,s5-s6,8.09332099309e-12,2.82434800244e-06,1,1
400,0,1.09455132484,0.4,0.01,1,s3-s4,6.19555115573e-12,9.11287860406e-23,1,1
400,0,0.923626184464,0.4,0.01,0,s4-s5,0.110946657058,4.79575096493e-11,1,0
400,0,0.923626184464,0.4,0.01,0,s3-s6,0.0348696539652,8.19104183344e-19,1,0
400,0,0.923626184464,0.4,0.01,0,s5-s6,0.0324018591514,1.66436803594e-20,1,0
400,0,0.923626184464,0.4,0.01,0,s3-s4,0.260655010273,1.9272718911e-15,1,0
400,0,0.786015748978,0.4,0.01,-1,s4-s5,0.40450701321,0.0964285112528,-1,-1
400,0,0.786015748978,0.4,0.01,-1,s3-s6,0.216968794592,0.000657303694056,1,-1
400,0,0.786015748978,0.4,0.01,-1,s5-s6,0.0790721262236,0.000252406358939,1,-1
400,0,0.786015748978,0.4,0.01,-1,s3-s4,0.375552933454,0.06426876579,1,-1
400,1,0.933121442795,0.0001,0.01,1,s4-s5,9.43885965383e-12,2.11049742665e-26,1,1
400,1,0.933121442795,0.0001,0.01,1,s3-s6,3.7572297899e-10,8.46014069237e-20,1,1
400,1,0.933121442795,0.0001,0.01,1,s5-s6,3.74356652969e-13,4.12766067011e-11,1,1
400,1,0.933121442795,0.0001,0.01,1,s3-s4,1.07895299364e-16,9.33130519861e-35,1,1
400,1,0.876605272293,0.0001,0.01,0,s4-s5,0.0337758434534,4.16402942034e-12,0,0
400,1,0.876605272293,0.0001,0.01,0,s3-s6,0.0162083354887,7.40816501897e-20,0,0
400,1,0.876605272293,0.0001,0.01,0,s5-s6,0.160103102939,1.28251027532e-18,0,0
400,1,0.876605272293,0.0001,0.01,0,s3-s4,0.00332048660274,7.33171192393e-18,0,0
400,1,0.864065647125,0.0001,0.01,-1,s4-s5,0.0449443028576,3.97198856672e-05,0,-1
400,1,0.864065647125,0.0001,0.01,-1,s3-s6,0.218752842364,0.0722448876094,-1,-1
400,1,0.864065647125,0.0001,0.01,-1,s5-s6,0.230594574139,0.129791437475,-1,-1
400,1,0.864065647125,0.0001,0.01,-1,s3-s4,0.332524607853,0.131581272229,-1,-1
400,1,0.849555015564,0.0005,0.01,1,s4-s5,5.45312138351e-08,1.14219322404e-18,1,1
400,1,0.849555015564,0.0005,0.01,1,s3-s6,5.49436900604e-07,5.73980431094e-33,1,1
400,1,0.849555015564,0.0005,0.01,1,s5-s6,3.0402929851e-11,2.4348514238e-06,1,1
400,1,0.849555015564,0.0005,0.01,1,s3-s4,1.4888003576e-13,2.27916733569e-21,1,1
400,1,0.839121580124,0.0005,0.01,0,s4-s5,0.0872543665419,2.78919718932e-12,0,0
400,1,0.839121580124,0.0005,0.01,0,s3-s6,0.138567663522,1.37206880629e-34,0,0
400,1,0.839121580124,0.0005,0.01,0,s5-s6,0.00747301254989,7.70470743633e-24,0,0
400,1,0.839121580124,0.0005,0.01,0,s3-s4,0.476851695973,2.407183408e-20,0,0
400,1,0.796280384064,0.0005,0.01,-1,s4-s5,0.30606352603,0.234533461179,-1,-1
