#flows,iteration,time,epsilon,r_threshold,is_correlated,key,count_chern,byte_chern,pred,true
400,0,0.987848520279,0.0001,0.01,1,s4-s5,1.2881710812e-09,3.58774930245e-22,1,1
400,0,0.987848520279,0.0001,0.01,1,s3-s6,1.06708369282e-13,7.06402222671e-48,1,1
400,0,0.987848520279,0.0001,0.01,1,s5-s6,8.50126497451e-14,2.92026245403e-06,1,1
400,0,0.987848520279,0.0001,0.01,1,s3-s4,4.21032994939e-08,3.98433854797e-06,1,1
400,0,1.03410196304,0.0001,0.01,0,s4-s5,0.0019236115671,1.18026053662e-11,0,0
400,0,1.03410196304,0.0001,0.01,0,s3-s6,0.443108999293,7.34787946909e-20,0,0
400,0,1.03410196304,0.0001,0.01,0,s5-s6,0.139605404,4.04508545434e-11,0,0
400,0,1.03410196304,0.0001,0.01,0,s3-s4,0.105327149284,2.26121400045e-14,0,0
400,0,0.874661922455,0.0001,0.01,-1,s4-s5,0.317916570646,0.167415943015,-1,-1
400,0,0.874661922455,0.0001,0.01,-1,s3-s6,0.0564665121955,0.190741993811,-1,-1
400,0,0.874661922455,0.0001,0.01,-1,s5-s6,0.0402488485228,0.0132322440253,-1,-1
400,0,0.874661922455,0.0001,0.01,-1,s3-s4,0.131691205893,0.0248586074812,-1,-1
400,0,0.91700553894,0.0005,0.01,1,s4-s5,1.64390860409e-09,1.53430552246e-18,1,1
400,0,0.91700553894,0.0005,0.01,1,s3-s6,2.82740707263e-09,1.16152805906e-24,1,1
400,0,0.91700553894,0.0005,0.01,1,s5-s6,2.29412920577e-10,1.18114680278e-07,1,1
400,0,0.91700553894,0.0005,0.01,1,s3-s4,3.76342933858e-19,1.28568853354e-06,1,1
400,0,0.997376203537,0.0005,0.01,0,s4-s5,0.368776976286,3.36112415134e-16,0,0
400,0,0.997376203537,0.0005,0.01,0,s3-s6,0.0276257900527,2.29458754408e-35,0,0
400,0,0.997376203537,0.0005,0.01,0,s5-s6,0.0558643975861,1.78120423158e-17,0,0
400,0,0.997376203537,0.0005,0.01,0,s3-s4,0.118526739441,3.06884780971e-06,0,0
400,0,0.899154901505,0.0005,0.01,-1,s4-s5,0.271869340475,0.000112723141409,0,-1
400,0,0.899154901505,0.0005,0.01,-1,s3-s6,0.25881793942,0.00836462237431,-1,-1
400,0,0.899154901505,0.0005,0.01,-1,s5-s6,0.108917027933,0.0221845315506,-1,-1
400,0,0.899154901505,0.0005,0.01,-1,s3-s4,0.0471891959943,0.0175318143667,-1,-1
400,0,0.90833568573,0.001,0.01,1,s4-s5,6.3579617108e-13,7.77286189325e-48,1,1
400,0,0.90833568573,0.001,0.01,1,s3-s6,9.88126854534e-05,7.98588327073e-24,1,1
400,0,0.90833568573,0.001,0.01,1,s5-s6,3.38666573807e-10,1.21928993249e-08,1,1
400,0,0.90833568573,0.001,0.01,1,s3-s4,7.54328788457e-09,6.1723693685e-06,1,1
400,0,0.837104558945,0.001,0.01,0,s4-s5,0.0131890819281,3.398288649e-38,0,0
400,0,0.837104558945,0.001,0.01,0,s3-s6,0.63259269842,2.56377411377e-16,0,0
400,0,0.837104558945,0.001,0.01,0,s5-s6,0.0270772867274,7.54798196805e-09,0,0
400,0,0.837104558945,0.001,0.01,0,s3-s4,0.0573366429203,2.02595498813e-09,0,0
