#flows,iteration,epsilon,r_threshold,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
400,0,0.001,0.002,1,4,0,4
400,0,0.001,0.002,0,0,1,4
400,5,0.001,0.002,1,4,0,4
400,0,0.001,0.002,-1,0,1,4
400,5,0.001,0.002,0,0,2,4
400,0,0.001,0.004,1,4,0,4
400,5,0.001,0.002,-1,0,0,4
400,0,0.001,0.004,0,0,0,4
400,5,0.001,0.004,1,4,0,4
400,0,0.001,0.004,-1,0,0,4
400,5,0.001,0.004,0,0,1,4
400,0,0.001,0.006,1,4,0,4
400,5,0.001,0.004,-1,0,0,4
400,0,0.001,0.006,0,1,1,4
400,5,0.001,0.006,1,4,0,4
400,0,0.001,0.006,-1,0,0,4
400,5,0.001,0.006,0,0,4,4
400,0,0.001,0.008,1,4,0,4
400,5,0.001,0.006,-1,0,0,4
400,0,0.001,0.008,0,0,4,4
400,5,0.001,0.008,1,4,0,4
400,0,0.001,0.008,-1,0,0,4
400,5,0.001,0.008,0,0,4,4
400,5,0.001,0.008,-1,1,0,4
400,0,0.001,0.01,1,4,0,4
400,5,0.001,0.01,1,4,0,4
400,0,0.001,0.01,0,0,4,4
400,5,0.001,0.01,0,0,4,4
400,0,0.001,0.01,-1,0,0,4
400,5,0.001,0.01,-1,0,2,4
400,0,0.001,0.012,1,4,0,4
400,5,0.001,0.012,1,4,0,4
400,0,0.001,0.012,0,0,4,4
400,5,0.001,0.012,0,0,4,4
400,0,0.001,0.012,-1,0,0,4
400,1,0.001,0.002,1,4,0,4
400,5,0.001,0.012,-1,0,2,4
400,1,0.001,0.002,0,0,0,4
400,6,0.001,0.002,1,4,0,4
400,1,0.001,0.002,-1,0,0,4
400,6,0.001,0.002,0,0,1,4
400,1,0.001,0.004,1,4,0,4
400,6,0.001,0.002,-1,0,1,4
400,1,0.001,0.004,0,1,2,4
400,6,0.001,0.004,1,4,0,4
400,6,0.001,0.004,0,0,1,4
400,1,0.001,0.004,-1,0,1,4
400,6,0.001,0.004,-1,0,1,4
400,1,0.001,0.006,1,4,0,4
400,6,0.001,0.006,1,4,0,4
400,1,0.001,0.006,0,0,3,4
400,6,0.001,0.006,0,0,4,4
400,1,0.001,0.006,-1,0,0,4
400,6,0.001,0.006,-1,0,0,4
400,1,0.001,0.008,1,4,0,4
400,6,0.001,0.008,1,4,0,4
400,1,0.001,0.008,0,0,4,4
400,6,0.001,0.008,0,0,4,4
400,1,0.001,0.008,-1,1,0,4
400,6,0.001,0.008,-1,0,1,4
400,1,0.001,0.01,1,4,0,4
400,1,0.001,0.01,0,1,3,4
400,6,0.001,0.01,1,4,0,4
400,6,0.001,0.01,0,0,4,4
400,1,0.001,0.01,-1,0,1,4
400,6,0.001,0.01,-1,0,0,4
400,1,0.001,0.012,1,4,0,4
400,6,0.001,0.012,1,4,0,4
400,1,0.001,0.012,0,0,4,4
400,1,0.001,0.012,-1,1,0,4
400,6,0.001,0.012,0,0,4,4
400,2,0.001,0.002,1,4,0,4
400,6,0.001,0.012,-1,0,0,4
400,2,0.001,0.002,0,0,0,4
400,7,0.001,0.002,1,4,0,4
400,2,0.001,0.002,-1,0,0,4
400,7,0.001,0.002,0,0,0,4
400,2,0.001,0.004,1,4,0,4
400,7,0.001,0.002,-1,0,0,4
400,2,0.001,0.004,0,0,2,4
400,7,0.001,0.004,1,4,0,4
400,2,0.001,0.004,-1,1,0,4
400,7,0.001,0.004,0,0,3,4
400,2,0.001,0.006,1,4,0,4
400,7,0.001,0.004,-1,0,0,4
400,7,0.001,0.006,1,4,0,4
400,2,0.001,0.006,0,0,3,4
400,2,0.001,0.006,-1,0,0,4
400,7,0.001,0.006,0,0,4,4
400,2,0.001,0.008,1,4,0,4
400,7,0.001,0.006,-1,0,0,4
400,2,0.001,0.008,0,0,4,4
400,7,0.001,0.008,1,4,0,4
400,7,0.001,0.008,0,0,4,4
400,2,0.001,0.008,-1,0,1,4
400,7,0.001,0.008,-1,0,1,4
400,2,0.001,0.01,1,4,0,4
400,7,0.001,0.01,1,4,0,4
400,2,0.001,0.01,0,0,4,4
400,7,0.001,0.01,0,0,4,4
400,2,0.001,0.01,-1,0,0,4
400,7,0.001,0.01,-1,0,1,4
400,2,0.001,0.012,1,4,0,4
400,7,0.001,0.012,1,4,0,4
400,2,0.001,0.012,0,0,4,4
400,7,0.001,0.012,0,0,4,4
400,2,0.001,0.012,-1,0,1,4
400,7,0.001,0.012,-1,0,0,4
400,3,0.001,0.002,1,4,0,4
400,8,0.001,0.002,1,4,0,4
400,3,0.001,0.002,0,0,0,4
400,8,0.001,0.002,0,0,0,4
400,3,0.001,0.002,-1,0,0,4
400,8,0.001,0.002,-1,0,1,4
400,3,0.001,0.004,1,4,0,4
400,8,0.001,0.004,1,4,0,4
400,3,0.001,0.004,0,0,1,4
400,8,0.001,0.004,0,0,2,4
400,3,0.001,0.004,-1,0,0,4
400,8,0.001,0.004,-1,1,0,4
400,3,0.001,0.006,1,4,0,4
400,8,0.001,0.006,1,4,0,4
400,3,0.001,0.006,0,0,3,4
400,8,0.001,0.006,0,0,4,4
400,3,0.001,0.006,-1,0,0,4
400,8,0.001,0.006,-1,0,1,4
400,3,0.001,0.008,1,4,0,4
400,8,0.001,0.008,1,4,0,4
400,3,0.001,0.008,0,0,4,4
400,8,0.001,0.008,0,1,3,4
400,3,0.001,0.008,-1,0,1,4
400,8,0.001,0.008,-1,0,0,4
400,3,0.001,0.01,1,4,0,4
400,8,0.001,0.01,1,4,0,4
400,3,0.001,0.01,0,0,4,4
400,8,0.001,0.01,0,0,4,4
400,3,0.001,0.01,-1,0,0,4
400,8,0.001,0.01,-1,1,0,4
400,3,0.001,0.012,1,4,0,4
400,8,0.001,0.012,1,4,0,4
400,3,0.001,0.012,0,0,4,4
400,8,0.001,0.012,0,0,4,4
400,3,0.001,0.012,-1,0,0,4
400,8,0.001,0.012,-1,0,0,4
400,4,0.001,0.002,1,4,0,4
400,9,0.001,0.002,1,4,0,4
400,4,0.001,0.002,0,0,0,4
400,9,0.001,0.002,0,0,1,4
400,4,0.001,0.002,-1,0,1,4
400,9,0.001,0.002,-1,0,0,4
400,4,0.001,0.004,1,4,0,4
400,9,0.001,0.004,1,4,0,4
400,4,0.001,0.004,0,0,2,4
400,9,0.001,0.004,0,0,3,4
400,4,0.001,0.004,-1,0,0,4
400,9,0.001,0.004,-1,0,0,4
400,4,0.001,0.006,1,4,0,4
400,9,0.001,0.006,1,4,0,4
400,4,0.001,0.006,0,0,4,4
400,9,0.001,0.006,0,0,3,4
400,4,0.001,0.006,-1,0,0,4
400,9,0.001,0.006,-1,0,0,4
400,4,0.001,0.008,1,4,0,4
400,9,0.001,0.008,1,4,0,4
400,4,0.001,0.008,0,0,4,4
400,9,0.001,0.008,0,0,4,4
400,4,0.001,0.008,-1,0,0,4
