#flows,iteration,epsilon,r_threshold,is_correlated,#correlated_detect
10,0,0.001,0.01,1,1
20,0,0.001,0.01,1,2
30,0,0.001,0.01,1,3
40,0,0.001,0.01,1,2
50,0,0.001,0.01,1,4
60,0,0.001,0.01,1,4
70,0,0.001,0.01,1,4
80,0,0.001,0.01,1,4
90,0,0.001,0.01,1,4
100,0,0.001,0.01,1,4
10,1,0.001,0.01,1,2
20,1,0.001,0.01,1,1
30,1,0.001,0.01,1,3
40,1,0.001,0.01,1,2
50,1,0.001,0.01,1,4
60,1,0.001,0.01,1,4
70,1,0.001,0.01,1,4
80,1,0.001,0.01,1,4
90,1,0.001,0.01,1,4
100,1,0.001,0.01,1,4
10,2,0.001,0.01,1,2
20,2,0.001,0.01,1,2
30,2,0.001,0.01,1,2
40,2,0.001,0.01,1,3
50,2,0.001,0.01,1,4
60,2,0.001,0.01,1,4
70,2,0.001,0.01,1,4
80,2,0.001,0.01,1,4
90,2,0.001,0.01,1,4
100,2,0.001,0.01,1,4
10,3,0.001,0.01,1,2
20,3,0.001,0.01,1,2
30,3,0.001,0.01,1,2
40,3,0.001,0.01,1,1
50,3,0.001,0.01,1,3
60,3,0.001,0.01,1,4
70,3,0.001,0.01,1,4
80,3,0.001,0.01,1,4
90,3,0.001,0.01,1,4
100,3,0.001,0.01,1,4
10,4,0.001,0.01,1,2
20,4,0.001,0.01,1,2
30,4,0.001,0.01,1,1
40,4,0.001,0.01,1,2
50,4,0.001,0.01,1,4
60,4,0.001,0.01,1,4
70,4,0.001,0.01,1,4
80,4,0.001,0.01,1,4
90,4,0.001,0.01,1,4
100,4,0.001,0.01,1,4
10,5,0.001,0.01,1,2
20,5,0.001,0.01,1,2
30,5,0.001,0.01,1,3
40,5,0.001,0.01,1,3
50,5,0.001,0.01,1,1
60,5,0.001,0.01,1,4
70,5,0.001,0.01,1,4
80,5,0.001,0.01,1,4
90,5,0.001,0.01,1,4
100,5,0.001,0.01,1,4
10,6,0.001,0.01,1,1
20,6,0.001,0.01,1,2
30,6,0.001,0.01,1,2
40,6,0.001,0.01,1,1
50,6,0.001,0.01,1,3
60,6,0.001,0.01,1,4
70,6,0.001,0.01,1,4
80,6,0.001,0.01,1,4
90,6,0.001,0.01,1,4
100,6,0.001,0.01,1,4
10,7,0.001,0.01,1,2
20,7,0.001,0.01,1,2
30,7,0.001,0.01,1,2
40,7,0.001,0.01,1,3
50,7,0.001,0.01,1,4
60,7,0.001,0.01,1,4
70,7,0.001,0.01,1,4
80,7,0.001,0.01,1,4
90,7,0.001,0.01,1,4
100,7,0.001,0.01,1,4
10,8,0.001,0.01,1,1
20,8,0.001,0.01,1,2
30,8,0.001,0.01,1,3
40,8,0.001,0.01,1,4
50,8,0.001,0.01,1,4
60,8,0.001,0.01,1,4
70,8,0.001,0.01,1,4
80,8,0.001,0.01,1,4
90,8,0.001,0.01,1,4
100,8,0.001,0.01,1,4
10,9,0.001,0.01,1,2
20,9,0.001,0.01,1,2
30,9,0.001,0.01,1,2
40,9,0.001,0.01,1,3
50,9,0.001,0.01,1,4
60,9,0.001,0.01,1,4
70,9,0.001,0.01,1,4
80,9,0.001,0.01,1,4
90,9,0.001,0.01,1,4
100,9,0.001,0.01,1,4
