#flows,is_correlated,#correlated_detect
200,1,2
250,1,2
300,1,2
350,1,2
400,1,2
450,1,2
500,1,2
550,1,3
200,1,2
250,1,2
300,1,2
350,1,2
400,1,2
450,1,3
500,1,3
550,1,3
200,1,2
250,1,2
300,1,2
350,1,2
400,1,2
450,1,2
500,1,4
550,1,3
200,1,2
250,1,2
300,1,2
350,1,2
400,1,2
450,1,2
500,1,2
550,1,3
200,1,2
250,1,2
300,1,2
350,1,2
400,1,2
450,1,2
500,1,2
550,1,2
200,1,2
250,1,2
300,1,2
350,1,2
400,1,2
450,1,3
500,1,3
550,1,4
200,1,2
250,1,2
300,1,2
350,1,2
400,1,2
450,1,2
500,1,3
550,1,3
200,1,2
250,1,2
300,1,2
350,1,2
400,1,2
450,1,2
500,1,2
550,1,2
200,1,2
250,1,2
300,1,2
350,1,3
400,1,2
450,1,2
500,1,3
550,1,2
200,1,2
250,1,2
300,1,2
350,1,2
400,1,2
450,1,2
500,1,2
550,1,2
600,1,4
650,1,2
600,1,2
650,1,3
600,1,3
650,1,3
600,1,4
650,1,3
600,1,1
650,1,2
600,1,4
650,1,4
600,1,1
650,1,4
600,1,2
650,1,3
600,1,3
650,1,3
600,1,3
650,1,2
700,1,4
750,1,4
700,1,3
750,1,4
700,1,2
750,1,4
700,1,4
750,1,4
700,1,3
750,1,4
700,1,4
750,1,4
700,1,3
750,1,3
700,1,4
750,1,4
700,1,4
750,1,2
700,1,3
750,1,3
800,1,4
850,1,4
800,1,3
850,1,4
800,1,4
850,1,4
800,1,4
850,1,4
800,1,3
850,1,4
800,1,3
850,1,4
800,1,3
850,1,4
800,1,3
850,1,4
800,1,4
850,1,4
800,1,4
850,1,4
900,1,4
950,1,4
900,1,4
950,1,4
900,1,4
950,1,4
900,1,4
950,1,4
900,1,4
950,1,4
900,1,4
950,1,4
900,1,4
950,1,4
900,1,4
950,1,4
900,1,3
950,1,4
900,1,4
950,1,4
1000,1,4
1050,1,4
1000,1,4
1050,1,4
1000,1,4
1050,1,4
1000,1,4
1050,1,4
1000,1,4
1050,1,4
1000,1,4
1050,1,4
1000,1,4
1050,1,4
1000,1,4
1050,1,4
1000,1,4
1050,1,4
1000,1,4
1050,1,4
