#flows,iteration,r_threshold,imr_threshold,p_t,topk,is_correlated,#case_detect,len(class_dict)
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,1,1,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,1,1,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,1,1,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,1,1,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,1,1,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,1,1,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,1,1,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,1,1,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,1,1,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,1,1,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,1,1,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,1,1,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,1,1,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,1,1,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,1,1,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,0,0,1
500,0,0.2,0.1,0.1,2,1,1,1
500,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,0,1,1
1000,0,0.2,0.1,0.1,2,1,1,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,0,1,1
1000,0,0.2,0.1,0.1,2,1,1,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,0,1,1
1000,0,0.2,0.1,0.1,2,1,1,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,1,1,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,1,1,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,1,1,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,1,1,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,0,1,1
1000,0,0.2,0.1,0.1,2,1,1,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,1,1,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,1,1,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,1,1,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,1,1,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,1,1,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,1,1,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,0,1,1
1000,0,0.2,0.1,0.1,2,1,1,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,0,0,1
1000,0,0.2,0.1,0.1,2,1,1,1
1000,0,0.2,0.1,0.1,2,0,0,1
1500,0,0.2,0.1,0.1,2,0,1,1
1500,0,0.2,0.1,0.1,2,1,1,1
1500,0,0.2,0.1,0.1,2,0,0,1
1500,0,0.2,0.1,0.1,2,0,0,1
1500,0,0.2,0.1,0.1,2,1,1,1
1500,0,0.2,0.1,0.1,2,0,1,1
1500,0,0.2,0.1,0.1,2,0,0,1
1500,0,0.2,0.1,0.1,2,1,1,1
1500,0,0.2,0.1,0.1,2,0,1,1
1500,0,0.2,0.1,0.1,2,0,0,1
1500,0,0.2,0.1,0.1,2,1,1,1
1500,0,0.2,0.1,0.1,2,0,0,1
1500,0,0.2,0.1,0.1,2,0,0,1
1500,0,0.2,0.1,0.1,2,1,1,1
1500,0,0.2,0.1,0.1,2,0,0,1
1500,0,0.2,0.1,0.1,2,0,0,1
1500,0,0.2,0.1,0.1,2,1,1,1
1500,0,0.2,0.1,0.1,2,0,0,1
1500,0,0.2,0.1,0.1,2,0,0,1
1500,0,0.2,0.1,0.1,2,1,1,1
1500,0,0.2,0.1,0.1,2,0,1,1
1500,0,0.2,0.1,0.1,2,0,1,1
1500,0,0.2,0.1,0.1,2,1,1,1
1500,0,0.2,0.1,0.1,2,0,1,1
1500,0,0.2,0.1,0.1,2,0,0,1
1500,0,0.2,0.1,0.1,2,1,1,1
1500,0,0.2,0.1,0.1,2,0,0,1
1500,0,0.2,0.1,0.1,2,0,1,1
1500,0,0.2,0.1,0.1,2,1,1,1
1500,0,0.2,0.1,0.1,2,0,1,1
1500,0,0.2,0.1,0.1,2,0,1,1
1500,0,0.2,0.1,0.1,2,1,1,1
1500,0,0.2,0.1,0.1,2,0,1,1
1500,0,0.2,0.1,0.1,2,0,0,1
1500,0,0.2,0.1,0.1,2,1,1,1
1500,0,0.2,0.1,0.1,2,0,0,1
1500,0,0.2,0.1,0.1,2,0,0,1
1500,0,0.2,0.1,0.1,2,1,1,1
1500,0,0.2,0.1,0.1,2,0,0,1
1500,0,0.2,0.1,0.1,2,0,1,1
1500,0,0.2,0.1,0.1,2,1,1,1
1500,0,0.2,0.1,0.1,2,0,0,1
1500,0,0.2,0.1,0.1,2,0,0,1
1500,0,0.2,0.1,0.1,2,1,1,1
1500,0,0.2,0.1,0.1,2,0,1,1
1500,0,0.2,0.1,0.1,2,0,0,1
1500,0,0.2,0.1,0.1,2,1,1,1
1500,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,0,0,1
2000,0,0.2,0.1,0.1,2,1,1,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,1,1,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,1,1,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,0,0,1
2000,0,0.2,0.1,0.1,2,1,1,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,1,1,1
2000,0,0.2,0.1,0.1,2,0,0,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,1,1,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,0,0,1
2000,0,0.2,0.1,0.1,2,1,1,1
2000,0,0.2,0.1,0.1,2,0,0,1
2000,0,0.2,0.1,0.1,2,0,0,1
2000,0,0.2,0.1,0.1,2,1,1,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,1,1,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,1,1,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,1,1,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,1,1,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,0,0,1
2000,0,0.2,0.1,0.1,2,1,1,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,0,0,1
2000,0,0.2,0.1,0.1,2,1,1,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,1,1,1
2000,0,0.2,0.1,0.1,2,0,0,1
2000,0,0.2,0.1,0.1,2,0,1,1
2000,0,0.2,0.1,0.1,2,1,1,1
2000,0,0.2,0.1,0.1,2,0,1,1
2500,0,0.2,0.1,0.1,2,0,1,1
2500,0,0.2,0.1,0.1,2,1,1,1
