#flows,epsilon,is_correlated,#case_detect,#all_cases
303384,0.05,0,0,16
303384,0.05,0,0,16
303384,0.05,0,0,16
303384,0.05,0,0,16
303384,0.05,0,0,16
303384,0.05,0,0,16
303384,0.05,0,0,16
303384,0.05,0,0,16
303384,0.05,0,0,16
303384,0.05,0,0,16
303384,0.1,0,0,16
303384,0.1,0,0,16
303384,0.1,0,0,16
303384,0.1,0,0,16
303384,0.1,0,0,16
303384,0.1,0,0,16
303384,0.1,0,0,16
303384,0.1,0,0,16
303384,0.1,0,0,16
303384,0.1,0,0,16
303384,0.2,0,1,16
303384,0.2,0,1,16
303384,0.2,0,0,16
303384,0.2,0,1,16
303384,0.2,0,1,16
303384,0.2,0,0,16
303384,0.2,0,0,16
303384,0.2,0,0,16
303384,0.2,0,1,16
303384,0.2,0,2,16
303384,0.3,0,14,16
303384,0.3,0,12,16
303384,0.3,0,13,16
303384,0.3,0,13,16
303384,0.3,0,10,16
303384,0.3,0,15,16
303384,0.3,0,13,16
303384,0.3,0,13,16
303384,0.3,0,14,16
303384,0.3,0,12,16
303384,0.4,0,16,16
303384,0.4,0,16,16
303384,0.4,0,16,16
303384,0.4,0,16,16
303384,0.4,0,16,16
303384,0.4,0,16,16
303384,0.4,0,16,16
303384,0.4,0,16,16
303384,0.4,0,16,16
303384,0.4,0,16,16
303384,0.5,0,16,16
303384,0.5,0,16,16
303384,0.5,0,16,16
303384,0.5,0,16,16
303384,0.5,0,16,16
303384,0.5,0,16,16
303384,0.5,0,16,16
303384,0.5,0,16,16
303384,0.5,0,16,16
303384,0.5,0,16,16
303384,0.05,1,16,16
303384,0.05,1,16,16
303384,0.05,1,16,16
303384,0.05,1,16,16
303384,0.05,1,16,16
303384,0.05,1,16,16
303384,0.05,1,16,16
303384,0.05,1,16,16
303384,0.05,1,16,16
303384,0.05,1,16,16
303384,0.1,1,16,16
303384,0.1,1,16,16
303384,0.1,1,16,16
303384,0.1,1,16,16
303384,0.1,1,16,16
303384,0.1,1,16,16
303384,0.1,1,16,16
303384,0.1,1,16,16
303384,0.1,1,16,16
303384,0.1,1,16,16
303384,0.2,1,16,16
303384,0.2,1,16,16
303384,0.2,1,16,16
303384,0.2,1,16,16
303384,0.2,1,16,16
303384,0.2,1,16,16
303384,0.2,1,16,16
303384,0.2,1,16,16
303384,0.2,1,16,16
303384,0.2,1,16,16
303384,0.3,1,16,16
303384,0.3,1,16,16
303384,0.3,1,16,16
303384,0.3,1,16,16
303384,0.3,1,16,16
303384,0.3,1,16,16
303384,0.3,1,16,16
303384,0.3,1,16,16
303384,0.3,1,16,16
303384,0.3,1,16,16
303384,0.4,1,16,16
303384,0.4,1,16,16
303384,0.4,1,16,16
303384,0.4,1,16,16
303384,0.4,1,16,16
303384,0.4,1,16,16
303384,0.4,1,16,16
303384,0.4,1,16,16
303384,0.4,1,16,16
303384,0.4,1,16,16
303384,0.5,1,16,16
303384,0.5,1,16,16
303384,0.5,1,16,16
303384,0.5,1,16,16
303384,0.5,1,16,16
303384,0.5,1,16,16
303384,0.5,1,16,16
303384,0.5,1,16,16
303384,0.5,1,16,16
303384,0.5,1,16,16
