#flows,bias_threshold, imr_threshold,is_correlated,#case_detect,#all_cases
303384,0.3,0.05,1,16,16
303384,0.3,0.05,0,8,16
303384,0.3,0.1,1,16,16
303384,0.3,0.1,0,15,16
303384,0.3,0.15,1,16,16
303384,0.3,0.15,0,12,16
303384,0.3,0.2,1,16,16
303384,0.3,0.2,0,15,16
303384,0.3,0.25,1,16,16
303384,0.3,0.25,0,14,16
303384,0.3,0.3,1,16,16
303384,0.3,0.3,0,13,16
303384,0.3,0.05,1,16,16
303384,0.3,0.05,0,15,16
303384,0.3,0.1,1,16,16
303384,0.3,0.1,0,12,16
303384,0.3,0.15,1,16,16
303384,0.3,0.15,0,13,16
303384,0.3,0.2,1,16,16
303384,0.3,0.2,0,11,16
303384,0.3,0.25,1,16,16
303384,0.3,0.25,0,15,16
303384,0.3,0.3,1,16,16
303384,0.3,0.3,0,12,16
303384,0.3,0.05,1,16,16
303384,0.3,0.05,0,12,16
303384,0.3,0.1,1,16,16
303384,0.3,0.1,0,11,16
303384,0.3,0.15,1,16,16
303384,0.3,0.15,0,14,16
303384,0.3,0.2,1,16,16
303384,0.3,0.2,0,14,16
303384,0.3,0.25,1,16,16
303384,0.3,0.25,0,14,16
303384,0.3,0.3,1,16,16
303384,0.3,0.3,0,11,16
303384,0.3,0.05,1,16,16
303384,0.3,0.05,0,15,16
303384,0.3,0.1,1,16,16
303384,0.3,0.1,0,13,16
303384,0.3,0.15,1,16,16
303384,0.3,0.15,0,12,16
303384,0.3,0.2,1,16,16
303384,0.3,0.2,0,13,16
303384,0.3,0.25,1,16,16
303384,0.3,0.25,0,15,16
303384,0.3,0.3,1,16,16
303384,0.3,0.3,0,16,16
303384,0.3,0.05,1,16,16
303384,0.3,0.05,0,11,16
303384,0.3,0.1,1,16,16
303384,0.3,0.1,0,14,16
303384,0.3,0.15,1,16,16
303384,0.3,0.15,0,15,16
303384,0.3,0.2,1,16,16
303384,0.3,0.2,0,11,16
303384,0.3,0.25,1,16,16
303384,0.3,0.25,0,12,16
303384,0.3,0.3,1,16,16
303384,0.3,0.3,0,14,16
303384,0.3,0.05,1,16,16
303384,0.3,0.05,0,15,16
303384,0.3,0.1,1,16,16
303384,0.3,0.1,0,12,16
303384,0.3,0.15,1,16,16
303384,0.3,0.15,0,11,16
303384,0.3,0.2,1,16,16
303384,0.3,0.2,0,12,16
303384,0.3,0.25,1,16,16
303384,0.3,0.25,0,12,16
303384,0.3,0.3,1,16,16
303384,0.3,0.3,0,14,16
303384,0.3,0.05,1,16,16
303384,0.3,0.05,0,11,16
303384,0.3,0.1,1,16,16
303384,0.3,0.1,0,13,16
303384,0.3,0.15,1,16,16
303384,0.3,0.15,0,11,16
303384,0.3,0.2,1,16,16
303384,0.3,0.2,0,15,16
303384,0.3,0.25,1,16,16
303384,0.3,0.25,0,13,16
303384,0.3,0.3,1,16,16
303384,0.3,0.3,0,10,16
303384,0.3,0.05,1,16,16
303384,0.3,0.05,0,15,16
303384,0.3,0.1,1,16,16
303384,0.3,0.1,0,13,16
303384,0.3,0.15,1,16,16
303384,0.3,0.15,0,14,16
