#flows,is_correlated,key,count_chern,byte_chern,class
5000,1,ah226-al225,0.0149803518572,0.00106652592111,-1
5000,1,ah2-al1,0.0922928786332,0.197450906915,-1
5000,1,ah65-al65,0.247353164232,0.179477030995,-1
5000,1,ah66-al65,0.00949479455817,0.0562229236675,-1
5000,1,ah194-al193,0.141940234206,0.0639560742912,-1
5000,1,ah98-al97,0.0118956530259,0.210705353612,-1
5000,1,ah225-al225,0.180821026681,0.356123904705,-1
5000,1,ah97-al97,0.00251862053514,0.00147489596429,-1
5000,1,ah161-al161,0.0864304905993,0.0260000369225,-1
5000,1,ah33-al33,0.0336726528733,0.0749389571151,-1
5000,1,ah193-al193,0.00046139433545,0.0142865135882,1
5000,1,ah162-al161,0.277603685515,0.0784863625515,-1
5000,1,ah1-al1,0.00261760202115,0.0815390069365,-1
5000,1,ah34-al33,0.102615413239,0.228261644265,-1
7500,1,ah226-al225,0.0323118022422,0.0329316344622,-1
7500,1,ah2-al1,0.00128235002908,0.130349167588,-1
7500,1,ah65-al65,0.00155002204024,0.0445499980774,-1
7500,1,ah66-al65,0.000554266252388,0.248143913887,1
7500,1,ah194-al193,0.0196584048071,0.00371007570903,-1
7500,1,ah98-al97,0.000103683561781,0.00068133799971,1
7500,1,ah225-al225,0.0300540788872,0.0842518252184,-1
7500,1,ah97-al97,0.000457357017324,0.042463253478,1
7500,1,ah161-al161,0.0439707248706,0.282223669675,-1
7500,1,ah33-al33,0.00208603410647,0.0295397965082,-1
7500,1,ah193-al193,0.0245795349569,0.0682228874788,-1
7500,1,ah162-al161,0.00224502246309,0.0895209337532,-1
7500,1,ah1-al1,0.00141130980666,0.0124753185218,-1
7500,1,ah34-al33,0.00874433056451,0.187512981569,-1
10000,1,ah226-al225,0.000256896784733,5.33231006338e-05,1
10000,1,ah2-al1,0.00998953621381,0.0870812744335,-1
10000,1,ah65-al65,0.0332017385918,0.00922828075545,-1
10000,1,ah66-al65,1.79265797786e-06,2.95482971862e-07,1
10000,1,ah194-al193,4.41365512659e-05,0.0295619550097,1
10000,1,ah98-al97,5.45336712583e-07,0.000232998732999,1
10000,1,ah225-al225,0.000289281933081,0.0213390479494,1
10000,1,ah97-al97,0.0286854759222,0.0586284936167,-1
10000,1,ah161-al161,0.00875188129721,0.0422680799638,-1
10000,1,ah33-al33,0.00592905217602,0.00105783905697,-1
10000,1,ah193-al193,0.00185864993758,0.0810265307669,-1
10000,1,ah162-al161,0.00407249193894,0.017926701999,-1
10000,1,ah1-al1,0.00187349328102,0.0658772606535,-1
10000,1,ah34-al33,0.000152564034527,0.189137136973,1
12500,1,ah226-al225,0.00338722983456,0.00160093538995,-1
12500,1,ah2-al1,0.000441180118902,0.00256129336102,1
12500,1,ah65-al65,0.00292241899584,0.000806984166529,0
12500,1,ah66-al65,1.70806136821e-06,0.00165982917524,1
12500,1,ah194-al193,0.000551969471243,0.00309314213188,1
12500,1,ah98-al97,0.00266390228079,0.0357066156994,-1
12500,1,ah225-al225,0.0271168091755,0.168103951056,-1
12500,1,ah97-al97,0.000210514214906,0.00037242823265,1
12500,1,ah161-al161,0.00101929753794,0.159253191497,-1
12500,1,ah33-al33,0.00168597380549,0.00986945703652,-1
12500,1,ah193-al193,0.00156019133321,0.003407668589,-1
