#flows,time,epsilon,r_threshold,is_correlated,key,count_chern,byte_chern,pred,true
50,1.28202319145,0.001,0.01,1,ah226-al225,0.0242212697562,1.70310354331e-25,0,1
50,1.28202319145,0.001,0.01,1,ah2-al1,0.176191607127,1.94358033379e-18,0,1
50,1.28202319145,0.001,0.01,1,ah65-al65,0.0242212697562,1.59952070602e-16,0,1
50,1.28202319145,0.001,0.01,1,ah66-al65,0.311634593142,2.39182109613e-16,0,1
50,1.28202319145,0.001,0.01,1,ah194-al193,0.311634593142,7.93306614394e-25,0,1
50,1.28202319145,0.001,0.01,1,ah98-al97,0.311634593142,4.33270399648e-14,0,1
50,1.28202319145,0.001,0.01,1,ah225-al225,0.327734993153,9.48754990548e-23,0,1
50,1.28202319145,0.001,0.01,1,ah97-al97,0.537897836293,8.86768307407e-15,0,1
50,1.28202319145,0.001,0.01,1,ah161-al161,0.537897836293,6.9996291148e-23,0,1
50,1.28202319145,0.001,0.01,1,ah33-al33,0.0842897496112,5.70629656146e-19,0,1
50,1.28202319145,0.001,0.01,1,ah193-al193,0.176191607127,1.20096776573e-26,0,1
50,1.28202319145,0.001,0.01,1,ah162-al161,0.176191607127,5.34545728625e-24,0,1
50,1.28202319145,0.001,0.01,1,ah1-al1,0.697070297976,1.44458480913e-18,0,1
50,1.28202319145,0.001,0.01,1,ah34-al33,0.0242212697562,5.4608869612e-12,0,1
50,1.44484829903,0.001,0.01,0,ah226-al225,0.311634593142,3.67642185096e-29,0,0
50,1.44484829903,0.001,0.01,0,ah2-al1,0.525839619627,1.76682825601e-20,0,0
50,1.44484829903,0.001,0.01,0,ah65-al65,0.327734993153,2.35472715449e-14,0,0
50,1.44484829903,0.001,0.01,0,ah66-al65,0.114042676814,3.40558197063e-16,0,0
50,1.44484829903,0.001,0.01,0,ah194-al193,0.537897836293,1.50919957915e-25,0,0
50,1.44484829903,0.001,0.01,0,ah98-al97,0.114042676814,3.8170292169e-16,0,0
50,1.44484829903,0.001,0.01,0,ah225-al225,0.593486008946,1.68555858479e-24,0,0
50,1.44484829903,0.001,0.01,0,ah97-al97,0.327734993153,1.04148540669e-14,0,0
