#flows,epsilon,r_threshold,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
50,0.001,0.01,1,0,14,14
50,0.001,0.01,0,0,14,14
50,0.001,0.01,-1,0,0,14
100,0.001,0.01,1,2,12,14
100,0.001,0.01,0,0,14,14
100,0.001,0.01,-1,0,0,14
150,0.001,0.01,1,3,11,14
150,0.001,0.01,0,0,14,14
150,0.001,0.01,-1,0,0,14
200,0.001,0.01,1,2,12,14
200,0.001,0.01,0,0,14,14
200,0.001,0.01,-1,0,1,14
250,0.001,0.01,1,1,13,14
250,0.001,0.01,0,0,14,14
250,0.001,0.01,-1,0,1,14
300,0.001,0.01,1,4,10,14
300,0.001,0.01,0,0,14,14
300,0.001,0.01,-1,0,0,14
50,0.001,0.01,1,0,14,14
50,0.001,0.01,0,0,14,14
50,0.001,0.01,-1,1,0,14
100,0.001,0.01,1,1,13,14
100,0.001,0.01,0,0,14,14
100,0.001,0.01,-1,0,0,14
150,0.001,0.01,1,2,12,14
150,0.001,0.01,0,0,14,14
150,0.001,0.01,-1,0,1,14
200,0.001,0.01,1,4,10,14
200,0.001,0.01,0,0,14,14
200,0.001,0.01,-1,0,2,14
250,0.001,0.01,1,4,10,14
250,0.001,0.01,0,0,14,14
250,0.001,0.01,-1,0,0,14
300,0.001,0.01,1,6,8,14
300,0.001,0.01,0,0,14,14
300,0.001,0.01,-1,0,1,14
50,0.001,0.01,1,0,14,14
50,0.001,0.01,0,0,14,14
50,0.001,0.01,-1,0,0,14
100,0.001,0.01,1,0,14,14
100,0.001,0.01,0,1,13,14
100,0.001,0.01,-1,0,0,14
150,0.001,0.01,1,2,12,14
150,0.001,0.01,0,0,14,14
150,0.001,0.01,-1,0,1,14
200,0.001,0.01,1,4,10,14
200,0.001,0.01,0,0,14,14
200,0.001,0.01,-1,0,0,14
250,0.001,0.01,1,2,12,14
250,0.001,0.01,0,0,14,14
250,0.001,0.01,-1,0,0,14
300,0.001,0.01,1,5,9,14
300,0.001,0.01,0,0,14,14
300,0.001,0.01,-1,0,0,14
50,0.001,0.01,1,1,13,14
50,0.001,0.01,0,0,14,14
50,0.001,0.01,-1,0,0,14
100,0.001,0.01,1,1,13,14
100,0.001,0.01,0,1,13,14
100,0.001,0.01,-1,1,0,14
150,0.001,0.01,1,4,10,14
150,0.001,0.01,0,0,14,14
150,0.001,0.01,-1,0,0,14
200,0.001,0.01,1,3,11,14
200,0.001,0.01,0,0,14,14
200,0.001,0.01,-1,0,0,14
250,0.001,0.01,1,2,12,14
250,0.001,0.01,0,0,14,14
250,0.001,0.01,-1,0,0,14
300,0.001,0.01,1,3,11,14
300,0.001,0.01,0,0,14,14
300,0.001,0.01,-1,0,0,14
50,0.001,0.01,1,0,14,14
50,0.001,0.01,0,0,14,14
50,0.001,0.01,-1,0,0,14
100,0.001,0.01,1,1,13,14
100,0.001,0.01,0,0,14,14
100,0.001,0.01,-1,0,0,14
150,0.001,0.01,1,3,11,14
150,0.001,0.01,0,1,13,14
150,0.001,0.01,-1,0,0,14
200,0.001,0.01,1,2,12,14
200,0.001,0.01,0,0,14,14
200,0.001,0.01,-1,0,0,14
250,0.001,0.01,1,4,10,14
250,0.001,0.01,0,0,14,14
250,0.001,0.01,-1,0,0,14
300,0.001,0.01,1,7,7,14
300,0.001,0.01,0,0,14,14
300,0.001,0.01,-1,0,2,14
50,0.001,0.01,1,0,14,14
50,0.001,0.01,0,0,14,14
50,0.001,0.01,-1,0,0,14
100,0.001,0.01,1,5,9,14
100,0.001,0.01,0,0,14,14
100,0.001,0.01,-1,0,0,14
150,0.001,0.01,1,2,12,14
150,0.001,0.01,0,1,13,14
150,0.001,0.01,-1,0,0,14
200,0.001,0.01,1,5,9,14
200,0.001,0.01,0,0,14,14
200,0.001,0.01,-1,1,2,14
250,0.001,0.01,1,4,10,14
250,0.001,0.01,0,0,14,14
250,0.001,0.01,-1,0,0,14
300,0.001,0.01,1,5,9,14
300,0.001,0.01,0,0,14,14
300,0.001,0.01,-1,1,0,14
50,0.001,0.01,1,0,14,14
50,0.001,0.01,0,0,14,14
50,0.001,0.01,-1,0,0,14
100,0.001,0.01,1,2,12,14
100,0.001,0.01,0,0,14,14
100,0.001,0.01,-1,0,0,14
150,0.001,0.01,1,2,12,14
150,0.001,0.01,0,0,14,14
150,0.001,0.01,-1,0,0,14
200,0.001,0.01,1,1,13,14
200,0.001,0.01,0,0,14,14
200,0.001,0.01,-1,0,1,14
250,0.001,0.01,1,1,13,14
250,0.001,0.01,0,0,14,14
250,0.001,0.01,-1,0,0,14
300,0.001,0.01,1,6,8,14
300,0.001,0.01,0,0,14,14
300,0.001,0.01,-1,1,1,14
50,0.001,0.01,1,1,13,14
50,0.001,0.01,0,1,13,14
50,0.001,0.01,-1,0,0,14
100,0.001,0.01,1,2,12,14
100,0.001,0.01,0,0,14,14
100,0.001,0.01,-1,0,0,14
150,0.001,0.01,1,3,11,14
150,0.001,0.01,0,0,14,14
150,0.001,0.01,-1,0,0,14
200,0.001,0.01,1,6,8,14
200,0.001,0.01,0,0,14,14
200,0.001,0.01,-1,0,0,14
250,0.001,0.01,1,2,12,14
250,0.001,0.01,0,0,14,14
250,0.001,0.01,-1,1,0,14
300,0.001,0.01,1,6,8,14
300,0.001,0.01,0,0,14,14
300,0.001,0.01,-1,0,1,14
50,0.001,0.01,1,2,12,14
50,0.001,0.01,0,0,14,14
50,0.001,0.01,-1,0,0,14
100,0.001,0.01,1,0,14,14
100,0.001,0.01,0,0,14,14
100,0.001,0.01,-1,0,0,14
150,0.001,0.01,1,2,12,14
150,0.001,0.01,0,0,14,14
150,0.001,0.01,-1,0,0,14
200,0.001,0.01,1,5,9,14
200,0.001,0.01,0,0,14,14
200,0.001,0.01,-1,0,0,14
250,0.001,0.01,1,4,10,14
250,0.001,0.01,0,0,14,14
250,0.001,0.01,-1,0,1,14
300,0.001,0.01,1,5,9,14
300,0.001,0.01,0,0,14,14
300,0.001,0.01,-1,0,0,14
50,0.001,0.01,1,0,14,14
50,0.001,0.01,0,1,13,14
50,0.001,0.01,-1,0,0,14
100,0.001,0.01,1,3,11,14
100,0.001,0.01,0,0,14,14
100,0.001,0.01,-1,1,0,14
150,0.001,0.01,1,2,12,14
150,0.001,0.01,0,0,14,14
150,0.001,0.01,-1,0,2,14
200,0.001,0.01,1,4,10,14
200,0.001,0.01,0,0,14,14
200,0.001,0.01,-1,0,0,14
250,0.001,0.01,1,4,10,14
250,0.001,0.01,0,1,13,14
250,0.001,0.01,-1,0,0,14
300,0.001,0.01,1,7,7,14
300,0.001,0.01,0,0,14,14
300,0.001,0.01,-1,0,1,14
