#flows,iteration,time,epsilon,r_threshold,is_correlated,key,count_chern,byte_chern,pred,true
800,0,18.1599898338,0.0001,0.01,1,ah226-al225,7.51469106488e-05,0.0,1,1
800,0,18.1599898338,0.0001,0.01,1,ah2-al1,8.48152128322e-05,0.0,1,1
800,0,18.1599898338,0.0001,0.01,1,ah65-al65,4.76747399898e-06,0.0,1,1
800,0,18.1599898338,0.0001,0.01,1,ah66-al65,0.000554114553732,0.0,0,1
800,0,18.1599898338,0.0001,0.01,1,ah194-al193,4.9441502597e-05,0.0,1,1
800,0,18.1599898338,0.0001,0.01,1,ah98-al97,2.0452849409e-05,0.0,1,1
800,0,18.1599898338,0.0001,0.01,1,ah225-al225,0.000236901474118,0.0,0,1
800,0,18.1599898338,0.0001,0.01,1,ah97-al97,8.79476717658e-06,0.0,1,1
800,0,18.1599898338,0.0001,0.01,1,ah161-al161,0.000114005926672,0.0,0,1
800,0,18.1599898338,0.0001,0.01,1,ah33-al33,8.04399019925e-08,0.0,1,1
800,0,18.1599898338,0.0001,0.01,1,ah193-al193,0.00744370661243,0.0,0,1
800,0,18.1599898338,0.0001,0.01,1,ah162-al161,4.41505599072e-07,0.0,1,1
800,0,18.1599898338,0.0001,0.01,1,ah1-al1,3.20889371818e-06,0.0,1,1
800,0,18.1599898338,0.0001,0.01,1,ah34-al33,0.000974177596092,0.0,0,1
800,0,16.40483284,0.0001,0.01,0,ah226-al225,0.310892721798,0.0,0,0
800,0,16.40483284,0.0001,0.01,0,ah2-al1,0.0209618443566,0.0,0,0
800,0,16.40483284,0.0001,0.01,0,ah65-al65,0.171333746625,0.0,0,0
800,0,16.40483284,0.0001,0.01,0,ah66-al65,0.20647852587,0.0,0,0
800,0,16.40483284,0.0001,0.01,0,ah194-al193,0.14135327296,0.0,0,0
800,0,16.40483284,0.0001,0.01,0,ah98-al97,0.260417422847,0.0,0,0
800,0,16.40483284,0.0001,0.01,0,ah225-al225,0.058145442877,0.0,0,0
800,0,16.40483284,0.0001,0.01,0,ah97-al97,0.073593480961,0.0,0,0
800,0,16.40483284,0.0001,0.01,0,ah161-al161,0.699295499445,0.0,0,0
800,0,16.40483284,0.0001,0.01,0,ah33-al33,0.310892721798,0.0,0,0
800,0,16.40483284,0.0001,0.01,0,ah193-al193,0.260417422847,0.0,0,0
800,0,16.40483284,0.0001,0.01,0,ah162-al161,0.621674314427,0.0,0,0
800,0,16.40483284,0.0001,0.01,0,ah1-al1,0.451011363908,0.0,0,0
800,0,16.40483284,0.0001,0.01,0,ah34-al33,0.112235967798,0.0,0,0
800,0,15.3988993168,0.0001,0.01,-1,ah226-al225,0.0455008629076,0.0455008629076,-1,-1
800,0,15.3988993168,0.0001,0.01,-1,ah2-al1,0.20647852587,0.20647852587,-1,-1
800,0,15.3988993168,0.0001,0.01,-1,ah65-al65,0.073593480961,0.073593480961,-1,-1
800,0,15.3988993168,0.0001,0.01,-1,ah66-al65,0.20647852587,0.215284443421,-1,-1
800,0,15.3988993168,0.0001,0.01,-1,ah194-al193,0.058145442877,0.058145442877,-1,-1
800,0,15.3988993168,0.0001,0.01,-1,ah98-al97,0.14135327296,0.0758411466774,-1,-1
800,0,15.3988993168,0.0001,0.01,-1,ah225-al225,0.451011363908,0.311612625938,-1,-1
800,0,15.3988993168,0.0001,0.01,-1,ah97-al97,0.426161165473,0.177818819252,-1,-1
800,0,15.3988993168,0.0001,0.01,-1,ah161-al161,0.555079220887,0.555079220887,-1,-1
800,0,15.3988993168,0.0001,0.01,-1,ah33-al33,0.489451585728,0.489451585728,-1,-1
800,0,15.3988993168,0.0001,0.01,-1,ah193-al193,0.555079220887,0.555079220887,-1,-1
800,0,15.3988993168,0.0001,0.01,-1,ah162-al161,0.393741341165,0.393741341165,-1,-1
800,0,15.3988993168,0.0001,0.01,-1,ah1-al1,0.112235967798,0.112235967798,-1,-1
800,0,15.3988993168,0.0001,0.01,-1,ah34-al33,0.112235967798,0.00174475739501,-1,-1
800,0,18.4102072716,0.001,0.01,1,ah226-al225,3.79386829442e-08,0.0,1,1
800,0,18.4102072716,0.001,0.01,1,ah2-al1,0.000974177596092,0.0,1,1
