#flows,iteration,epsilon,r_threshold,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
800,0,0.0001,0.01,1,9,5,14
800,0,0.0001,0.01,0,0,14,14
800,0,0.0001,0.01,-1,0,0,14
800,0,0.001,0.01,1,9,5,14
800,0,0.001,0.01,0,0,14,14
800,0,0.001,0.01,-1,0,0,14
800,0,0.01,0.01,1,12,2,14
800,0,0.01,0.01,0,0,14,14
800,0,0.01,0.01,-1,1,0,14
800,0,0.1,0.01,1,14,0,14
800,0,0.1,0.01,0,2,12,14
800,0,0.1,0.01,-1,1,1,14
800,0,0.2,0.01,1,14,0,14
800,0,0.2,0.01,0,4,10,14
800,0,0.2,0.01,-1,4,0,14
800,0,0.4,0.01,1,14,0,14
800,0,0.4,0.01,0,11,3,14
800,0,0.4,0.01,-1,12,0,14
800,1,0.0001,0.01,1,4,10,14
800,1,0.0001,0.01,0,0,14,14
800,1,0.0001,0.01,-1,0,0,14
800,1,0.001,0.01,1,9,5,14
800,1,0.001,0.01,0,0,14,14
800,1,0.001,0.01,-1,0,0,14
800,1,0.01,0.01,1,11,3,14
800,1,0.01,0.01,0,0,14,14
800,1,0.01,0.01,-1,0,0,14
800,1,0.1,0.01,1,14,0,14
800,1,0.1,0.01,0,4,10,14
800,1,0.1,0.01,-1,2,0,14
800,1,0.2,0.01,1,14,0,14
800,1,0.2,0.01,0,7,7,14
800,1,0.2,0.01,-1,7,0,14
800,1,0.4,0.01,1,14,0,14
800,1,0.4,0.01,0,13,1,14
800,1,0.4,0.01,-1,9,0,14
800,2,0.0001,0.01,1,5,9,14
800,2,0.0001,0.01,0,0,14,14
800,2,0.0001,0.01,-1,0,0,14
800,2,0.001,0.01,1,11,3,14
800,2,0.001,0.01,0,0,14,14
800,2,0.001,0.01,-1,0,0,14
800,2,0.01,0.01,1,13,1,14
800,2,0.01,0.01,0,1,13,14
800,2,0.01,0.01,-1,0,0,14
800,2,0.1,0.01,1,14,0,14
800,2,0.1,0.01,0,3,11,14
800,2,0.1,0.01,-1,2,0,14
800,2,0.2,0.01,1,14,0,14
800,2,0.2,0.01,0,3,11,14
800,2,0.2,0.01,-1,5,0,14
800,2,0.4,0.01,1,14,0,14
800,2,0.4,0.01,0,12,2,14
800,2,0.4,0.01,-1,10,0,14
800,3,0.0001,0.01,1,8,6,14
