#flows,iteration,time,epsilon,r_threshold,is_correlated,key,count_chern,byte_chern,pred,true
800,0,14.7206330299,0.0001,0.01,1,ah226-al225,3.20889371818e-06,0.0,1,1
800,0,14.7206330299,0.0001,0.01,1,ah2-al1,0.000618235082943,0.0,1,1
800,0,14.7206330299,0.0001,0.01,1,ah65-al65,0.00456094543615,0.0,1,1
800,0,14.7206330299,0.0001,0.01,1,ah66-al65,8.48152128322e-05,0.0,1,1
800,0,14.7206330299,0.0001,0.01,1,ah194-al193,0.00456094543615,0.0,1,1
800,0,14.7206330299,0.0001,0.01,1,ah98-al97,0.000236901474118,0.0,1,1
800,0,14.7206330299,0.0001,0.01,1,ah225-al225,0.0352678286975,0.0,0,1
800,0,14.7206330299,0.0001,0.01,1,ah97-al97,0.00345954131513,0.0,1,1
800,0,14.7206330299,0.0001,0.01,1,ah161-al161,0.00511399462859,0.0,1,1
800,0,14.7206330299,0.0001,0.01,1,ah33-al33,2.83140494757e-05,0.0,1,1
800,0,14.7206330299,0.0001,0.01,1,ah193-al193,3.20889371818e-06,0.0,1,1
800,0,14.7206330299,0.0001,0.01,1,ah162-al161,0.0352678286975,0.0,0,1
800,0,14.7206330299,0.0001,0.01,1,ah1-al1,0.0015102466869,0.0,1,1
800,0,14.7206330299,0.0001,0.01,1,ah34-al33,4.91130332454e-05,0.0,1,1
800,0,14.1276626587,0.0001,0.01,0,ah226-al225,0.511275556559,0.0,0,0
800,0,14.1276626587,0.0001,0.01,0,ah2-al1,0.290980775364,0.0,0,0
800,0,14.1276626587,0.0001,0.01,0,ah65-al65,0.366347108391,0.0,0,0
800,0,14.1276626587,0.0001,0.01,0,ah66-al65,0.20647852587,0.0,0,0
800,0,14.1276626587,0.0001,0.01,0,ah194-al193,0.215284443421,0.0,0,0
800,0,14.1276626587,0.0001,0.01,0,ah98-al97,0.215284443421,0.0,0,0
800,0,14.1276626587,0.0001,0.01,0,ah225-al225,0.073593480961,0.0,0,0
