#flows,iteration,epsilon,r_threshold,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
800,0,0.0001,0.01,1,12,2,14
800,0,0.0001,0.01,0,0,14,14
800,5,0.0001,0.01,1,14,0,14
800,0,0.0001,0.01,-1,0,0,14
800,5,0.0001,0.01,0,0,14,14
800,0,0.001,0.01,1,14,0,14
800,5,0.0001,0.01,-1,0,0,14
800,0,0.001,0.01,0,0,14,14
800,5,0.001,0.01,1,11,3,14
800,0,0.001,0.01,-1,0,1,14
800,5,0.001,0.01,0,0,14,14
800,0,0.01,0.01,1,13,1,14
800,5,0.001,0.01,-1,0,0,14
800,0,0.01,0.01,0,0,14,14
800,5,0.01,0.01,1,13,1,14
800,0,0.01,0.01,-1,1,2,14
800,5,0.01,0.01,0,0,14,14
800,0,0.1,0.01,1,14,0,14
800,5,0.01,0.01,-1,0,0,14
800,0,0.1,0.01,0,0,14,14
800,5,0.1,0.01,1,14,0,14
800,0,0.1,0.01,-1,1,1,14
800,5,0.1,0.01,0,0,14,14
800,0,0.2,0.01,1,13,1,14
800,5,0.1,0.01,-1,0,2,14
800,0,0.2,0.01,0,0,14,14
800,5,0.2,0.01,1,12,2,14
800,5,0.2,0.01,0,0,14,14
800,0,0.2,0.01,-1,0,10,14
800,5,0.2,0.01,-1,1,8,14
800,0,0.4,0.01,1,11,3,14
800,5,0.4,0.01,1,13,1,14
800,0,0.4,0.01,0,0,14,14
800,5,0.4,0.01,0,0,14,14
800,0,0.4,0.01,-1,0,13,14
800,5,0.4,0.01,-1,0,11,14
800,1,0.0001,0.01,1,14,0,14
800,6,0.0001,0.01,1,14,0,14
800,1,0.0001,0.01,0,0,14,14
800,6,0.0001,0.01,0,0,14,14
800,1,0.0001,0.01,-1,0,1,14
800,6,0.0001,0.01,-1,1,0,14
800,1,0.001,0.01,1,12,2,14
800,6,0.001,0.01,1,13,1,14
800,1,0.001,0.01,0,0,14,14
800,6,0.001,0.01,0,0,14,14
800,1,0.001,0.01,-1,0,0,14
800,6,0.001,0.01,-1,0,0,14
800,1,0.01,0.01,1,12,2,14
800,6,0.01,0.01,1,13,1,14
800,1,0.01,0.01,0,0,14,14
800,6,0.01,0.01,0,1,13,14
800,1,0.01,0.01,-1,0,0,14
800,6,0.01,0.01,-1,0,1,14
800,1,0.1,0.01,1,14,0,14
800,6,0.1,0.01,1,13,1,14
800,1,0.1,0.01,0,0,14,14
800,6,0.1,0.01,0,0,14,14
800,1,0.1,0.01,-1,1,5,14
800,6,0.1,0.01,-1,0,7,14
800,1,0.2,0.01,1,14,0,14
800,6,0.2,0.01,1,14,0,14
800,1,0.2,0.01,0,0,14,14
800,6,0.2,0.01,0,0,14,14
800,1,0.2,0.01,-1,0,6,14
800,6,0.2,0.01,-1,0,9,14
800,1,0.4,0.01,1,14,0,14
800,6,0.4,0.01,1,13,1,14
800,1,0.4,0.01,0,0,14,14
800,6,0.4,0.01,0,0,14,14
800,1,0.4,0.01,-1,0,13,14
800,6,0.4,0.01,-1,0,11,14
800,2,0.0001,0.01,1,13,1,14
800,7,0.0001,0.01,1,14,0,14
800,2,0.0001,0.01,0,0,14,14
800,7,0.0001,0.01,0,0,14,14
800,2,0.0001,0.01,-1,0,0,14
800,2,0.001,0.01,1,14,0,14
800,7,0.0001,0.01,-1,0,0,14
800,2,0.001,0.01,0,0,14,14
800,7,0.001,0.01,1,14,0,14
800,2,0.001,0.01,-1,0,1,14
800,7,0.001,0.01,0,1,13,14
800,2,0.01,0.01,1,13,1,14
800,7,0.001,0.01,-1,1,0,14
800,2,0.01,0.01,0,0,14,14
800,7,0.01,0.01,1,12,2,14
800,2,0.01,0.01,-1,0,0,14
800,7,0.01,0.01,0,0,14,14
800,2,0.1,0.01,1,13,1,14
800,7,0.01,0.01,-1,0,1,14
800,2,0.1,0.01,0,0,14,14
800,7,0.1,0.01,1,14,0,14
800,2,0.1,0.01,-1,1,5,14
