#flows,time,epsilon,r_threshold,is_correlated,key,count_chern,byte_chern,pred,true
800,18.0072917938,0.01,0.01,1,ah226-al225,0.015067568065,1.3517386332e-204,0,1
800,18.0072917938,0.01,0.01,1,ah2-al1,0.00511399462859,7.06724910123e-218,1,1
800,18.0072917938,0.01,0.01,1,ah65-al65,0.00345954131513,0.0,1,1
800,18.0072917938,0.01,0.01,1,ah66-al65,1.59252717167e-05,0.0,1,1
800,18.0072917938,0.01,0.01,1,ah194-al193,2.83140494757e-05,0.0,1,1
800,18.0072917938,0.01,0.01,1,ah98-al97,0.00744370661243,0.0,1,1
800,18.0072917938,0.01,0.01,1,ah225-al225,0.00744370661243,3.30973368086e-218,1,1
800,18.0072917938,0.01,0.01,1,ah97-al97,0.00230397325476,0.0,1,1
800,18.0072917938,0.01,0.01,1,ah161-al161,0.00014297573006,1.8233116922e-166,1,1
800,18.0072917938,0.01,0.01,1,ah33-al33,0.00230397325476,0.0,1,1
800,18.0072917938,0.01,0.01,1,ah193-al193,0.0015102466869,0.0,1,1
800,18.0072917938,0.01,0.01,1,ah162-al161,0.000974177596092,2.06687375264e-268,1,1
800,18.0072917938,0.01,0.01,1,ah1-al1,0.0106706188422,1.48514997541e-96,0,1
800,18.0072917938,0.01,0.01,1,ah34-al33,0.000974177596092,0.0,1,1
800,18.6104187965,0.01,0.01,1,ah226-al225,0.00014297573006,1.86044483829e-213,1,1
800,18.6104187965,0.01,0.01,1,ah2-al1,0.00014297573006,1.00389804813e-153,1,1
800,18.6104187965,0.01,0.01,1,ah65-al65,2.83140494757e-05,0.0,1,1
800,18.6104187965,0.01,0.01,1,ah66-al65,3.39723230871e-07,0.0,1,1
800,18.6104187965,0.01,0.01,1,ah194-al193,0.0209618443566,0.0,0,1
800,18.6104187965,0.01,0.01,1,ah98-al97,0.00014297573006,0.0,1,1
800,18.6104187965,0.01,0.01,1,ah225-al225,0.00345954131513,1.53764585653e-167,1,1
800,18.6104187965,0.01,0.01,1,ah97-al97,0.0015102466869,0.0,1,1
800,18.6104187965,0.01,0.01,1,ah161-al161,0.00744370661243,4.92974139613e-314,1,1
800,18.6104187965,0.01,0.01,1,ah33-al33,0.000618235082943,0.0,1,1
800,18.6104187965,0.01,0.01,1,ah193-al193,0.000974177596092,0.0,1,1
