#flows,epsilon,r_threshold,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
800,0.01,0.01,1,12,2,14
800,0.01,0.01,1,12,2,14
800,0.01,0.01,1,11,3,14
800,0.01,0.01,0,0,14,14
800,0.01,0.01,0,0,14,14
800,0.01,0.01,0,0,14,14
800,0.01,0.01,-1,0,0,14
800,0.01,0.01,-1,2,0,14
800,0.01,0.01,-1,0,0,14
850,0.01,0.01,1,13,1,14
850,0.01,0.01,1,13,1,14
850,0.01,0.01,1,12,2,14
850,0.01,0.01,0,1,13,14
850,0.01,0.01,0,0,14,14
850,0.01,0.01,0,0,14,14
850,0.01,0.01,-1,0,0,14
850,0.01,0.01,-1,1,0,14
850,0.01,0.01,-1,2,0,14
900,0.01,0.01,1,14,0,14
900,0.01,0.01,1,14,0,14
900,0.01,0.01,1,13,1,14
900,0.01,0.01,0,0,14,14
900,0.01,0.01,0,0,14,14
900,0.01,0.01,0,0,14,14
900,0.01,0.01,-1,0,0,14
900,0.01,0.01,-1,0,0,14
900,0.01,0.01,-1,0,0,14
950,0.01,0.01,1,14,0,14
950,0.01,0.01,1,14,0,14
950,0.01,0.01,1,13,1,14
950,0.01,0.01,0,0,14,14
950,0.01,0.01,0,0,14,14
950,0.01,0.01,0,0,14,14
950,0.01,0.01,-1,0,1,14
950,0.01,0.01,-1,1,0,14
950,0.01,0.01,-1,1,0,14
1000,0.01,0.01,1,14,0,14
1000,0.01,0.01,1,14,0,14
1000,0.01,0.01,1,14,0,14
1000,0.01,0.01,0,0,14,14
1000,0.01,0.01,0,0,14,14
1000,0.01,0.01,0,0,14,14
1000,0.01,0.01,-1,2,0,14
1000,0.01,0.01,-1,0,0,14
1000,0.01,0.01,-1,1,0,14
1050,0.01,0.01,1,14,0,14
1050,0.01,0.01,1,14,0,14
1050,0.01,0.01,1,12,2,14
1050,0.01,0.01,0,0,14,14
1050,0.01,0.01,0,0,14,14
1050,0.01,0.01,0,1,13,14
1050,0.01,0.01,-1,0,0,14
1050,0.01,0.01,-1,0,0,14
1050,0.01,0.01,-1,0,0,14
1100,0.01,0.01,1,14,0,14
1100,0.01,0.01,1,14,0,14
1100,0.01,0.01,1,14,0,14
1100,0.01,0.01,0,1,13,14
1100,0.01,0.01,0,0,14,14
1100,0.01,0.01,0,1,13,14
1100,0.01,0.01,-1,0,0,14
1100,0.01,0.01,-1,0,0,14
1100,0.01,0.01,-1,0,0,14
1150,0.01,0.01,1,14,0,14
1150,0.01,0.01,1,14,0,14
1150,0.01,0.01,1,14,0,14
1150,0.01,0.01,0,0,14,14
1150,0.01,0.01,0,0,14,14
1150,0.01,0.01,0,0,14,14
1150,0.01,0.01,-1,0,0,14
1150,0.01,0.01,-1,0,0,14
1150,0.01,0.01,-1,0,0,14
1200,0.01,0.01,1,14,0,14
1200,0.01,0.01,1,14,0,14
1200,0.01,0.01,1,14,0,14
1200,0.01,0.01,0,0,14,14
1200,0.01,0.01,0,0,14,14
1200,0.01,0.01,0,0,14,14
1200,0.01,0.01,-1,0,0,14
1200,0.01,0.01,-1,0,0,14
1200,0.01,0.01,-1,0,0,14
800,0.01,0.01,1,12,2,14
800,0.01,0.01,1,13,1,14
800,0.01,0.01,1,11,3,14
800,0.01,0.01,0,0,14,14
800,0.01,0.01,0,0,14,14
800,0.01,0.01,0,0,14,14
800,0.01,0.01,-1,1,0,14
800,0.01,0.01,-1,0,1,14
800,0.01,0.01,-1,1,0,14
850,0.01,0.01,1,13,1,14
850,0.01,0.01,1,13,1,14
850,0.01,0.01,1,12,2,14
850,0.01,0.01,0,0,14,14
850,0.01,0.01,0,0,14,14
850,0.01,0.01,0,1,13,14
850,0.01,0.01,-1,0,0,14
850,0.01,0.01,-1,0,0,14
850,0.01,0.01,-1,0,0,14
900,0.01,0.01,1,12,2,14
900,0.01,0.01,1,13,1,14
900,0.01,0.01,1,13,1,14
900,0.01,0.01,0,0,14,14
900,0.01,0.01,0,0,14,14
900,0.01,0.01,0,0,14,14
900,0.01,0.01,-1,0,0,14
900,0.01,0.01,-1,0,0,14
900,0.01,0.01,-1,1,0,14
950,0.01,0.01,1,14,0,14
950,0.01,0.01,1,14,0,14
950,0.01,0.01,1,14,0,14
950,0.01,0.01,0,0,14,14
950,0.01,0.01,0,0,14,14
950,0.01,0.01,0,0,14,14
950,0.01,0.01,-1,1,0,14
950,0.01,0.01,-1,0,0,14
950,0.01,0.01,-1,0,0,14
1000,0.01,0.01,1,14,0,14
1000,0.01,0.01,1,14,0,14
1000,0.01,0.01,1,14,0,14
1000,0.01,0.01,0,0,14,14
1000,0.01,0.01,0,1,13,14
1000,0.01,0.01,0,1,13,14
1000,0.01,0.01,-1,1,0,14
1000,0.01,0.01,-1,0,0,14
1000,0.01,0.01,-1,0,0,14
1050,0.01,0.01,1,13,1,14
1050,0.01,0.01,1,14,0,14
1050,0.01,0.01,1,14,0,14
1050,0.01,0.01,0,0,14,14
1050,0.01,0.01,0,0,14,14
1050,0.01,0.01,0,0,14,14
1050,0.01,0.01,-1,1,0,14
1050,0.01,0.01,-1,0,0,14
1050,0.01,0.01,-1,0,0,14
1100,0.01,0.01,1,14,0,14
1100,0.01,0.01,1,14,0,14
1100,0.01,0.01,1,14,0,14
1100,0.01,0.01,0,0,14,14
1100,0.01,0.01,0,0,14,14
1100,0.01,0.01,0,0,14,14
1100,0.01,0.01,-1,0,0,14
1100,0.01,0.01,-1,0,0,14
1100,0.01,0.01,-1,0,0,14
1150,0.01,0.01,1,14,0,14
1150,0.01,0.01,1,13,1,14
1150,0.01,0.01,1,14,0,14
1150,0.01,0.01,0,1,13,14
1150,0.01,0.01,0,0,14,14
1150,0.01,0.01,0,1,13,14
1150,0.01,0.01,-1,0,0,14
1150,0.01,0.01,-1,0,0,14
1150,0.01,0.01,-1,1,0,14
1200,0.01,0.01,1,14,0,14
1200,0.01,0.01,1,14,0,14
1200,0.01,0.01,1,14,0,14
1200,0.01,0.01,0,0,14,14
1200,0.01,0.01,0,0,14,14
1200,0.01,0.01,0,0,14,14
1200,0.01,0.01,-1,0,0,14
1200,0.01,0.01,-1,0,0,14
1200,0.01,0.01,-1,1,0,14
800,0.01,0.01,1,12,2,14
800,0.01,0.01,1,14,0,14
800,0.01,0.01,1,12,2,14
800,0.01,0.01,0,0,14,14
800,0.01,0.01,0,0,14,14
800,0.01,0.01,0,0,14,14
800,0.01,0.01,-1,0,0,14
800,0.01,0.01,-1,0,0,14
800,0.01,0.01,-1,0,0,14
850,0.01,0.01,1,12,2,14
850,0.01,0.01,1,11,3,14
850,0.01,0.01,1,13,1,14
850,0.01,0.01,0,0,14,14
850,0.01,0.01,0,0,14,14
850,0.01,0.01,0,0,14,14
850,0.01,0.01,-1,0,0,14
850,0.01,0.01,-1,0,0,14
850,0.01,0.01,-1,0,0,14
900,0.01,0.01,1,13,1,14
900,0.01,0.01,1,13,1,14
900,0.01,0.01,1,14,0,14
900,0.01,0.01,0,0,14,14
900,0.01,0.01,0,0,14,14
900,0.01,0.01,0,0,14,14
900,0.01,0.01,-1,1,0,14
900,0.01,0.01,-1,0,0,14
900,0.01,0.01,-1,0,0,14
950,0.01,0.01,1,14,0,14
950,0.01,0.01,1,14,0,14
950,0.01,0.01,1,13,1,14
950,0.01,0.01,0,0,14,14
950,0.01,0.01,0,0,14,14
950,0.01,0.01,0,0,14,14
950,0.01,0.01,-1,0,0,14
950,0.01,0.01,-1,0,0,14
950,0.01,0.01,-1,0,0,14
1000,0.01,0.01,1,14,0,14
1000,0.01,0.01,1,14,0,14
1000,0.01,0.01,1,13,1,14
1000,0.01,0.01,0,1,13,14
1000,0.01,0.01,0,0,14,14
1000,0.01,0.01,0,0,14,14
1000,0.01,0.01,-1,0,0,14
1000,0.01,0.01,-1,0,0,14
1000,0.01,0.01,-1,0,0,14
1050,0.01,0.01,1,13,1,14
1050,0.01,0.01,1,14,0,14
1050,0.01,0.01,1,14,0,14
1050,0.01,0.01,0,0,14,14
1050,0.01,0.01,0,0,14,14
1050,0.01,0.01,0,0,14,14
1050,0.01,0.01,-1,0,0,14
1050,0.01,0.01,-1,1,0,14
1050,0.01,0.01,-1,0,0,14
1100,0.01,0.01,1,14,0,14
1100,0.01,0.01,1,14,0,14
1100,0.01,0.01,1,14,0,14
1100,0.01,0.01,0,0,14,14
1100,0.01,0.01,0,0,14,14
1100,0.01,0.01,0,0,14,14
1100,0.01,0.01,-1,1,1,14
1100,0.01,0.01,-1,0,0,14
1100,0.01,0.01,-1,0,0,14
1150,0.01,0.01,1,14,0,14
1150,0.01,0.01,1,13,1,14
1150,0.01,0.01,1,14,0,14
1150,0.01,0.01,0,0,14,14
1150,0.01,0.01,0,0,14,14
1150,0.01,0.01,0,0,14,14
1150,0.01,0.01,-1,0,0,14
1150,0.01,0.01,-1,0,0,14
1150,0.01,0.01,-1,0,1,14
1200,0.01,0.01,1,14,0,14
1200,0.01,0.01,1,14,0,14
1200,0.01,0.01,1,14,0,14
1200,0.01,0.01,0,0,14,14
1200,0.01,0.01,0,0,14,14
1200,0.01,0.01,0,0,14,14
1200,0.01,0.01,-1,0,0,14
1200,0.01,0.01,-1,0,0,14
1200,0.01,0.01,-1,0,1,14
800,0.01,0.01,1,11,3,14
800,0.01,0.01,0,0,14,14
800,0.01,0.01,-1,0,0,14
850,0.01,0.01,1,14,0,14
850,0.01,0.01,0,0,14,14
850,0.01,0.01,-1,0,0,14
900,0.01,0.01,1,13,1,14
900,0.01,0.01,0,0,14,14
900,0.01,0.01,-1,0,0,14
950,0.01,0.01,1,12,2,14
