#flows,epsilon,is_correlated,key,count_chern,byte_chern,pred,true
50,0.01,1,ah226-al225,0.1140426768,2.57284176386E-06,0,1
50,0.01,1,ah2-al1,0.3116345931,0.000009945,0,1
50,0.01,1,ah65-al65,0.3116345931,1.68604483241E-05,0,1
50,0.01,1,ah66-al65,0.3116345931,7.60726068868E-16,0,1
50,0.01,1,ah194-al193,0.1140426768,1.00174233857E-17,0,1
50,0.01,1,ah98-al97,0.1140426768,1.05720290901E-12,0,1
50,0.01,1,ah225-al225,0.8590125845,1.37954601907E-08,0,1
50,0.01,1,ah97-al97,0.3116345931,5.36394997414E-11,0,1
50,0.01,1,ah161-al161,0.1140426768,0.0018335096,0,1
50,0.01,1,ah33-al33,0.5934860089,3.52850394699E-07,0,1
50,0.01,1,ah193-al193,0.1140426768,1.97360850003E-18,0,1
50,0.01,1,ah162-al161,0.0242212698,0.0495557091,0,1
50,0.01,1,ah1-al1,0.0242212698,0.0783566312,0,1
50,0.01,1,ah34-al33,0.3116345931,4.87808509916E-07,0,1
50,0.01,0,ah226-al225,0.1140426768,0.0014862728,0,0
50,0.01,0,ah2-al1,0.3116345931,1.59408862687E-06,0,0
50,0.01,0,ah65-al65,0.2335982079,1.07863645125E-05,0,0
50,0.01,0,ah66-al65,0.3116345931,2.12089849607E-07,0,0
50,0.01,0,ah194-al193,0.5934860089,4.36381845886E-09,0,0
50,0.01,0,ah98-al97,0.0738599066,9.40601969259E-09,0,0
50,0.01,0,ah225-al225,0.5934860089,2.19699372991E-07,0,0
50,0.01,0,ah97-al97,0.5934860089,1.32150105101E-10,0,0
50,0.01,0,ah161-al161,0.1140426768,0.0004414755,0,0
50,0.01,0,ah33-al33,0.3116345931,0.000008961,0,0
50,0.01,0,ah193-al193,0.3116345931,4.35654240659E-09,0,0
50,0.01,0,ah162-al161,0.3116345931,0.000000509,0,0
50,0.01,0,ah1-al1,0.1140426768,0.0116742549,0,0
50,0.01,0,ah34-al33,0.0242212698,3.95416778348E-20,0,0
75,0.01,1,ah226-al225,0.0092336598,0.000002691,1,1
75,0.01,1,ah2-al1,0.4572100075,9.66332196841E-06,0,1
75,0.01,1,ah65-al65,0.0277606807,4.88732669231E-23,0,1
75,0.01,1,ah66-al65,0.2529273002,0.0004321462,0,1
75,0.01,1,ah194-al193,0.4450432141,5.47789858661E-14,0,1
75,0.01,1,ah98-al97,0.1127778593,3.59201952395E-07,0,1
75,0.01,1,ah225-al225,0.1127778593,3.32876053969E-08,0,1
75,0.01,1,ah97-al97,0.2529273002,4.62563520526E-06,0,1
75,0.01,1,ah161-al161,0.0385124461,7.57608605971E-05,0,1
75,0.01,1,ah33-al33,0.0385124461,9.9004708241E-05,0,1
75,0.01,1,ah193-al193,0.4572100075,1.90629891057E-15,0,1
75,0.01,1,ah162-al161,0.2529273002,1.2494886765E-08,0,1
75,0.01,1,ah1-al1,0.1127778593,0.0006966859,0,1
75,0.01,1,ah34-al33,0.2529273002,2.92706647889E-08,0,1
75,0.01,0,ah226-al225,0.2529273002,6.20639460068E-09,0,0
75,0.01,0,ah2-al1,0.1127778593,1.97064624991E-07,0,0
75,0.01,0,ah65-al65,0.2529273002,3.11009193204E-21,0,0
75,0.01,0,ah66-al65,0.2529273002,0.000006124,0,0
75,0.01,0,ah194-al193,0.4450432141,0.000000018,0,0
75,0.01,0,ah98-al97,0.0385124461,5.09272093235E-07,0,0
75,0.01,0,ah225-al225,0.1431999555,8.2885529699E-11,0,0
75,0.01,0,ah97-al97,0.2208738585,4.45853293178E-12,0,0
75,0.01,0,ah161-al161,0.1127778593,5.02264129211E-06,0,0
75,0.01,0,ah33-al33,0.2529273002,5.56555264613E-05,0,0
75,0.01,0,ah193-al193,0.2529273002,4.09830072495E-19,0,0
75,0.01,0,ah162-al161,0.2529273002,7.34587431657E-07,0,0
75,0.01,0,ah1-al1,0.4572100075,0.012084069,0,0
75,0.01,0,ah34-al33,0.4572100075,3.30855898752E-11,0,0
100,0.01,1,ah226-al225,0.0395114145,9.29877333602E-11,0,1
100,0.01,1,ah2-al1,0.0971161196,5.11523298095E-05,0,1
100,0.01,1,ah65-al65,0.0971161196,1.78797114142E-11,0,1
100,0.01,1,ah66-al65,0.1997645984,4.22883747737E-12,0,1
100,0.01,1,ah194-al193,0.0971161196,1.20488541471E-35,0,1
100,0.01,1,ah98-al97,0.0395114145,2.0272089776E-14,0,1
100,0.01,1,ah225-al225,0.0971161196,3.19467170486E-05,0,1
100,0.01,1,ah97-al97,0.3522256428,7.4531409402E-11,0,1
100,0.01,1,ah161-al161,0.0971161196,0.000002049,0,1
100,0.01,1,ah33-al33,0.0395114145,5.37422968805E-10,0,1
100,0.01,1,ah193-al193,0.0971161196,7.89326332527E-13,0,1
100,0.01,1,ah162-al161,0.3522256428,0.0001499988,0,1
100,0.01,1,ah1-al1,0.0971161196,4.78555408254E-10,0,1
100,0.01,1,ah34-al33,0.3522256428,2.10147022026E-06,0,1
100,0.01,0,ah226-al225,0.0032907068,8.64429674774E-07,1,0
100,0.01,0,ah2-al1,0.3522256428,9.86763088439E-14,0,0
100,0.01,0,ah65-al65,0.1997645984,4.81408434494E-09,0,0
100,0.01,0,ah66-al65,0.2765073056,0.0003730544,0,0
100,0.01,0,ah194-al193,0.3522256428,1.70788187694E-11,0,0
100,0.01,0,ah98-al97,0.0130057321,2.63331427363E-05,0,0
100,0.01,0,ah225-al225,0.3522256428,2.90326796143E-07,0,0
100,0.01,0,ah97-al97,0.4859070003,1.36381270141E-24,0,0
100,0.01,0,ah161-al161,0.2096042215,1.27721182921E-12,0,0
100,0.01,0,ah33-al33,0.0971161196,1.9227517103E-10,0,0
100,0.01,0,ah193-al193,0.1997645984,5.68712661166E-05,0,0
100,0.01,0,ah162-al161,0.1997645984,7.41150643261E-06,0,0
100,0.01,0,ah1-al1,0.5419680139,0.0002353915,0,0
100,0.01,0,ah34-al33,0.0130057321,1.62612940388E-07,0,0
125,0.01,1,ah226-al225,0.0797091565,5.34079723609E-08,0,1
125,0.01,1,ah2-al1,0.1561588343,0.0052976077,0,1
125,0.01,1,ah65-al65,0.0797091565,2.79531522533E-09,0,1
125,0.01,1,ah66-al65,0.0355884302,1.23871304895E-05,0,1
125,0.01,1,ah194-al193,0.1561588343,2.00217507534E-20,0,1
125,0.01,1,ah98-al97,0.0355884302,3.55139548446E-10,0,1
125,0.01,1,ah225-al225,0.4228703396,1.37964417211E-06,0,1
125,0.01,1,ah97-al97,0.0797091565,0.000053093,0,1
125,0.01,1,ah161-al161,0.0355884302,0.0001201898,0,1
125,0.01,1,ah33-al33,0.013651303,1.00836769677E-13,0,1
125,0.01,1,ah193-al193,0.0355884302,4.18460036938E-19,0,1
125,0.01,1,ah162-al161,0.1561588343,0.000042492,0,1
125,0.01,1,ah1-al1,0.0797091565,1.64734268608E-06,0,1
125,0.01,1,ah34-al33,0.1561588343,0.0001417742,0,1
125,0.01,0,ah226-al225,0.2713477426,8.00753069984E-07,0,0
125,0.01,0,ah2-al1,0.4056873303,4.56009297572E-05,0,0
125,0.01,0,ah65-al65,0.0797091565,5.54152780677E-05,0,0
125,0.01,0,ah66-al65,0.2713477426,2.86586339935E-15,0,0
125,0.01,0,ah194-al193,0.5964069661,8.60206485858E-17,0,0
125,0.01,0,ah98-al97,0.1699258732,1.1637039187E-11,0,0
125,0.01,0,ah225-al225,0.2713477426,3.48219978689E-07,0,0
125,0.01,0,ah97-al97,0.4228703396,3.10273075309E-06,0,0
125,0.01,0,ah161-al161,0.2713477426,1.19009291126E-06,0,0
125,0.01,0,ah33-al33,0.4228703396,5.08346485644E-06,0,0
125,0.01,0,ah193-al193,0.4228703396,4.50825194225E-07,0,0
125,0.01,0,ah162-al161,0.1561588343,0.0001971326,0,0
125,0.01,0,ah1-al1,0.4228703396,0.0122961913,0,0
125,0.01,0,ah34-al33,0.4228703396,1.30048584661E-37,0,0
