#flows,epsilon,is_correlated,key,count_chern,byte_chern,pred,true
50,0.01,0,ah226-al225,0.1140426768,0.0014862728,0,0
50,0.01,0,ah2-al1,0.3116345931,1.59408862687E-06,0,0
50,0.01,0,ah65-al65,0.2335982079,1.07863645125E-05,0,0
50,0.01,0,ah66-al65,0.3116345931,2.12089849607E-07,0,0
50,0.01,0,ah194-al193,0.5934860089,4.36381845886E-09,0,0
50,0.01,0,ah98-al97,0.0738599066,9.40601969259E-09,0,0
50,0.01,0,ah225-al225,0.5934860089,2.19699372991E-07,0,0
50,0.01,0,ah97-al97,0.5934860089,1.32150105101E-10,0,0
50,0.01,0,ah161-al161,0.1140426768,0.0004414755,0,0
50,0.01,0,ah33-al33,0.3116345931,0.000008961,0,0
50,0.01,0,ah193-al193,0.3116345931,4.35654240659E-09,0,0
50,0.01,0,ah162-al161,0.3116345931,0.000000509,0,0
50,0.01,0,ah1-al1,0.1140426768,0.0116742549,0,0
50,0.01,0,ah34-al33,0.0242212698,3.95416778348E-20,0,0
50,0.01,0,ah226-al225,0.3116345931,6.13900506912E-07,0,0
50,0.01,0,ah2-al1,0.1140426768,0.0003564739,0,0
50,0.01,0,ah65-al65,0.5934860089,0.000051455,0,0
50,0.01,0,ah66-al65,0.5934860089,0.000000065,0,0
50,0.01,0,ah194-al193,0.3653952343,1.06789029536E-26,0,0
50,0.01,0,ah98-al97,0.1140426768,0.000004445,0,0
50,0.01,0,ah225-al225,0.3116345931,1.9040491316E-09,0,0
50,0.01,0,ah97-al97,0.3116345931,1.06984403526E-06,0,0
50,0.01,0,ah161-al161,0.3116345931,0.000000193,0,0
50,0.01,0,ah33-al33,0.3116345931,6.12813315458E-13,0,0
50,0.01,0,ah193-al193,0.3116345931,1.95131479585E-13,0,0
50,0.01,0,ah162-al161,0.0242212698,0.0005592705,0,0
50,0.01,0,ah1-al1,0.5934860089,0.0002742691,0,0
50,0.01,0,ah34-al33,0.3116345931,0.000000001,0,0
50,0.01,0,ah226-al225,0.3116345931,8.05437744724E-08,0,0
50,0.01,0,ah2-al1,0.0242212698,0.0254284644,0,0
50,0.01,0,ah65-al65,0.5934860089,4.50220505798E-12,0,0
50,0.01,0,ah66-al65,0.1140426768,1.61766248136E-05,0,0
50,0.01,0,ah194-al193,0.1140426768,7.48827873578E-06,0,0
50,0.01,0,ah98-al97,0.3116345931,3.9301471276E-06,0,0
50,0.01,0,ah225-al225,0.8519979953,7.72191971746E-08,0,0
50,0.01,0,ah97-al97,0.1140426768,0.0002093012,0,0
50,0.01,0,ah161-al161,0.5934860089,5.9150807228E-07,0,0
50,0.01,0,ah33-al33,0.3116345931,2.32116038305E-09,0,0
50,0.01,0,ah193-al193,0.3116345931,2.5461970639E-20,0,0
50,0.01,0,ah162-al161,0.1140426768,0.0019447877,0,0
50,0.01,0,ah1-al1,0.0012600932,0.4312215965,1,0
50,0.01,0,ah34-al33,0.5934860089,2.23317805245E-08,0,0
50,0.01,0,ah226-al225,0.5934860089,4.13676156067E-09,0,0
50,0.01,0,ah2-al1,0.3116345931,7.77115103035E-06,0,0
50,0.01,0,ah65-al65,0.3116345931,2.54298109783E-05,0,0
50,0.01,0,ah66-al65,0.5258396196,6.68588972279E-07,0,0
50,0.01,0,ah194-al193,0.3116345931,6.70878353481E-09,0,0
50,0.01,0,ah98-al97,0.5934860089,7.08561613668E-06,0,0
50,0.01,0,ah225-al225,0.3116345931,6.4310105266E-10,0,0
50,0.01,0,ah97-al97,0.5934860089,6.61643239076E-07,0,0
50,0.01,0,ah161-al161,0.0583309517,0.0022125198,0,0
50,0.01,0,ah33-al33,0.2335982079,5.66703132803E-07,0,0
50,0.01,0,ah193-al193,0.5934860089,8.19428089778E-06,0,0
50,0.01,0,ah162-al161,0.1140426768,0.0032486339,0,0
50,0.01,0,ah1-al1,0.3116345931,0.0003373696,0,0
50,0.01,0,ah34-al33,0.3653952343,6.15674491732E-06,0,0
50,0.01,0,ah226-al225,0.1140426768,0.0003343135,0,0
50,0.01,0,ah2-al1,0.3116345931,3.25686692627E-06,0,0
50,0.01,0,ah65-al65,0.3116345931,1.36016109025E-06,0,0
50,0.01,0,ah66-al65,0.3116345931,2.72072338162E-08,0,0
50,0.01,0,ah194-al193,0.3116345931,8.84636429174E-20,0,0
50,0.01,0,ah98-al97,0.3116345931,0.000006178,0,0
50,0.01,0,ah225-al225,0.0242212698,0.0095957732,0,0
50,0.01,0,ah97-al97,0.5934860089,5.80903256239E-10,0,0
50,0.01,0,ah161-al161,0.5934860089,4.16486241326E-05,0,0
50,0.01,0,ah33-al33,0.697070298,9.84640660558E-08,0,0
50,0.01,0,ah193-al193,0.1371816542,1.85274985243E-09,0,0
50,0.01,0,ah162-al161,0.3177932441,1.6701637367E-06,0,0
50,0.01,0,ah1-al1,0.1140426768,0.012649435,0,0
50,0.01,0,ah34-al33,0.1140426768,5.14464345381E-06,0,0
50,0.01,0,ah226-al225,0.3116345931,9.96860058826E-07,0,0
50,0.01,0,ah2-al1,0.3116345931,1.16486271085E-08,0,0
50,0.01,0,ah65-al65,0.5258396196,1.27849002594E-08,0,0
50,0.01,0,ah66-al65,0.3116345931,1.87357203663E-13,0,0
50,0.01,0,ah194-al193,0.0242212698,2.4803264817E-15,0,0
50,0.01,0,ah98-al97,0.5934860089,2.9749713783E-08,0,0
50,0.01,0,ah225-al225,0.0242212698,0.0192864504,0,0
50,0.01,0,ah97-al97,0.5934860089,4.12284215235E-22,0,0
50,0.01,0,ah161-al161,0.3116345931,3.89881496437E-06,0,0
50,0.01,0,ah33-al33,0.3116345931,2.51892015984E-09,0,0
50,0.01,0,ah193-al193,0.3116345931,5.09845205877E-19,0,0
50,0.01,0,ah162-al161,0.0242212698,0.0104032616,0,0
50,0.01,0,ah1-al1,0.1140426768,0.0072299081,0,0
50,0.01,0,ah34-al33,0.1140426768,1.30272120868E-07,0,0
50,0.01,0,ah226-al225,0.3116345931,1.4956142078E-09,0,0
50,0.01,0,ah2-al1,0.3116345931,3.18241004367E-07,0,0
50,0.01,0,ah65-al65,0.2335982079,6.29116061088E-08,0,0
50,0.01,0,ah66-al65,0.5934860089,3.70760394054E-06,0,0
50,0.01,0,ah194-al193,0.3116345931,2.1326296765E-11,0,0
50,0.01,0,ah98-al97,0.1140426768,3.4380998979E-06,0,0
50,0.01,0,ah225-al225,0.5934860089,0.000010849,0,0
50,0.01,0,ah97-al97,0.5934860089,2.27759918347E-06,0,0
50,0.01,0,ah161-al161,0.3116345931,2.76352261998E-08,0,0
50,0.01,0,ah33-al33,0.5934860089,5.36085172154E-10,0,0
50,0.01,0,ah193-al193,0.3116345931,3.12358049951E-08,0,0
50,0.01,0,ah162-al161,0.5788790729,5.66398427366E-13,0,0
50,0.01,0,ah1-al1,0.0242212698,0.1153424317,-1,0
50,0.01,0,ah34-al33,0.0242212698,4.92515772156E-14,0,0
50,0.01,0,ah226-al225,0.5258396196,7.90817719615E-05,0,0
50,0.01,0,ah2-al1,0.0242212698,0.0226992013,0,0
50,0.01,0,ah65-al65,0.3116345931,1.3281931434E-07,0,0
50,0.01,0,ah66-al65,0.0363745418,1.88616527541E-07,0,0
50,0.01,0,ah194-al193,0.8519979953,4.21086531452E-27,0,0
50,0.01,0,ah98-al97,0.5934860089,1.52754032252E-06,0,0
50,0.01,0,ah225-al225,0.3116345931,1.701408294E-05,0,0
50,0.01,0,ah97-al97,0.3116345931,1.2457848507E-06,0,0
50,0.01,0,ah161-al161,0.5934860089,0.000155881,0,0
50,0.01,0,ah33-al33,0.5934860089,0.0003340951,0,0
50,0.01,0,ah193-al193,0.1140426768,1.9625874925E-15,0,0
50,0.01,0,ah162-al161,0.3116345931,6.88883612186E-06,0,0
50,0.01,0,ah1-al1,0.5934860089,0.0064304458,0,0
50,0.01,0,ah34-al33,0.5934860089,3.78073044232E-16,0,0
50,0.01,0,ah226-al225,0.3116345931,2.05176328949E-05,0,0
50,0.01,0,ah2-al1,0.5934860089,1.84596748899E-09,0,0
50,0.01,0,ah65-al65,0.5934860089,2.96521005063E-19,0,0
50,0.01,0,ah66-al65,0.1140426768,1.27811837841E-12,0,0
50,0.01,0,ah194-al193,0.1140426768,1.57962532084E-10,0,0
50,0.01,0,ah98-al97,0.3116345931,2.86225680854E-06,0,0
50,0.01,0,ah225-al225,0.3116345931,0.000000018,0,0
50,0.01,0,ah97-al97,0.3116345931,5.52526602252E-09,0,0
50,0.01,0,ah161-al161,0.3116345931,7.61878753578E-06,0,0
50,0.01,0,ah33-al33,0.3116345931,7.56874867697E-06,0,0
