#flows,epsilon,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
50,0.01,0,0,14,14
50,0.01,0,0,14,14
50,0.01,0,1,13,14
50,0.01,0,0,14,14
50,0.01,0,0,14,14
50,0.01,0,0,14,14
50,0.01,0,0,13,14
50,0.01,0,0,14,14
50,0.01,0,0,14,14
50,0.01,0,0,14,14
75,0.01,0,0,14,14
75,0.01,0,0,13,14
75,0.01,0,0,14,14
75,0.01,0,0,14,14
75,0.01,0,0,14,14
75,0.01,0,0,14,14
75,0.01,0,0,14,14
75,0.01,0,0,14,14
75,0.01,0,0,14,14
75,0.01,0,1,13,14
100,0.01,0,1,13,14
100,0.01,0,0,14,14
100,0.01,0,0,14,14
100,0.01,0,0,14,14
100,0.01,0,0,14,14
100,0.01,0,0,13,14
100,0.01,0,0,14,14
100,0.01,0,0,14,14
100,0.01,0,0,14,14
100,0.01,0,0,14,14
125,0.01,0,0,14,14
125,0.01,0,0,14,14
125,0.01,0,0,14,14
125,0.01,0,1,13,14
125,0.01,0,0,14,14
125,0.01,0,0,14,14
125,0.01,0,0,14,14
125,0.01,0,1,13,14
125,0.01,0,1,13,14
125,0.01,0,0,14,14
150,0.01,0,0,14,14
150,0.01,0,1,13,14
150,0.01,0,1,13,14
150,0.01,0,0,14,14
150,0.01,0,0,14,14
150,0.01,0,0,14,14
150,0.01,0,1,13,14
150,0.01,0,0,14,14
150,0.01,0,0,14,14
150,0.01,0,0,14,14
175,0.01,0,0,14,14
175,0.01,0,0,14,14
175,0.01,0,0,14,14
175,0.01,0,0,14,14
175,0.01,0,0,14,14
175,0.01,0,0,14,14
175,0.01,0,0,14,14
175,0.01,0,0,14,14
175,0.01,0,0,14,14
175,0.01,0,0,14,14
200,0.01,0,1,13,14
200,0.01,0,0,14,14
200,0.01,0,0,14,14
200,0.01,0,0,14,14
200,0.01,0,0,14,14
200,0.01,0,0,14,14
200,0.01,0,0,14,14
200,0.01,0,0,14,14
200,0.01,0,0,13,14
200,0.01,0,0,14,14
225,0.01,0,0,14,14
225,0.01,0,1,13,14
225,0.01,0,0,14,14
225,0.01,0,1,13,14
225,0.01,0,0,14,14
225,0.01,0,0,13,14
225,0.01,0,1,13,14
225,0.01,0,0,14,14
225,0.01,0,0,14,14
225,0.01,0,0,14,14
250,0.01,0,0,14,14
250,0.01,0,0,14,14
250,0.01,0,0,13,14
250,0.01,0,0,14,14
250,0.01,0,0,14,14
250,0.01,0,0,14,14
