#flows,epsilon,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
1200,0.0001,1,6,8,14
1200,0.0001,0,0,14,14
1200,0.0005,1,13,1,14
1200,0.0005,0,0,14,14
1200,0.001,1,10,4,14
1200,0.001,0,0,14,14
1200,0.005,1,14,0,14
1200,0.005,0,0,14,14
1200,0.01,1,14,0,14
1200,0.01,0,0,14,14
1200,0.05,1,14,0,14
1200,0.05,0,0,14,14
1200,0.1,1,14,0,14
1200,0.1,0,1,13,14
1200,0.2,1,14,0,14
1200,0.2,0,3,11,14
1200,0.4,1,14,0,14
1200,0.4,0,11,3,14
1200,0.0001,1,9,5,14
1200,0.0001,0,0,14,14
1200,0.0005,1,13,1,14
1200,0.0005,0,0,14,14
1200,0.001,1,12,2,14
1200,0.001,0,0,14,14
1200,0.005,1,14,0,14
1200,0.005,0,0,14,14
1200,0.01,1,14,0,14
1200,0.01,0,0,14,14
1200,0.05,1,14,0,14
1200,0.05,0,0,14,14
1200,0.1,1,14,0,14
1200,0.1,0,3,11,14
1200,0.2,1,14,0,14
1200,0.2,0,5,9,14
1200,0.4,1,14,0,14
1200,0.4,0,11,3,14
1200,0.0001,1,7,7,14
1200,0.0001,0,0,14,14
1200,0.0005,1,13,1,14
1200,0.0005,0,0,14,14
1200,0.001,1,12,2,14
1200,0.001,0,0,14,14
1200,0.005,1,14,0,14
1200,0.005,0,0,14,14
1200,0.01,1,14,0,14
1200,0.01,0,0,14,14
1200,0.05,1,14,0,14
1200,0.05,0,1,13,14
1200,0.1,1,14,0,14
1200,0.1,0,2,12,14
1200,0.2,1,14,0,14
1200,0.2,0,3,11,14
1200,0.4,1,14,0,14
1200,0.4,0,9,5,14
1200,0.0001,1,8,6,14
1200,0.0001,0,0,14,14
1200,0.0005,1,13,1,14
1200,0.0005,0,0,14,14
1200,0.001,1,14,0,14
1200,0.001,0,0,14,14
1200,0.005,1,13,1,14
1200,0.005,0,0,14,14
1200,0.01,1,14,0,14
1200,0.01,0,1,13,14
1200,0.05,1,14,0,14
1200,0.05,0,2,12,14
1200,0.1,1,14,0,14
1200,0.1,0,5,9,14
1200,0.2,1,14,0,14
1200,0.2,0,3,11,14
1200,0.4,1,14,0,14
1200,0.4,0,7,7,14
1200,0.0001,1,8,6,14
1200,0.0001,0,0,14,14
1200,0.0005,1,12,2,14
1200,0.0005,0,0,14,14
1200,0.001,1,14,0,14
1200,0.001,0,0,14,14
1200,0.005,1,14,0,14
1200,0.005,0,0,14,14
1200,0.01,1,14,0,14
1200,0.01,0,0,14,14
1200,0.05,1,14,0,14
1200,0.05,0,0,14,14
1200,0.1,1,14,0,14
1200,0.1,0,3,11,14
1200,0.2,1,14,0,14
1200,0.2,0,6,8,14
1200,0.4,1,14,0,14
1200,0.4,0,9,5,14
1200,0.0001,1,9,5,14
1200,0.0001,0,0,14,14
1200,0.0005,1,12,2,14
1200,0.0005,0,0,14,14
1200,0.001,1,13,1,14
1200,0.001,0,0,14,14
1200,0.005,1,13,1,14
1200,0.005,0,0,14,14
1200,0.01,1,14,0,14
1200,0.01,0,2,12,14
1200,0.05,1,14,0,14
1200,0.05,0,1,13,14
1200,0.1,1,14,0,14
1200,0.1,0,2,12,14
1200,0.2,1,14,0,14
1200,0.2,0,4,10,14
1200,0.4,1,14,0,14
1200,0.4,0,11,3,14
1200,0.0001,1,8,6,14
1200,0.0001,0,0,14,14
1200,0.0005,1,12,2,14
1200,0.0005,0,0,14,14
1200,0.001,1,12,2,14
1200,0.001,0,0,14,14
1200,0.005,1,14,0,14
1200,0.005,0,0,14,14
1200,0.01,1,14,0,14
1200,0.01,0,0,14,14
1200,0.05,1,14,0,14
1200,0.05,0,0,14,14
1200,0.1,1,14,0,14
1200,0.1,0,2,12,14
1200,0.2,1,14,0,14
1200,0.2,0,6,8,14
1200,0.4,1,14,0,14
1200,0.4,0,8,6,14
1200,0.0001,1,9,5,14
1200,0.0001,0,0,14,14
1200,0.0005,1,12,2,14
1200,0.0005,0,0,14,14
1200,0.001,1,13,1,14
1200,0.001,0,0,14,14
1200,0.005,1,14,0,14
1200,0.005,0,0,14,14
1200,0.01,1,14,0,14
1200,0.01,0,0,14,14
1200,0.05,1,14,0,14
1200,0.05,0,2,12,14
1200,0.1,1,14,0,14
1200,0.1,0,1,13,14
1200,0.2,1,14,0,14
1200,0.2,0,6,8,14
1200,0.4,1,14,0,14
1200,0.4,0,5,9,14
1200,0.0001,1,9,5,14
1200,0.0001,0,0,14,14
1200,0.0005,1,12,2,14
1200,0.0005,0,0,14,14
1200,0.001,1,14,0,14
1200,0.001,0,0,14,14
1200,0.005,1,14,0,14
1200,0.005,0,0,14,14
1200,0.01,1,14,0,14
1200,0.01,0,0,14,14
1200,0.05,1,14,0,14
1200,0.05,0,3,11,14
1200,0.1,1,14,0,14
1200,0.1,0,2,12,14
1200,0.2,1,14,0,14
1200,0.2,0,4,10,14
1200,0.4,1,14,0,14
1200,0.4,0,9,5,14
1200,0.0001,1,8,6,14
1200,0.0001,0,0,14,14
1200,0.0005,1,11,3,14
1200,0.0005,0,0,14,14
1200,0.001,1,11,3,14
1200,0.001,0,0,14,14
1200,0.005,1,14,0,14
1200,0.005,0,0,14,14
1200,0.01,1,14,0,14
1200,0.01,0,1,13,14
1200,0.05,1,14,0,14
1200,0.05,0,1,13,14
1200,0.1,1,14,0,14
1200,0.1,0,3,11,14
1200,0.2,1,14,0,14
1200,0.2,0,4,10,14
1200,0.4,1,14,0,14
1200,0.4,0,8,6,14
