#flows,epsilon,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
35000,0.01,1,14,0,14
35000,0.05,1,14,0,14
35000,0.09,1,14,0,14
35000,0.13,1,14,0,14
35000,0.17,1,14,0,14
35000,0.21,1,14,0,14
35000,0.01,0,0,0,14
35000,0.05,0,1,0,14
35000,0.09,0,3,2,14
35000,0.13,0,2,3,14
35000,0.17,0,5,1,14
35000,0.21,0,4,2,14
35000,0.01,1,14,0,14
35000,0.05,1,14,0,14
35000,0.09,1,14,0,14
35000,0.13,1,14,0,14
35000,0.17,1,14,0,14
35000,0.21,1,14,0,14
35000,0.01,0,1,1,14
35000,0.05,0,0,2,14
35000,0.09,0,1,3,14
35000,0.13,0,3,3,14
35000,0.17,0,7,1,14
35000,0.21,0,6,1,14
35000,0.01,1,14,0,14
35000,0.05,1,14,0,14
35000,0.09,1,14,0,14
35000,0.13,1,14,0,14
35000,0.17,1,14,0,14
35000,0.21,1,14,0,14
35000,0.01,0,0,0,14
35000,0.05,0,6,2,14
35000,0.09,0,1,2,14
35000,0.13,0,4,4,14
35000,0.17,0,6,3,14
35000,0.21,0,5,4,14
35000,0.01,1,14,0,14
35000,0.05,1,14,0,14
35000,0.09,1,14,0,14
35000,0.13,1,14,0,14
35000,0.17,1,14,0,14
35000,0.21,1,14,0,14
35000,0.01,0,1,0,14
35000,0.05,0,1,0,14
35000,0.09,0,2,1,14
35000,0.13,0,2,3,14
35000,0.17,0,5,1,14
35000,0.21,0,6,4,14
35000,0.01,1,14,0,14
35000,0.05,1,14,0,14
35000,0.09,1,14,0,14
35000,0.13,1,14,0,14
35000,0.17,1,14,0,14
35000,0.21,1,14,0,14
35000,0.01,0,0,0,14
35000,0.05,0,2,0,14
35000,0.09,0,2,0,14
35000,0.13,0,3,1,14
35000,0.17,0,5,2,14
35000,0.21,0,4,5,14
35000,0.01,1,14,0,14
35000,0.05,1,14,0,14
35000,0.09,1,14,0,14
35000,0.13,1,14,0,14
35000,0.17,1,14,0,14
35000,0.21,1,14,0,14
35000,0.01,0,0,0,14
35000,0.05,0,0,1,14
35000,0.09,0,1,2,14
35000,0.13,0,1,2,14
35000,0.17,0,4,3,14
35000,0.21,0,5,3,14
35000,0.01,1,14,0,14
35000,0.05,1,14,0,14
35000,0.09,1,14,0,14
35000,0.13,1,14,0,14
35000,0.17,1,14,0,14
35000,0.21,1,14,0,14
35000,0.01,0,0,0,14
35000,0.05,0,0,3,14
35000,0.09,0,3,2,14
35000,0.13,0,5,4,14
35000,0.17,0,6,1,14
35000,0.21,0,5,3,14
35000,0.01,1,14,0,14
35000,0.05,1,14,0,14
35000,0.09,1,14,0,14
35000,0.13,1,14,0,14
35000,0.17,1,14,0,14
35000,0.21,1,14,0,14
35000,0.01,0,0,0,14
35000,0.05,0,1,1,14
35000,0.09,0,2,3,14
35000,0.13,0,4,4,14
35000,0.17,0,4,2,14
35000,0.21,0,7,4,14
35000,0.01,1,14,0,14
35000,0.05,1,14,0,14
35000,0.09,1,14,0,14
35000,0.13,1,14,0,14
35000,0.17,1,14,0,14
35000,0.21,1,14,0,14
35000,0.01,0,0,0,14
35000,0.05,0,2,3,14
35000,0.09,0,2,2,14
35000,0.13,0,3,3,14
35000,0.17,0,4,7,14
35000,0.21,0,4,2,14
35000,0.01,1,14,0,14
35000,0.05,1,14,0,14
35000,0.09,1,14,0,14
35000,0.13,1,14,0,14
35000,0.17,1,14,0,14
35000,0.21,1,14,0,14
35000,0.01,0,1,0,14
35000,0.05,0,1,1,14
35000,0.09,0,2,2,14
35000,0.13,0,7,1,14
35000,0.17,0,5,3,14
35000,0.21,0,7,3,14
