#flows,iteration,time,epsilon,r_threshold,is_correlated,key,count_chern,byte_chern,pred,true
100,0,1.4727842808,0.0001,0.01,1,ah226-al225,0.0002100805,2.69624614648E-44,0,1
100,0,1.4727842808,0.0001,0.01,1,ah2-al1,5.17198970809E-05,1.4102904045E-41,1,1
100,0,1.4727842808,0.0001,0.01,1,ah65-al65,0.0012665751,3.62167801613E-28,0,1
100,0,1.4727842808,0.0001,0.01,1,ah66-al65,0.0009936099,1.72021578329E-26,0,1
100,0,1.4727842808,0.0001,0.01,1,ah194-al193,0.0344622108,4.16947193457E-43,0,1
100,0,1.4727842808,0.0001,0.01,1,ah98-al97,3.60214915519E-06,1.00204914142E-26,1,1
100,0,1.4727842808,0.0001,0.01,1,ah225-al225,0.0050079465,3.1587568733E-42,0,1
100,0,1.4727842808,0.0001,0.01,1,ah97-al97,0.0150088863,3.19603139893E-30,0,1
100,0,1.4727842808,0.0001,0.01,1,ah161-al161,0.0006779892,3.93809044479E-31,0,1
100,0,1.4727842808,0.0001,0.01,1,ah33-al33,0.000813732,2.1265647507E-37,0,1
100,0,1.4727842808,0.0001,0.01,1,ah193-al193,0.0007197959,8.55758496006E-50,0,1
100,0,1.4727842808,0.0001,0.01,1,ah162-al161,2.7022852122E-06,1.09654914145E-41,1,1
100,0,1.4727842808,0.0001,0.01,1,ah1-al1,0.0012836056,2.18336770437E-34,0,1
100,0,1.4727842808,0.0001,0.01,1,ah34-al33,6.66479256929E-06,1.72792797054E-33,1,1
100,2,1.4155063629,0.0001,0.01,1,ah226-al225,6.31221782861E-08,6.48935227946E-64,1,1
100,2,1.4155063629,0.0001,0.01,1,ah2-al1,0.0009842376,1.67687265644E-37,0,1
100,2,1.4155063629,0.0001,0.01,1,ah65-al65,0.0006847306,1.96606305688E-22,0,1
100,2,1.4155063629,0.0001,0.01,1,ah66-al65,0.00590163,6.63535023669E-29,0,1
100,2,1.4155063629,0.0001,0.01,1,ah194-al193,0.0925033727,2.8214318095E-60,0,1
100,2,1.4155063629,0.0001,0.01,1,ah98-al97,0.00000035,8.37674152115E-32,1,1
100,2,1.4155063629,0.0001,0.01,1,ah225-al225,0.0084636745,2.21023444578E-45,0,1
100,2,1.4155063629,0.0001,0.01,1,ah97-al97,0.1867030583,1.48903577944E-26,0,1
100,2,1.4155063629,0.0001,0.01,1,ah161-al161,4.1528086884E-06,2.31814105734E-49,1,1
100,2,1.4155063629,0.0001,0.01,1,ah33-al33,0.000000491,1.76564997922E-33,1,1
100,2,1.4155063629,0.0001,0.01,1,ah193-al193,0.0002957442,2.79153418195E-46,0,1
100,2,1.4155063629,0.0001,0.01,1,ah162-al161,0.0060179785,3.06551867722E-49,0,1
100,2,1.4155063629,0.0001,0.01,1,ah1-al1,0.0001765929,5.07975309693E-29,0,1
100,2,1.4155063629,0.0001,0.01,1,ah34-al33,0.0204326223,1.43157997337E-37,0,1
100,0,1.3588032723,0.0001,0.01,0,ah226-al225,0.0007883446,1.26174883064E-33,0,0
100,0,1.3588032723,0.0001,0.01,0,ah2-al1,0.0548458879,3.31679243809E-38,0,0
100,0,1.3588032723,0.0001,0.01,0,ah65-al65,0.0064100615,4.50048437272E-26,0,0
100,0,1.3588032723,0.0001,0.01,0,ah66-al65,0.0003906344,2.86736941874E-32,0,0
100,0,1.3588032723,0.0001,0.01,0,ah194-al193,0.0075457113,1.30007859735E-67,0,0
100,0,1.3588032723,0.0001,0.01,0,ah98-al97,0.0085461897,1.30909680611E-27,0,0
100,0,1.3588032723,0.0001,0.01,0,ah225-al225,0.0131302238,2.60416481632E-55,0,0
100,0,1.3588032723,0.0001,0.01,0,ah97-al97,0.0201798389,2.13966567137E-33,0,0
100,0,1.3588032723,0.0001,0.01,0,ah161-al161,0.0025923733,1.12491299592E-37,0,0
100,0,1.3588032723,0.0001,0.01,0,ah33-al33,0.0170897501,1.13790981529E-42,0,0
100,0,1.3588032723,0.0001,0.01,0,ah193-al193,0.2243404293,3.19884321753E-41,0,0
100,0,1.3588032723,0.0001,0.01,0,ah162-al161,0.2405524364,8.23486776956E-67,0,0
100,0,1.3588032723,0.0001,0.01,0,ah1-al1,0.1595696412,3.27553228353E-37,0,0
100,0,1.3588032723,0.0001,0.01,0,ah34-al33,0.0009192029,2.92921226966E-36,0,0
100,4,1.7609152794,0.0001,0.01,1,ah226-al225,3.2446184801E-09,5.61775440445E-49,1,1
100,4,1.7609152794,0.0001,0.01,1,ah2-al1,0.0078227953,1.18797142064E-29,0,1
100,4,1.7609152794,0.0001,0.01,1,ah65-al65,0.0001800515,2.17772785282E-34,0,1
100,4,1.7609152794,0.0001,0.01,1,ah66-al65,0.004116333,4.13920360083E-31,0,1
100,4,1.7609152794,0.0001,0.01,1,ah194-al193,0.0548458879,3.13730791149E-46,0,1
100,4,1.7609152794,0.0001,0.01,1,ah98-al97,0.0002493061,1.78593374455E-42,0,1
100,4,1.7609152794,0.0001,0.01,1,ah225-al225,0.0053216036,2.19157540663E-49,0,1
100,4,1.7609152794,0.0001,0.01,1,ah97-al97,0.0002601749,3.75198892739E-24,0,1
100,4,1.7609152794,0.0001,0.01,1,ah161-al161,2.03553496819E-05,9.51135111802E-61,1,1
100,4,1.7609152794,0.0001,0.01,1,ah33-al33,0.0001179337,4.13888715772E-36,0,1
100,4,1.7609152794,0.0001,0.01,1,ah193-al193,1.01078008364E-05,1.28677835686E-46,1,1
100,4,1.7609152794,0.0001,0.01,1,ah162-al161,0.0040439292,5.32996258505E-54,0,1
100,4,1.7609152794,0.0001,0.01,1,ah1-al1,1.61717951667E-05,9.66649636653E-35,1,1
100,4,1.7609152794,0.0001,0.01,1,ah34-al33,0.0054441343,1.41758933172E-45,0,1
100,2,1.5703949928,0.0001,0.01,0,ah226-al225,0.0297853845,6.42359287028E-43,0,0
100,2,1.5703949928,0.0001,0.01,0,ah2-al1,0.0069410927,8.67544168355E-38,0,0
100,2,1.5703949928,0.0001,0.01,0,ah65-al65,0.0008546157,7.40508696304E-32,0,0
100,2,1.5703949928,0.0001,0.01,0,ah66-al65,0.0009357983,4.87753688802E-29,0,0
100,2,1.5703949928,0.0001,0.01,0,ah194-al193,0.1032978848,1.70471253141E-40,0,0
100,2,1.5703949928,0.0001,0.01,0,ah98-al97,0.0005569253,4.87406441904E-32,0,0
100,2,1.5703949928,0.0001,0.01,0,ah225-al225,0.0044351444,8.43489571557E-41,0,0
100,2,1.5703949928,0.0001,0.01,0,ah97-al97,1.46810672625E-05,1.25178834299E-29,1,0
100,2,1.5703949928,0.0001,0.01,0,ah161-al161,0.0154115012,9.44467149535E-54,0,0
100,2,1.5703949928,0.0001,0.01,0,ah33-al33,0.1026189832,6.2218354428E-34,0,0
100,2,1.5703949928,0.0001,0.01,0,ah193-al193,0.0092026032,6.9576716006E-59,0,0
100,2,1.5703949928,0.0001,0.01,0,ah162-al161,0.0587149224,3.05856111644E-59,0,0
100,2,1.5703949928,0.0001,0.01,0,ah1-al1,0.0008964571,1.69084584857E-34,0,0
