#flows,iteration,epsilon,r_threshold,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
100,0,0.0001,0.01,1,4,10,14
100,2,0.0001,0.01,1,4,10,14
100,0,0.0001,0.01,0,0,14,14
100,4,0.0001,0.01,1,4,10,14
100,2,0.0001,0.01,0,1,13,14
100,0,0.0001,0.01,-1,0,0,14
100,4,0.0001,0.01,0,0,14,14
100,2,0.0001,0.01,-1,1,1,14
100,4,0.0001,0.01,-1,0,2,14
200,0,0.0001,0.01,1,9,5,14
200,2,0.0001,0.01,1,8,6,14
200,4,0.0001,0.01,1,6,8,14
200,0,0.0001,0.01,0,0,14,14
200,2,0.0001,0.01,0,1,13,14
200,4,0.0001,0.01,0,0,14,14
200,0,0.0001,0.01,-1,0,1,14
200,2,0.0001,0.01,-1,0,0,14
200,4,0.0001,0.01,-1,0,0,14
300,0,0.0001,0.01,1,12,2,14
300,2,0.0001,0.01,1,11,3,14
300,4,0.0001,0.01,1,11,3,14
300,0,0.0001,0.01,0,0,14,14
300,2,0.0001,0.01,0,2,12,14
300,4,0.0001,0.01,0,1,13,14
300,0,0.0001,0.01,-1,0,1,14
300,2,0.0001,0.01,-1,0,1,14
300,4,0.0001,0.01,-1,1,1,14
400,0,0.0001,0.01,1,12,2,14
400,2,0.0001,0.01,1,14,0,14
400,4,0.0001,0.01,1,13,1,14
400,0,0.0001,0.01,0,0,14,14
400,2,0.0001,0.01,0,0,14,14
400,4,0.0001,0.01,0,0,14,14
400,0,0.0001,0.01,-1,0,0,14
400,2,0.0001,0.01,-1,0,0,14
400,4,0.0001,0.01,-1,0,1,14
500,2,0.0001,0.01,1,14,0,14
500,0,0.0001,0.01,1,13,1,14
500,4,0.0001,0.01,1,12,2,14
500,2,0.0001,0.01,0,1,13,14
500,0,0.0001,0.01,0,0,14,14
500,4,0.0001,0.01,0,0,14,14
500,2,0.0001,0.01,-1,0,0,14
500,0,0.0001,0.01,-1,1,0,14
500,4,0.0001,0.01,-1,0,0,14
600,2,0.0001,0.01,1,14,0,14
600,0,0.0001,0.01,1,14,0,14
600,4,0.0001,0.01,1,14,0,14
600,2,0.0001,0.01,0,0,14,14
600,0,0.0001,0.01,0,1,13,14
600,4,0.0001,0.01,0,0,14,14
600,2,0.0001,0.01,-1,0,2,14
600,0,0.0001,0.01,-1,1,0,14
600,4,0.0001,0.01,-1,0,0,14
700,2,0.0001,0.01,1,14,0,14
700,0,0.0001,0.01,1,14,0,14
700,4,0.0001,0.01,1,14,0,14
700,2,0.0001,0.01,0,0,14,14
