#flows,iteration,time,epsilon,r_threshold,is_correlated,key,count_chern,byte_chern,pred,true
800,0,13.7645850182,0.0001,0.01,1,ah226-al225,3.10226898975e-13,1.43831882257e-253,1,1
800,0,13.7645850182,0.0001,0.01,1,ah2-al1,5.29913448137e-10,3.09025730735e-200,1,1
800,0,13.7645850182,0.0001,0.01,1,ah65-al65,4.16682179743e-13,5.16190698606e-160,1,1
800,0,13.7645850182,0.0001,0.01,1,ah66-al65,1.14433087853e-20,3.13077204313e-243,1,1
800,0,13.7645850182,0.0001,0.01,1,ah194-al193,5.86447040275e-16,2.29997291209e-202,1,1
800,0,13.7645850182,0.0001,0.01,1,ah98-al97,1.11567918353e-16,7.0565565342e-142,1,1
800,0,13.7645850182,0.0001,0.01,1,ah225-al225,2.0224589419e-13,1.94018671953e-235,1,1
800,0,13.7645850182,0.0001,0.01,1,ah97-al97,4.43012710007e-08,4.13603891974e-144,1,1
800,0,13.7645850182,0.0001,0.01,1,ah161-al161,3.11558595228e-12,2.31745416326e-228,1,1
800,0,13.7645850182,0.0001,0.01,1,ah33-al33,1.52518910995e-13,1.076893559e-145,1,1
800,0,13.7645850182,0.0001,0.01,1,ah193-al193,1.00057183206e-09,1.8970324101e-258,1,1
800,0,13.7645850182,0.0001,0.01,1,ah162-al161,1.8964269091e-09,9.02933796815e-274,1,1
800,0,13.7645850182,0.0001,0.01,1,ah1-al1,2.09049947449e-14,4.60366296898e-199,1,1
800,0,13.7645850182,0.0001,0.01,1,ah34-al33,3.57914378355e-16,6.18518752421e-197,1,1
800,5,15.78637743,0.0001,0.01,1,ah226-al225,1.55602723959e-14,0.0,1,1
800,5,15.78637743,0.0001,0.01,1,ah2-al1,1.76853028185e-13,1.14408348043e-173,1,1
800,5,15.78637743,0.0001,0.01,1,ah65-al65,7.58253845811e-12,5.86872474727e-156,1,1
800,5,15.78637743,0.0001,0.01,1,ah66-al65,4.76796790732e-15,1.33787243615e-182,1,1
800,5,15.78637743,0.0001,0.01,1,ah194-al193,3.89778445881e-14,7.79361320953e-262,1,1
800,5,15.78637743,0.0001,0.01,1,ah98-al97,2.91293489999e-17,8.23507203399e-266,1,1
800,5,15.78637743,0.0001,0.01,1,ah225-al225,2.7398378487e-14,3.96208406804e-286,1,1
800,5,15.78637743,0.0001,0.01,1,ah97-al97,8.58547258638e-07,6.30758629212e-142,1,1
800,5,15.78637743,0.0001,0.01,1,ah161-al161,8.18602829977e-10,2.08446443124e-287,1,1
800,5,15.78637743,0.0001,0.01,1,ah33-al33,2.15970271168e-11,1.99577802784e-269,1,1
800,5,15.78637743,0.0001,0.01,1,ah193-al193,5.89273304015e-17,4.33208725055e-292,1,1
800,5,15.78637743,0.0001,0.01,1,ah162-al161,9.54061593675e-14,1.29261577271e-262,1,1
800,5,15.78637743,0.0001,0.01,1,ah1-al1,7.73397651892e-15,3.46520279454e-167,1,1
800,5,15.78637743,0.0001,0.01,1,ah34-al33,9.42635538384e-10,2.73379011925e-177,1,1
800,0,15.9812669754,0.0001,0.01,0,ah226-al225,0.113407596606,2.04445189152e-268,0,0
800,0,15.9812669754,0.0001,0.01,0,ah2-al1,0.0346344327204,3.29658669885e-196,0,0
800,0,15.9812669754,0.0001,0.01,0,ah65-al65,0.156499121621,5.37851448805e-183,0,0
800,0,15.9812669754,0.0001,0.01,0,ah66-al65,0.0298014435416,2.36301140854e-152,0,0
800,0,15.9812669754,0.0001,0.01,0,ah194-al193,0.00102467066611,3.57010000058e-229,0,0
800,0,15.9812669754,0.0001,0.01,0,ah98-al97,0.148662303232,3.46197627512e-170,0,0
800,0,15.9812669754,0.0001,0.01,0,ah225-al225,0.000302117911831,6.51626877754e-269,0,0
800,0,15.9812669754,0.0001,0.01,0,ah97-al97,0.0601756042855,1.67580195943e-178,0,0
800,0,15.9812669754,0.0001,0.01,0,ah161-al161,0.0154739456302,0.0,0,0
800,0,15.9812669754,0.0001,0.01,0,ah33-al33,0.038176686601,6.96809578091e-226,0,0
800,0,15.9812669754,0.0001,0.01,0,ah193-al193,0.0800554169259,2.89477513231e-202,0,0
800,0,15.9812669754,0.0001,0.01,0,ah162-al161,0.18394247141,0.0,0,0
800,0,15.9812669754,0.0001,0.01,0,ah1-al1,0.00127014001249,6.66611486756e-314,0,0
800,0,15.9812669754,0.0001,0.01,0,ah34-al33,0.0592710796064,1.72827669053e-211,0,0
800,5,13.9370014668,0.0001,0.01,0,ah226-al225,0.0259791272956,2.33680877137e-196,0,0
800,5,13.9370014668,0.0001,0.01,0,ah2-al1,0.0403346784853,4.8511780682e-225,0,0
800,5,13.9370014668,0.0001,0.01,0,ah65-al65,0.0131102126711,3.86234443726e-226,0,0
800,5,13.9370014668,0.0001,0.01,0,ah66-al65,0.00601033130365,5.83176895993e-161,0,0
800,5,13.9370014668,0.0001,0.01,0,ah194-al193,0.0250639779537,6.7440845975e-256,0,0
800,5,13.9370014668,0.0001,0.01,0,ah98-al97,0.039058191663,2.1931053021e-167,0,0
800,5,13.9370014668,0.0001,0.01,0,ah225-al225,0.0141740061687,3.03517130638e-212,0,0
800,5,13.9370014668,0.0001,0.01,0,ah97-al97,0.0942168197137,9.30396042043e-245,0,0
800,5,13.9370014668,0.0001,0.01,0,ah161-al161,0.0120703901362,1.3670962385e-294,0,0
800,5,13.9370014668,0.0001,0.01,0,ah33-al33,0.105896835913,2.91214691195e-201,0,0
800,5,13.9370014668,0.0001,0.01,0,ah193-al193,0.140877724116,7.47043331296e-199,0,0
800,5,13.9370014668,0.0001,0.01,0,ah162-al161,0.0989991238864,0.0,0,0
800,5,13.9370014668,0.0001,0.01,0,ah1-al1,0.180031252763,1.17180643236e-175,0,0
800,5,13.9370014668,0.0001,0.01,0,ah34-al33,0.000398494588519,8.80930645851e-206,0,0
800,0,13.879087925,0.0001,0.01,-1,ah226-al225,0.0684995397276,0.0762763052526,-1,-1
800,0,13.879087925,0.0001,0.01,-1,ah2-al1,0.0161099439923,0.0901739130373,-1,-1
800,0,13.879087925,0.0001,0.01,-1,ah65-al65,0.0640415461889,0.0515673786748,-1,-1
800,0,13.879087925,0.0001,0.01,-1,ah66-al65,0.145887627665,0.0442766067584,-1,-1
