#flows,iteration,epsilon,r_threshold,is_correlated,#correlated_detect
10,0,0.01,0.01,1,4
20,0,0.01,0.01,1,1
30,0,0.01,0.01,1,1
40,0,0.01,0.01,1,2
50,0,0.01,0.01,1,5
60,0,0.01,0.01,1,8
70,0,0.01,0.01,1,14
80,0,0.01,0.01,1,14
90,0,0.01,0.01,1,14
100,0,0.01,0.01,1,14
10,1,0.01,0.01,1,3
20,1,0.01,0.01,1,1
30,1,0.01,0.01,1,0
40,1,0.01,0.01,1,3
50,1,0.01,0.01,1,4
60,1,0.01,0.01,1,12
70,1,0.01,0.01,1,13
80,1,0.01,0.01,1,14
90,1,0.01,0.01,1,14
100,1,0.01,0.01,1,14
10,2,0.01,0.01,1,5
20,2,0.01,0.01,1,0
30,2,0.01,0.01,1,2
40,2,0.01,0.01,1,3
50,2,0.01,0.01,1,5
60,2,0.01,0.01,1,13
70,2,0.01,0.01,1,13
80,2,0.01,0.01,1,14
90,2,0.01,0.01,1,14
100,2,0.01,0.01,1,14
10,3,0.01,0.01,1,4
20,3,0.01,0.01,1,2
30,3,0.01,0.01,1,1
40,3,0.01,0.01,1,3
50,3,0.01,0.01,1,7
60,3,0.01,0.01,1,9
70,3,0.01,0.01,1,14
80,3,0.01,0.01,1,14
90,3,0.01,0.01,1,14
100,3,0.01,0.01,1,14
10,4,0.01,0.01,1,4
20,4,0.01,0.01,1,4
30,4,0.01,0.01,1,0
40,4,0.01,0.01,1,3
50,4,0.01,0.01,1,3
60,4,0.01,0.01,1,11
70,4,0.01,0.01,1,14
80,4,0.01,0.01,1,14
90,4,0.01,0.01,1,14
100,4,0.01,0.01,1,14
10,5,0.01,0.01,1,4
20,5,0.01,0.01,1,1
30,5,0.01,0.01,1,3
40,5,0.01,0.01,1,3
50,5,0.01,0.01,1,6
60,5,0.01,0.01,1,10
70,5,0.01,0.01,1,14
80,5,0.01,0.01,1,14
90,5,0.01,0.01,1,14
100,5,0.01,0.01,1,14
10,6,0.01,0.01,1,6
20,6,0.01,0.01,1,1
30,6,0.01,0.01,1,3
40,6,0.01,0.01,1,4
50,6,0.01,0.01,1,7
60,6,0.01,0.01,1,12
70,6,0.01,0.01,1,13
80,6,0.01,0.01,1,14
90,6,0.01,0.01,1,14
100,6,0.01,0.01,1,14
10,7,0.01,0.01,1,4
20,7,0.01,0.01,1,1
30,7,0.01,0.01,1,3
40,7,0.01,0.01,1,1
50,7,0.01,0.01,1,4
60,7,0.01,0.01,1,13
70,7,0.01,0.01,1,14
80,7,0.01,0.01,1,14
90,7,0.01,0.01,1,14
100,7,0.01,0.01,1,14
10,8,0.01,0.01,1,4
20,8,0.01,0.01,1,2
30,8,0.01,0.01,1,2
40,8,0.01,0.01,1,1
50,8,0.01,0.01,1,7
60,8,0.01,0.01,1,11
70,8,0.01,0.01,1,14
80,8,0.01,0.01,1,14
90,8,0.01,0.01,1,14
100,8,0.01,0.01,1,14
10,9,0.01,0.01,1,5
20,9,0.01,0.01,1,1
30,9,0.01,0.01,1,2
40,9,0.01,0.01,1,2
50,9,0.01,0.01,1,5
60,9,0.01,0.01,1,13
70,9,0.01,0.01,1,14
80,9,0.01,0.01,1,14
90,9,0.01,0.01,1,14
100,9,0.01,0.01,1,14
