#flows,epsilon,is_correlated,#correlated_detect
20,0.01,1,1
40,0.01,1,1
60,0.01,1,9
80,0.01,1,14
100,0.01,1,14
20,0.01,1,1
40,0.01,1,2
60,0.01,1,11
80,0.01,1,14
100,0.01,1,14
20,0.01,1,2
40,0.01,1,2
60,0.01,1,11
80,0.01,1,14
100,0.01,1,14
20,0.01,1,1
40,0.01,1,4
60,0.01,1,13
80,0.01,1,14
100,0.01,1,14
20,0.01,1,5
40,0.01,1,1
60,0.01,1,13
80,0.01,1,14
100,0.01,1,14
20,0.01,1,2
40,0.01,1,1
60,0.01,1,13
80,0.01,1,14
100,0.01,1,14
20,0.01,1,0
40,0.01,1,4
60,0.01,1,10
80,0.01,1,14
100,0.01,1,14
20,0.01,1,0
40,0.01,1,4
60,0.01,1,10
80,0.01,1,14
100,0.01,1,14
20,0.01,1,1
40,0.01,1,2
60,0.01,1,11
80,0.01,1,14
100,0.01,1,14
20,0.01,1,1
40,0.01,1,2
60,0.01,1,9
80,0.01,1,14
100,0.01,1,14
