#flows,is_correlated,#correlated_detect
400,1,2
600,1,3
800,1,6
1000,1,11
1200,1,13
1400,1,13
1600,1,14
400,1,1
600,1,3
800,1,5
1000,1,12
1200,1,14
1400,1,14
1600,1,14
400,1,1
600,1,2
800,1,4
1000,1,9
1200,1,13
1400,1,13
1600,1,14
400,1,3
600,1,1
800,1,5
1000,1,11
1200,1,13
1400,1,14
1600,1,14
400,1,3
600,1,1
800,1,4
1000,1,12
1200,1,14
1400,1,14
1600,1,14
400,1,4
600,1,3
800,1,5
1000,1,12
1200,1,13
1400,1,14
1600,1,14
400,1,0
600,1,1
800,1,7
1000,1,9
1200,1,13
1400,1,13
1600,1,14
400,1,4
600,1,2
800,1,5
1000,1,11
1200,1,14
1400,1,14
1600,1,14
400,1,1
600,1,1
800,1,10
1000,1,11
1200,1,14
1400,1,13
1600,1,14
400,1,3
600,1,2
800,1,6
1000,1,11
1200,1,12
1400,1,13
1600,1,14
