#flows,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
5000,1,1,0,14
7500,1,3,0,14
10000,1,6,0,14
12500,1,4,1,14
15000,1,9,0,14
17500,1,10,0,14
20000,1,12,0,14
22500,1,12,0,14
25000,1,14,0,14
27500,1,14,0,14
5000,1,1,1,14
7500,1,3,2,14
10000,1,5,0,14
12500,1,4,0,14
15000,1,11,1,14
17500,1,10,0,14
20000,1,13,0,14
22500,1,14,0,14
25000,1,13,0,14
27500,1,14,0,14
5000,1,0,0,14
7500,1,4,1,14
10000,1,5,0,14
12500,1,7,0,14
15000,1,10,0,14
17500,1,11,0,14
20000,1,13,0,14
22500,1,13,0,14
25000,1,12,0,14
27500,1,14,0,14
5000,1,3,0,14
7500,1,4,1,14
10000,1,6,0,14
12500,1,5,1,14
15000,1,8,1,14
17500,1,10,0,14
20000,1,12,0,14
22500,1,12,0,14
25000,1,12,2,14
27500,1,12,0,14
5000,1,1,0,14
7500,1,1,0,14
10000,1,6,0,14
12500,1,9,0,14
15000,1,12,0,14
17500,1,11,0,14
20000,1,13,0,14
22500,1,12,0,14
25000,1,13,0,14
27500,1,13,0,14
5000,1,1,0,14
7500,1,3,0,14
10000,1,4,1,14
12500,1,8,1,14
15000,1,8,1,14
17500,1,9,0,14
20000,1,11,0,14
22500,1,13,0,14
25000,1,12,0,14
27500,1,13,0,14
5000,1,2,0,14
7500,1,2,0,14
10000,1,8,0,14
12500,1,9,2,14
15000,1,7,1,14
17500,1,11,0,14
20000,1,12,0,14
22500,1,14,0,14
25000,1,14,0,14
27500,1,13,0,14
5000,1,2,0,14
7500,1,4,0,14
10000,1,6,0,14
12500,1,5,0,14
15000,1,9,1,14
17500,1,11,0,14
20000,1,13,0,14
22500,1,13,0,14
25000,1,14,0,14
27500,1,14,0,14
5000,1,3,0,14
7500,1,3,0,14
10000,1,5,2,14
12500,1,8,0,14
15000,1,8,0,14
17500,1,7,2,14
20000,1,12,1,14
22500,1,14,0,14
25000,1,13,1,14
27500,1,14,0,14
5000,1,0,1,14
7500,1,2,0,14
10000,1,3,1,14
12500,1,4,1,14
15000,1,10,1,14
17500,1,12,0,14
20000,1,11,0,14
22500,1,12,0,14
25000,1,13,0,14
27500,1,13,0,14
30000,0,0,0,14
32500,0,0,0,14
35000,0,1,0,14
30000,0,0,0,14
32500,0,0,0,14
35000,0,0,0,14
30000,0,0,0,14
32500,0,0,0,14
35000,0,0,0,14
30000,0,0,0,14
32500,0,0,0,14
35000,0,0,0,14
30000,0,0,0,14
32500,0,0,0,14
35000,0,0,0,14
30000,0,0,0,14
32500,0,0,0,14
35000,0,0,0,14
30000,0,0,0,14
32500,0,0,0,14
35000,0,0,0,14
30000,0,0,0,14
32500,0,0,0,14
35000,0,0,0,14
30000,0,0,0,14
32500,0,0,0,14
35000,0,0,0,14
30000,0,0,0,14
32500,0,0,0,14
35000,0,0,0,14
30000,1,14,0,14
32500,1,14,0,14
35000,1,14,0,14
30000,1,13,1,14
32500,1,14,0,14
35000,1,14,0,14
30000,1,14,0,14
32500,1,14,0,14
35000,1,14,0,14
30000,1,12,2,14
32500,1,14,0,14
35000,1,14,0,14
30000,1,14,0,14
32500,1,14,0,14
35000,1,14,0,14
30000,1,14,0,14
32500,1,14,0,14
35000,1,14,0,14
30000,1,14,0,14
32500,1,14,0,14
35000,1,14,0,14
30000,1,14,0,14
32500,1,14,0,14
35000,1,14,0,14
30000,1,14,0,14
32500,1,14,0,14
35000,1,14,0,14
30000,1,14,0,14
32500,1,14,0,14
35000,1,14,0,14
