#flows,is_correlated,key,count_chern,byte_chern,class
200,1,2_0_1_0-2_1_1_0,0.0076294892927,0.00715398013835,-1
200,1,2_0_1_3-2_1_1_3,0.506821632386,0.508363073284,-1
200,1,2_0_0_0-2_1_0_0,0.0009765625,0.0009765625,1
200,1,2_0_0_2-2_1_0_2,0.0544195584002,0.0470559831909,-1
200,1,2_0_0_1-2_1_0_1,0.0880418701932,0.0943380152709,-1
200,1,2_0_1_1-2_1_1_1,0.0190168077622,0.0223005472708,-1
200,1,2_0_1_2-2_1_1_2,0.0813988354946,0.0784382936089,-1
200,1,2_0_0_3-2_1_0_3,0.136933551519,0.127023700079,-1
500,1,2_0_1_0-2_1_1_0,0.0090116842479,0.00934443642139,-1
500,1,2_0_1_3-2_1_1_3,0.114869190811,0.113547978246,-1
500,1,2_0_0_0-2_1_0_0,6.25084663737e-05,4.53209840936e-05,1
500,1,2_0_0_2-2_1_0_2,0.0847129873836,0.0850914480846,-1
500,1,2_0_0_1-2_1_0_1,0.00723646660242,0.00656908572748,-1
500,1,2_0_1_1-2_1_1_1,0.45059801333,0.429127153619,-1
500,1,2_0_1_2-2_1_1_2,0.000103407855211,0.0001044178509,1
500,1,2_0_0_3-2_1_0_3,0.00296467322906,0.00300057514171,-1
800,1,2_0_1_0-2_1_1_0,0.00492640803109,0.00462249681239,-1
800,1,2_0_1_3-2_1_1_3,0.106582056159,0.102982038771,-1
800,1,2_0_0_0-2_1_0_0,2.12638749181e-11,4.2876587085e-11,1
800,1,2_0_0_2-2_1_0_2,0.00205466380914,0.00168616995849,-1
800,1,2_0_0_1-2_1_0_1,0.000106618871481,0.000125789982424,1
800,1,2_0_1_1-2_1_1_1,1.55226940802e-05,1.77400091519e-05,1
800,1,2_0_1_2-2_1_1_2,0.000539329996427,0.00046971564912,1
800,1,2_0_0_3-2_1_0_3,0.0018851362461,0.00165020325572,-1
1100,1,2_0_1_0-2_1_1_0,2.96884995352e-08,3.07914973594e-08,1
1100,1,2_0_1_3-2_1_1_3,3.20135714828e-05,4.91238060732e-05,1
1100,1,2_0_0_0-2_1_0_0,5.4133286094e-11,1.09198471964e-10,1
1100,1,2_0_0_2-2_1_0_2,0.00158889751143,0.00137826126702,-1
1100,1,2_0_0_1-2_1_0_1,1.34387531594e-11,4.59372918927e-11,1
1100,1,2_0_1_1-2_1_1_1,2.01585512269e-05,1.68705277227e-05,1
1100,1,2_0_1_2-2_1_1_2,1.01228404871e-05,7.80045125429e-06,1
1100,1,2_0_0_3-2_1_0_3,1.10771782478e-05,3.12064744009e-05,1
1400,1,2_0_1_0-2_1_1_0,4.44194882319e-07,4.79759584425e-07,1
1400,1,2_0_1_3-2_1_1_3,0.00363445830913,0.00325850740433,-1
1400,1,2_0_0_0-2_1_0_0,5.83401818982e-10,4.68888885821e-10,1
1400,1,2_0_0_2-2_1_0_2,1.65141046443e-08,2.20781724284e-09,1
1400,1,2_0_0_1-2_1_0_1,2.40085617404e-10,3.59995355958e-11,1
1400,1,2_0_1_1-2_1_1_1,2.92604772168e-08,1.7001234995e-07,1
1400,1,2_0_1_2-2_1_1_2,3.48909303515e-07,7.89264423904e-07,1
1400,1,2_0_0_3-2_1_0_3,1.5687693078e-08,1.20433849756e-08,1
1700,1,2_0_1_0-2_1_1_0,1.74341767269e-06,4.13513311641e-06,1
1700,1,2_0_1_3-2_1_1_3,3.29436353969e-05,1.35279110557e-05,1
1700,1,2_0_0_0-2_1_0_0,2.31340001337e-08,5.73218303234e-09,1
1700,1,2_0_0_2-2_1_0_2,2.02041916668e-10,1.74941585225e-09,1
1700,1,2_0_0_1-2_1_0_1,9.19286745474e-11,2.07189775121e-10,1
1700,1,2_0_1_1-2_1_1_1,1.5646962211e-07,3.57161913003e-07,1
1700,1,2_0_1_2-2_1_1_2,3.23290203691e-07,5.24719069565e-07,1
1700,1,2_0_0_3-2_1_0_3,1.13575548615e-07,2.41714879505e-07,1
2000,1,2_0_1_0-2_1_1_0,7.73850954735e-09,9.89943402744e-08,1
2000,1,2_0_1_3-2_1_1_3,3.09868169244e-11,4.17602733758e-10,1
2000,1,2_0_0_0-2_1_0_0,8.44365535236e-10,2.39648809888e-08,1
2000,1,2_0_0_2-2_1_0_2,2.9251255009e-07,1.5825189613e-06,1
2000,1,2_0_0_1-2_1_0_1,6.88289726965e-11,1.59087629659e-10,1
2000,1,2_0_1_1-2_1_1_1,7.28353587031e-13,8.04021232216e-12,1
2000,1,2_0_1_2-2_1_1_2,5.12484325209e-11,1.37990140989e-10,1
2000,1,2_0_0_3-2_1_0_3,1.56648675628e-08,3.8013160302e-08,1
200,0,2_0_1_0-2_1_1_0,0.788331840259,0.806303517834,-1
200,0,2_0_1_3-2_1_1_3,0.0880418701932,0.0746426554075,-1
200,0,2_0_0_0-2_1_0_0,0.0555111512314,0.0511388597392,-1
200,0,2_0_0_2-2_1_0_2,0.506821632386,0.496826050128,-1
200,0,2_0_0_1-2_1_0_1,0.0210361119555,0.0191452370896,-1
200,0,2_0_1_1-2_1_1_1,0.208098358994,0.203025762141,-1
200,0,2_0_1_2-2_1_1_2,0.0323962027482,0.0311982756136,-1
200,0,2_0_0_3-2_1_0_3,0.506821632386,0.49987697261,-1
500,0,2_0_1_0-2_1_1_0,0.481266704697,0.464040457404,-1
500,0,2_0_1_3-2_1_1_3,0.0847129873836,0.0811260329972,-1
500,0,2_0_0_0-2_1_0_0,0.800369532251,0.747140123599,-1
500,0,2_0_0_2-2_1_0_2,0.36396915394,0.39778086111,-1
500,0,2_0_0_1-2_1_0_1,0.31381948628,0.310692073202,-1
500,0,2_0_1_1-2_1_1_1,0.587314758254,0.593722430914,-1
500,0,2_0_1_2-2_1_1_2,0.265682649305,0.292695851916,-1
500,0,2_0_0_3-2_1_0_3,0.138963957009,0.174019303072,-1
800,0,2_0_1_0-2_1_1_0,0.502013673681,0.551860957688,-1
800,0,2_0_1_3-2_1_1_3,0.496981710415,0.431676014407,-1
800,0,2_0_0_0-2_1_0_0,0.106582056159,0.108783331382,-1
800,0,2_0_0_2-2_1_0_2,0.56421998845,0.544445462931,-1
800,0,2_0_0_1-2_1_0_1,0.481266704697,0.497240475397,-1
800,0,2_0_1_1-2_1_1_1,0.223982110014,0.253387385489,-1
800,0,2_0_1_2-2_1_1_2,0.316684511291,0.337581942344,-1
