#flows,is_correlated,key,count_chern,byte_chern,class
200,1,2_0_1_0-2_1_1_0,0.560195935615,0.548916570814,-1
200,1,2_0_1_3-2_1_1_3,0.00633267647171,0.00687787833882,-1
200,1,2_0_0_0-2_1_0_0,0.0323962027482,0.0320387772006,-1
200,1,2_0_0_2-2_1_0_2,0.0190168077622,0.0207193094725,-1
200,1,2_0_0_1-2_1_0_1,0.31569683902,0.279094439085,-1
200,1,2_0_1_1-2_1_1_1,0.00114039904705,0.00233956711803,-1
200,1,2_0_1_2-2_1_1_2,0.208098358994,0.173515273543,-1
200,1,2_0_0_3-2_1_0_3,0.474127011366,0.515698709361,-1
500,1,2_0_1_0-2_1_1_0,0.136043392662,0.116415032696,-1
500,1,2_0_1_3-2_1_1_3,0.0382582901033,0.0235298366532,-1
500,1,2_0_0_0-2_1_0_0,0.117730656718,0.102031325118,-1
500,1,2_0_0_2-2_1_0_2,0.00894589295901,0.00768891586207,-1
500,1,2_0_0_1-2_1_0_1,1.446281739e-06,1.13433711258e-06,1
500,1,2_0_1_1-2_1_1_1,0.042064587229,0.0505572139126,-1
500,1,2_0_1_2-2_1_1_2,0.00114749880531,0.000560782196569,0
500,1,2_0_0_3-2_1_0_3,0.00073211948333,0.00226375095553,1
800,1,2_0_1_0-2_1_1_0,0.000344921907986,0.000101140772638,1
800,1,2_0_1_3-2_1_1_3,6.61043851887e-05,0.000182562045186,1
800,1,2_0_0_0-2_1_0_0,0.0115014268768,0.0254860546525,-1
800,1,2_0_0_2-2_1_0_2,0.0469729834708,0.0730497583645,-1
800,1,2_0_0_1-2_1_0_1,0.00138605150201,0.00910699974371,-1
800,1,2_0_1_1-2_1_1_1,0.47726394421,0.369083511632,-1
800,1,2_0_1_2-2_1_1_2,0.000738529904703,0.00058200163232,1
800,1,2_0_0_3-2_1_0_3,0.011149537713,0.0298364961437,-1
1100,1,2_0_1_0-2_1_1_0,1.49933332919e-05,1.27298463796e-05,1
1100,1,2_0_1_3-2_1_1_3,2.36099282324e-10,4.9521490942e-10,1
1100,1,2_0_0_0-2_1_0_0,3.97482829809e-05,0.000117294635002,1
1100,1,2_0_0_2-2_1_0_2,0.0150114814228,0.0101810719143,-1
1100,1,2_0_0_1-2_1_0_1,8.62228595973e-07,7.22000040697e-07,1
1100,1,2_0_1_1-2_1_1_1,9.1909616182e-06,2.25304275451e-05,1
1100,1,2_0_1_2-2_1_1_2,2.35815970658e-05,6.99398403925e-05,1
1100,1,2_0_0_3-2_1_0_3,2.02374910734e-06,2.47945081944e-06,1
1400,1,2_0_1_0-2_1_1_0,2.79852925859e-07,2.19551469146e-07,1
1400,1,2_0_1_3-2_1_1_3,6.03007127718e-08,7.13012552147e-07,1
1400,1,2_0_0_0-2_1_0_0,1.14411471373e-08,1.67741408361e-08,1
1400,1,2_0_0_2-2_1_0_2,1.47034968958e-10,4.67468914358e-10,1
1400,1,2_0_0_1-2_1_0_1,1.6629327496e-09,6.21122494385e-09,1
1400,1,2_0_1_1-2_1_1_1,1.51540911994e-05,1.71137126718e-05,1
1400,1,2_0_1_2-2_1_1_2,1.1832404347e-07,4.9155328464e-07,1
1400,1,2_0_0_3-2_1_0_3,0.00030727745745,0.000228745774358,1
1700,1,2_0_1_0-2_1_1_0,1.30264105147e-09,4.85897599404e-09,1
1700,1,2_0_1_3-2_1_1_3,1.62606516892e-12,1.75605750297e-12,1
1700,1,2_0_0_0-2_1_0_0,1.32183945723e-11,3.35899274133e-11,1
1700,1,2_0_0_2-2_1_0_2,1.62428277588e-09,1.6153038692e-08,1
1700,1,2_0_0_1-2_1_0_1,1.23617221415e-07,1.65696882014e-06,1
1700,1,2_0_1_1-2_1_1_1,4.77813594773e-08,1.65134471326e-08,1
1700,1,2_0_1_2-2_1_1_2,2.42301049251e-06,1.33008888979e-05,1
1700,1,2_0_0_3-2_1_0_3,2.29453248761e-09,1.96031942498e-08,1
2000,1,2_0_1_0-2_1_1_0,7.56205078314e-09,1.25185052991e-08,1
2000,1,2_0_1_3-2_1_1_3,3.17836180957e-10,1.1998834688e-11,1
2000,1,2_0_0_0-2_1_0_0,7.72515722104e-11,3.20592984019e-11,1
2000,1,2_0_0_2-2_1_0_2,1.14472554323e-09,4.44511458118e-09,1
2000,1,2_0_0_1-2_1_0_1,2.94425811895e-09,1.52708078604e-08,1
2000,1,2_0_1_1-2_1_1_1,4.24103503687e-09,4.13391632013e-09,1
2000,1,2_0_1_2-2_1_1_2,7.48065949964e-10,3.55323110729e-10,1
2000,1,2_0_0_3-2_1_0_3,1.18971122609e-07,3.1103067067e-07,1
200,0,2_0_1_0-2_1_1_0,0.506821632386,0.540185250158,-1
200,0,2_0_1_3-2_1_1_3,0.182961389063,0.165666439235,-1
200,0,2_0_0_0-2_1_0_0,0.76636463792,0.773735883412,-1
200,0,2_0_0_2-2_1_0_2,0.967192176354,0.948777658054,-1
200,0,2_0_0_1-2_1_0_1,0.705186060147,0.716355560702,-1
200,0,2_0_1_1-2_1_1_1,0.145519152286,0.116218062802,-1
200,0,2_0_1_2-2_1_1_2,0.660789812877,0.662071328057,-1
200,0,2_0_0_3-2_1_0_3,0.603298561199,0.733605920496,-1
500,0,2_0_1_0-2_1_1_0,0.0610928562746,0.0453676740909,-1
500,0,2_0_1_3-2_1_1_3,0.286228524366,0.446685823535,-1
500,0,2_0_0_0-2_1_0_0,0.757030164956,0.613906026873,-1
500,0,2_0_0_2-2_1_0_2,0.567881141837,0.703245820382,-1
500,0,2_0_0_1-2_1_0_1,0.387181916949,0.237015998436,-1
500,0,2_0_1_1-2_1_1_1,0.190116832438,0.135961958559,-1
500,0,2_0_1_2-2_1_1_2,0.265682649305,0.227118400373,-1
500,0,2_0_0_3-2_1_0_3,0.161095717671,0.315060809106,-1
800,0,2_0_1_0-2_1_1_0,0.333871021291,0.344734009056,-1
800,0,2_0_1_3-2_1_1_3,0.28786049918,0.415645784419,-1
800,0,2_0_0_0-2_1_0_0,0.049349795532,0.035334141804,-1
800,0,2_0_0_2-2_1_0_2,0.489922294997,0.462694831014,-1
800,0,2_0_0_1-2_1_0_1,0.137181654209,0.195144991041,-1
800,0,2_0_1_1-2_1_1_1,0.380011199581,0.322866122156,-1
800,0,2_0_1_2-2_1_1_2,0.782319392987,0.938614621404,-1
800,0,2_0_0_3-2_1_0_3,0.960779184222,0.91332260429,-1
1100,0,2_0_1_0-2_1_1_0,0.366161110826,0.470582185614,-1
1100,0,2_0_1_3-2_1_1_3,0.229828247752,0.216007379031,-1
1100,0,2_0_0_0-2_1_0_0,0.215852457343,0.246781595255,-1
1100,0,2_0_0_2-2_1_0_2,0.335100981084,0.542787611326,-1
1100,0,2_0_0_1-2_1_0_1,0.947215473694,0.951520169038,-1
1100,0,2_0_1_1-2_1_1_1,0.481396220776,0.496465620341,-1
