#flows,time,epsilon,r_threshold,is_correlated,key,count_chern,byte_chern,pred,true
50,0.29101228714,0.001,0.01,1,2_0_1_0-2_1_1_0,0.00028713595827,5.13903120106e-07,1,1
50,0.29101228714,0.001,0.01,1,2_0_1_3-2_1_1_3,0.0433049270143,0.000242643559302,0,1
50,0.29101228714,0.001,0.01,1,2_0_0_0-2_1_0_0,0.0563018236029,0.00138209259036,-1,1
50,0.29101228714,0.001,0.01,1,2_0_0_2-2_1_0_2,1.71948094566e-05,2.5678698899e-06,1,1
50,0.29101228714,0.001,0.01,1,2_0_0_1-2_1_0_1,0.0128582381561,6.44492002843e-05,0,1
50,0.29101228714,0.001,0.01,1,2_0_1_1-2_1_1_1,0.163849200104,1.94489446344e-05,0,1
50,0.29101228714,0.001,0.01,1,2_0_1_2-2_1_1_2,0.00447718017891,3.20419368573e-05,0,1
50,0.29101228714,0.001,0.01,1,2_0_0_3-2_1_0_3,0.00189232073829,0.000221679631199,0,1
50,0.323883771896,0.001,0.01,0,2_0_1_0-2_1_1_0,0.426037116087,0.000171451732061,0,0
50,0.323883771896,0.001,0.01,0,2_0_1_3-2_1_1_3,0.365395234303,0.000174544378619,0,0
50,0.323883771896,0.001,0.01,0,2_0_0_0-2_1_0_0,0.256868167054,8.38064809058e-06,0,0
50,0.323883771896,0.001,0.01,0,2_0_0_2-2_1_0_2,0.365395234303,0.00282369302515,-1,0
50,0.323883771896,0.001,0.01,0,2_0_0_1-2_1_0_1,0.0563018236029,0.000760060361319,0,0
50,0.323883771896,0.001,0.01,0,2_0_1_1-2_1_1_1,0.57819621411,0.000675995128784,0,0
50,0.323883771896,0.001,0.01,0,2_0_1_2-2_1_1_2,0.765319057953,1.06928311604e-06,0,0
50,0.323883771896,0.001,0.01,0,2_0_0_3-2_1_0_3,0.851997995315,0.000119531028514,0,0
50,0.338937997818,0.001,0.01,-1,2_0_1_0-2_1_1_0,0.668505756766,0.668505756766,-1,-1
50,0.338937997818,0.001,0.01,-1,2_0_1_3-2_1_1_3,0.51391023579,0.51391023579,-1,-1
50,0.338937997818,0.001,0.01,-1,2_0_0_0-2_1_0_0,0.546585022801,0.508548604423,-1,-1
50,0.338937997818,0.001,0.01,-1,2_0_0_2-2_1_0_2,0.0816881297957,0.0816881297957,-1,-1
50,0.338937997818,0.001,0.01,-1,2_0_0_1-2_1_0_1,0.436643176802,0.176572064946,-1,-1
50,0.338937997818,0.001,0.01,-1,2_0_1_1-2_1_1_1,0.525839619627,0.257863202473,-1,-1
50,0.338937997818,0.001,0.01,-1,2_0_1_2-2_1_1_2,0.365395234303,0.365395234303,-1,-1
50,0.338937997818,0.001,0.01,-1,2_0_0_3-2_1_0_3,1.0,0.762953686699,-1,-1
100,0.585362195969,0.001,0.01,1,2_0_1_0-2_1_1_0,0.0138605075313,8.44051652717e-09,0,1
100,0.585362195969,0.001,0.01,1,2_0_1_3-2_1_1_3,0.00773825019533,1.50957922963e-07,0,1
100,0.585362195969,0.001,0.01,1,2_0_0_0-2_1_0_0,0.041552855984,2.27357449611e-07,0,1
100,0.585362195969,0.001,0.01,1,2_0_0_2-2_1_0_2,6.49753014138e-07,2.2797810633e-09,1,1
100,0.585362195969,0.001,0.01,1,2_0_0_1-2_1_0_1,3.40354085659e-06,8.37632400766e-10,1,1
100,0.585362195969,0.001,0.01,1,2_0_1_1-2_1_1_1,0.0659812552456,2.493391265e-08,0,1
100,0.585362195969,0.001,0.01,1,2_0_1_2-2_1_1_2,2.41537123231e-05,2.00761893107e-10,1,1
100,0.585362195969,0.001,0.01,1,2_0_0_3-2_1_0_3,5.74023969596e-05,9.35763173981e-11,1,1
100,0.538418054581,0.001,0.01,0,2_0_1_0-2_1_1_0,0.21958206689,1.77607235435e-07,0,0
100,0.538418054581,0.001,0.01,0,2_0_1_3-2_1_1_3,0.921402050396,9.17958358005e-07,0,0
100,0.538418054581,0.001,0.01,0,2_0_0_0-2_1_0_0,0.432905909313,4.49051821805e-06,0,0
100,0.538418054581,0.001,0.01,0,2_0_0_2-2_1_0_2,0.725900584014,4.85817732505e-08,0,0
100,0.538418054581,0.001,0.01,0,2_0_0_1-2_1_0_1,0.851997995315,1.86727778957e-08,0,0
100,0.538418054581,0.001,0.01,0,2_0_1_1-2_1_1_1,0.485907000321,9.97972249201e-09,0,0
100,0.538418054581,0.001,0.01,0,2_0_1_2-2_1_1_2,0.668629276192,1.11529123932e-06,0,0
100,0.538418054581,0.001,0.01,0,2_0_0_3-2_1_0_3,0.130186343734,1.63550997479e-09,0,0
100,0.442294120789,0.001,0.01,-1,2_0_1_0-2_1_1_0,0.921402050396,0.60237107286,-1,-1
100,0.442294120789,0.001,0.01,-1,2_0_1_3-2_1_1_3,0.866772384807,0.0111369268872,-1,-1
100,0.442294120789,0.001,0.01,-1,2_0_0_0-2_1_0_0,0.511817123053,0.168075902292,-1,-1
100,0.442294120789,0.001,0.01,-1,2_0_0_2-2_1_0_2,0.374102034755,0.111430422306,-1,-1
100,0.442294120789,0.001,0.01,-1,2_0_0_1-2_1_0_1,0.60549152238,0.421086892957,-1,-1
100,0.442294120789,0.001,0.01,-1,2_0_1_1-2_1_1_1,0.686614199276,0.188848202823,-1,-1
100,0.442294120789,0.001,0.01,-1,2_0_1_2-2_1_1_2,0.697070297976,0.264430257628,-1,-1
100,0.442294120789,0.001,0.01,-1,2_0_0_3-2_1_0_3,0.513572310688,0.513572310688,-1,-1
150,0.747857809067,0.001,0.01,1,2_0_1_0-2_1_1_0,0.000714724010637,5.11608992135e-13,1,1
150,0.747857809067,0.001,0.01,1,2_0_1_3-2_1_1_3,0.00115704752444,2.0304297824e-10,0,1
150,0.747857809067,0.001,0.01,1,2_0_0_0-2_1_0_0,0.00693739299576,7.77210182418e-13,0,1
150,0.747857809067,0.001,0.01,1,2_0_0_2-2_1_0_2,0.00069884815556,2.97875636414e-11,1,1
150,0.747857809067,0.001,0.01,1,2_0_0_1-2_1_0_1,4.74492177566e-08,1.48831517876e-16,1,1
150,0.747857809067,0.001,0.01,1,2_0_1_1-2_1_1_1,0.000575694797111,3.27687200892e-11,1,1
150,0.747857809067,0.001,0.01,1,2_0_1_2-2_1_1_2,9.83172117285e-07,3.07445176985e-15,1,1
150,0.747857809067,0.001,0.01,1,2_0_0_3-2_1_0_3,1.01844247875e-11,2.35658264564e-13,1,1
150,0.72635269165,0.001,0.01,0,2_0_1_0-2_1_1_0,0.425300663833,2.81611674706e-10,0,0
150,0.72635269165,0.001,0.01,0,2_0_1_3-2_1_1_3,0.598234199422,1.34496177608e-08,0,0
150,0.72635269165,0.001,0.01,0,2_0_0_0-2_1_0_0,0.312318617683,1.56492966657e-14,0,0
150,0.72635269165,0.001,0.01,0,2_0_0_2-2_1_0_2,0.35073118129,5.06604707249e-14,0,0
150,0.72635269165,0.001,0.01,0,2_0_0_1-2_1_0_1,0.103855526237,1.81345736991e-08,0,0
150,0.72635269165,0.001,0.01,0,2_0_1_1-2_1_1_1,0.002679175396,2.2770632962e-10,0,0
150,0.72635269165,0.001,0.01,0,2_0_1_2-2_1_1_2,0.425047337221,2.94101221428e-13,0,0
150,0.72635269165,0.001,0.01,0,2_0_0_3-2_1_0_3,0.714528303062,9.13732252548e-13,0,0
150,0.897744894028,0.001,0.01,-1,2_0_1_0-2_1_1_0,0.338711337503,0.336099074205,-1,-1
150,0.897744894028,0.001,0.01,-1,2_0_1_3-2_1_1_3,0.0320740735417,2.4148137759e-06,0,-1
150,0.897744894028,0.001,0.01,-1,2_0_0_0-2_1_0_0,0.341468212521,0.341468212521,-1,-1
150,0.897744894028,0.001,0.01,-1,2_0_0_2-2_1_0_2,0.488343947882,0.219888057042,-1,-1
150,0.897744894028,0.001,0.01,-1,2_0_0_1-2_1_0_1,0.103855526237,0.0185977386586,-1,-1
150,0.897744894028,0.001,0.01,-1,2_0_1_1-2_1_1_1,0.618465842375,0.0203441141754,-1,-1
150,0.897744894028,0.001,0.01,-1,2_0_1_2-2_1_1_2,0.793741566107,0.418316291985,-1,-1
150,0.897744894028,0.001,0.01,-1,2_0_0_3-2_1_0_3,0.291712176075,0.204127523457,-1,-1
200,1.08926796913,0.001,0.01,1,2_0_1_0-2_1_1_0,1.44380101039e-06,1.23261088256e-17,1,1
200,1.08926796913,0.001,0.01,1,2_0_1_3-2_1_1_3,1.92113876621e-06,5.32275630979e-15,1,1
200,1.08926796913,0.001,0.01,1,2_0_0_0-2_1_0_0,1.02639803565e-05,4.74635244016e-14,1,1
200,1.08926796913,0.001,0.01,1,2_0_0_2-2_1_0_2,8.24062069926e-07,3.93689527672e-17,1,1
200,1.08926796913,0.001,0.01,1,2_0_0_1-2_1_0_1,2.92604772168e-08,8.91271451809e-18,1,1
200,1.08926796913,0.001,0.01,1,2_0_1_1-2_1_1_1,2.90876845046e-07,1.11315718191e-18,1,1
200,1.08926796913,0.001,0.01,1,2_0_1_2-2_1_1_2,1.45909594789e-07,3.69927867911e-16,1,1
200,1.08926796913,0.001,0.01,1,2_0_0_3-2_1_0_3,4.13812405803e-09,1.77734678297e-14,1,1
200,0.982377052307,0.001,0.01,0,2_0_1_0-2_1_1_0,0.297466979269,1.8139539689e-20,0,0
200,0.982377052307,0.001,0.01,0,2_0_1_3-2_1_1_3,0.202587545309,3.91135833937e-12,0,0
200,0.982377052307,0.001,0.01,0,2_0_0_0-2_1_0_0,0.28080401802,3.65030571488e-11,0,0
200,0.982377052307,0.001,0.01,0,2_0_0_2-2_1_0_2,0.0764562900333,1.39107674985e-08,0,0
200,0.982377052307,0.001,0.01,0,2_0_0_1-2_1_0_1,0.0743849356575,1.62434230163e-12,0,0
200,0.982377052307,0.001,0.01,0,2_0_1_1-2_1_1_1,0.367264357794,3.13714463887e-15,0,0
