#flows,iteration,time,epsilon,r_threshold,is_correlated,key,count_chern,byte_chern,pred,true
400,0,0.869144916534,0.0001,0.01,1,2_0_1_0-2_1_1_0,6.72729247578e-12,3.19199311525e-30,1,1
400,0,0.869144916534,0.0001,0.01,1,2_0_1_3-2_1_1_3,4.48696153751e-13,6.62721353587e-17,1,1
400,0,0.869144916534,0.0001,0.01,1,2_0_0_0-2_1_0_0,1.11595859896e-13,3.39914282284e-36,1,1
400,0,0.869144916534,0.0001,0.01,1,2_0_0_2-2_1_0_2,4.79752635437e-11,4.47924138655e-13,1,1
400,0,0.869144916534,0.0001,0.01,1,2_0_0_1-2_1_0_1,6.4378529828e-15,1.46921111065e-20,1,1
400,0,0.869144916534,0.0001,0.01,1,2_0_1_1-2_1_1_1,7.90391016278e-06,4.23243903279e-20,1,1
400,0,0.869144916534,0.0001,0.01,1,2_0_1_2-2_1_1_2,1.643418616e-11,3.7226852445e-24,1,1
400,0,0.869144916534,0.0001,0.01,1,2_0_0_3-2_1_0_3,1.58714725334e-12,7.10579674849e-23,1,1
400,0,0.771973133087,0.0001,0.01,0,2_0_1_0-2_1_1_0,0.943513338852,8.69874196298e-17,0,0
400,0,0.771973133087,0.0001,0.01,0,2_0_1_3-2_1_1_3,0.639260554235,1.4440565711e-11,0,0
400,0,0.771973133087,0.0001,0.01,0,2_0_0_0-2_1_0_0,0.875934422357,1.19748004623e-14,0,0
400,0,0.771973133087,0.0001,0.01,0,2_0_0_2-2_1_0_2,0.770639544057,9.87486114505e-13,0,0
400,0,0.771973133087,0.0001,0.01,0,2_0_0_1-2_1_0_1,0.318302797883,8.23153812492e-06,0,0
400,0,0.771973133087,0.0001,0.01,0,2_0_1_1-2_1_1_1,0.960002720866,4.32238613e-15,0,0
400,0,0.771973133087,0.0001,0.01,0,2_0_1_2-2_1_1_2,0.815799207116,1.92578810279e-08,0,0
400,0,0.771973133087,0.0001,0.01,0,2_0_0_3-2_1_0_3,0.653818394468,1.83153951827e-18,0,0
400,2,0.865411281586,0.0001,0.01,1,2_0_1_0-2_1_1_0,8.39182325639e-09,2.01850762535e-22,1,1
400,2,0.865411281586,0.0001,0.01,1,2_0_1_3-2_1_1_3,3.77222575798e-10,1.07425196071e-12,1,1
400,2,0.865411281586,0.0001,0.01,1,2_0_0_0-2_1_0_0,6.54205524351e-10,3.07598451771e-23,1,1
400,2,0.865411281586,0.0001,0.01,1,2_0_0_2-2_1_0_2,5.59915270151e-13,3.79489197385e-25,1,1
400,2,0.865411281586,0.0001,0.01,1,2_0_0_1-2_1_0_1,8.82388330784e-15,3.89481527351e-21,1,1
400,2,0.865411281586,0.0001,0.01,1,2_0_1_1-2_1_1_1,1.06918780084e-15,3.54380441149e-29,1,1
400,2,0.865411281586,0.0001,0.01,1,2_0_1_2-2_1_1_2,1.01598057881e-12,5.57058383281e-33,1,1
400,2,0.865411281586,0.0001,0.01,1,2_0_0_3-2_1_0_3,2.49554710835e-11,2.49554710835e-11,1,1
400,0,0.861290931702,0.0001,0.01,-1,2_0_1_0-2_1_1_0,0.249528255849,0.0974928382872,-1,-1
400,0,0.861290931702,0.0001,0.01,-1,2_0_1_3-2_1_1_3,0.73545466228,0.42814059563,-1,-1
400,0,0.861290931702,0.0001,0.01,-1,2_0_0_0-2_1_0_0,0.780651887722,0.0445272502821,-1,-1
400,0,0.861290931702,0.0001,0.01,-1,2_0_0_2-2_1_0_2,0.707267641386,0.645971429549,-1,-1
400,0,0.861290931702,0.0001,0.01,-1,2_0_0_1-2_1_0_1,0.60934983302,0.062892473963,-1,-1
400,0,0.861290931702,0.0001,0.01,-1,2_0_1_1-2_1_1_1,0.812397028058,0.414153395472,-1,-1
400,0,0.861290931702,0.0001,0.01,-1,2_0_1_2-2_1_1_2,0.246291796956,0.0491289757921,-1,-1
400,0,0.861290931702,0.0001,0.01,-1,2_0_0_3-2_1_0_3,0.374572926914,0.0205587185788,-1,-1
400,2,0.761286497116,0.0001,0.01,0,2_0_1_0-2_1_1_0,0.681649824966,7.75912037911e-06,0,0
400,2,0.761286497116,0.0001,0.01,0,2_0_1_3-2_1_1_3,0.523525230619,5.64686352479e-20,0,0
400,2,0.761286497116,0.0001,0.01,0,2_0_0_0-2_1_0_0,0.536877423367,1.18181141371e-12,0,0
400,2,0.761286497116,0.0001,0.01,0,2_0_0_2-2_1_0_2,0.119958583904,9.38466270785e-13,0,0
400,2,0.761286497116,0.0001,0.01,0,2_0_0_1-2_1_0_1,0.933261760533,1.20034637276e-08,0,0
400,2,0.761286497116,0.0001,0.01,0,2_0_1_1-2_1_1_1,0.914733952314,4.77957090052e-10,0,0
400,2,0.761286497116,0.0001,0.01,0,2_0_1_2-2_1_1_2,0.91391884284,2.51983295114e-09,0,0
400,2,0.761286497116,0.0001,0.01,0,2_0_0_3-2_1_0_3,0.385264205985,2.10598999092e-08,0,0
400,4,0.93740272522,0.0001,0.01,1,2_0_1_0-2_1_1_0,1.9518318266e-11,4.33376679554e-21,1,1
400,4,0.93740272522,0.0001,0.01,1,2_0_1_3-2_1_1_3,6.07183622815e-16,6.07183622815e-16,1,1
400,4,0.93740272522,0.0001,0.01,1,2_0_0_0-2_1_0_0,9.92565711508e-15,8.24221141619e-32,1,1
400,4,0.93740272522,0.0001,0.01,1,2_0_0_2-2_1_0_2,8.56432632883e-14,2.27168291602e-34,1,1
400,4,0.93740272522,0.0001,0.01,1,2_0_0_1-2_1_0_1,9.03815074076e-13,1.01103020333e-27,1,1
400,4,0.93740272522,0.0001,0.01,1,2_0_1_1-2_1_1_1,3.3239169647e-13,3.81739574383e-30,1,1
400,4,0.93740272522,0.0001,0.01,1,2_0_1_2-2_1_1_2,5.01891874822e-13,6.16900098105e-35,1,1
400,4,0.93740272522,0.0001,0.01,1,2_0_0_3-2_1_0_3,3.63640678317e-12,3.63640678317e-12,1,1
400,0,0.880455732346,0.0005,0.01,1,2_0_1_0-2_1_1_0,1.60795015594e-15,1.16819202742e-28,1,1
400,0,0.880455732346,0.0005,0.01,1,2_0_1_3-2_1_1_3,2.33987215064e-19,2.33987215064e-19,1,1
400,0,0.880455732346,0.0005,0.01,1,2_0_0_0-2_1_0_0,8.38213782965e-08,6.15692143329e-17,1,1
400,0,0.880455732346,0.0005,0.01,1,2_0_0_2-2_1_0_2,2.85339528469e-16,1.2949375988e-28,1,1
400,0,0.880455732346,0.0005,0.01,1,2_0_0_1-2_1_0_1,1.28468211283e-15,2.6294336493e-30,1,1
400,0,0.880455732346,0.0005,0.01,1,2_0_1_1-2_1_1_1,3.63640678317e-12,3.93018470795e-31,1,1
400,0,0.880455732346,0.0005,0.01,1,2_0_1_2-2_1_1_2,6.9453579464e-13,7.61488814894e-30,1,1
400,0,0.880455732346,0.0005,0.01,1,2_0_0_3-2_1_0_3,6.06603573933e-14,6.06603573933e-14,1,1
400,4,0.926199436188,0.0001,0.01,0,2_0_1_0-2_1_1_0,0.171043589044,4.80164923261e-09,0,0
400,4,0.926199436188,0.0001,0.01,0,2_0_1_3-2_1_1_3,0.301073904991,2.67369910802e-10,0,0
400,4,0.926199436188,0.0001,0.01,0,2_0_0_0-2_1_0_0,0.849327287812,4.17863039484e-13,0,0
400,4,0.926199436188,0.0001,0.01,0,2_0_0_2-2_1_0_2,1.0,1.85357339126e-11,0,0
400,4,0.926199436188,0.0001,0.01,0,2_0_0_1-2_1_0_1,0.862274134925,1.42750653745e-16,0,0
400,4,0.926199436188,0.0001,0.01,0,2_0_1_1-2_1_1_1,0.425746327938,9.41385281435e-18,0,0
400,4,0.926199436188,0.0001,0.01,0,2_0_1_2-2_1_1_2,0.513020012957,3.32325116401e-14,0,0
400,4,0.926199436188,0.0001,0.01,0,2_0_0_3-2_1_0_3,0.618307139787,1.74613647207e-14,0,0
400,2,1.10879802704,0.0001,0.01,-1,2_0_1_0-2_1_1_0,0.406833160406,0.0834390897333,-1,-1
400,2,1.10879802704,0.0001,0.01,-1,2_0_1_3-2_1_1_3,0.761950976434,0.523882657873,-1,-1
400,2,1.10879802704,0.0001,0.01,-1,2_0_0_0-2_1_0_0,0.618307139787,0.0451037860148,-1,-1
400,2,1.10879802704,0.0001,0.01,-1,2_0_0_2-2_1_0_2,0.85210740832,0.40948621598,-1,-1
400,2,1.10879802704,0.0001,0.01,-1,2_0_0_1-2_1_0_1,0.431438176721,0.431438176721,-1,-1
400,2,1.10879802704,0.0001,0.01,-1,2_0_1_1-2_1_1_1,0.0236162363996,0.0199369967237,-1,-1
400,2,1.10879802704,0.0001,0.01,-1,2_0_1_2-2_1_1_2,0.00839418704374,0.00248709347719,-1,-1
400,2,1.10879802704,0.0001,0.01,-1,2_0_0_3-2_1_0_3,0.274455950845,0.274455950845,-1,-1
400,6,1.13975787163,0.0001,0.01,1,2_0_1_0-2_1_1_0,5.24702998857e-10,1.55056594328e-20,1,1
400,6,1.13975787163,0.0001,0.01,1,2_0_1_3-2_1_1_3,8.14963598457e-13,7.18851553648e-18,1,1
400,6,1.13975787163,0.0001,0.01,1,2_0_0_0-2_1_0_0,1.99252836212e-08,2.65035376281e-23,1,1
400,6,1.13975787163,0.0001,0.01,1,2_0_0_2-2_1_0_2,2.04424320455e-13,1.77999461516e-15,1,1
400,6,1.13975787163,0.0001,0.01,1,2_0_0_1-2_1_0_1,4.88197564143e-12,5.24181688247e-31,1,1
400,6,1.13975787163,0.0001,0.01,1,2_0_1_1-2_1_1_1,4.70055263958e-14,9.71769127514e-25,1,1
400,6,1.13975787163,0.0001,0.01,1,2_0_1_2-2_1_1_2,7.24817506952e-14,2.8103902462e-34,1,1
400,6,1.13975787163,0.0001,0.01,1,2_0_0_3-2_1_0_3,2.67093376788e-07,2.9132102821e-11,1,1
400,0,1.19524407387,0.0005,0.01,0,2_0_1_0-2_1_1_0,0.959186565536,7.58345413055e-16,0,0
400,0,1.19524407387,0.0005,0.01,0,2_0_1_3-2_1_1_3,0.139952332407,6.61814723616e-08,0,0
400,0,1.19524407387,0.0005,0.01,0,2_0_0_0-2_1_0_0,0.325525155959,5.24004304086e-05,0,0
400,0,1.19524407387,0.0005,0.01,0,2_0_0_2-2_1_0_2,0.461914271425,1.54174008754e-15,0,0
400,0,1.19524407387,0.0005,0.01,0,2_0_0_1-2_1_0_1,0.278999392491,7.49383078245e-06,0,0
400,0,1.19524407387,0.0005,0.01,0,2_0_1_1-2_1_1_1,0.431438176721,1.64002590487e-07,0,0
400,0,1.19524407387,0.0005,0.01,0,2_0_1_2-2_1_1_2,0.707267641386,2.27797867124e-13,0,0
400,0,1.19524407387,0.0005,0.01,0,2_0_0_3-2_1_0_3,0.128868116408,5.67608650689e-15,0,0
400,2,1.2840294838,0.0005,0.01,1,2_0_1_0-2_1_1_0,2.40989190715e-12,8.50167728489e-29,1,1
400,2,1.2840294838,0.0005,0.01,1,2_0_1_3-2_1_1_3,5.66842084728e-15,5.66842084728e-15,1,1
400,2,1.2840294838,0.0005,0.01,1,2_0_0_0-2_1_0_0,0.000168543585081,4.2926867963e-14,1,1
400,2,1.2840294838,0.0005,0.01,1,2_0_0_2-2_1_0_2,1.74195233282e-15,8.07042091577e-29,1,1
400,2,1.2840294838,0.0005,0.01,1,2_0_0_1-2_1_0_1,1.61372230043e-10,1.34100471678e-28,1,1
400,2,1.2840294838,0.0005,0.01,1,2_0_1_1-2_1_1_1,2.3423750904e-10,9.17698112229e-20,1,1
400,2,1.2840294838,0.0005,0.01,1,2_0_1_2-2_1_1_2,3.9273243968e-10,4.62269918251e-15,1,1
400,2,1.2840294838,0.0005,0.01,1,2_0_0_3-2_1_0_3,6.42515441527e-14,6.42515441527e-14,1,1
400,4,1.08114409447,0.0001,0.01,-1,2_0_1_0-2_1_1_0,0.310652874625,0.310652874625,-1,-1
400,4,1.08114409447,0.0001,0.01,-1,2_0_1_3-2_1_1_3,0.0397509425801,9.5036812745e-05,0,-1
400,4,1.08114409447,0.0001,0.01,-1,2_0_0_0-2_1_0_0,0.403161398782,0.0323808119138,-1,-1
400,4,1.08114409447,0.0001,0.01,-1,2_0_0_2-2_1_0_2,0.850730264995,0.22195416701,-1,-1
400,4,1.08114409447,0.0001,0.01,-1,2_0_0_1-2_1_0_1,0.417609197558,0.120519156907,-1,-1
400,4,1.08114409447,0.0001,0.01,-1,2_0_1_1-2_1_1_1,0.782550914477,0.395906696935,-1,-1
400,4,1.08114409447,0.0001,0.01,-1,2_0_1_2-2_1_1_2,0.236148399214,0.236148399214,-1,-1
400,4,1.08114409447,0.0001,0.01,-1,2_0_0_3-2_1_0_3,0.173964703053,1.34503847206e-05,0,-1
400,6,1.10997986794,0.0001,0.01,0,2_0_1_0-2_1_1_0,0.941939417787,1.19261544684e-13,0,0
400,6,1.10997986794,0.0001,0.01,0,2_0_1_3-2_1_1_3,0.892281485649,2.68928139244e-08,0,0
400,6,1.10997986794,0.0001,0.01,0,2_0_0_0-2_1_0_0,0.960786876641,7.33041646717e-16,0,0
400,6,1.10997986794,0.0001,0.01,0,2_0_0_2-2_1_0_2,0.376288867393,1.14347521654e-12,0,0
400,6,1.10997986794,0.0001,0.01,0,2_0_0_1-2_1_0_1,0.359807402386,1.44402878196e-12,0,0
400,6,1.10997986794,0.0001,0.01,0,2_0_1_1-2_1_1_1,0.583482641713,1.59388986139e-18,0,0
400,6,1.10997986794,0.0001,0.01,0,2_0_1_2-2_1_1_2,0.278999392491,1.46844038388e-06,0,0
400,6,1.10997986794,0.0001,0.01,0,2_0_0_3-2_1_0_3,0.744335253829,4.74312858754e-17,0,0
400,8,1.34513807297,0.0001,0.01,1,2_0_1_0-2_1_1_0,6.17396137384e-13,1.17568251351e-14,1,1
400,8,1.34513807297,0.0001,0.01,1,2_0_1_3-2_1_1_3,3.73672766525e-13,2.17923736515e-22,1,1
400,8,1.34513807297,0.0001,0.01,1,2_0_0_0-2_1_0_0,9.09053729138e-11,3.3845706471e-29,1,1
