#flows,iteration,time,epsilon,r_threshold,is_correlated,key,count_chern,byte_chern,pred,true
400,0,0.886108636856,0.001,0.002,1,2_0_1_0-2_1_1_0,1.59442472557e-12,1.04830907559e-17,1,1
400,0,0.886108636856,0.001,0.002,1,2_0_1_3-2_1_1_3,6.22000034427e-12,6.22000034427e-12,1,1
400,0,0.886108636856,0.001,0.002,1,2_0_0_0-2_1_0_0,2.49554710835e-11,2.31993618527e-15,1,1
400,0,0.886108636856,0.001,0.002,1,2_0_0_2-2_1_0_2,2.40989190715e-12,9.06083979425e-17,1,1
400,0,0.886108636856,0.001,0.002,1,2_0_0_1-2_1_0_1,2.30167808909e-09,1.35398313323e-14,1,1
400,0,0.886108636856,0.001,0.002,1,2_0_1_1-2_1_1_1,4.46834004171e-09,1.39234574647e-09,1,1
400,0,0.886108636856,0.001,0.002,1,2_0_1_2-2_1_1_2,7.24817506952e-14,2.256793088e-14,1,1
400,0,0.886108636856,0.001,0.002,1,2_0_0_3-2_1_0_3,2.47955517192e-19,2.47955517192e-19,1,1
400,0,0.811442136765,0.001,0.002,0,2_0_1_0-2_1_1_0,0.359807402386,0.0251757614209,-1,0
400,0,0.811442136765,0.001,0.002,0,2_0_1_3-2_1_1_3,0.497154489522,0.497154489522,-1,0
400,0,0.811442136765,0.001,0.002,0,2_0_0_0-2_1_0_0,0.297466979269,0.00541957464733,-1,0
400,0,0.811442136765,0.001,0.002,0,2_0_0_2-2_1_0_2,0.917089264886,0.181876401681,-1,0
400,0,0.811442136765,0.001,0.002,0,2_0_0_1-2_1_0_1,0.939699185797,0.00408452789633,-1,0
400,0,0.811442136765,0.001,0.002,0,2_0_1_1-2_1_1_1,0.880759345047,0.712460062242,-1,0
400,0,0.811442136765,0.001,0.002,0,2_0_1_2-2_1_1_2,0.674851177038,0.322938901194,-1,0
400,0,0.811442136765,0.001,0.002,0,2_0_0_3-2_1_0_3,0.733138118768,0.0378127259069,-1,0
400,5,0.921174049377,0.001,0.002,1,2_0_1_0-2_1_1_0,1.39710390138e-14,3.79651948393e-16,1,1
400,5,0.921174049377,0.001,0.002,1,2_0_1_3-2_1_1_3,6.5830758078e-10,6.5830758078e-10,1,1
400,5,0.921174049377,0.001,0.002,1,2_0_0_0-2_1_0_0,2.02715187581e-12,5.49181110817e-16,1,1
400,5,0.921174049377,0.001,0.002,1,2_0_0_2-2_1_0_2,1.58714725334e-12,1.58714725334e-12,1,1
400,5,0.921174049377,0.001,0.002,1,2_0_0_1-2_1_0_1,3.86819713376e-16,2.85903859479e-22,1,1
400,5,0.921174049377,0.001,0.002,1,2_0_1_1-2_1_1_1,3.4206088218e-12,3.05238617708e-13,1,1
400,5,0.921174049377,0.001,0.002,1,2_0_1_2-2_1_1_2,5.27362149631e-15,6.93932157105e-24,1,1
400,5,0.921174049377,0.001,0.002,1,2_0_0_3-2_1_0_3,1.59442472557e-12,1.59442472557e-12,1,1
400,0,0.796308040619,0.001,0.002,-1,2_0_1_0-2_1_1_0,0.694988970628,0.250837881856,-1,-1
400,0,0.796308040619,0.001,0.002,-1,2_0_1_3-2_1_1_3,0.88628776985,0.115764939011,-1,-1
400,0,0.796308040619,0.001,0.002,-1,2_0_0_0-2_1_0_0,0.997490580482,0.909086513039,-1,-1
400,0,0.796308040619,0.001,0.002,-1,2_0_0_2-2_1_0_2,0.884139008016,0.884139008016,-1,-1
400,0,0.796308040619,0.001,0.002,-1,2_0_0_1-2_1_0_1,0.589425795786,0.0633602504717,-1,-1
400,0,0.796308040619,0.001,0.002,-1,2_0_1_1-2_1_1_1,0.912240987088,0.0192586319693,-1,-1
400,0,0.796308040619,0.001,0.002,-1,2_0_1_2-2_1_1_2,0.577370426977,0.313812552044,-1,-1
400,0,0.796308040619,0.001,0.002,-1,2_0_0_3-2_1_0_3,0.417975554039,0.417975554039,-1,-1
400,5,0.967179775238,0.001,0.002,0,2_0_1_0-2_1_1_0,0.656592567616,0.00202648216288,-1,0
400,5,0.967179775238,0.001,0.002,0,2_0_1_3-2_1_1_3,0.744335253829,0.0193933586971,-1,0
400,5,0.967179775238,0.001,0.002,0,2_0_0_0-2_1_0_0,0.711909678183,0.530158166596,-1,0
400,5,0.967179775238,0.001,0.002,0,2_0_0_2-2_1_0_2,0.91391884284,0.237089756399,-1,0
