#flows,iteration,epsilon,r_threshold,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
400,0,0.001,0.002,1,8,0,8
400,0,0.001,0.002,0,0,0,8
400,5,0.001,0.002,1,8,0,8
400,0,0.001,0.002,-1,0,0,8
400,5,0.001,0.002,0,0,0,8
400,0,0.001,0.004,1,8,0,8
400,5,0.001,0.002,-1,0,0,8
400,0,0.001,0.004,0,0,2,8
400,5,0.001,0.004,1,8,0,8
400,0,0.001,0.004,-1,0,0,8
400,5,0.001,0.004,0,0,4,8
400,0,0.001,0.006,1,8,0,8
400,5,0.001,0.004,-1,0,0,8
400,0,0.001,0.006,0,0,7,8
400,5,0.001,0.006,1,8,0,8
400,0,0.001,0.006,-1,0,0,8
400,5,0.001,0.006,0,0,7,8
400,0,0.001,0.008,1,8,0,8
400,5,0.001,0.006,-1,0,0,8
400,0,0.001,0.008,0,0,8,8
400,5,0.001,0.008,1,8,0,8
400,0,0.001,0.008,-1,0,0,8
400,5,0.001,0.008,0,0,7,8
400,0,0.001,0.01,1,8,0,8
400,5,0.001,0.008,-1,0,0,8
400,0,0.001,0.01,0,0,8,8
400,5,0.001,0.01,1,8,0,8
400,0,0.001,0.01,-1,0,0,8
400,5,0.001,0.01,0,0,8,8
400,0,0.001,0.012,1,8,0,8
400,5,0.001,0.01,-1,0,0,8
400,0,0.001,0.012,0,0,8,8
400,5,0.001,0.012,1,8,0,8
400,0,0.001,0.012,-1,0,0,8
400,5,0.001,0.012,0,0,8,8
400,1,0.001,0.002,1,8,0,8
400,5,0.001,0.012,-1,0,0,8
400,1,0.001,0.002,0,0,1,8
400,6,0.001,0.002,1,8,0,8
400,1,0.001,0.002,-1,0,0,8
400,6,0.001,0.002,0,0,1,8
400,1,0.001,0.004,1,8,0,8
400,6,0.001,0.002,-1,0,0,8
400,1,0.001,0.004,0,0,6,8
400,6,0.001,0.004,1,8,0,8
400,1,0.001,0.004,-1,0,0,8
400,6,0.001,0.004,0,0,5,8
400,1,0.001,0.006,1,8,0,8
400,6,0.001,0.004,-1,0,0,8
400,1,0.001,0.006,0,0,8,8
400,6,0.001,0.006,1,8,0,8
400,1,0.001,0.006,-1,0,1,8
400,6,0.001,0.006,0,0,5,8
400,1,0.001,0.008,1,8,0,8
400,6,0.001,0.006,-1,0,0,8
400,1,0.001,0.008,0,0,8,8
400,6,0.001,0.008,1,8,0,8
400,1,0.001,0.008,-1,0,0,8
400,6,0.001,0.008,0,0,8,8
400,1,0.001,0.01,1,8,0,8
400,6,0.001,0.008,-1,0,0,8
400,1,0.001,0.01,0,0,8,8
400,6,0.001,0.01,1,8,0,8
400,1,0.001,0.01,-1,0,0,8
400,6,0.001,0.01,0,0,8,8
400,1,0.001,0.012,1,8,0,8
400,6,0.001,0.01,-1,0,0,8
400,1,0.001,0.012,0,0,8,8
400,6,0.001,0.012,1,8,0,8
400,1,0.001,0.012,-1,0,0,8
400,6,0.001,0.012,0,0,8,8
400,2,0.001,0.002,1,8,0,8
400,6,0.001,0.012,-1,0,0,8
400,2,0.001,0.002,0,0,0,8
400,7,0.001,0.002,1,8,0,8
400,2,0.001,0.002,-1,0,0,8
400,7,0.001,0.002,0,0,0,8
400,2,0.001,0.004,1,8,0,8
400,7,0.001,0.002,-1,0,0,8
400,2,0.001,0.004,0,0,2,8
400,7,0.001,0.004,1,8,0,8
400,2,0.001,0.004,-1,0,0,8
400,7,0.001,0.004,0,0,4,8
400,2,0.001,0.006,1,8,0,8
400,7,0.001,0.004,-1,0,0,8
400,2,0.001,0.006,0,0,7,8
400,7,0.001,0.006,1,8,0,8
400,2,0.001,0.006,-1,0,0,8
400,7,0.001,0.006,0,0,7,8
400,2,0.001,0.008,1,8,0,8
400,7,0.001,0.006,-1,0,0,8
400,2,0.001,0.008,0,0,8,8
400,7,0.001,0.008,1,8,0,8
400,2,0.001,0.008,-1,0,0,8
400,7,0.001,0.008,0,0,7,8
400,2,0.001,0.01,1,8,0,8
400,7,0.001,0.008,-1,0,0,8
400,2,0.001,0.01,0,0,7,8
400,7,0.001,0.01,1,8,0,8
400,2,0.001,0.01,-1,0,0,8
400,7,0.001,0.01,0,0,8,8
400,2,0.001,0.012,1,8,0,8
400,7,0.001,0.01,-1,0,0,8
400,2,0.001,0.012,0,0,8,8
400,7,0.001,0.012,1,8,0,8
400,2,0.001,0.012,-1,0,0,8
400,7,0.001,0.012,0,0,8,8
400,3,0.001,0.002,1,8,0,8
400,7,0.001,0.012,-1,0,0,8
400,3,0.001,0.002,0,0,2,8
400,8,0.001,0.002,1,8,0,8
400,3,0.001,0.002,-1,0,0,8
400,8,0.001,0.002,0,0,0,8
400,3,0.001,0.004,1,8,0,8
400,8,0.001,0.002,-1,0,0,8
400,3,0.001,0.004,0,0,5,8
400,8,0.001,0.004,1,8,0,8
400,3,0.001,0.004,-1,0,0,8
400,8,0.001,0.004,0,0,5,8
400,3,0.001,0.006,1,8,0,8
400,8,0.001,0.004,-1,0,0,8
400,3,0.001,0.006,0,0,7,8
400,8,0.001,0.006,1,8,0,8
400,3,0.001,0.006,-1,0,0,8
400,8,0.001,0.006,0,0,6,8
400,3,0.001,0.008,1,8,0,8
400,8,0.001,0.006,-1,0,0,8
400,3,0.001,0.008,0,0,7,8
400,8,0.001,0.008,1,8,0,8
400,3,0.001,0.008,-1,0,0,8
400,8,0.001,0.008,0,0,8,8
400,3,0.001,0.01,1,8,0,8
400,8,0.001,0.008,-1,0,0,8
400,3,0.001,0.01,0,0,8,8
400,8,0.001,0.01,1,8,0,8
400,3,0.001,0.01,-1,0,0,8
400,8,0.001,0.01,0,0,8,8
400,3,0.001,0.012,1,8,0,8
400,8,0.001,0.01,-1,0,0,8
400,3,0.001,0.012,0,0,8,8
400,8,0.001,0.012,1,8,0,8
400,3,0.001,0.012,-1,0,0,8
400,8,0.001,0.012,0,0,8,8
400,4,0.001,0.002,1,8,0,8
400,8,0.001,0.012,-1,0,0,8
400,4,0.001,0.002,0,0,0,8
400,9,0.001,0.002,1,8,0,8
400,4,0.001,0.002,-1,0,0,8
400,9,0.001,0.002,0,0,1,8
400,4,0.001,0.004,1,8,0,8
400,9,0.001,0.002,-1,0,0,8
400,4,0.001,0.004,0,0,4,8
400,9,0.001,0.004,1,8,0,8
400,4,0.001,0.004,-1,0,0,8
400,9,0.001,0.004,0,0,5,8
400,4,0.001,0.006,1,8,0,8
400,9,0.001,0.004,-1,0,0,8
400,4,0.001,0.006,0,0,6,8
400,9,0.001,0.006,1,8,0,8
400,4,0.001,0.006,-1,0,0,8
400,9,0.001,0.006,0,0,8,8
400,4,0.001,0.008,1,8,0,8
400,9,0.001,0.006,-1,0,0,8
400,4,0.001,0.008,0,0,8,8
400,9,0.001,0.008,1,8,0,8
400,4,0.001,0.008,-1,0,0,8
400,9,0.001,0.008,0,0,8,8
400,4,0.001,0.01,1,8,0,8
400,9,0.001,0.008,-1,0,0,8
400,4,0.001,0.01,0,0,8,8
400,9,0.001,0.01,1,8,0,8
400,4,0.001,0.01,-1,0,0,8
400,9,0.001,0.01,0,0,8,8
400,4,0.001,0.012,1,8,0,8
400,9,0.001,0.01,-1,0,0,8
400,4,0.001,0.012,0,0,8,8
400,9,0.001,0.012,1,8,0,8
400,4,0.001,0.012,-1,0,0,8
400,9,0.001,0.012,0,0,8,8
400,9,0.001,0.012,-1,0,0,8
