#flows,epsilon,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
50,0.01,1,3,5,8
50,0.01,0,0,8,8
75,0.01,1,5,3,8
75,0.01,0,0,8,8
100,0.01,1,5,3,8
100,0.01,0,0,8,8
125,0.01,1,7,1,8
125,0.01,0,0,8,8
150,0.01,1,6,2,8
150,0.01,0,0,8,8
175,0.01,1,8,0,8
175,0.01,0,0,8,8
200,0.01,1,7,1,8
200,0.01,0,0,8,8
50,0.01,1,6,2,8
50,0.01,0,0,8,8
75,0.01,1,6,2,8
75,0.01,0,0,7,8
100,0.01,1,6,2,8
100,0.01,0,0,8,8
125,0.01,1,8,0,8
125,0.01,0,0,8,8
150,0.01,1,8,0,8
150,0.01,0,1,7,8
175,0.01,1,7,1,8
175,0.01,0,0,8,8
200,0.01,1,8,0,8
200,0.01,0,0,8,8
50,0.01,1,2,6,8
50,0.01,0,0,8,8
75,0.01,1,6,2,8
75,0.01,0,0,8,8
100,0.01,1,6,2,8
100,0.01,0,0,8,8
125,0.01,1,7,1,8
125,0.01,0,0,8,8
150,0.01,1,8,0,8
150,0.01,0,0,8,8
175,0.01,1,6,2,8
175,0.01,0,0,8,8
200,0.01,1,8,0,8
200,0.01,0,0,8,8
50,0.01,1,1,7,8
50,0.01,0,0,8,8
75,0.01,1,5,3,8
75,0.01,0,0,8,8
100,0.01,1,6,2,8
100,0.01,0,0,8,8
125,0.01,1,8,0,8
125,0.01,0,0,8,8
150,0.01,1,6,2,8
150,0.01,0,0,8,8
175,0.01,1,7,1,8
175,0.01,0,0,8,8
200,0.01,1,8,0,8
200,0.01,0,0,8,8
50,0.01,1,1,7,8
50,0.01,0,0,8,8
75,0.01,1,4,4,8
75,0.01,0,0,8,8
100,0.01,1,7,1,8
100,0.01,0,0,8,8
125,0.01,1,6,2,8
125,0.01,0,0,8,8
150,0.01,1,7,1,8
150,0.01,0,0,8,8
175,0.01,1,8,0,8
175,0.01,0,0,8,8
200,0.01,1,8,0,8
200,0.01,0,0,8,8
50,0.01,1,2,6,8
50,0.01,0,0,8,8
75,0.01,1,4,4,8
75,0.01,0,0,8,8
100,0.01,1,5,3,8
100,0.01,0,0,8,8
125,0.01,1,7,1,8
125,0.01,0,0,8,8
150,0.01,1,6,2,8
150,0.01,0,0,8,8
175,0.01,1,8,0,8
175,0.01,0,0,8,8
200,0.01,1,7,1,8
200,0.01,0,0,8,8
50,0.01,1,1,7,8
50,0.01,0,0,8,8
75,0.01,1,5,3,8
75,0.01,0,0,8,8
100,0.01,1,7,1,8
100,0.01,0,0,8,8
125,0.01,1,7,1,8
125,0.01,0,0,8,8
150,0.01,1,8,0,8
150,0.01,0,0,8,8
175,0.01,1,8,0,8
175,0.01,0,0,8,8
200,0.01,1,8,0,8
200,0.01,0,0,8,8
50,0.01,1,5,3,8
50,0.01,0,0,8,8
75,0.01,1,5,3,8
75,0.01,0,0,8,8
100,0.01,1,4,4,8
100,0.01,0,0,8,8
125,0.01,1,8,0,8
125,0.01,0,0,8,8
150,0.01,1,8,0,8
150,0.01,0,0,8,8
175,0.01,1,8,0,8
175,0.01,0,0,8,8
200,0.01,1,8,0,8
200,0.01,0,0,8,8
50,0.01,1,2,6,8
50,0.01,0,0,8,8
75,0.01,1,5,3,8
75,0.01,0,0,7,8
100,0.01,1,7,1,8
100,0.01,0,0,8,8
125,0.01,1,8,0,8
125,0.01,0,0,8,8
150,0.01,1,8,0,8
150,0.01,0,0,8,8
175,0.01,1,8,0,8
175,0.01,0,0,8,8
200,0.01,1,8,0,8
200,0.01,0,0,8,8
50,0.01,1,2,6,8
50,0.01,0,0,8,8
75,0.01,1,4,4,8
75,0.01,0,0,8,8
100,0.01,1,8,0,8
100,0.01,0,0,8,8
125,0.01,1,6,2,8
125,0.01,0,0,8,8
150,0.01,1,7,1,8
150,0.01,0,0,8,8
175,0.01,1,8,0,8
175,0.01,0,0,8,8
200,0.01,1,8,0,8
200,0.01,0,0,8,8
225,0.01,1,8,0,8
225,0.01,0,0,8,8
275,0.01,1,8,0,8
275,0.01,0,2,6,8
325,0.01,1,8,0,8
325,0.01,0,0,8,8
375,0.01,1,8,0,8
375,0.01,0,0,8,8
425,0.01,1,8,0,8
425,0.01,0,0,8,8
475,0.01,1,8,0,8
475,0.01,0,0,8,8
525,0.01,1,8,0,8
525,0.01,0,0,8,8
575,0.01,1,8,0,8
575,0.01,0,0,8,8
625,0.01,1,8,0,8
625,0.01,0,0,8,8
225,0.01,1,8,0,8
225,0.01,0,0,7,8
275,0.01,1,8,0,8
275,0.01,0,0,8,8
325,0.01,1,8,0,8
325,0.01,0,0,8,8
375,0.01,1,8,0,8
375,0.01,0,0,8,8
425,0.01,1,8,0,8
425,0.01,0,0,8,8
475,0.01,1,8,0,8
475,0.01,0,0,8,8
525,0.01,1,8,0,8
525,0.01,0,0,7,8
575,0.01,1,8,0,8
575,0.01,0,0,8,8
625,0.01,1,8,0,8
625,0.01,0,1,7,8
225,0.01,1,8,0,8
225,0.01,0,1,7,8
275,0.01,1,8,0,8
275,0.01,0,0,8,8
325,0.01,1,8,0,8
325,0.01,0,0,8,8
375,0.01,1,8,0,8
375,0.01,0,0,8,8
425,0.01,1,8,0,8
425,0.01,0,0,7,8
475,0.01,1,8,0,8
475,0.01,0,0,8,8
525,0.01,1,8,0,8
525,0.01,0,0,8,8
575,0.01,1,8,0,8
575,0.01,0,0,7,8
625,0.01,1,8,0,8
625,0.01,0,0,8,8
225,0.01,1,8,0,8
225,0.01,0,0,8,8
275,0.01,1,8,0,8
275,0.01,0,0,8,8
325,0.01,1,8,0,8
325,0.01,0,0,7,8
375,0.01,1,8,0,8
375,0.01,0,1,7,8
425,0.01,1,8,0,8
425,0.01,0,0,8,8
475,0.01,1,8,0,8
475,0.01,0,0,8,8
525,0.01,1,8,0,8
525,0.01,0,0,8,8
575,0.01,1,8,0,8
575,0.01,0,0,8,8
625,0.01,1,8,0,8
625,0.01,0,0,8,8
225,0.01,1,8,0,8
225,0.01,0,0,7,8
275,0.01,1,8,0,8
275,0.01,0,0,7,8
325,0.01,1,8,0,8
325,0.01,0,0,8,8
375,0.01,1,8,0,8
375,0.01,0,0,7,8
425,0.01,1,8,0,8
425,0.01,0,0,8,8
475,0.01,1,8,0,8
475,0.01,0,0,8,8
525,0.01,1,8,0,8
525,0.01,0,0,8,8
575,0.01,1,8,0,8
575,0.01,0,0,8,8
625,0.01,1,8,0,8
625,0.01,0,0,8,8
225,0.01,1,8,0,8
225,0.01,0,0,8,8
275,0.01,1,8,0,8
275,0.01,0,0,8,8
325,0.01,1,8,0,8
325,0.01,0,1,7,8
375,0.01,1,8,0,8
375,0.01,0,0,8,8
425,0.01,1,8,0,8
425,0.01,0,0,8,8
475,0.01,1,8,0,8
475,0.01,0,0,8,8
525,0.01,1,8,0,8
525,0.01,0,0,8,8
575,0.01,1,8,0,8
575,0.01,0,0,8,8
625,0.01,1,8,0,8
625,0.01,0,0,8,8
225,0.01,1,8,0,8
225,0.01,0,0,8,8
275,0.01,1,8,0,8
275,0.01,0,0,8,8
325,0.01,1,8,0,8
325,0.01,0,0,8,8
375,0.01,1,8,0,8
375,0.01,0,0,8,8
425,0.01,1,8,0,8
425,0.01,0,0,8,8
475,0.01,1,8,0,8
475,0.01,0,0,8,8
525,0.01,1,8,0,8
525,0.01,0,0,8,8
575,0.01,1,8,0,8
575,0.01,0,0,8,8
625,0.01,1,8,0,8
625,0.01,0,0,8,8
225,0.01,1,8,0,8
225,0.01,0,0,8,8
275,0.01,1,8,0,8
275,0.01,0,0,8,8
325,0.01,1,8,0,8
325,0.01,0,0,8,8
375,0.01,1,8,0,8
375,0.01,0,0,8,8
425,0.01,1,8,0,8
425,0.01,0,0,8,8
475,0.01,1,8,0,8
475,0.01,0,0,8,8
525,0.01,1,8,0,8
525,0.01,0,0,8,8
575,0.01,1,8,0,8
575,0.01,0,0,8,8
625,0.01,1,8,0,8
625,0.01,0,0,8,8
225,0.01,1,8,0,8
225,0.01,0,0,8,8
275,0.01,1,8,0,8
275,0.01,0,0,8,8
325,0.01,1,8,0,8
325,0.01,0,0,8,8
375,0.01,1,8,0,8
375,0.01,0,0,8,8
425,0.01,1,8,0,8
425,0.01,0,0,8,8
475,0.01,1,8,0,8
475,0.01,0,0,8,8
525,0.01,1,8,0,8
525,0.01,0,0,8,8
575,0.01,1,8,0,8
575,0.01,0,0,8,8
625,0.01,1,8,0,8
625,0.01,0,0,8,8
225,0.01,1,8,0,8
225,0.01,0,0,8,8
275,0.01,1,8,0,8
275,0.01,0,0,8,8
325,0.01,1,8,0,8
325,0.01,0,0,7,8
375,0.01,1,8,0,8
375,0.01,0,0,8,8
425,0.01,1,8,0,8
425,0.01,0,0,8,8
475,0.01,1,8,0,8
475,0.01,0,0,8,8
525,0.01,1,8,0,8
525,0.01,0,0,7,8
575,0.01,1,8,0,8
575,0.01,0,0,7,8
625,0.01,1,8,0,8
625,0.01,0,0,8,8
675,0.01,1,8,0,8
675,0.01,0,0,8,8
725,0.01,1,8,0,8
725,0.01,0,0,8,8
775,0.01,1,8,0,8
775,0.01,0,0,8,8
825,0.01,1,8,0,8
825,0.01,0,0,8,8
675,0.01,1,8,0,8
675,0.01,0,0,8,8
725,0.01,1,8,0,8
725,0.01,0,0,8,8
775,0.01,1,8,0,8
775,0.01,0,0,8,8
825,0.01,1,8,0,8
825,0.01,0,0,8,8
675,0.01,1,8,0,8
675,0.01,0,0,8,8
725,0.01,1,8,0,8
725,0.01,0,0,8,8
775,0.01,1,8,0,8
775,0.01,0,0,8,8
825,0.01,1,8,0,8
825,0.01,0,0,8,8
675,0.01,1,8,0,8
675,0.01,0,0,8,8
725,0.01,1,8,0,8
725,0.01,0,0,8,8
775,0.01,1,8,0,8
775,0.01,0,0,8,8
825,0.01,1,8,0,8
825,0.01,0,1,7,8
675,0.01,1,8,0,8
675,0.01,0,0,8,8
725,0.01,1,8,0,8
725,0.01,0,0,8,8
775,0.01,1,8,0,8
775,0.01,0,0,8,8
825,0.01,1,8,0,8
825,0.01,0,0,8,8
675,0.01,1,8,0,8
675,0.01,0,0,8,8
725,0.01,1,8,0,8
725,0.01,0,0,8,8
775,0.01,1,8,0,8
775,0.01,0,0,8,8
825,0.01,1,8,0,8
825,0.01,0,0,8,8
675,0.01,1,8,0,8
675,0.01,0,0,8,8
725,0.01,1,8,0,8
725,0.01,0,0,8,8
775,0.01,1,8,0,8
775,0.01,0,0,8,8
825,0.01,1,8,0,8
825,0.01,0,0,8,8
675,0.01,1,8,0,8
675,0.01,0,1,7,8
725,0.01,1,8,0,8
725,0.01,0,0,8,8
775,0.01,1,8,0,8
775,0.01,0,0,8,8
825,0.01,1,8,0,8
825,0.01,0,0,8,8
675,0.01,1,8,0,8
675,0.01,0,0,8,8
725,0.01,1,8,0,8
725,0.01,0,0,8,8
775,0.01,1,8,0,8
775,0.01,0,0,8,8
825,0.01,1,8,0,8
825,0.01,0,0,8,8
675,0.01,1,8,0,8
675,0.01,0,0,8,8
725,0.01,1,8,0,8
725,0.01,0,0,8,8
775,0.01,1,8,0,8
775,0.01,0,0,8,8
825,0.01,1,8,0,8
825,0.01,0,0,8,8
875,0.01,1,8,0,8
875,0.01,0,0,8,8
925,0.01,1,8,0,8
925,0.01,0,0,8,8
975,0.01,1,8,0,8
975,0.01,0,0,8,8
1025,0.01,1,8,0,8
1025,0.01,0,0,8,8
875,0.01,1,8,0,8
875,0.01,0,0,8,8
925,0.01,1,8,0,8
925,0.01,0,0,8,8
975,0.01,1,8,0,8
975,0.01,0,0,8,8
1025,0.01,1,8,0,8
1025,0.01,0,0,8,8
875,0.01,1,8,0,8
875,0.01,0,0,8,8
925,0.01,1,8,0,8
925,0.01,0,0,8,8
975,0.01,1,8,0,8
975,0.01,0,0,8,8
1025,0.01,1,8,0,8
1025,0.01,0,0,8,8
875,0.01,1,8,0,8
875,0.01,0,0,8,8
925,0.01,1,8,0,8
925,0.01,0,0,8,8
975,0.01,1,8,0,8
975,0.01,0,0,8,8
1025,0.01,1,8,0,8
1025,0.01,0,0,8,8
875,0.01,1,8,0,8
875,0.01,0,0,8,8
925,0.01,1,8,0,8
925,0.01,0,0,8,8
975,0.01,1,8,0,8
975,0.01,0,0,8,8
1025,0.01,1,8,0,8
1025,0.01,0,0,8,8
875,0.01,1,8,0,8
875,0.01,0,0,8,8
925,0.01,1,8,0,8
925,0.01,0,0,8,8
975,0.01,1,8,0,8
975,0.01,0,0,8,8
1025,0.01,1,8,0,8
1025,0.01,0,0,8,8
875,0.01,1,8,0,8
875,0.01,0,0,8,8
925,0.01,1,8,0,8
925,0.01,0,0,8,8
975,0.01,1,8,0,8
975,0.01,0,0,8,8
1025,0.01,1,8,0,8
1025,0.01,0,0,8,8
875,0.01,1,8,0,8
875,0.01,0,0,8,8
925,0.01,1,8,0,8
925,0.01,0,0,8,8
975,0.01,1,8,0,8
975,0.01,0,0,8,8
1025,0.01,1,8,0,8
1025,0.01,0,0,8,8
875,0.01,1,8,0,8
875,0.01,0,0,8,8
925,0.01,1,8,0,8
925,0.01,0,0,8,8
975,0.01,1,8,0,8
975,0.01,0,0,8,8
1025,0.01,1,8,0,8
1025,0.01,0,0,8,8
875,0.01,1,8,0,8
875,0.01,0,0,8,8
925,0.01,1,8,0,8
925,0.01,0,0,8,8
975,0.01,1,8,0,8
975,0.01,0,0,8,8
1025,0.01,1,8,0,8
1025,0.01,0,0,8,8
1075,0.01,1,8,0,8
1075,0.01,0,0,8,8
1125,0.01,1,8,0,8
1125,0.01,0,0,8,8
1175,0.01,1,8,0,8
1175,0.01,0,0,8,8
1225,0.01,1,8,0,8
1225,0.01,0,0,8,8
1075,0.01,1,8,0,8
1075,0.01,0,0,8,8
1125,0.01,1,8,0,8
1125,0.01,0,0,8,8
1175,0.01,1,8,0,8
1175,0.01,0,0,8,8
1225,0.01,1,8,0,8
1225,0.01,0,0,8,8
1075,0.01,1,8,0,8
1075,0.01,0,0,8,8
1125,0.01,1,8,0,8
1125,0.01,0,0,8,8
1175,0.01,1,8,0,8
1175,0.01,0,0,8,8
1225,0.01,1,8,0,8
1225,0.01,0,0,8,8
1075,0.01,1,8,0,8
1075,0.01,0,0,8,8
1125,0.01,1,8,0,8
1125,0.01,0,0,8,8
1175,0.01,1,8,0,8
1175,0.01,0,0,8,8
1225,0.01,1,8,0,8
1225,0.01,0,1,7,8
1075,0.01,1,8,0,8
1075,0.01,0,0,8,8
1125,0.01,1,8,0,8
1125,0.01,0,0,8,8
1175,0.01,1,8,0,8
1175,0.01,0,1,7,8
1225,0.01,1,8,0,8
1225,0.01,0,1,7,8
1075,0.01,1,8,0,8
1075,0.01,0,0,8,8
1125,0.01,1,8,0,8
1125,0.01,0,0,8,8
1175,0.01,1,8,0,8
1175,0.01,0,0,8,8
1225,0.01,1,8,0,8
1225,0.01,0,0,8,8
1075,0.01,1,8,0,8
1075,0.01,0,0,8,8
1125,0.01,1,8,0,8
1125,0.01,0,0,8,8
1175,0.01,1,8,0,8
1175,0.01,0,0,8,8
1225,0.01,1,8,0,8
1225,0.01,0,0,8,8
1075,0.01,1,8,0,8
1075,0.01,0,0,8,8
1125,0.01,1,8,0,8
1125,0.01,0,0,8,8
1175,0.01,1,8,0,8
1175,0.01,0,0,8,8
1225,0.01,1,8,0,8
1225,0.01,0,0,8,8
1075,0.01,1,8,0,8
1075,0.01,0,0,8,8
1125,0.01,1,8,0,8
1125,0.01,0,0,8,8
1175,0.01,1,8,0,8
1175,0.01,0,0,8,8
1225,0.01,1,8,0,8
1225,0.01,0,0,8,8
1075,0.01,1,8,0,8
1075,0.01,0,0,8,8
1125,0.01,1,8,0,8
1125,0.01,0,1,7,8
1175,0.01,1,8,0,8
1175,0.01,0,0,8,8
1225,0.01,1,8,0,8
1225,0.01,0,0,8,8
