#flows,epsilon,is_correlated,key,count_chern,byte_chern,pred,true
300,0.0001,1,2_0_1_0-2_1_1_0,2.66592812492e-10,8.29375760745e-06,1,1
300,0.0001,1,2_0_1_3-2_1_1_3,1.72926521153e-09,0.00163243146996,1,1
300,0.0001,1,2_0_0_0-2_1_0_0,0.000114521663201,0.000120365764526,0,1
300,0.0001,1,2_0_0_2-2_1_0_2,7.76153031095e-07,2.92260095551e-11,1,1
300,0.0001,1,2_0_0_1-2_1_0_1,1.46018651153e-06,5.10679909103e-10,1,1
300,0.0001,1,2_0_1_1-2_1_1_1,4.8779486771e-10,2.34227889798e-13,1,1
300,0.0001,1,2_0_1_2-2_1_1_2,1.07995366971e-09,0.131853685889,1,1
300,0.0001,1,2_0_0_3-2_1_0_3,1.15165522244e-08,1.31206880106e-07,1,1
300,0.0001,0,2_0_1_0-2_1_1_0,0.121569579018,0.000797353520905,0,0
300,0.0001,0,2_0_1_3-2_1_1_3,0.5825592002,0.000346750871932,0,0
300,0.0001,0,2_0_0_0-2_1_0_0,0.885453834165,2.58913879267e-09,0,0
300,0.0001,0,2_0_0_2-2_1_0_2,0.383281525027,0.00682805902007,0,0
300,0.0001,0,2_0_0_1-2_1_0_1,0.291903191403,0.00155620189983,0,0
300,0.0001,0,2_0_1_1-2_1_1_1,0.434886303457,1.94965408209e-05,0,0
300,0.0001,0,2_0_1_2-2_1_1_2,0.833965794414,6.94331585671e-05,0,0
300,0.0001,0,2_0_0_3-2_1_0_3,0.4203962941,1.69056714369e-06,0,0
300,0.0005,1,2_0_1_0-2_1_1_0,4.64064275357e-09,1.76556960094e-12,1,1
300,0.0005,1,2_0_1_3-2_1_1_3,2.17677866216e-08,4.33510669402e-07,1,1
300,0.0005,1,2_0_0_0-2_1_0_0,3.7425711808e-08,6.33011804886e-05,1,1
300,0.0005,1,2_0_0_2-2_1_0_2,4.66001451395e-05,0.00251162828082,1,1
300,0.0005,1,2_0_0_1-2_1_0_1,7.30362808758e-11,9.92086408634e-07,1,1
300,0.0005,1,2_0_1_1-2_1_1_1,7.22192138883e-10,0.000444720704088,1,1
300,0.0005,1,2_0_1_2-2_1_1_2,3.63932385775e-09,1.29278031952e-06,1,1
