#flows,epsilon,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
2000,0.01,1,8,0,8
2000,0.05,1,8,0,8
2000,0.09,1,8,0,8
2000,0.13,1,8,0,8
2000,0.17,1,8,0,8
2000,0.21,1,8,0,8
2000,0.25,1,8,0,8
2000,0.29,1,8,0,8
2000,0.33,1,8,0,8
2000,0.37,1,8,0,8
2000,0.01,0,0,0,8
2000,0.05,0,2,0,8
2000,0.09,0,2,1,8
2000,0.13,0,1,0,8
2000,0.17,0,2,0,8
2000,0.21,0,2,0,8
2000,0.25,0,3,2,8
2000,0.29,0,1,1,8
2000,0.33,0,1,1,8
2000,0.37,0,4,0,8
2000,0.01,1,8,0,8
2000,0.05,1,8,0,8
2000,0.09,1,8,0,8
2000,0.13,1,8,0,8
2000,0.17,1,8,0,8
2000,0.21,1,8,0,8
2000,0.25,1,8,0,8
2000,0.29,1,8,0,8
2000,0.33,1,8,0,8
2000,0.37,1,8,0,8
2000,0.01,0,0,0,8
2000,0.05,0,0,0,8
2000,0.09,0,1,0,8
2000,0.13,0,0,0,8
2000,0.17,0,2,0,8
2000,0.21,0,2,0,8
2000,0.25,0,1,0,8
2000,0.29,0,4,0,8
2000,0.33,0,2,2,8
2000,0.37,0,2,1,8
2000,0.01,1,8,0,8
2000,0.05,1,8,0,8
2000,0.09,1,8,0,8
2000,0.13,1,8,0,8
2000,0.17,1,8,0,8
2000,0.21,1,8,0,8
2000,0.25,1,8,0,8
2000,0.29,1,8,0,8
2000,0.33,1,8,0,8
2000,0.37,1,8,0,8
2000,0.01,0,0,0,8
2000,0.05,0,1,0,8
2000,0.09,0,0,0,8
2000,0.13,0,4,0,8
2000,0.17,0,2,1,8
2000,0.21,0,0,0,8
2000,0.25,0,1,1,8
2000,0.29,0,3,0,8
2000,0.33,0,2,0,8
2000,0.37,0,3,1,8
2000,0.01,1,8,0,8
2000,0.05,1,8,0,8
2000,0.09,1,8,0,8
2000,0.13,1,8,0,8
2000,0.17,1,8,0,8
