#flows,iteration,time,epsilon,r_threshold,is_correlated,key,count_chern,byte_chern,pred,true
100,0,0.317634344101,0.001,0.01,1,2_0_1_0-2_1_1_0,0.000317490962451,7.15619068729e-13,1,1
100,0,0.317634344101,0.001,0.01,1,2_0_1_3-2_1_1_3,0.000470075993595,1.24481621552e-06,1,1
100,0,0.317634344101,0.001,0.01,1,2_0_0_0-2_1_0_0,3.4944651805e-05,8.47934820461e-10,1,1
100,0,0.317634344101,0.001,0.01,1,2_0_0_2-2_1_0_2,9.19595244749e-05,4.25378723184e-08,1,1
100,0,0.317634344101,0.001,0.01,1,2_0_0_1-2_1_0_1,0.000792755153477,2.75697816956e-06,1,1
100,0,0.317634344101,0.001,0.01,1,2_0_1_1-2_1_1_1,0.00018361084127,7.47871199079e-07,1,1
100,0,0.317634344101,0.001,0.01,1,2_0_1_2-2_1_1_2,0.00346816885727,1.28203703665e-11,0,1
100,0,0.317634344101,0.001,0.01,1,2_0_0_3-2_1_0_3,9.34161672851e-09,9.45592536397e-07,1,1
100,0,0.343976974487,0.001,0.01,0,2_0_1_0-2_1_1_0,0.280395963833,1.01245283756e-05,0,0
100,0,0.343976974487,0.001,0.01,0,2_0_1_3-2_1_1_3,0.0381073086293,1.08373500405e-10,0,0
100,0,0.343976974487,0.001,0.01,0,2_0_0_0-2_1_0_0,0.280395963833,0.00444664479564,-1,0
100,0,0.343976974487,0.001,0.01,0,2_0_0_2-2_1_0_2,0.427616402344,7.07612619417e-14,0,0
100,0,0.343976974487,0.001,0.01,0,2_0_0_1-2_1_0_1,0.371752179502,8.62931280834e-10,0,0
100,0,0.343976974487,0.001,0.01,0,2_0_1_1-2_1_1_1,0.133248196585,3.59042944686e-06,0,0
100,0,0.343976974487,0.001,0.01,0,2_0_1_2-2_1_1_2,0.883456755629,0.000309169829897,-1,0
100,0,0.343976974487,0.001,0.01,0,2_0_0_3-2_1_0_3,0.18264823797,3.92859195165e-05,0,0
100,0,0.46070766449,0.001,0.01,-1,2_0_1_0-2_1_1_0,0.279680314936,0.466986029218,-1,-1
100,0,0.46070766449,0.001,0.01,-1,2_0_1_3-2_1_1_3,0.0128876476101,0.0880293266982,-1,-1
100,0,0.46070766449,0.001,0.01,-1,2_0_0_0-2_1_0_0,0.349917474286,0.337221415868,-1,-1
100,0,0.46070766449,0.001,0.01,-1,2_0_0_2-2_1_0_2,0.0738246177348,0.116921904698,-1,-1
100,0,0.46070766449,0.001,0.01,-1,2_0_0_1-2_1_0_1,0.210765949551,0.429818187228,-1,-1
100,0,0.46070766449,0.001,0.01,-1,2_0_1_1-2_1_1_1,0.480728331501,0.328787697769,-1,-1
100,0,0.46070766449,0.001,0.01,-1,2_0_1_2-2_1_1_2,0.41932069416,0.407714067319,-1,-1
100,0,0.46070766449,0.001,0.01,-1,2_0_0_3-2_1_0_3,0.5840578221,0.312538768293,-1,-1
100,5,0.380405187607,0.001,0.01,1,2_0_1_0-2_1_1_0,0.0964148913128,8.98157349545e-06,0,1
100,5,0.380405187607,0.001,0.01,1,2_0_1_3-2_1_1_3,5.83598667597e-05,3.60739208426e-07,1,1
100,5,0.380405187607,0.001,0.01,1,2_0_0_0-2_1_0_0,2.20337721599e-13,2.83279968386e-30,1,1
100,5,0.380405187607,0.001,0.01,1,2_0_0_2-2_1_0_2,0.00748244758247,7.89819056359e-06,0,1
100,5,0.380405187607,0.001,0.01,1,2_0_0_1-2_1_0_1,2.97619680321e-05,2.29151616728e-19,1,1
100,5,0.380405187607,0.001,0.01,1,2_0_1_1-2_1_1_1,0.0375306029109,8.70052362778e-14,0,1
100,5,0.380405187607,0.001,0.01,1,2_0_1_2-2_1_1_2,2.36388247731e-10,9.51665304452e-30,1,1
100,5,0.380405187607,0.001,0.01,1,2_0_0_3-2_1_0_3,5.91768006067e-06,0.0355256106814,1,1
200,0,0.825788974762,0.001,0.01,1,2_0_1_0-2_1_1_0,4.61104187454e-09,5.79890062342e-07,1,1
200,0,0.825788974762,0.001,0.01,1,2_0_1_3-2_1_1_3,8.95394805109e-08,0.00014921643628,1,1
200,0,0.825788974762,0.001,0.01,1,2_0_0_0-2_1_0_0,1.91720173915e-09,7.83113927987e-26,1,1
200,0,0.825788974762,0.001,0.01,1,2_0_0_2-2_1_0_2,3.70898746604e-10,1.7065929795e-09,1,1
200,0,0.825788974762,0.001,0.01,1,2_0_0_1-2_1_0_1,1.12590555409e-06,1.74326862691e-38,1,1
200,0,0.825788974762,0.001,0.01,1,2_0_1_1-2_1_1_1,0.000262328079621,4.36987287553e-09,1,1
