#flows,iteration,time,epsilon,r_threshold,is_correlated,key,count_chern,byte_chern,pred,true
400,0,0.949322938919,0.0001,0.01,1,2_0_1_0-2_1_1_0,9.97389189455e-12,1.18572837039e-45,1,1
400,0,0.949322938919,0.0001,0.01,1,2_0_1_3-2_1_1_3,5.65632507784e-22,4.99665394281e-14,1,1
400,0,0.949322938919,0.0001,0.01,1,2_0_0_0-2_1_0_0,2.00837392045e-15,4.2978968561e-23,1,1
400,0,0.949322938919,0.0001,0.01,1,2_0_0_2-2_1_0_2,1.52542316472e-16,7.02299912111e-76,1,1
400,0,0.949322938919,0.0001,0.01,1,2_0_0_1-2_1_0_1,8.46418406668e-12,8.68887076698e-23,1,1
400,0,0.949322938919,0.0001,0.01,1,2_0_1_1-2_1_1_1,1.50727029881e-18,4.99296389715e-13,1,1
400,0,0.949322938919,0.0001,0.01,1,2_0_1_2-2_1_1_2,2.96206298382e-15,7.91063523496e-15,1,1
400,0,0.949322938919,0.0001,0.01,1,2_0_0_3-2_1_0_3,1.87146508841e-24,0.00129626516735,1,1
400,0,0.902054786682,0.0001,0.01,0,2_0_1_0-2_1_1_0,0.474204822889,2.0309535329e-10,0,0
400,0,0.902054786682,0.0001,0.01,0,2_0_1_3-2_1_1_3,0.715684319595,1.29757985193e-09,0,0
400,0,0.902054786682,0.0001,0.01,0,2_0_0_0-2_1_0_0,0.144821394924,3.76474980513e-22,0,0
400,0,0.902054786682,0.0001,0.01,0,2_0_0_2-2_1_0_2,0.40668734184,0.00134055147049,-1,0
400,0,0.902054786682,0.0001,0.01,0,2_0_0_1-2_1_0_1,0.176475818237,0.000516167412875,-1,0
400,0,0.902054786682,0.0001,0.01,0,2_0_1_1-2_1_1_1,0.305912157567,2.06247385984e-06,0,0
400,0,0.902054786682,0.0001,0.01,0,2_0_1_2-2_1_1_2,0.118680382537,1.73200676423e-09,0,0
400,0,0.902054786682,0.0001,0.01,0,2_0_0_3-2_1_0_3,0.0644367198408,2.02318002196e-22,0,0
400,0,0.84990811348,0.0001,0.01,-1,2_0_1_0-2_1_1_0,0.231403078848,0.21431303462,-1,-1
400,0,0.84990811348,0.0001,0.01,-1,2_0_1_3-2_1_1_3,0.238283618825,0.488213243828,-1,-1
400,0,0.84990811348,0.0001,0.01,-1,2_0_0_0-2_1_0_0,0.602221713996,0.261458365557,-1,-1
400,0,0.84990811348,0.0001,0.01,-1,2_0_0_2-2_1_0_2,0.390320096857,0.194013384045,-1,-1
400,0,0.84990811348,0.0001,0.01,-1,2_0_0_1-2_1_0_1,0.19469517526,0.0565983306211,-1,-1
