#flows,iteration,epsilon,r_threshold,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
400,0,0.0001,0.01,1,8,0,8
400,0,0.0001,0.01,0,0,6,8
400,0,0.0001,0.01,-1,0,0,8
400,0,0.0005,0.01,1,8,0,8
400,0,0.0005,0.01,0,0,7,8
400,0,0.0005,0.01,-1,0,0,8
400,0,0.001,0.01,1,8,0,8
400,0,0.001,0.01,0,0,8,8
400,0,0.001,0.01,-1,0,0,8
400,0,0.005,0.01,1,8,0,8
400,0,0.005,0.01,0,0,8,8
400,0,0.005,0.01,-1,0,0,8
400,0,0.01,0.01,1,8,0,8
400,0,0.01,0.01,0,0,8,8
400,0,0.01,0.01,-1,0,0,8
400,0,0.05,0.01,1,8,0,8
400,0,0.05,0.01,0,0,8,8
400,0,0.05,0.01,-1,0,1,8
400,0,0.1,0.01,1,8,0,8
400,0,0.1,0.01,0,0,8,8
400,0,0.1,0.01,-1,0,1,8
400,0,0.2,0.01,1,8,0,8
400,0,0.2,0.01,0,0,8,8
400,0,0.2,0.01,-1,0,1,8
400,0,0.4,0.01,1,8,0,8
400,0,0.4,0.01,0,0,8,8
400,0,0.4,0.01,-1,0,2,8
400,1,0.0001,0.01,1,8,0,8
400,1,0.0001,0.01,0,0,8,8
400,1,0.0001,0.01,-1,0,0,8
400,1,0.0005,0.01,1,8,0,8
400,1,0.0005,0.01,0,0,8,8
400,1,0.0005,0.01,-1,0,0,8
400,1,0.001,0.01,1,8,0,8
400,1,0.001,0.01,0,1,7,8
400,1,0.001,0.01,-1,0,1,8
400,1,0.005,0.01,1,8,0,8
400,1,0.005,0.01,0,0,8,8
400,1,0.005,0.01,-1,0,0,8
400,1,0.01,0.01,1,8,0,8
400,1,0.01,0.01,0,0,8,8
400,1,0.01,0.01,-1,0,0,8
400,1,0.05,0.01,1,8,0,8
400,1,0.05,0.01,0,0,8,8
400,1,0.05,0.01,-1,0,1,8
400,1,0.1,0.01,1,8,0,8
400,1,0.1,0.01,0,1,7,8
400,1,0.1,0.01,-1,0,1,8
400,1,0.2,0.01,1,8,0,8
400,1,0.2,0.01,0,0,8,8
400,1,0.2,0.01,-1,0,3,8
400,1,0.4,0.01,1,8,0,8
400,1,0.4,0.01,0,0,8,8
400,1,0.4,0.01,-1,0,6,8
400,2,0.0001,0.01,1,8,0,8
400,2,0.0001,0.01,0,0,8,8
400,2,0.0001,0.01,-1,0,0,8
400,2,0.0005,0.01,1,8,0,8
400,2,0.0005,0.01,0,0,8,8
400,2,0.0005,0.01,-1,0,0,8
400,2,0.001,0.01,1,8,0,8
400,2,0.001,0.01,0,0,8,8
400,2,0.001,0.01,-1,0,0,8
400,2,0.005,0.01,1,8,0,8
400,2,0.005,0.01,0,0,8,8
400,2,0.005,0.01,-1,0,1,8
400,2,0.01,0.01,1,8,0,8
400,2,0.01,0.01,0,0,8,8
400,2,0.01,0.01,-1,0,0,8
400,2,0.05,0.01,1,8,0,8
400,2,0.05,0.01,0,0,8,8
400,2,0.05,0.01,-1,0,0,8
400,2,0.1,0.01,1,8,0,8
400,2,0.1,0.01,0,0,8,8
400,2,0.1,0.01,-1,0,2,8
400,2,0.2,0.01,1,8,0,8
400,2,0.2,0.01,0,0,8,8
400,2,0.2,0.01,-1,0,3,8
400,2,0.4,0.01,1,8,0,8
400,2,0.4,0.01,0,0,8,8
400,2,0.4,0.01,-1,0,3,8
400,3,0.0001,0.01,1,8,0,8
400,3,0.0001,0.01,0,1,5,8
400,3,0.0001,0.01,-1,0,0,8
400,3,0.0005,0.01,1,8,0,8
400,3,0.0005,0.01,0,0,8,8
400,3,0.0005,0.01,-1,0,0,8
400,3,0.001,0.01,1,8,0,8
400,3,0.001,0.01,0,0,8,8
400,3,0.001,0.01,-1,0,0,8
400,3,0.005,0.01,1,8,0,8
400,3,0.005,0.01,0,0,8,8
400,3,0.005,0.01,-1,0,0,8
400,3,0.01,0.01,1,8,0,8
400,3,0.01,0.01,0,0,8,8
400,3,0.01,0.01,-1,0,0,8
400,3,0.05,0.01,1,8,0,8
400,3,0.05,0.01,0,0,8,8
400,3,0.05,0.01,-1,0,0,8
400,3,0.1,0.01,1,8,0,8
400,3,0.1,0.01,0,0,8,8
400,3,0.1,0.01,-1,1,0,8
400,3,0.2,0.01,1,8,0,8
400,3,0.2,0.01,0,0,8,8
400,3,0.2,0.01,-1,0,1,8
400,3,0.4,0.01,1,8,0,8
400,3,0.4,0.01,0,0,8,8
400,3,0.4,0.01,-1,0,2,8
400,4,0.0001,0.01,1,8,0,8
400,4,0.0001,0.01,0,0,7,8
400,4,0.0001,0.01,-1,0,0,8
400,4,0.0005,0.01,1,8,0,8
400,4,0.0005,0.01,0,0,7,8
400,4,0.0005,0.01,-1,0,0,8
400,4,0.001,0.01,1,8,0,8
400,4,0.001,0.01,0,0,8,8
400,4,0.001,0.01,-1,0,0,8
400,4,0.005,0.01,1,8,0,8
400,4,0.005,0.01,0,0,8,8
400,4,0.005,0.01,-1,0,0,8
400,4,0.01,0.01,1,8,0,8
400,4,0.01,0.01,0,0,8,8
400,4,0.01,0.01,-1,0,0,8
400,4,0.05,0.01,1,8,0,8
400,4,0.05,0.01,0,0,8,8
400,4,0.05,0.01,-1,0,0,8
400,4,0.1,0.01,1,8,0,8
400,4,0.1,0.01,0,0,8,8
400,4,0.1,0.01,-1,0,0,8
400,4,0.2,0.01,1,8,0,8
400,4,0.2,0.01,0,0,8,8
400,4,0.2,0.01,-1,0,2,8
400,4,0.4,0.01,1,8,0,8
400,4,0.4,0.01,0,0,8,8
400,4,0.4,0.01,-1,0,4,8
400,5,0.0001,0.01,1,8,0,8
400,5,0.0001,0.01,0,0,6,8
400,5,0.0001,0.01,-1,0,0,8
400,5,0.0005,0.01,1,8,0,8
400,5,0.0005,0.01,0,0,8,8
400,5,0.0005,0.01,-1,0,0,8
400,5,0.001,0.01,1,8,0,8
400,5,0.001,0.01,0,0,7,8
400,5,0.001,0.01,-1,0,0,8
400,5,0.005,0.01,1,8,0,8
400,5,0.005,0.01,0,0,8,8
400,5,0.005,0.01,-1,0,0,8
400,5,0.01,0.01,1,8,0,8
400,5,0.01,0.01,0,0,8,8
400,5,0.01,0.01,-1,0,0,8
400,5,0.05,0.01,1,8,0,8
400,5,0.05,0.01,0,0,8,8
400,5,0.05,0.01,-1,0,1,8
400,5,0.1,0.01,1,8,0,8
400,5,0.1,0.01,0,0,8,8
400,5,0.1,0.01,-1,0,1,8
400,5,0.2,0.01,1,8,0,8
400,5,0.2,0.01,0,0,8,8
400,5,0.2,0.01,-1,0,2,8
400,5,0.4,0.01,1,8,0,8
400,5,0.4,0.01,0,0,8,8
400,5,0.4,0.01,-1,0,4,8
400,6,0.0001,0.01,1,8,0,8
400,6,0.0001,0.01,0,0,7,8
400,6,0.0001,0.01,-1,0,0,8
400,6,0.0005,0.01,1,8,0,8
400,6,0.0005,0.01,0,0,8,8
400,6,0.0005,0.01,-1,0,0,8
400,6,0.001,0.01,1,8,0,8
400,6,0.001,0.01,0,0,8,8
400,6,0.001,0.01,-1,0,0,8
400,6,0.005,0.01,1,8,0,8
400,6,0.005,0.01,0,0,8,8
400,6,0.005,0.01,-1,0,0,8
400,6,0.01,0.01,1,8,0,8
400,6,0.01,0.01,0,0,8,8
400,6,0.01,0.01,-1,0,1,8
400,6,0.05,0.01,1,8,0,8
400,6,0.05,0.01,0,0,8,8
400,6,0.05,0.01,-1,0,1,8
400,6,0.1,0.01,1,8,0,8
400,6,0.1,0.01,0,0,8,8
400,6,0.1,0.01,-1,0,0,8
400,6,0.2,0.01,1,8,0,8
400,6,0.2,0.01,0,0,8,8
400,6,0.2,0.01,-1,0,0,8
400,6,0.4,0.01,1,8,0,8
400,6,0.4,0.01,0,0,8,8
400,6,0.4,0.01,-1,0,4,8
400,7,0.0001,0.01,1,8,0,8
400,7,0.0001,0.01,0,0,8,8
400,7,0.0001,0.01,-1,0,0,8
400,7,0.0005,0.01,1,8,0,8
400,7,0.0005,0.01,0,0,6,8
400,7,0.0005,0.01,-1,0,0,8
400,7,0.001,0.01,1,8,0,8
400,7,0.001,0.01,0,0,8,8
400,7,0.001,0.01,-1,0,0,8
400,7,0.005,0.01,1,8,0,8
400,7,0.005,0.01,0,0,8,8
400,7,0.005,0.01,-1,0,0,8
400,7,0.01,0.01,1,8,0,8
400,7,0.01,0.01,0,0,8,8
400,7,0.01,0.01,-1,0,0,8
400,7,0.05,0.01,1,8,0,8
400,7,0.05,0.01,0,0,8,8
400,7,0.05,0.01,-1,0,1,8
400,7,0.1,0.01,1,8,0,8
400,7,0.1,0.01,0,0,8,8
400,7,0.1,0.01,-1,0,2,8
400,7,0.2,0.01,1,8,0,8
400,7,0.2,0.01,0,0,8,8
400,7,0.2,0.01,-1,0,2,8
400,7,0.4,0.01,1,8,0,8
400,7,0.4,0.01,0,0,8,8
400,7,0.4,0.01,-1,0,4,8
400,8,0.0001,0.01,1,8,0,8
400,8,0.0001,0.01,0,0,7,8
400,8,0.0001,0.01,-1,1,0,8
400,8,0.0005,0.01,1,8,0,8
400,8,0.0005,0.01,0,0,8,8
400,8,0.0005,0.01,-1,0,0,8
400,8,0.001,0.01,1,8,0,8
400,8,0.001,0.01,0,0,8,8
400,8,0.001,0.01,-1,0,0,8
400,8,0.005,0.01,1,8,0,8
400,8,0.005,0.01,0,0,8,8
400,8,0.005,0.01,-1,0,0,8
400,8,0.01,0.01,1,8,0,8
400,8,0.01,0.01,0,0,8,8
400,8,0.01,0.01,-1,0,0,8
400,8,0.05,0.01,1,8,0,8
400,8,0.05,0.01,0,0,8,8
400,8,0.05,0.01,-1,0,1,8
400,8,0.1,0.01,1,8,0,8
400,8,0.1,0.01,0,0,8,8
400,8,0.1,0.01,-1,0,1,8
400,8,0.2,0.01,1,8,0,8
400,8,0.2,0.01,0,0,8,8
400,8,0.2,0.01,-1,0,1,8
400,8,0.4,0.01,1,8,0,8
400,8,0.4,0.01,0,0,8,8
400,8,0.4,0.01,-1,0,5,8
400,9,0.0001,0.01,1,8,0,8
400,9,0.0001,0.01,0,0,8,8
400,9,0.0001,0.01,-1,0,0,8
400,9,0.0005,0.01,1,8,0,8
400,9,0.0005,0.01,0,0,7,8
400,9,0.0005,0.01,-1,0,0,8
400,9,0.001,0.01,1,8,0,8
400,9,0.001,0.01,0,0,8,8
400,9,0.001,0.01,-1,0,0,8
400,9,0.005,0.01,1,8,0,8
400,9,0.005,0.01,0,0,8,8
400,9,0.005,0.01,-1,0,0,8
400,9,0.01,0.01,1,8,0,8
400,9,0.01,0.01,0,0,8,8
400,9,0.01,0.01,-1,0,1,8
400,9,0.05,0.01,1,8,0,8
400,9,0.05,0.01,0,0,8,8
400,9,0.05,0.01,-1,0,0,8
400,9,0.1,0.01,1,8,0,8
400,9,0.1,0.01,0,0,8,8
400,9,0.1,0.01,-1,0,2,8
400,9,0.2,0.01,1,8,0,8
400,9,0.2,0.01,0,0,8,8
400,9,0.2,0.01,-1,0,0,8
400,9,0.4,0.01,1,8,0,8
400,9,0.4,0.01,0,0,8,8
400,9,0.4,0.01,-1,0,2,8
