#flows,iteration,epsilon,r_threshold,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
100,0,0.001,0.01,1,3,3,8
100,0,0.001,0.01,0,0,2,8
100,0,0.001,0.01,-1,0,0,8
200,0,0.001,0.01,1,7,1,8
200,0,0.001,0.01,0,0,5,8
200,0,0.001,0.01,-1,0,0,8
300,0,0.001,0.01,1,8,0,8
300,0,0.001,0.01,0,0,8,8
300,0,0.001,0.01,-1,0,0,8
400,0,0.001,0.01,1,8,0,8
400,0,0.001,0.01,0,0,8,8
400,0,0.001,0.01,-1,0,0,8
500,0,0.001,0.01,1,8,0,8
500,0,0.001,0.01,0,0,8,8
500,0,0.001,0.01,-1,0,0,8
100,1,0.001,0.01,1,3,4,8
100,1,0.001,0.01,0,0,4,8
100,1,0.001,0.01,-1,0,0,8
200,1,0.001,0.01,1,8,0,8
200,1,0.001,0.01,0,0,7,8
200,1,0.001,0.01,-1,0,0,8
300,1,0.001,0.01,1,8,0,8
300,1,0.001,0.01,0,0,8,8
300,1,0.001,0.01,-1,0,0,8
400,1,0.001,0.01,1,8,0,8
400,1,0.001,0.01,0,0,8,8
400,1,0.001,0.01,-1,0,0,8
500,1,0.001,0.01,1,8,0,8
500,1,0.001,0.01,0,0,8,8
500,1,0.001,0.01,-1,0,0,8
100,2,0.001,0.01,1,7,1,8
100,2,0.001,0.01,0,0,1,8
100,2,0.001,0.01,-1,0,0,8
200,2,0.001,0.01,1,8,0,8
200,2,0.001,0.01,0,0,4,8
200,2,0.001,0.01,-1,0,0,8
300,2,0.001,0.01,1,8,0,8
300,2,0.001,0.01,0,0,8,8
300,2,0.001,0.01,-1,0,0,8
400,2,0.001,0.01,1,8,0,8
400,2,0.001,0.01,0,0,8,8
400,2,0.001,0.01,-1,0,0,8
500,2,0.001,0.01,1,8,0,8
500,2,0.001,0.01,0,0,8,8
500,2,0.001,0.01,-1,0,0,8
100,3,0.001,0.01,1,5,3,8
100,3,0.001,0.01,0,0,1,8
100,3,0.001,0.01,-1,0,0,8
200,3,0.001,0.01,1,8,0,8
200,3,0.001,0.01,0,0,5,8
200,3,0.001,0.01,-1,0,0,8
300,3,0.001,0.01,1,8,0,8
300,3,0.001,0.01,0,0,8,8
300,3,0.001,0.01,-1,0,0,8
400,3,0.001,0.01,1,8,0,8
400,3,0.001,0.01,0,0,8,8
400,3,0.001,0.01,-1,0,0,8
500,3,0.001,0.01,1,8,0,8
500,3,0.001,0.01,0,0,8,8
500,3,0.001,0.01,-1,0,0,8
100,4,0.001,0.01,1,4,3,8
100,4,0.001,0.01,0,0,2,8
100,4,0.001,0.01,-1,0,0,8
200,4,0.001,0.01,1,7,1,8
200,4,0.001,0.01,0,0,6,8
200,4,0.001,0.01,-1,0,0,8
300,4,0.001,0.01,1,8,0,8
300,4,0.001,0.01,0,0,8,8
300,4,0.001,0.01,-1,0,0,8
400,4,0.001,0.01,1,8,0,8
400,4,0.001,0.01,0,0,8,8
400,4,0.001,0.01,-1,0,0,8
500,4,0.001,0.01,1,8,0,8
500,4,0.001,0.01,0,0,8,8
500,4,0.001,0.01,-1,0,0,8
100,5,0.001,0.01,1,6,1,8
100,5,0.001,0.01,0,0,1,8
100,5,0.001,0.01,-1,0,0,8
200,5,0.001,0.01,1,8,0,8
200,5,0.001,0.01,0,0,6,8
200,5,0.001,0.01,-1,0,0,8
300,5,0.001,0.01,1,8,0,8
300,5,0.001,0.01,0,0,8,8
300,5,0.001,0.01,-1,0,1,8
400,5,0.001,0.01,1,8,0,8
400,5,0.001,0.01,0,0,8,8
400,5,0.001,0.01,-1,0,0,8
500,5,0.001,0.01,1,8,0,8
500,5,0.001,0.01,0,0,8,8
500,5,0.001,0.01,-1,0,0,8
100,6,0.001,0.01,1,5,0,8
100,6,0.001,0.01,0,0,1,8
100,6,0.001,0.01,-1,0,0,8
200,6,0.001,0.01,1,6,2,8
200,6,0.001,0.01,0,0,5,8
200,6,0.001,0.01,-1,0,0,8
300,6,0.001,0.01,1,8,0,8
300,6,0.001,0.01,0,0,8,8
300,6,0.001,0.01,-1,0,0,8
400,6,0.001,0.01,1,8,0,8
400,6,0.001,0.01,0,0,8,8
400,6,0.001,0.01,-1,0,0,8
500,6,0.001,0.01,1,8,0,8
500,6,0.001,0.01,0,0,8,8
500,6,0.001,0.01,-1,0,0,8
100,7,0.001,0.01,1,5,2,8
100,7,0.001,0.01,0,0,3,8
100,7,0.001,0.01,-1,0,0,8
200,7,0.001,0.01,1,6,2,8
