#flows,iteration,epsilon,r_threshold,is_correlated,#correlated_detect
10,0,0.001,0.01,1,0
20,0,0.001,0.01,1,0
30,0,0.001,0.01,1,0
40,0,0.001,0.01,1,2
50,0,0.001,0.01,1,8
60,0,0.001,0.01,1,6
70,0,0.001,0.01,1,8
80,0,0.001,0.01,1,8
90,0,0.001,0.01,1,7
100,0,0.001,0.01,1,8
10,1,0.001,0.01,1,0
20,1,0.001,0.01,1,0
30,1,0.001,0.01,1,0
40,1,0.001,0.01,1,1
50,1,0.001,0.01,1,6
60,1,0.001,0.01,1,8
70,1,0.001,0.01,1,8
80,1,0.001,0.01,1,8
90,1,0.001,0.01,1,8
100,1,0.001,0.01,1,8
10,2,0.001,0.01,1,0
20,2,0.001,0.01,1,0
30,2,0.001,0.01,1,1
40,2,0.001,0.01,1,3
50,2,0.001,0.01,1,7
60,2,0.001,0.01,1,8
70,2,0.001,0.01,1,8
80,2,0.001,0.01,1,8
90,2,0.001,0.01,1,8
100,2,0.001,0.01,1,8
10,3,0.001,0.01,1,0
20,3,0.001,0.01,1,0
30,3,0.001,0.01,1,1
40,3,0.001,0.01,1,3
50,3,0.001,0.01,1,5
60,3,0.001,0.01,1,7
70,3,0.001,0.01,1,8
80,3,0.001,0.01,1,8
90,3,0.001,0.01,1,8
100,3,0.001,0.01,1,8
10,4,0.001,0.01,1,0
20,4,0.001,0.01,1,0
30,4,0.001,0.01,1,0
40,4,0.001,0.01,1,6
50,4,0.001,0.01,1,8
60,4,0.001,0.01,1,8
70,4,0.001,0.01,1,8
80,4,0.001,0.01,1,8
90,4,0.001,0.01,1,8
100,4,0.001,0.01,1,8
10,5,0.001,0.01,1,0
20,5,0.001,0.01,1,0
30,5,0.001,0.01,1,0
40,5,0.001,0.01,1,1
50,5,0.001,0.01,1,3
60,5,0.001,0.01,1,7
70,5,0.001,0.01,1,8
80,5,0.001,0.01,1,8
90,5,0.001,0.01,1,8
100,5,0.001,0.01,1,8
10,6,0.001,0.01,1,0
20,6,0.001,0.01,1,0
30,6,0.001,0.01,1,1
40,6,0.001,0.01,1,5
50,6,0.001,0.01,1,7
60,6,0.001,0.01,1,7
70,6,0.001,0.01,1,8
80,6,0.001,0.01,1,8
90,6,0.001,0.01,1,8
100,6,0.001,0.01,1,8
10,7,0.001,0.01,1,0
20,7,0.001,0.01,1,0
30,7,0.001,0.01,1,0
40,7,0.001,0.01,1,3
50,7,0.001,0.01,1,7
60,7,0.001,0.01,1,7
70,7,0.001,0.01,1,7
80,7,0.001,0.01,1,8
90,7,0.001,0.01,1,8
100,7,0.001,0.01,1,8
10,8,0.001,0.01,1,0
20,8,0.001,0.01,1,0
30,8,0.001,0.01,1,0
40,8,0.001,0.01,1,4
50,8,0.001,0.01,1,6
60,8,0.001,0.01,1,8
70,8,0.001,0.01,1,8
80,8,0.001,0.01,1,8
90,8,0.001,0.01,1,8
100,8,0.001,0.01,1,8
10,9,0.001,0.01,1,0
20,9,0.001,0.01,1,0
30,9,0.001,0.01,1,0
40,9,0.001,0.01,1,4
50,9,0.001,0.01,1,3
60,9,0.001,0.01,1,6
70,9,0.001,0.01,1,8
80,9,0.001,0.01,1,8
90,9,0.001,0.01,1,8
100,9,0.001,0.01,1,8
