#flows,epsilon,is_correlated,#correlated_detect
20,0.01,1,0
40,0.01,1,2
60,0.01,1,8
80,0.01,1,8
100,0.01,1,8
20,0.01,1,0
40,0.01,1,2
60,0.01,1,5
80,0.01,1,8
100,0.01,1,8
20,0.01,1,0
40,0.01,1,4
60,0.01,1,7
80,0.01,1,8
100,0.01,1,8
20,0.01,1,0
40,0.01,1,3
60,0.01,1,8
80,0.01,1,8
100,0.01,1,8
20,0.01,1,0
40,0.01,1,4
60,0.01,1,8
80,0.01,1,7
100,0.01,1,8
20,0.01,1,1
40,0.01,1,4
60,0.01,1,7
80,0.01,1,8
100,0.01,1,8
20,0.01,1,0
40,0.01,1,4
60,0.01,1,7
80,0.01,1,8
100,0.01,1,8
20,0.01,1,0
40,0.01,1,6
60,0.01,1,8
80,0.01,1,8
100,0.01,1,8
20,0.01,1,0
40,0.01,1,3
60,0.01,1,8
80,0.01,1,8
100,0.01,1,8
20,0.01,1,0
40,0.01,1,2
60,0.01,1,7
80,0.01,1,8
100,0.01,1,8
