#flows,epsilon,is_correlated,#correlated_detect
20,0.01,1,5
40,0.01,1,8
60,0.01,1,8
80,0.01,1,8
100,0.01,1,8
20,0.01,1,5
40,0.01,1,8
60,0.01,1,8
80,0.01,1,8
100,0.01,1,8
20,0.01,1,5
40,0.01,1,8
60,0.01,1,8
80,0.01,1,8
100,0.01,1,8
20,0.01,1,4
40,0.01,1,8
60,0.01,1,8
80,0.01,1,8
100,0.01,1,8
20,0.01,1,5
40,0.01,1,8
60,0.01,1,8
80,0.01,1,8
100,0.01,1,8
20,0.01,1,4
40,0.01,1,8
60,0.01,1,8
80,0.01,1,8
100,0.01,1,8
20,0.01,1,4
40,0.01,1,8
60,0.01,1,8
80,0.01,1,8
100,0.01,1,8
20,0.01,1,2
40,0.01,1,8
60,0.01,1,8
80,0.01,1,8
100,0.01,1,8
20,0.01,1,4
40,0.01,1,8
60,0.01,1,8
80,0.01,1,8
100,0.01,1,8
20,0.01,1,4
40,0.01,1,8
60,0.01,1,8
80,0.01,1,8
100,0.01,1,8
