#flows,epsilon,is_correlated,#correlated_detect
10,0.01,1,2
20,0.01,1,3
30,0.01,1,4
40,0.01,1,4
50,0.01,1,5
10,0.01,1,2
20,0.01,1,3
30,0.01,1,3
40,0.01,1,3
50,0.01,1,4
10,0.01,1,2
20,0.01,1,2
30,0.01,1,3
40,0.01,1,3
50,0.01,1,7
10,0.01,1,1
20,0.01,1,3
30,0.01,1,4
40,0.01,1,3
50,0.01,1,2
10,0.01,1,2
20,0.01,1,2
30,0.01,1,2
40,0.01,1,4
50,0.01,1,7
10,0.01,1,2
20,0.01,1,3
30,0.01,1,4
40,0.01,1,2
50,0.01,1,7
10,0.01,1,2
20,0.01,1,2
30,0.01,1,3
40,0.01,1,4
50,0.01,1,5
10,0.01,1,2
20,0.01,1,2
30,0.01,1,3
40,0.01,1,3
50,0.01,1,4
10,0.01,1,2
20,0.01,1,3
30,0.01,1,3
40,0.01,1,2
50,0.01,1,3
10,0.01,1,2
20,0.01,1,2
30,0.01,1,4
40,0.01,1,3
50,0.01,1,2
60,0.01,1,6
70,0.01,1,4
80,0.01,1,7
90,0.01,1,8
100,0.01,1,8
60,0.01,1,3
70,0.01,1,4
80,0.01,1,5
90,0.01,1,8
100,0.01,1,8
60,0.01,1,5
70,0.01,1,2
80,0.01,1,6
90,0.01,1,8
100,0.01,1,8
60,0.01,1,6
70,0.01,1,5
80,0.01,1,7
90,0.01,1,8
100,0.01,1,8
60,0.01,1,2
70,0.01,1,5
80,0.01,1,6
90,0.01,1,8
100,0.01,1,8
60,0.01,1,3
70,0.01,1,4
80,0.01,1,7
90,0.01,1,8
100,0.01,1,8
60,0.01,1,3
70,0.01,1,6
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
60,0.01,1,6
70,0.01,1,5
80,0.01,1,4
90,0.01,1,8
100,0.01,1,8
60,0.01,1,2
70,0.01,1,3
80,0.01,1,5
90,0.01,1,8
100,0.01,1,8
60,0.01,1,4
70,0.01,1,5
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,2
40,0.01,1,4
50,0.01,1,3
60,0.01,1,4
70,0.01,1,5
80,0.01,1,5
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,3
30,0.01,1,1
40,0.01,1,2
50,0.01,1,3
60,0.01,1,3
70,0.01,1,3
80,0.01,1,7
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,1
40,0.01,1,4
50,0.01,1,5
60,0.01,1,5
70,0.01,1,4
80,0.01,1,7
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,3
40,0.01,1,2
50,0.01,1,2
60,0.01,1,4
70,0.01,1,2
80,0.01,1,5
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,4
40,0.01,1,1
50,0.01,1,4
60,0.01,1,3
70,0.01,1,5
80,0.01,1,4
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,4
40,0.01,1,2
50,0.01,1,4
60,0.01,1,3
70,0.01,1,4
80,0.01,1,6
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,4
30,0.01,1,3
40,0.01,1,1
50,0.01,1,5
60,0.01,1,4
70,0.01,1,1
80,0.01,1,6
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,3
40,0.01,1,2
50,0.01,1,2
60,0.01,1,5
70,0.01,1,6
80,0.01,1,6
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,3
40,0.01,1,3
50,0.01,1,5
60,0.01,1,6
70,0.01,1,4
80,0.01,1,7
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,1
30,0.01,1,4
40,0.01,1,3
50,0.01,1,3
60,0.01,1,4
70,0.01,1,5
80,0.01,1,7
90,0.01,1,7
100,0.01,1,8
