#flows,is_correlated,#correlated_detect
100,1,0
150,1,0
200,1,1
250,1,0
300,1,3
350,1,5
400,1,7
450,1,8
500,1,7
550,1,7
600,1,8
100,1,0
150,1,0
200,1,0
250,1,2
300,1,4
350,1,4
400,1,6
450,1,7
500,1,7
550,1,8
600,1,8
100,1,0
150,1,0
200,1,2
250,1,1
300,1,2
350,1,5
400,1,7
450,1,7
500,1,8
550,1,8
600,1,8
100,1,0
150,1,0
200,1,0
250,1,2
300,1,3
350,1,7
400,1,6
450,1,8
500,1,8
550,1,8
600,1,8
100,1,0
150,1,0
200,1,0
250,1,2
300,1,2
350,1,6
400,1,6
450,1,8
500,1,7
550,1,8
600,1,8
100,1,0
150,1,0
200,1,0
250,1,2
300,1,4
350,1,7
400,1,7
450,1,8
500,1,7
550,1,8
600,1,8
100,1,0
150,1,0
200,1,1
250,1,2
300,1,4
350,1,4
400,1,7
450,1,8
500,1,8
550,1,8
600,1,8
100,1,0
150,1,0
200,1,0
250,1,1
300,1,3
350,1,6
400,1,8
450,1,4
500,1,7
550,1,8
600,1,8
100,1,0
150,1,1
200,1,0
250,1,1
300,1,4
350,1,3
400,1,8
450,1,7
500,1,7
550,1,8
600,1,8
100,1,0
150,1,0
200,1,2
250,1,5
300,1,4
350,1,6
400,1,4
450,1,8
500,1,8
550,1,8
600,1,8
