#flows,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
200,1,0,0,8
500,1,2,1,8
800,1,3,0,8
1100,1,7,0,8
1400,1,8,0,8
1700,1,8,0,8
2000,1,8,0,8
200,0,0,0,8
500,0,0,0,8
800,0,0,0,8
1100,0,0,0,8
1400,0,0,0,8
1700,0,0,0,8
2000,0,0,0,8
200,1,1,0,8
500,1,5,0,8
800,1,4,0,8
1100,1,8,0,8
1400,1,7,0,8
1700,1,8,0,8
2000,1,8,0,8
200,0,0,0,8
500,0,0,0,8
800,0,0,0,8
1100,0,0,0,8
1400,0,0,0,8
1700,0,0,0,8
2000,0,0,0,8
200,1,0,0,8
500,1,4,0,8
800,1,5,0,8
1100,1,6,0,8
1400,1,7,0,8
1700,1,8,0,8
2000,1,8,0,8
200,0,0,0,8
500,0,0,0,8
800,0,0,0,8
1100,0,0,0,8
1400,0,0,0,8
1700,0,0,0,8
2000,0,0,0,8
200,1,2,0,8
500,1,2,0,8
800,1,5,0,8
1100,1,5,0,8
1400,1,7,0,8
1700,1,8,0,8
2000,1,8,0,8
200,0,0,0,8
500,0,0,0,8
800,0,0,0,8
1100,0,0,0,8
1400,0,0,0,8
1700,0,0,0,8
2000,0,0,0,8
200,1,0,0,8
500,1,2,0,8
800,1,5,0,8
1100,1,7,0,8
1400,1,8,0,8
1700,1,6,0,8
2000,1,8,0,8
200,0,0,0,8
500,0,0,0,8
800,0,0,0,8
1100,0,0,0,8
1400,0,0,0,8
1700,0,0,0,8
2000,0,0,0,8
200,1,0,0,8
500,1,4,0,8
800,1,5,1,8
1100,1,7,0,8
1400,1,7,0,8
1700,1,8,0,8
2000,1,8,0,8
200,0,0,0,8
500,0,0,0,8
800,0,0,0,8
1100,0,0,0,8
1400,0,0,0,8
1700,0,0,0,8
2000,0,0,0,8
200,1,0,0,8
500,1,0,0,8
800,1,6,0,8
1100,1,7,0,8
1400,1,6,0,8
1700,1,8,0,8
2000,1,8,0,8
200,0,0,0,8
500,0,0,0,8
800,0,0,0,8
1100,0,0,0,8
1400,0,0,0,8
1700,0,0,0,8
2000,0,0,0,8
200,1,0,0,8
500,1,3,0,8
800,1,5,0,8
1100,1,7,0,8
1400,1,8,0,8
1700,1,8,0,8
2000,1,8,0,8
200,0,0,0,8
500,0,0,0,8
800,0,0,0,8
1100,0,0,0,8
1400,0,0,0,8
1700,0,1,0,8
2000,0,0,0,8
200,1,0,0,8
500,1,3,0,8
800,1,4,0,8
1100,1,7,0,8
1400,1,8,0,8
1700,1,8,0,8
2000,1,8,0,8
200,0,0,0,8
500,0,0,0,8
800,0,0,0,8
1100,0,0,0,8
1400,0,0,0,8
1700,0,0,0,8
2000,0,0,0,8
200,1,0,0,8
500,1,2,0,8
800,1,6,0,8
1100,1,8,0,8
1400,1,8,0,8
1700,1,7,0,8
2000,1,8,0,8
200,0,0,0,8
500,0,0,0,8
800,0,0,0,8
1100,0,0,0,8
1400,0,0,0,8
1700,0,0,0,8
2000,0,0,0,8
